,name,last commit,analyzed commits,conflicts,missing artifact,missing option,modified option,init,detect,total analyze time
0,django,ed68410...,30004,0,0,0,0,0.1362,5.55e-06,4968.16
1,angular,2fbf261...,24105,126,41,57,28,0.2049,8.437e-05,5620.46
2,core,254bef7...,41160,2,0,0,2,0.2151,6.53e-06,10684.67
3,protobuf,2e29cac...,3663,268,11,174,83,0.3317,0.00123341,1302.71
4,nest,d9086c8...,3816,856,62,48,746,0.3466,0.00105258,1436.53
5,rust,9a7fced...,35625,58,33,3,22,0.1871,9.865e-05,8081.22
6,fastapi,6d9249e...,2174,2,2,0,0,0.0263,1.842e-05,76.69
7,webpack,65dd4b2...,5254,1,1,0,0,0.1356,9.949e-05,865.68
8,svelte,192bd74...,2608,6,1,0,5,0.1007,1.001e-05,325.82
9,gatsby,4cd0ec6...,18810,8261,80,491,7690,4.7737,0.09575378,95155.56
10,code-server,6d35bdd...,1632,11,6,3,2,0.1379,1.517e-05,258.83
11,mall,cca60db...,841,89,7,67,15,0.1855,0.0012583,168.32
12,elasticsearch,4e1331c...,20502,66,5,59,2,2.8508,0.00075109,59936.37
13,opencv,f7134a3...,11224,2,0,0,2,0.1074,2.125e-05,1518.91
14,freeCodeCamp,2dfee04...,21148,232,35,82,115,0.7395,0.00030634,16927.16
15,Chart,a39c778...,2594,3,0,3,0,0.0492,6.59e-06,170.61
16,TypeScript,dc5f0e2...,11286,138,19,95,24,1.3755,0.0042186,17011.57
17,ionic-framework,fd95b70...,9497,344,52,93,199,0.1101,0.0001123,1191.92
18,nvm,96e4acb...,1432,0,0,0,0,0.0215,5.56e-06,46.37
19,go,26473da...,49816,0,0,0,0,0.109,4.98e-06,7132.14
20,moby,bcbdd63...,16129,1,1,0,0,0.1074,4.29e-06,2139.4
21,vue-element-admin,d7940ed...,906,0,0,0,0,0.0224,4.44e-06,30.84
22,puppeteer,9c6640c...,2853,58,12,23,23,0.0502,6.892e-05,188.99
23,atom,06dd275...,15563,24,3,13,8,0.0852,0.00019163,1667.04
24,redux,92bdbb2...,1964,0,0,0,0,0.0294,7.34e-06,85.1
25,axios,3cc9cb7...,947,0,0,0,0,0.018,4.99e-06,28.18
26,rails,9b74cd0...,38425,12,0,9,3,0.0712,1.888e-05,3556.02
27,electron,fef0863...,11861,18,7,1,10,0.0547,0.00011256,1125.07
28,echarts,5aa2417...,3262,0,0,0,0,0.02,3.39e-06,154.02
29,deno,b53f203...,7223,5,5,0,0,0.0353,5.14e-06,431.92
30,hugo,d22bc3e...,6870,0,0,0,0,0.0299,3.45e-06,327.2
31,storybook,6deed24...,11448,9686,228,1591,7867,4.7834,0.06053471,55963.96
32,element,2f1b3f1...,3097,182,42,10,130,0.0465,0.00036555,177.82
33,superset,535019c...,9654,9,7,2,0,0.0883,7.77e-06,1070.01
34,spring-boot,21041...,21042,5899,586,4796,517,33.026559,0.464015,0.464015
35,developer-roadmap,c78fda0...,953,0,0,0,0,0.0223,3.97e-06,38.13
36,socket,feecfc7...,1326,26,1,4,21,0.0308,0.00015309,57.1
37,moment,b9df48e...,1661,0,0,0,0,0.0152,4.9e-06,62.62
38,vscode,f5943c9...,40587,786,45,407,334,3.0612,0.03873119,127884.21
39,netdata,80fc0f3...,9337,3,1,2,0,0.1755,6.38e-06,1799.94
40,create-react-app,32272c2...,2631,168,10,30,128,0.0696,0.00020351,221.02
41,node,d58a4cc...,33558,3778,664,1311,1803,8.2147,0.04313415,279599.21
42,animate,033ae66...,378,1,0,0,1,0.0149,6.03e-06,8.9
43,vue,ac10a76...,3297,243,6,17,220,0.0573,7.292e-05,242.45
44,kubernetes,46763...,46764,55,32,12,11,16.197249,0.0,0.0
45,material-ui,49a4483...,11469,665,27,107,531,1.3687,0.00101255,16255.55
46,FiraCode,b33546f...,513,0,0,0,0,0.0107,5.92e-06,23.93
47,transformers,b1da9ab...,8386,13,0,10,3,0.0439,8.294e-05,555.15
48,next,16048e5...,11089,2575,220,802,1553,9.4666,0.25229413,108487.27
49,ant-design,541b4e2...,11256,1,0,0,1,0.0649,6.58e-06,993.37
