occurred_at,conflict_type,conflict_id,link
7610def1c4709467b2a9136e62a8e54d1a529aef,MissingOptionConflict,82c146bf5efbae4d603d5017ad314bf5,Chart::::ci.yml::::jobs::::build::::steps::::steps_8::::uses::::coverallsapp/github-action@master <-> Chart::::ci.yml::::jobs::::finish::::steps::::steps_0::::uses::::coverallsapp/github-action@master
98c1ac439d35740e38a9a9331635a2cc5f493da0,MissingOptionConflict,04bf0523c08470a85ed7db03fce1f93e,Chart::::package.json::::main::::Chart.js <-> Chart::::package.json::::spm::::main::::Chart.js
eef153de409c51f484a15eb8da891d3eecb54b6d,ModifiedOptionConflict,7cb75cd8eecf81ad49c8b23900ab09fa,Chart::::package.json::::devDependencies::::gulp-eslint::::^5.0.0 <-> Chart::::package.json::::devDependencies::::rollup-plugin-node-resolve::::^5.0.0
39c2b92bb2858cdc381a5ec8fbbc5a27af7cb6cd,MultiValueConflict,5441e8d4a7e75507fb559ed629c2ddb4,Chart::::release.yml::::jobs::::notes::::steps::::steps_0::::id::::draft <-> Chart::::release.yml::::jobs::::publish::::needs::::draft
a98c34b858ade76edbbca5ca47da4c17936ed109,MissingOptionConflict,dbec39a8a3dffaa74be96d5c0b7e8f89,Chart::::deploy-docs.yml::::jobs::::build::::needs::::correct_repository <-> Chart::::release-drafter.yml::::jobs::::update_release_draft::::needs::::correct_repository
efa0ade501b774a71938437e78b429eb2b0a4d2a,ModifiedOptionConflict,9b6bada7e20a480005fa6868b69faa66,Chart::::deploy-docs.yml::::jobs::::build::::steps::::steps_2::::env::::GITHUB_TOKEN::::${{ secrets.GH_AUTH_TOKEN }} <-> Chart::::npmpublish.yml::::jobs::::publish-npm::::steps::::steps_5::::env::::GITHUB_TOKEN::::${{ secrets.GH_AUTH_TOKEN }}
9b7eb5095a4c628886157dee7b3847d7a363f7da,MissingOptionConflict,e8b512f05b3f3774d439b15afafa3c30,Chart::::ci.yml::::jobs::::build::::steps::::steps_5::::uses::::coverallsapp/github-action@master <-> Chart::::ci.yml::::jobs::::finish::::steps::::steps_0::::uses::::coverallsapp/github-action@master
a98c34b858ade76edbbca5ca47da4c17936ed109,MissingOptionConflict,73eb6ff8f18b37c5b5d9b850931e8948,Chart::::deploy-docs.yml::::jobs::::correct_repository::::steps::::steps_0::::if::::github.repository_owner != 'chartjs' <-> Chart::::release-drafter.yml::::jobs::::correct_repository::::steps::::steps_0::::if::::github.repository_owner != 'chartjs'
49935347ff84861f332db7b34f7429b83062d1b5,ModifiedOptionConflict,5cc3ea2134d109772ae511fe87f80ec3,Chart::::package.json::::devDependencies::::eslint-config-esnext::::^4.0.0 <-> Chart::::package.json::::devDependencies::::gulp::::^4.0.0
2a49e226f9f442481e73d47c1c003227a2f765a6,MissingOptionConflict,336b7a7627aa5710d5f407ba92943a04,Chart::::package.json::::devDependencies::::inquirer::::^0.5.1 <-> Chart::::package.json::::devDependencies::::karma-coverage::::^0.5.1
75791988d3d7187a747a26a25051ca41835b24ad,ModifiedOptionConflict,e72dcdc115cf949e53f0ddbabd52e36c,Chart::::package.json::::devDependencies::::jasmine-core::::^2.5.0 <-> Chart::::package.json::::devDependencies::::jasmine::::^2.5.0
7610def1c4709467b2a9136e62a8e54d1a529aef,MissingOptionConflict,06a2c0cb7eb27b0a5ef4cbf6f905d9c5,Chart::::ci.yml::::jobs::::build::::steps::::steps_7::::uses::::coverallsapp/github-action@master <-> Chart::::ci.yml::::jobs::::finish::::steps::::steps_0::::uses::::coverallsapp/github-action@master
d887b0a323fb823b8f78001cf57ea65596ee4790,MissingArtifactConflict,3ce7209db201bb0cc2d48a480aa57f25,Chart::::.travis.yml::::deploy::::provider/npm::::tag::::next <-> Chart::::release-drafter.yml::::on::::push::::branches::::next
7610def1c4709467b2a9136e62a8e54d1a529aef,MissingOptionConflict,02a7252493f578cc8337df05380b52b6,Chart::::ci.yml::::jobs::::build::::steps::::steps_7::::with::::github-token::::${{ secrets.github_token }} <-> Chart::::ci.yml::::jobs::::finish::::steps::::steps_0::::with::::github-token::::${{ secrets.github_token }}
3cb2d7050e0976f92383beb48bee07e5d579a2c0,ModifiedOptionConflict,f561925d1bb27d8af362b57f3edbf109,Chart::::package.json::::devDependencies::::karma-jasmine::::^2.0.0 <-> Chart::::package.json::::devDependencies::::vinyl-source-stream::::^2.0.0
795c86e95b73c95a599cfd5ca16401dc3c6e6699,MissingOptionConflict,98f6f55a78df965d594b0597219e3d0c,Chart::::package.json::::devDependencies::::gulp-jsdoc3::::^2.0.0 <-> Chart::::package.json::::devDependencies::::karma-coverage::::^2.0.0
7610def1c4709467b2a9136e62a8e54d1a529aef,ModifiedOptionConflict,07e836875146c5e5abfdd5f95d3dd26f,Chart::::ci.yml::::jobs::::build::::steps::::steps_2::::name::::Setup xvfb <-> Chart::::npmpublish.yml::::jobs::::test::::steps::::steps_2::::name::::Setup xvfb
a98c34b858ade76edbbca5ca47da4c17936ed109,MissingOptionConflict,23b69afe06a8055713937b23c5b4955c,Chart::::deploy-docs.yml::::jobs::::correct_repository::::runs-on::::ubuntu-latest <-> Chart::::release-drafter.yml::::jobs::::update_release_draft::::runs-on::::ubuntu-latest
a98c34b858ade76edbbca5ca47da4c17936ed109,MissingOptionConflict,3a61c1b3e775375ab2463cd31692603b,Chart::::compressed-size.yml::::jobs::::build::::steps::::steps_1::::with::::repo-token::::${{ secrets.GITHUB_TOKEN }} <-> Chart::::release-drafter.yml::::jobs::::update_release_draft::::steps::::steps_0::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }}
1110d4dd1996619ff89344b69e5d66716dcc6ddf,ModifiedOptionConflict,52c51677111a4cdedd80d9b4f0d98e97,Chart::::ci.yml::::jobs::::build::::steps::::steps_7::::if::::steps.changes.outputs.src == 'true' <-> Chart::::ci.yml::::jobs::::build::::steps::::steps_8::::if::::steps.changes.outputs.src == 'true'
2a97ec21c55c70f81b6c6f5d46979c273cc4c091,MissingOptionConflict,fe23b05061b230e90a13e4796d73ec9d,Chart::::package.json::::devDependencies::::gulp-uglify::::^3.0.0 <-> Chart::::package.json::::devDependencies::::gulp-util::::^3.0.0
49935347ff84861f332db7b34f7429b83062d1b5,ModifiedOptionConflict,55a80bf89d03cb692a9ff64ca66e2bc7,Chart::::package.json::::devDependencies::::babel-preset-es2015-rollup::::^3.0.0 <-> Chart::::package.json::::devDependencies::::karma-chrome-launcher::::^3.0.0
a98c34b858ade76edbbca5ca47da4c17936ed109,MissingOptionConflict,6a101926b8795427cbcef87e9130ddcc,Chart::::ci.yml::::on::::pull_request::::branches::::master <-> Chart::::release-drafter.yml::::on::::push::::branches::::master
a98c34b858ade76edbbca5ca47da4c17936ed109,MissingOptionConflict,1a2773398d8931e74136cfe95789f4e6,Chart::::ci.yml::::jobs::::finish::::runs-on::::ubuntu-latest <-> Chart::::release-drafter.yml::::jobs::::correct_repository::::runs-on::::ubuntu-latest
