occurred_at,conflict_type,conflict_id,link
484f7b41481d2dfb8d00a028ecc1e0025210763a,ModifiedOptionConflict,33191b3943579a88b6c07f640d4915ae,Front-End-Checklist::::package.json::::devDependencies::::gulp-eslint::::^5.0.0 <-> Front-End-Checklist::::package.json::::devDependencies::::gulp-htmlmin::::^5.0.0
484f7b41481d2dfb8d00a028ecc1e0025210763a,ModifiedOptionConflict,51a20542fc16ae0db5c47614d4dfa33e,Front-End-Checklist::::package.json::::devDependencies::::gulp-htmlmin::::^5.0.0 <-> Front-End-Checklist::::package.json::::devDependencies::::webpack-stream::::^5.0.0
d4ff899bac49012d5e53af9f50f57e6cec7a7f4d,ModifiedOptionConflict,9b049dfb6dcf79a3c3ae3b3bec87b107,Front-End-Checklist::::package.json::::devDependencies::::gulp-imagemin::::^4.0.0 <-> Front-End-Checklist::::package.json::::devDependencies::::imagemin-webp::::^4.0.0
e2852fca12b007c24ca6d479a4d9794dbbb5c27a,ModifiedOptionConflict,c55bd6c1e1cd8bb9c708cf7691d2df0d,Front-End-Checklist::::package.json::::devDependencies::::gulp-autoprefixer::::^5.0.0 <-> Front-End-Checklist::::package.json::::devDependencies::::webpack-stream::::^5.0.0
484f7b41481d2dfb8d00a028ecc1e0025210763a,ModifiedOptionConflict,a4d0028581995dff36a305dd0aa71dad,Front-End-Checklist::::package.json::::devDependencies::::eslint-config-prettier::::^3.0.0 <-> Front-End-Checklist::::package.json::::devDependencies::::html-webpack-plugin::::^3.0.0
55d819f1f9e90fcd8b202ebbcee0326f844e5a7d,ModifiedOptionConflict,5e3e559d4c2e45c0bba6a68297db03f6,Front-End-Checklist::::package.json::::devDependencies::::gulp-autoprefixer::::^5.0.0 <-> Front-End-Checklist::::package.json::::devDependencies::::gulp-eslint::::^5.0.0
89e5ad45c8600ee96a1f26caf1071bb4ae1164f9,ModifiedOptionConflict,e602e8da27e9d872d9f72dd71f7bf004,Front-End-Checklist::::package.json::::devDependencies::::gulp-autoprefixer::::^5.0.0 <-> Front-End-Checklist::::package.json::::devDependencies::::gulp-stylelint::::^5.0.0
541dab2acaf06b098813f306d6e756954d2cbffc,MissingArtifactConflict,3fbd41073ca22d70fa3b3620122ab7c0,Front-End-Checklist::::_package.json::::devDependencies::::karma-mocha::::^1.3.0 <-> Front-End-Checklist::::package.json::::devDependencies::::gulp-newer::::^1.3.0
0f129a74c09714554dccc20a36821894d47c930b,ModifiedOptionConflict,98e5ded5057a26df5950c63ac855f0b7,Front-End-Checklist::::package.json::::devDependencies::::critical::::^1.1.0 <-> Front-End-Checklist::::package.json::::devDependencies::::gulp-plumber::::^1.1.0
484f7b41481d2dfb8d00a028ecc1e0025210763a,ModifiedOptionConflict,0bd5e71d6e1f6956c28873734f49d361,Front-End-Checklist::::package.json::::devDependencies::::gulp-autoprefixer::::^6.0.0 <-> Front-End-Checklist::::package.json::::devDependencies::::gulp-mocha::::^6.0.0
