occurred_at,conflict_type,conflict_id,link
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,7dd039331002850a5c387a9dd21af997,TypeScript::::package.json::::devDependencies::::browserify::::latest <-> TypeScript::::package.json::::devDependencies::::del::::latest
171ab06cf000094b90f00eda65fce6a586b972c4,MissingOptionConflict,b4a3175801b7d2f8956e2640a7ca8228,TypeScript::::package.json::::devDependencies::::@types/q::::latest <-> TypeScript::::package.json::::devDependencies::::jake::::latest
5e86a103c870cf18b20e815c1224c5674ccbaf28,MissingOptionConflict,8c9a3c029e908279f253cd29de43612c,TypeScript::::package.json::::devDependencies::::@types/chai::::latest <-> TypeScript::::package.json::::devDependencies::::browserify::::latest
fe5bca87124eb2a81600cd2a0932c8cca67f4f1c,MissingOptionConflict,ac9f0c3606ef7598354b66a78754963a,TypeScript::::package.json::::devDependencies::::mocha::::latest <-> TypeScript::::package.json::::devDependencies::::tsd::::latest
e690f4fdffd95b6440627d7b41be3019796d1b19,MissingOptionConflict,408d520805497e96f2a74526a6c7dd60,TypeScript::::package.json::::devDependencies::::@types/merge2::::latest <-> TypeScript::::package.json::::devDependencies::::mocha::::latest
ea7b03d5680abb16b1192f867fefb4f40f35464b,MissingOptionConflict,e7ae9ff81039c8d10cd82439b03d3b69,TypeScript::::package.json::::devDependencies::::tslint::::next <-> TypeScript::::package.json::::devDependencies::::typescript::::next
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,22bfd2e10e77dca061933859de987426,TypeScript::::package.json::::devDependencies::::browserify::::latest <-> TypeScript::::package.json::::devDependencies::::run-sequence::::latest
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,e92c36c2e0fd39325b29c34b4df33964,TypeScript::::package.json::::devDependencies::::@types/gulp-concat::::latest <-> TypeScript::::package.json::::devDependencies::::mocha-fivemat-progress-reporter::::latest
2b1b58ba444337e0ec5b94b0609b1cf940b0615d,MissingOptionConflict,ec838fbe133db0c3c2d61282623583e0,TypeScript::::package.json::::devDependencies::::browserify::::latest <-> TypeScript::::package.json::::devDependencies::::jake::::latest
1a41ebf542525847b5f041b0db5b544dc0d93697,MissingOptionConflict,f7f32c65ef08f1d65a8909f6ec7f8d4e,TypeScript::::package.json::::devDependencies::::jake::::latest <-> TypeScript::::package.json::::devDependencies::::q::::latest
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,f20359ea70af04cb7a43f7f100a287b4,TypeScript::::package.json::::devDependencies::::@types/gulp::::latest <-> TypeScript::::package.json::::devDependencies::::istanbul::::latest
8e489cb2a44d2dc7491a7ac760482edd432c86e3,MissingOptionConflict,e998204f2b2c2afd79657fbcbcc9082c,TypeScript::::package.json::::devDependencies::::lazypipe::::latest <-> TypeScript::::package.json::::devDependencies::::mocha::::latest
171ab06cf000094b90f00eda65fce6a586b972c4,MissingOptionConflict,fe92e1586def09a503fe2810d48dbcf4,TypeScript::::package.json::::devDependencies::::@types/through2::::latest <-> TypeScript::::package.json::::devDependencies::::browserify::::latest
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,4d87a537cdb388ca1fccd7e85c2a62fb,TypeScript::::package.json::::devDependencies::::@types/del::::latest <-> TypeScript::::package.json::::devDependencies::::tsd::::latest
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,9a8c8b3aebf0cbc85d5f6fcf654cacfb,TypeScript::::package.json::::devDependencies::::mkdirp::::latest <-> TypeScript::::package.json::::devDependencies::::mocha::::latest
171ab06cf000094b90f00eda65fce6a586b972c4,MissingOptionConflict,e8268b6f3015024972ffccc91fcfd2e7,TypeScript::::package.json::::devDependencies::::browserify::::latest <-> TypeScript::::package.json::::devDependencies::::gulp-sourcemaps::::latest
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,b5c55cd533e39b10779e13a1c75fa7bd,TypeScript::::package.json::::devDependencies::::@types/node::::latest <-> TypeScript::::package.json::::devDependencies::::tsd::::latest
5e86a103c870cf18b20e815c1224c5674ccbaf28,MissingOptionConflict,94c74045626b6c290d10fa096b7dc60d,TypeScript::::package.json::::devDependencies::::browserify::::latest <-> TypeScript::::package.json::::devDependencies::::convert-source-map::::latest
171ab06cf000094b90f00eda65fce6a586b972c4,MissingOptionConflict,be59fd50bb31524ca779e3ba95f01be7,TypeScript::::package.json::::devDependencies::::into-stream::::latest <-> TypeScript::::package.json::::devDependencies::::tsd::::latest
e690f4fdffd95b6440627d7b41be3019796d1b19,MissingOptionConflict,ad1d860c0f5a03f8c807940cd9d1fa8b,TypeScript::::package.json::::devDependencies::::browserify::::latest <-> TypeScript::::package.json::::devDependencies::::gulp-if::::latest
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,89f733d4b68967034b7bc9fe9f97bc40,TypeScript::::package.json::::devDependencies::::gulp::::latest <-> TypeScript::::package.json::::devDependencies::::mocha-fivemat-progress-reporter::::latest
a515b199b71b25ccf5ea8a2a13ac528d18d9aace,MissingOptionConflict,03f32c5ffa5a7332fa04d955802673e7,TypeScript::::package.json::::devDependencies::::codeclimate-test-reporter::::latest <-> TypeScript::::package.json::::devDependencies::::jake::::latest
5e86a103c870cf18b20e815c1224c5674ccbaf28,MissingOptionConflict,1326da2ce70b25b8a2b8102097289eb6,TypeScript::::package.json::::devDependencies::::@types/mocha::::latest <-> TypeScript::::package.json::::devDependencies::::mocha-fivemat-progress-reporter::::latest
408780864c1199899ed5277aa0ed893a95528671,MissingOptionConflict,270ff0efe8c7c281de736a4f90415176,TypeScript::::.travis.yml::::matrix::::allow_failures::::os/osx::::os::::osx <-> TypeScript::::.travis.yml::::matrix::::include::::os/osx::::os::::osx
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,116f782fb81ef6ebe6165cf52b1ee531,TypeScript::::package.json::::devDependencies::::gulp-concat::::latest <-> TypeScript::::package.json::::devDependencies::::istanbul::::latest
59be264be521e154c4a97fa1d5365083c1f00c19,MissingOptionConflict,56097df598c9d6c2b26d0dae3cfbc86a,TypeScript::::package.json::::devDependencies::::mocha-fivemat-progress-reporter::::latest <-> TypeScript::::package.json::::devDependencies::::tslint::::latest
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,688ae738b0e499a3b1f021638c928e5e,TypeScript::::package.json::::devDependencies::::minimist::::latest <-> TypeScript::::package.json::::devDependencies::::mocha-fivemat-progress-reporter::::latest
a515b199b71b25ccf5ea8a2a13ac528d18d9aace,MissingOptionConflict,527562be2e68d37c224f69a2afdb0ba6,TypeScript::::package.json::::devDependencies::::chai::::latest <-> TypeScript::::package.json::::devDependencies::::istanbul::::latest
171ab06cf000094b90f00eda65fce6a586b972c4,MissingOptionConflict,dfaccdd3b4cbb9847aed6006a9c12343,TypeScript::::package.json::::devDependencies::::istanbul::::latest <-> TypeScript::::package.json::::devDependencies::::through2::::latest
15f505e6aa0a3ec3e701b9e2c30cc40a478b88d0,ModifiedOptionConflict,5995025bd07ed9748bccaa7e40f730ec,TypeScript::::package.json::::devDependencies::::mocha-fivemat-progress-reporter::::latest <-> TypeScript::::package.json::::devDependencies::::tslint::::latest
e41b10bbc743516b991d072540128034b5913c6d,MissingOptionConflict,06517e97f41f419dda3bc0dedaefbbb9,TypeScript::::package.json::::devDependencies::::@types/minimatch::::latest <-> TypeScript::::package.json::::devDependencies::::mocha::::latest
