occurred_at,conflict_type,conflict_id,link
a66cdb469f56f8ebab2e5f2e44d59b53effd0489,MissingOptionConflict,ebf3cf2d3616f09b86b3c1ea402879eb,angular::::.travis.yml::::env::::matrix::::MODE=saucelabs_optional <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=saucelabs_optional::::env::::MODE=saucelabs_optional
347e71af7d69dd3be0c5df036a95e2130e062b26,MissingOptionConflict,a881b45f2ab52953beb3ad46fbddf43b,angular::::.travis.yml::::env::::matrix::::MODE=typescript_next <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=typescript_next::::env::::MODE=typescript_next
a66cdb469f56f8ebab2e5f2e44d59b53effd0489,MissingOptionConflict,d877444c3e3dd2d5377fe5209623b125,angular::::.travis.yml::::env::::matrix::::MODE=browserstack_optional <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=browserstack_optional::::env::::MODE=browserstack_optional
f5ff2068a48f60c747c2936908e848d301f4dba4,MissingOptionConflict,24f61fb43176ae32bfd84b6891629ee4,angular::::tmpl-package.json::::peerDependencies::::@bazel/typescript::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::typescript::::<from-root>
f5ff2068a48f60c747c2936908e848d301f4dba4,MissingOptionConflict,026dcd49a3a2f9b7f4675bf882e20cc5,angular::::tmpl-package.json::::peerDependencies::::@angular-devkit/build-optimizer::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::yaml::::<from-root>
8fe532e593ee36320101de686d4f8c2666b1f239,MissingOptionConflict,2baca22152825746bf22ee74f4c201c5,angular::::tmpl-package.json::::peerDependencies::::chalk::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::clang-format::::<from-root>
6768fe9927ad4b9b81c5f8094c42c771d1047f56,MissingOptionConflict,5996bd3b8f977c960c41f32ed325f23d,angular::::tmpl-package.json::::dependencies::::semver::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::ts-node::::<from-root>
85bfbc13c168ca4165e759b40de12f45e9fc169a,MissingOptionConflict,8a5c1ddb0cf405bc524946eee9200804,angular::::.travis.yml::::env::::matrix::::MODE=saucelabs_optional DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=saucelabs_optional DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION::::env::::MODE=saucelabs_optional DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION
f5ff2068a48f60c747c2936908e848d301f4dba4,MissingOptionConflict,f193e8ff5abac67d4bf053a5159dbb64,angular::::tmpl-package.json::::peerDependencies::::@bazel/terser::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::shelljs::::<from-root>
f5ff2068a48f60c747c2936908e848d301f4dba4,MissingOptionConflict,40f5319c56dfa1265163315cbdc1e44c,angular::::tmpl-package.json::::dependencies::::node-uuid::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::tslib::::<from-root>
8fe532e593ee36320101de686d4f8c2666b1f239,MissingOptionConflict,133c9ca57095253d64d222283836851f,angular::::tmpl-package.json::::peerDependencies::::tslib::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::yargs::::<from-root>
53e95233c33a3368cf1fde681200ff5bc78787e4,MissingOptionConflict,a7f62ebb079d5b2e9b1e9ec011a72170,angular::::tmpl-package.json::::dependencies::::inquirer::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::tslib::::<from-root>
5d66b4aee61541dc93d0cebb8b4099ee1ea073aa,MissingOptionConflict,90dec7d07556c9ef1f7d634d97ae4771,angular::::dev-infra.yml::::jobs::::commit_message_based_labels::::runs-on::::ubuntu-latest <-> angular::::lock-closed.yml::::jobs::::lock_closed::::runs-on::::ubuntu-latest
f5ff2068a48f60c747c2936908e848d301f4dba4,MissingOptionConflict,cd1e0fbd8891c317b437eca794f147a3,angular::::tmpl-package.json::::peerDependencies::::json5::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::yargs::::<from-root>
6768fe9927ad4b9b81c5f8094c42c771d1047f56,MissingOptionConflict,19cb198687e1cd68aef25a4030eb9a4a,angular::::tmpl-package.json::::dependencies::::glob::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::typescript::::<from-root>
f5ff2068a48f60c747c2936908e848d301f4dba4,MissingOptionConflict,5acdb25b0c08ffb6610ae7d1d446f94d,angular::::tmpl-package.json::::peerDependencies::::brotli::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::typescript::::<from-root>
8fe532e593ee36320101de686d4f8c2666b1f239,MissingOptionConflict,04950b277d7c7ddee436e101f0344aa2,angular::::tmpl-package.json::::peerDependencies::::clang-format::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::multimatch::::<from-root>
6768fe9927ad4b9b81c5f8094c42c771d1047f56,MissingOptionConflict,ddb7bb0de03a00ea6c1d9a0647638310,angular::::tmpl-package.json::::dependencies::::shelljs::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::@bazel/buildifier::::<from-root>
f5ff2068a48f60c747c2936908e848d301f4dba4,MissingOptionConflict,14a5f584d4419625a3a22be5d529076b,angular::::tmpl-package.json::::peerDependencies::::minimatch::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::rollup-plugin-commonjs::::<from-root>
8fe532e593ee36320101de686d4f8c2666b1f239,MissingOptionConflict,590440188df36adf3185ece57de7cd8f,angular::::tmpl-package.json::::peerDependencies::::shelljs::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::typescript::::<from-root>
8fe532e593ee36320101de686d4f8c2666b1f239,MissingOptionConflict,879c00e3a814b888f9b84f1f95c76115,angular::::tmpl-package.json::::peerDependencies::::@bazel/buildifier::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::inquirer::::<from-root>
ed2dbf2db781739d15a102f386bf39f81246927f,MultiValueConflict,a985ba97d3c4f3a605ec10d33f4ee2d0,angular::::.travis.yml::::env::::matrix::::MODE=dart DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION <-> angular::::.travis.yml::::matrix::::allow_failures::::env/MODE=dart DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION::::env::::MODE=dart DART_CHANNEL=dev DART_VERSION=$DART_DEV_VERSION
40f3bb563855da0765c6752934b013a1397955ec,ModifiedOptionConflict,0a43d67442129b93967acfc0d343c90e,angular::::tmpl-package.json::::dependencies::::@octokit/graphql::::<from-root> <-> angular::::tmpl-package.json::::peerDependencies::::json5::::<from-root>
5eb7f3491f37a8f71717525b0d0e901c00a8c4e8,MissingOptionConflict,746b2688192a30aa111a94afb788f542,angular::::tmpl-package.json::::dependencies::::inquirer-autocomplete-prompt::::<from-root> <-> angular::::tmpl-package.json::::dependencies::::typed-graphqlify::::<from-root>
