occurred_at,conflict_type,conflict_id,link
8726ebfdb6c658d2c6a371f66e7f51f44f4be8c2,MissingOptionConflict,8784a3fef58e21a96cff352788f3c294,ant-design::::package.json::::devDependencies::::babel-preset-react-hmre::::^1.1.0 <-> ant-design::::package.json::::devDependencies::::eslint::::^1.1.0
92dc0dc2b0fa0e9570d31d2dc95b7839f16dbffe,MissingOptionConflict,82d5a84a670a7fe190302a5ceb76f0df,ant-design::::config.yml::::jobs::::dist::::steps::::steps_3::::persist_to_workspace::::paths::::dist <-> ant-design::::config.yml::::workflows::::build_test::::<<::::jobs::::jobs_4::::test_dist::::requires::::dist
14f5f5b1e902f5ffe3695dbaa22362bbeefd7a74,ModifiedOptionConflict,ba7585384b6562d91647a463a86f391a,ant-design::::package.json::::devDependencies::::eslint-tinker::::^0.5.0 <-> ant-design::::package.json::::devDependencies::::intersection-observer::::^0.5.0
be76bcb88bd08546301975b2310be30d7918eea9,ModifiedOptionConflict,e9c998cdd12c33908fdc459f1bd09357,ant-design::::package.json::::devDependencies::::react-copy-to-clipboard::::^5.0.1 <-> ant-design::::package.json::::devDependencies::::react-dnd-html5-backend::::^5.0.1
b3c4cebd968a688d47ac04bd3f389f96dfa3cecd,MissingOptionConflict,1432e6c9e1202204c11fc08a2d09cfed,ant-design::::verify-files-modify.yml::::jobs::::verify::::steps::::steps_0::::uses::::actions-cool/verify-files-modify@v1.2.2 <-> ant-design::::verify-files-modify.yml::::jobs::::verify::::steps::::steps_1::::uses::::actions-cool/verify-files-modify@v1.2.2
67be1eafa9c75773a091a63c35ec936652b6b4e0,MissingOptionConflict,367fd13a6ab97c49c0e5e1a32feabdc1,ant-design::::package.json::::devDependencies::::eslint-plugin-babel::::^4.0.0 <-> ant-design::::package.json::::devDependencies::::remark-parse::::^4.0.0
32a9ba52b87513760206a61bab9af02c8874e8c1,MissingOptionConflict,158848c40ebc890725d89ca71bc017de,ant-design::::test.yml::::jobs::::dom::::steps::::steps_3::::name::::test <-> ant-design::::ui.yml::::jobs::::test::::steps::::steps_3::::name::::test
be76bcb88bd08546301975b2310be30d7918eea9,ModifiedOptionConflict,ace65c82218359f1d701c45c008c2072,ant-design::::package.json::::dependencies::::array-tree-filter::::^2.1.0 <-> ant-design::::package.json::::devDependencies::::bezier-easing::::^2.1.0
fb286612d5a2aceb9ba3cb597b6741c194d3c3b4,ModifiedOptionConflict,f5400cad4113b7c0d1035cbb883db1ee,ant-design::::package.json::::devDependencies::::antd-img-crop::::^4.0.0 <-> ant-design::::package.json::::devDependencies::::array-move::::^4.0.0
10d4a9f955e6a0c58aa53556915dfd255bbc54b6,ModifiedOptionConflict,6dc21561b925c1093caf2c3364c117d1,ant-design::::package.json::::devDependencies::::bisheng::::^1.2.4 <-> ant-design::::package.json::::devDependencies::::react-infinite-scroller::::^1.2.4
c32406b05c6362d76164a546a1cee29378860d36,MissingArtifactConflict,4833ca5c7a7e008fc599b9b562575ba6,ant-design::::issue-reply.yml::::jobs::::replay-help::::runs-on::::ubuntu-latest <-> ant-design::::sync.yml::::jobs::::sync_packages::::runs-on::::ubuntu-latest
f87bad2484e356f950a4dcd9da5870455a977c5f,ModifiedOptionConflict,4047209f075153cd4182f5f516e481bc,ant-design::::package.json::::devDependencies::::http-server::::^0.12.0 <-> ant-design::::package.json::::devDependencies::::intersection-observer::::^0.12.0
e5f7c8b432b01a5c343f2f33b8b2b0717ca320ce,MissingOptionConflict,2168b6f0649178cb91a6a4eb9eb099d5,ant-design::::package.json::::dependencies::::rc-tree-select::::~1.0.1 <-> ant-design::::package.json::::dependencies::::util-deprecate::::~1.0.1
acce3038170ae344f6b50d8cb4bdbb7502a69693,MissingOptionConflict,8cb1ca62cc8f841d61ea314a10d29f2c,ant-design::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_2::::script::::npm install <-> ant-design::::publish-to-github-package.yml::::jobs::::publish::::steps::::steps_2::::run::::npm install
1febdc34571ee2e168f2f87ea2099545210a6583,ModifiedOptionConflict,bdd70912d5643a232d07ecf1d013cef5,ant-design::::package.json::::devDependencies::::bisheng::::^1.1.0 <-> ant-design::::package.json::::devDependencies::::stylelint-declaration-block-no-ignored-properties::::^1.1.0
7b90be632647672ce9f87740edbc5926e4c52504,ModifiedOptionConflict,36d81b6e48f3f96b3054e9eded6fa4d7,ant-design::::package.json::::devDependencies::::enquire-js::::^0.1.1 <-> ant-design::::package.json::::devDependencies::::react-github-button::::^0.1.1
b95f1b8310a5d4c137635d01a5d66d8b49421d98,MissingOptionConflict,a56cc9f3db16aabaa6f3b6e46ca53a42,ant-design::::package.json::::dependencies::::gregorian-calendar::::~3.0.0 <-> ant-design::::package.json::::dependencies::::object-assign::::~3.0.0
9f2e6c8baa85fc5327492279a943de9819dfc7f1,MissingOptionConflict,5f3c99a3bf27bc4d7501c1eb55e03dbe,ant-design::::package.json::::devDependencies::::jsonp::::^0.2.0 <-> ant-design::::package.json::::devDependencies::::react-sublime-video::::^0.2.0
764c046fbcc95a4b85344de07f7923267c6ff617,MissingOptionConflict,f4d250cbc38fee2adb70683b06586eb4,ant-design::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_2::::displayName::::install <-> ant-design::::test.yml::::jobs::::setup::::steps::::steps_5::::name::::install
98ddb8d8dabc25f3782bfb12d20695a72459c38e,ModifiedOptionConflict,c0be8232ac381c0ef1160e1723622fa3,ant-design::::test.yml::::jobs::::dist::::steps::::steps_5::::run::::npm test <-> ant-design::::test.yml::::jobs::::lib::::steps::::steps_4::::run::::npm test
e93ceb622edbff9ef2b6ee8231895c691f6b0be6,ModifiedOptionConflict,af073c6c8e69acac6ef6a2f5cd27cabc,ant-design::::package.json::::dependencies::::@ant-design/icons-react::::~2.0.0 <-> ant-design::::package.json::::dependencies::::@ant-design/icons::::~2.0.0
cb936b1d6fd33ab7f7ad140766bc352391d3169d,ModifiedOptionConflict,2d4c657b16789f4290edce5f4040662f,ant-design::::ui.yml::::jobs::::test::::steps::::steps_0::::if::::github.event_name == 'pull_request_target' <-> ant-design::::ui.yml::::jobs::::test::::steps::::steps_4::::if::::github.event_name == 'pull_request_target'
afa40dd919a832304ee4d742a9ed631e55be6b3f,ModifiedOptionConflict,ec2455077cdc8973c94690e4e44fb47f,ant-design::::package.json::::dependencies::::gregorian-calendar::::~4.0.1 <-> ant-design::::package.json::::dependencies::::object-assign::::~4.0.1
8cce0383a1a017bf0d16bcffcc62473aeb04bc34,ModifiedOptionConflict,f35b446e76e081b0a5fe70484060d29a,ant-design::::package.json::::dependencies::::rc-field-form::::~1.4.0 <-> ant-design::::package.json::::dependencies::::rc-picker::::~1.4.0
bcb5002f08445b04f81069e59dfd71d6e05808b4,MissingOptionConflict,d29cd295f966fc1a573e2a0d71682f5c,ant-design::::ui-upload.yml::::jobs::::upload-ui::::steps::::steps_0::::with::::name::::commit <-> ant-design::::ui.yml::::jobs::::test::::steps::::steps_6::::with::::name::::commit
32a9ba52b87513760206a61bab9af02c8874e8c1,MissingOptionConflict,ded646991c641a82079a964c34883c20,ant-design::::test.yml::::jobs::::compile::::steps::::steps_2::::uses::::actions/cache@v2 <-> ant-design::::test.yml::::jobs::::es::::steps::::steps_3::::uses::::actions/cache@v2
32a9ba52b87513760206a61bab9af02c8874e8c1,MissingOptionConflict,1e96e1a7d652b44e393d5a5c8492fdfb,ant-design::::test.yml::::jobs::::compile::::steps::::steps_4::::with::::key::::es-${{ github.sha }} <-> ant-design::::test.yml::::jobs::::es::::steps::::steps_3::::with::::key::::es-${{ github.sha }}
6bfffdee7ffc5165f146d607edcf6e5617a6cea0,MissingArtifactConflict,f21da715f8f2ba7a6afe0aa7d1107c66,ant-design::::azure-pipelines.yml::::pool::::vmImage::::ubuntu-latest <-> ant-design::::ui.yml::::jobs::::test::::runs-on::::ubuntu-latest
aebe2fac956b9d76d4b7d0aba4f151426fddc6c1,ModifiedOptionConflict,d2622364285c1e309a28e818e9dc2ec1,ant-design::::package.json::::dependencies::::gregorian-calendar-format::::~4.1.0 <-> ant-design::::package.json::::dependencies::::gregorian-calendar::::~4.1.0
67be1eafa9c75773a091a63c35ec936652b6b4e0,MissingOptionConflict,816e22fc74923b7413582b056c6f24c6,ant-design::::package.json::::devDependencies::::eslint-plugin-babel::::^4.0.0 <-> ant-design::::package.json::::devDependencies::::remark-stringify::::^4.0.0
decebef17648a95d1cc5deed8d2dc285511ffdf6,ModifiedOptionConflict,0d159aa947def17cd48c1d453669849f,ant-design::::package.json::::dependencies::::rc-tree-select::::~2.6.0 <-> ant-design::::package.json::::dependencies::::rc-upload::::~2.6.0
e9c551acb353fbb258acf0f9e479d6cfba5e1c85,ModifiedOptionConflict,eb0a0d15f08b284b75e4e80ae8aa1df5,ant-design::::package.json::::dependencies::::array-tree-filter::::~1.0.0 <-> ant-design::::package.json::::dependencies::::rc-form::::~1.0.0
d32e265c2c873f031df9e1500715970d9a114042,ModifiedOptionConflict,f6f7dfac261c0b84c0bc5d7362d3842f,ant-design::::package.json::::devDependencies::::@ant-design/colors::::^2.0.0 <-> ant-design::::package.json::::devDependencies::::stylelint-order::::^2.0.0
2b5abd6decb58d56497c5658f76caf0d23229326,ModifiedOptionConflict,26b3318af5c165d00ab6c67ee373720e,ant-design::::package.json::::devDependencies::::cross-env::::^5.0.3 <-> ant-design::::package.json::::devDependencies::::offline-plugin::::^5.0.3
9f8f7dcf7d8a2926b0e66f60c2340306a97b9bf6,ModifiedOptionConflict,a09cd9a842e495e5158e2e06696df14a,ant-design::::package.json::::devDependencies::::babel-plugin-add-module-exports::::^0.1.1 <-> ant-design::::package.json::::devDependencies::::rc-scroll-anim::::^0.1.1
4d7d49c3d0f130828ae7ddefa58a45c0e8d442f7,ModifiedOptionConflict,f3311847a2fd6fed9b59d67ea1c440f2,ant-design::::package.json::::dependencies::::rc-steps::::~1.4.1 <-> ant-design::::package.json::::dependencies::::rc-tree-select::::~1.4.1
725a2aa7ad71f31493bd94ea4034d830f025a066,ModifiedOptionConflict,e467716334d22d3ea833085ac7bfe672,ant-design::::package.json::::stableVersion::::0.7.3 <-> ant-design::::package.json::::version::::0.7.3
764c046fbcc95a4b85344de07f7923267c6ff617,MissingOptionConflict,a87a140e47f940a12c1b30567b307b72,ant-design::::deploy-site.yml::::jobs::::build-and-deploy::::runs-on::::ubuntu-latest <-> ant-design::::test.yml::::jobs::::es::::runs-on::::ubuntu-latest
2fb304e270765716f9750d9018dd12f859ca1113,ModifiedOptionConflict,fc61db1e7a101cef781f47d27f3fe8f0,ant-design::::package.json::::devDependencies::::react-test-renderer::::^16.0.0 <-> ant-design::::package.json::::devDependencies::::react::::^16.0.0
5991755496ccb90076ec7b3d4d07038149622778,ModifiedOptionConflict,e72740fa2b50561ee09444eada1c1f7c,ant-design::::package.json::::dependencies::::rc-input-number::::~2.0.0 <-> ant-design::::package.json::::devDependencies::::autoprefixer-loader::::~2.0.0
