occurred_at,conflict_type,conflict_id,link
2f9f082b5ef3c495c70598ef23383effef675f9a,MissingOptionConflict,f522f02b9e7da21603ced490a0d6ef15,bitcoin::::.travis.yml::::compiler::::gcc <-> bitcoin::::.travis.yml::::matrix::::include::::compiler/gcc::::compiler::::gcc
8c20bbbed934891fb9e9b5ea90eea610034ad11c,MultiValueConflict,2af0ea4142e873a814ffed1963dc72b8,bitcoin::::deps-win32.yml::::files::::db-4.8.30.NC.tar.gz <-> bitcoin::::gitian.yml::::files::::db-4.8.30.NC.tar.gz
8ab246297b657d74e5ccde61b30781d1b2c5aeac,MultiValueConflict,e2041ae49ca1c370f5dd321c924ea044,bitcoin::::gitian.yml::::packages::::libgtk2.0-dev <-> bitcoin::::wxwidgets.yml::::packages::::libgtk2.0-dev
1d84107924ab36e38092cae43f6ad50dd5ead9ed,MissingOptionConflict,0d348dd8cc4289174fbd837772276d49,bitcoin::::.travis.yml::::matrix::::include::::os/linux::::os::::linux <-> bitcoin::::.travis.yml::::os::::linux
7ec552676c66488fe00fb503d02ec4a389a715b7,MissingOptionConflict,fad1acbde43019ee8ceb31371ba0aa54,bitcoin::::gitian-win32.yml::::name::::bitcoin <-> bitcoin::::gitian.yml::::remotes::::remotes_0::::dir::::bitcoin
711d5038f5c987f58862fd78a980d578d4183dbe,MultiValueConflict,b358c8b56c3e6a2ebe70e16777453066,bitcoin::::deps-win32.yml::::files::::qrencode-3.2.0.tar.bz2 <-> bitcoin::::gitian.yml::::files::::qrencode-3.2.0.tar.bz2
5a05aa2db20324892be5e2a54181d106a7bfda46,MissingOptionConflict,de5333509d2f8254c39c14e9e28df52b,bitcoin::::.appveyor.yml::::environment::::CLCACHE_SERVER::::1 <-> bitcoin::::.appveyor.yml::::environment::::PYTHONUTF8::::1
75a2a4f3574436bb174d6f9a7f9a0d0e8a601cac,MissingOptionConflict,7929a3974c5be4e39f73f7fc5e2402cd,bitcoin::::ci.yml::::jobs::::build::::steps::::steps_11::::shell::::cmd <-> bitcoin::::ci.yml::::jobs::::build::::steps::::steps_9::::shell::::cmd
223a6f7800c67696c01cf142e263a6593fa56e55,MissingArtifactConflict,4bc2b1e0b66d9fe0acacaa72c8cdf8f3,bitcoin::::gitian-osx-qt.yml::::suites::::precise <-> bitcoin::::qt-win.yml::::suites::::precise
2f9f082b5ef3c495c70598ef23383effef675f9a,MissingOptionConflict,1118d785d3d6f2cbc734cd2d8deb9faa,bitcoin::::.travis.yml::::matrix::::exclude::::compiler/gcc::::compiler::::gcc <-> bitcoin::::.travis.yml::::matrix::::include::::os/linux::::compiler::::gcc
27fc6a38f813b65e5110c77925a335214aec756a,MissingOptionConflict,23d9fb91c18826e001d24432c1b9b701,bitcoin::::ci.yml::::jobs::::build::::steps::::steps_10::::shell::::cmd <-> bitcoin::::ci.yml::::jobs::::build::::steps::::steps_14::::shell::::cmd
af6c2c71ed7282791f0f09fd9e5aadb948e5bbbf,MultiValueConflict,71d60c02a965f37509c6ef05eee29e4f,bitcoin::::gitian.yml::::architectures::::i386 <-> bitcoin::::protobuf-win32.yml::::architectures::::i386
af6c2c71ed7282791f0f09fd9e5aadb948e5bbbf,ModifiedOptionConflict,d0ed77ca7437bd4fc01fae8bc3f1af62,bitcoin::::gitian.yml::::suites::::lucid <-> bitcoin::::qt-win32.yml::::suites::::lucid
8e84c1872c67b9c0e82b66146ecdb845a49aee9e,MissingOptionConflict,99a9b0a7de59ccc0e748183ada10b9e8,bitcoin::::.cirrus.yml::::task::::container::::cpu::::1 <-> bitcoin::::.cirrus.yml::::task::::env::::<<::::RESTART_CI_DOCKER_BEFORE_RUN::::1
29eb039252f35a3bb58b0027f172cfe3d0c79867,MultiValueConflict,8b0f03c316503317f30ae78f9900dd35,bitcoin::::.appveyor.yml::::cache::::C:\tools\vcpkg\installed <-> bitcoin::::.appveyor.yml::::environment::::VCPKG_INSTALL_PATH::::C:\tools\vcpkg\installed
