occurred_at,conflict_type,conflict_id,link
bfd4dc6d3065b87130b246f377cfc250fecec58b,MissingOptionConflict,19c956785e23c8611cba4535672920f1,flask::::tests.yaml::::jobs::::tests::::steps::::steps_4::::uses::::actions/cache@v2 <-> flask::::tests.yaml::::jobs::::tests::::steps::::steps_6::::uses::::actions/cache@v2
ea66c685537c437e38b2ff3627fb7733e37fa4cd,MissingOptionConflict,8ad8cd1724ab291bb42acbf15f59e581,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_11::::python::::3.10 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_1::::python::::3.10
824e548036096c835735b5655513fe291d9560bc,MissingOptionConflict,c3e9e7d3b9ec5dcbdf66db5413a04973,flask::::.azure-pipelines.yml::::jobs::::jobs_0::::strategy::::matrix::::Python37Mac::::python.version::::3.7 <-> flask::::.azure-pipelines.yml::::jobs::::jobs_0::::variables::::python.version::::3.7
e8d838a55176d03e276938f98148b90c6d7a2f4d,MissingOptionConflict,9e932f42f70fafe8571f4615e9dca499,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python35Linux::::python.version::::3.5 <-> flask::::.travis.yml::::python::::3.5
e8d838a55176d03e276938f98148b90c6d7a2f4d,MissingOptionConflict,b66a3df7d4c91c8f13f6b4aaffbb3e5d,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python36Linux::::python.version::::3.6 <-> flask::::.travis.yml::::python::::3.6
b34c7174e75db5ab43ff3d76a1c7027126e8c9b3,MissingOptionConflict,0170d7bf7a6f48e5804130041e6b2cd9,flask::::.travis.yml::::matrix::::allow_failures::::python/nightly::::env::::TOXENV=py <-> flask::::.travis.yml::::matrix::::include::::python/nightly::::env::::TOXENV=py
1f40c77f1d9ad65911eb6716525de6aa302eda4c,ModifiedOptionConflict,c23e42d47052b59f8579526312a50daa,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_6::::python::::pypy3 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_6::::tox::::pypy3
ea66c685537c437e38b2ff3627fb7733e37fa4cd,MissingOptionConflict,741f62ca0472203d25a4ab8d4cbb5b80,flask::::lock.yaml::::jobs::::lock::::runs-on::::ubuntu-latest <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_11::::os::::ubuntu-latest
9e00becf3a7a710ab06379f8d7aee1547a4dd332,MissingOptionConflict,12e92621c63d015f2703676d5b17b485,flask::::.pre-commit-config.yaml::::ci::::autoupdate_branch::::2.0.x <-> flask::::dependabot.yml::::updates::::updates_0::::target-branch::::2.0.x
d2a46dc56d9af45af2ea4eb43c23686b14a76b92,MissingOptionConflict,21a4ef9b713169fc19bd9a66601f4ba2,"flask::::.travis.yml::::matrix::::include::::python/3.5::::env::::TOXENV=py,codecov <-> flask::::.travis.yml::::matrix::::include::::python/pypy::::env::::TOXENV=py,codecov"
12c49c75fbd04cfe81808ef300fcb0858d92c7b7,MissingOptionConflict,2d25d8285bd15e6198ec6691fe58d777,flask::::.travis.yml::::matrix::::exclude::::python/3.5::::env::::REQUIREMENTS=lowest-simplejson <-> flask::::.travis.yml::::matrix::::exclude::::python/3.6::::env::::REQUIREMENTS=lowest-simplejson
4e8787b915dec0f6861292b2fccba640c632a46e,ModifiedOptionConflict,d3a355d09fda192bbd102262a8ab1081,flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_2::::python::::3.10 <-> flask::::tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_8::::python::::3.10
