occurred_at,conflict_type,conflict_id,link
0a0caf18aee2f579a70b6948cae835d05f4e8804,ModifiedOptionConflict,5322415773eef5cde3e3dbb92a247d7d,"freeCodeCamp::::node.js-tests-upcoming.yml::::jobs::::lint::::steps::::steps_3::::run::::cp sample.env .env
echo 'SHOW_UPCOMING_CHANGES=true' >> .env
cat .env
 <-> freeCodeCamp::::node.js-tests-upcoming.yml::::jobs::::test::::steps::::steps_3::::run::::cp sample.env .env
echo 'SHOW_UPCOMING_CHANGES=true' >> .env
cat .env
"
8fd6bf38b69adc8e5ece58e86320ed6fea51243f,ModifiedOptionConflict,6df7e3aa33d3e57f1a3d120b36875bee,freeCodeCamp::::package.json::::dependencies::::cheerio::::* <-> freeCodeCamp::::package.json::::dependencies::::node-foursquare::::*
7ec4b3ff585553ba046906275476a40584d87d0c,ModifiedOptionConflict,1037c5fb19c85a0a3332130d42ddabae,freeCodeCamp::::package.json::::dependencies::::validator::::^5.0.0 <-> freeCodeCamp::::package.json::::devDependencies::::yargs::::^5.0.0
75dc001aea4f0daab36cb2ff909a4a91cd4b262d,MissingOptionConflict,e98b318437dbafb460e1db6c865a5e28,freeCodeCamp::::crowdin-i18n-curriculum-download.yml::::jobs::::i18n-download-curriculum-translations::::steps::::steps_0::::uses::::actions/checkout@v2 <-> freeCodeCamp::::node.js-tests.yml::::jobs::::lint::::steps::::steps_0::::uses::::actions/checkout@v2
2cbf836041f14531eaccfcb82908d06b41ae156a,MissingOptionConflict,9e86824727b271d6e4f1baf6d66c0928,freeCodeCamp::::package.json::::dependencies::::twilio::::^1.6.0 <-> freeCodeCamp::::package.json::::dependencies::::underscore::::^1.6.0
89282206e59e315cd594ff5a024a8ef668452445,MissingOptionConflict,3570385fd2260a59e1719bda0ab6092b,freeCodeCamp::::package.json::::dependencies::::chai-jquery::::^2.0.0 <-> freeCodeCamp::::package.json::::dependencies::::passport-facebook::::^2.0.0
e0653ac20a7a4ae5f8744f58edd3a4e2b8ec0c84,ModifiedOptionConflict,11da0205d7bb7afac884ec53e094c42e,freeCodeCamp::::package.json::::dependencies::::errorhandler::::^1.0.2 <-> freeCodeCamp::::package.json::::dependencies::::passport-twitter::::^1.0.2
c48a893949b0c917c2c1d25dd39a7f8a7e89aca9,ModifiedOptionConflict,15d3271643e0f99d2b364fce96331719,freeCodeCamp::::package.json::::dependencies::::lodash::::^4.1.0 <-> freeCodeCamp::::package.json::::devDependencies::::yargs::::^4.1.0
d94a240cf47c29b43ac0b43b839134a3aa321d09,ModifiedOptionConflict,b5f352c146a867671396637622cce4a4,freeCodeCamp::::cypress.yml::::jobs::::cypress-run::::steps::::steps_5::::run::::npm run seed <-> freeCodeCamp::::lighthouse-ci.yml::::jobs::::lighthouseci::::steps::::steps_5::::run::::npm run seed
d1c800879c755edd43cc7f7ee8c6ec0732a8c779,ModifiedOptionConflict,1a5aba6449744869d9209b01fd3f04b6,freeCodeCamp::::crowdin-i18n-client-ui-upload.yml::::jobs::::i18n-upload-client-ui-files::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }} <-> freeCodeCamp::::crowdin-i18n-curriculum-download.yml::::jobs::::i18n-download-curriculum-translations::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }}
