occurred_at,conflict_type,conflict_id,link
8eacf24310f314abd40a1266e90818e11fefbdca,MultiValueConflict,08ef6a68f1b90ffe7de54ea8e47b3d0c,javascript::::.travis.yml::::matrix::::allow_failures::::node_js/7::::node_js::::7 <-> javascript::::.travis.yml::::node_js::::7
121a95d71524032bfa858271b318aa6e19553dfc,MissingOptionConflict,481dbc020120987ab34a8e8b441e149c,javascript::::.travis.yml::::matrix::::allow_failures::::node_js/7::::node_js::::7 <-> javascript::::.travis.yml::::node_js::::7
fe2e451ba75b2ebfedc1cf4f9bf217f104b06a1d,MissingOptionConflict,aa6251b60cf3a42b656d32ddd2ec8100,javascript::::.travis.yml::::matrix::::allow_failures::::node_js/9::::node_js::::9 <-> javascript::::.travis.yml::::node_js::::9
8eacf24310f314abd40a1266e90818e11fefbdca,MissingOptionConflict,8241be402a051c8d596ccafd0efab87b,javascript::::.travis.yml::::matrix::::exclude::::node_js/5::::node_js::::5 <-> javascript::::.travis.yml::::node_js::::5
c12a08c479ba139718bf8ab7eb21a3a5d0c520d7,ModifiedOptionConflict,32396a38cd8f229c8223d648b7d40c55,javascript::::node.yml::::jobs::::base::::steps::::steps_1::::name::::nvm install ${{ matrix.node-version }} && npm install <-> javascript::::node.yml::::jobs::::prepublish-base::::steps::::steps_1::::name::::nvm install ${{ matrix.node-version }} && npm install
8eacf24310f314abd40a1266e90818e11fefbdca,MissingOptionConflict,da8a3bf65f1d22b5b6916dfed7c6ea26,javascript::::.travis.yml::::env::::matrix::::TEST=true ESLINT=5 PACKAGE=eslint-config-airbnb-base <-> javascript::::.travis.yml::::matrix::::exclude::::node_js/5::::env::::TEST=true ESLINT=5 PACKAGE=eslint-config-airbnb-base
2539557e98f802a00513719ed9dd87891c7cde4f,MissingOptionConflict,a74cef65006c45e54437620e3e651139,javascript::::package.json::::dependencies::::airbnb-style::::2.0.0 <-> javascript::::package.json::::version::::2.0.0
c12a08c479ba139718bf8ab7eb21a3a5d0c520d7,ModifiedOptionConflict,6195da0ce7a2c833ce4527c6b151b5da,javascript::::node.yml::::jobs::::base::::steps::::steps_2::::run::::npm run travis <-> javascript::::node.yml::::jobs::::react::::steps::::steps_3::::run::::npm run travis
6db1af173c9870981ec4a147018b57077a5f6c76,MissingOptionConflict,e48f11a18549afd70659cafa55e3cfe2,javascript::::.travis.yml::::matrix::::allow_failures::::node_js/iojs::::node_js::::iojs <-> javascript::::.travis.yml::::node_js::::iojs
fe2e451ba75b2ebfedc1cf4f9bf217f104b06a1d,MissingOptionConflict,1d525760929d2b4b37cf83c588847bbd,javascript::::.travis.yml::::env::::matrix::::TEST=true ESLINT=5 PACKAGE=eslint-config-airbnb-base <-> javascript::::.travis.yml::::matrix::::include::::node_js/7::::env::::TEST=true ESLINT=5 PACKAGE=eslint-config-airbnb-base
78309e7ddbc8fff172ca770f641b04ca4eadb425,ModifiedOptionConflict,080bb0f520b1c2936e3cc00ff8d14e01,javascript::::package.json::::homepage::::https://github.com/airbnb/javascript <-> javascript::::package.json::::repository::::url::::https://github.com/airbnb/javascript
c12a08c479ba139718bf8ab7eb21a3a5d0c520d7,ModifiedOptionConflict,4383d3fb8452e295a4caf3506ea2b363,javascript::::node.yml::::jobs::::base::::steps::::steps_1::::name::::nvm install ${{ matrix.node-version }} && npm install <-> javascript::::node.yml::::jobs::::prepublish-react::::steps::::steps_1::::name::::nvm install ${{ matrix.node-version }} && npm install
c12a08c479ba139718bf8ab7eb21a3a5d0c520d7,ModifiedOptionConflict,a1b480c52a9a88175229863fac7d5c00,"javascript::::node.yml::::jobs::::prepublish-react::::steps::::steps_2::::run::::npm install --no-save ""eslint-plugin-react-hooks@${{ matrix.react-hooks }}"" <-> javascript::::node.yml::::jobs::::react::::steps::::steps_2::::run::::npm install --no-save ""eslint-plugin-react-hooks@${{ matrix.react-hooks }}"""
8eacf24310f314abd40a1266e90818e11fefbdca,MissingOptionConflict,cfab0e2ba5901d465a5d096de97c9e3d,javascript::::.travis.yml::::matrix::::exclude::::node_js/4::::node_js::::4 <-> javascript::::.travis.yml::::node_js::::4
c12a08c479ba139718bf8ab7eb21a3a5d0c520d7,MissingOptionConflict,59fe9ed6c7e1b303d0d2cd6d61b68a31,javascript::::node.yml::::jobs::::prepublish-react::::steps::::steps_2::::if::::${{ matrix.react-hooks > 0}} <-> javascript::::node.yml::::jobs::::react::::steps::::steps_2::::if::::${{ matrix.react-hooks > 0}}
