occurred_at,conflict_type,conflict_id,link
ee0b6a6d2ba7e1371f881aa66aad113d63d72754,MissingOptionConflict,5bc06b6ba65f2f9699d992b5a00bfb36,models::::efficientnet-b0-tpu.yaml::::runtime::::model_dir::::null <-> models::::tpu.yaml::::train_dataset::::data_dir::::null
76df72b4c7c8cce30b7457882e77e51e39e168c8,MultiValueConflict,8ae7e16544b75b726fa30ee1e7bdf44c,models::::coco_spinenet49xs_mobile_tpu.yaml::::task::::model::::anchor::::aspect_ratios::::0.5 <-> models::::movinet_a0_stream_k600_8x8.yaml::::task::::model::::dropout_rate::::0.5
e748d7853daa5a0dcb9afc0a7581af148ab2fc3c,MissingArtifactConflict,ff4a167074442c8b905dc57839373366,models::::coco_spinenet96_mrcnn_tpu.yaml::::task::::model::::input_size::::3 <-> models::::imagenet_resnet50_tpu.yaml::::task::::model::::input_size::::3
4682f5c8b78992b235383898a3c463a6dd45b3af,MultiValueConflict,1814fe2040491df3cfc113fb2ecbc05f,models::::512.yaml::::task::::train_data::::global_batch_size::::1 <-> models::::k600_3d-resnet50g_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_1::::temporal_kernel_sizes::::1
ded0e2588947d6822f35622a7c304601b19e1e08,ModifiedOptionConflict,5b526badcde187855e7fbff07bbaabc8,models::::csp_darknet53.yaml::::task::::model::::backbone::::darknet::::model_id::::cspdarknettiny <-> models::::darknet53.yaml::::task::::model::::backbone::::darknet::::model_id::::cspdarknettiny
83b992c5066a20ce04785385481b3e108b288e11,MultiValueConflict,7d9af5a4efd0b0591ae0921f10de3522,models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_0::::temporal_kernel_sizes::::1 <-> models::::k400_slowonly8x8_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_0::::temporal_strides::::1
76df72b4c7c8cce30b7457882e77e51e39e168c8,MultiValueConflict,73b1c10ed989cbabc25db0d2a3f6fa95,models::::coco_spinenet49_tpu.yaml::::task::::model::::anchor::::aspect_ratios::::0.5 <-> models::::movinet_a0_stream_k600_8x8.yaml::::task::::model::::dropout_rate::::0.5
40cd0e1462117b81312fba2cbde17bfb47cc211f,MultiValueConflict,463c864e5683cf64eef73d3649cd9cda,models::::k400_slowonly8x8_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_1::::temporal_kernel_sizes::::1 <-> models::::k400_slowonly8x8_tpu.yaml::::task::::validation_data::::num_test_clips::::1
e748d7853daa5a0dcb9afc0a7581af148ab2fc3c,MissingArtifactConflict,ecf511141bace813e9d00cd59014873a,models::::darknet53.yaml::::trainer::::optimizer_config::::optimizer::::sgd::::momentum::::0.9 <-> models::::movinet_a0_k600_8x8.yaml::::trainer::::optimizer_config::::optimizer::::rmsprop::::rho::::0.9
379d64c52af476d8185c851b020baac83894e1df,MultiValueConflict,74d6155aef2b76b984343fe21b6e922f,models::::640.yaml::::task::::train_data::::shuffle_buffer_size::::1 <-> models::::k600_3d-resnet50g_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_3::::temporal_kernel_sizes::::1
32dcc1e4350263942343debbf044945b7ec4ef9f,MultiValueConflict,2eff301e5ff3a47825aeb470cd30644f,models::::imagenet_mobilenetv2_gpu.yaml::::task::::model::::input_size::::3 <-> models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_1::::temporal_kernel_sizes::::3
76df72b4c7c8cce30b7457882e77e51e39e168c8,MultiValueConflict,303645360d519220c0f2eb7713df0f0a,models::::coco_spinenet96_tpu.yaml::::task::::model::::anchor::::aspect_ratios::::0.5 <-> models::::movinet_a0_stream_k600_8x8.yaml::::task::::model::::dropout_rate::::0.5
76df72b4c7c8cce30b7457882e77e51e39e168c8,MultiValueConflict,f9570f0da2437d64b2ab9eea7b23bcba,models::::coco_spinenet143_tpu.yaml::::task::::model::::anchor::::aspect_ratios::::0.5 <-> models::::movinet_a0_stream_k600_8x8.yaml::::task::::model::::dropout_rate::::0.5
1cb5e572d1d86c1e4000567b47a97ff0bb74dab9,ModifiedOptionConflict,6b6fe7f02d61955ad8e8df01d3babd2e,models::::coco_spinenet49xs_mobile_tpu.yaml::::task::::train_data::::parser::::aug_scale_min::::0.1 <-> models::::imagenet_resnetrs101_i192.yaml::::task::::losses::::label_smoothing::::0.1
431a9ca37e521b45e6216a8f31fefb07e816423a,MissingOptionConflict,a9aaf2753f84f776aa53be207b2e6448,models::::coco_spinenet49_tpu.yaml::::task::::model::::anchor::::aspect_ratios::::1.0 <-> models::::k400_3d-resnet50_tpu.yaml::::task::::train_data::::aug_max_area_ratio::::1.0
32dcc1e4350263942343debbf044945b7ec4ef9f,MultiValueConflict,1d3f604c02446c7db12a9f1caa04c434,models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_0::::temporal_kernel_sizes::::3 <-> models::::k400_slowonly8x8_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_2::::temporal_kernel_sizes::::3
e748d7853daa5a0dcb9afc0a7581af148ab2fc3c,MissingArtifactConflict,1d786bb70da867f927076e7cbb901059,models::::efficientnet-b1-tpu.yaml::::validation_dataset::::dtype::::bfloat16 <-> models::::movinet_a2_k600_8x8.yaml::::task::::train_data::::dtype::::bfloat16
e748d7853daa5a0dcb9afc0a7581af148ab2fc3c,MissingArtifactConflict,975dffaa764649f2a381073c34969875,models::::ci.yml::::jobs::::pylint::::steps::::steps_2::::with::::fetch-depth::::0 <-> models::::deeplabv3plus_resnet101_cityscapes_tfds_tpu.yaml::::trainer::::optimizer_config::::warmup::::linear::::warmup_learning_rate::::0
76df72b4c7c8cce30b7457882e77e51e39e168c8,MultiValueConflict,a67fb27615df1345ba8daddc38832ddb,models::::coco_spinenet49_mobile_tpu.yaml::::task::::model::::anchor::::aspect_ratios::::0.5 <-> models::::movinet_t0_stream_k600_8x8.yaml::::task::::model::::dropout_rate::::0.5
83b992c5066a20ce04785385481b3e108b288e11,MultiValueConflict,680162ce8dcaa3d6c1823bbc97a53166,models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_0::::temporal_kernel_sizes::::1 <-> models::::k400_slowonly8x8_tpu.yaml::::task::::model::::backbone::::resnet_3d::::stem_pool_temporal_stride::::1
4682f5c8b78992b235383898a3c463a6dd45b3af,MultiValueConflict,358e610593d9b0aabe83c2f16c8a42d8,models::::512.yaml::::task::::train_data::::parser::::mosaic::::aug_scale_min::::0.1 <-> models::::example_config_local.yaml::::trainer::::optimizer_config::::learning_rate::::stepwise::::values::::0.1
83b992c5066a20ce04785385481b3e108b288e11,MultiValueConflict,19ce6238e79094af351f2cd56ede2abc,models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_0::::temporal_kernel_sizes::::1 <-> models::::k400_slowonly8x8_tpu.yaml::::task::::model::::backbone::::resnet_3d::::stem_conv_temporal_stride::::1
32dcc1e4350263942343debbf044945b7ec4ef9f,MultiValueConflict,d08c9f4ff9838206d93832de842457d4,models::::coco_spinenet190_tpu.yaml::::task::::model::::anchor::::num_scales::::3 <-> models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_1::::temporal_kernel_sizes::::3
83b992c5066a20ce04785385481b3e108b288e11,MultiValueConflict,de6f03baaee8662a518c49cba4913ebb,models::::imagenet_resnet101_deeplab_tpu.yaml::::task::::model::::backbone::::dilated_resnet::::multigrid::::1 <-> models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::stem_pool_temporal_stride::::1
35e9d29162038cc7df155e64aab4564d0841bb32,MissingArtifactConflict,fce43be426f313c9ab3bc8cd032db9bb,models::::deeplab_resnet101_pascal_tpu.yaml::::runtime::::mixed_precision_dtype::::float32 <-> models::::efficientnet-b1-gpu.yaml::::validation_dataset::::dtype::::float32
bcd5283df8b57e90b7739918b92758b3198be217,MissingOptionConflict,bc25d1907ece872b6234bed452ff7ebe,models::::classification_ft_cola.yaml::::task::::model::::encoder::::bert::::num_attention_heads::::12 <-> models::::teams_en_uncased_base.yaml::::task::::model::::encoder::::teams::::num_attention_heads::::12
83b992c5066a20ce04785385481b3e108b288e11,MultiValueConflict,65ccf54e0b0f82b53f65d58b991c5286,models::::glue_mnli_matched.yaml::::trainer::::optimizer_config::::warmup::::polynomial::::power::::1 <-> models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_0::::temporal_kernel_sizes::::1
76df72b4c7c8cce30b7457882e77e51e39e168c8,MissingOptionConflict,ccede8a7f2459b2cd11376a98c41d6b0,models::::movinet_a1_stream_k600_8x8.yaml::::task::::train_data::::aug_type::::autoaug <-> models::::movinet_a4_k600_8x8.yaml::::task::::train_data::::aug_type::::autoaug
32dcc1e4350263942343debbf044945b7ec4ef9f,MultiValueConflict,8301c1f94e5ca891ce2035b730816b9d,models::::efficientnet-b0-gpu.yaml::::runtime::::num_gpus::::1 <-> models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_3::::temporal_kernel_sizes::::1
08f9393ab192a65a6be05793e2db5885963bc6d6,MultiValueConflict,50c7e7e636799f86c4bc8b2de9755c06,models::::movinet_a3_stream_k600_8x8.yaml::::task::::validation_data::::feature_shape::::120 <-> models::::movinet_a5_stream_k600_8x8.yaml::::task::::validation_data::::feature_shape::::120
e748d7853daa5a0dcb9afc0a7581af148ab2fc3c,MissingOptionConflict,900270c9676e13bf5c62e3961a097a36,models::::imagenet_resnet101_deeplab_tpu.yaml::::task::::train_data::::aug_policy::::randaug <-> models::::imagenet_resnetrs350_i320.yaml::::task::::train_data::::aug_type::::type::::randaug
48b412c396ad361058db70c28758575d58c3cae8,ModifiedOptionConflict,a848952e20d0f0f14d414eb8283730a1,models::::csp_darknet53_tfds.yaml::::trainer::::checkpoint_interval::::10000 <-> models::::params.yaml::::task::::train_data::::shuffle_buffer_size::::10000
5627de3dc45ec894a28d00550bc0f2fbaff64071,MissingArtifactConflict,7feb9d7060c57c02d9f9a69033dc381e,models::::example_config_tpu.yaml::::trainer::::optimizer_config::::learning_rate::::stepwise::::values::::0.1 <-> models::::movinet_a0_k600_8x8.yaml::::task::::losses::::label_smoothing::::0.1
8fa62b84464fbb464d8e9e01fbf485e2d51f4e7a,MissingOptionConflict,d518800a4bf8340c7f48787edeb57fbf,models::::imagenet_resnet101_deeplab_tpu.yaml::::task::::train_data::::aug_policy::::randaug <-> models::::imagenet_resnetrs101_i192.yaml::::task::::train_data::::aug_policy::::randaug
32dcc1e4350263942343debbf044945b7ec4ef9f,MultiValueConflict,3e9cdfd30bc302dfa729d42c1ef6694d,models::::imagenet_mobilenetv2_gpu.yaml::::task::::model::::input_size::::3 <-> models::::k400_3d-resnet50_tpu.yaml::::task::::model::::backbone::::resnet_3d::::block_specs::::block_specs_0::::temporal_kernel_sizes::::3
6f917c69bcb97bf8330f122a8aac5c291a6e91e8,MultiValueConflict,da97baea3b0212a2f28ecd397cc6130e,models::::bert_en_uncased_base.yaml::::task::::model::::encoder::::bert::::max_position_embeddings::::512 <-> models::::deeplabv3plus_resnet101_cityscapes_tfds_tpu.yaml::::task::::train_data::::output_size::::512
e748d7853daa5a0dcb9afc0a7581af148ab2fc3c,MultiValueConflict,df4e3c76f4af9df0fca634f83d10489d,models::::coco_spinenet49xs_mobile_tpu.yaml::::task::::model::::anchor::::aspect_ratios::::0.5 <-> models::::coco_spinenet49xs_mobile_tpu.yaml::::task::::train_data::::parser::::aug_scale_min::::0.5
