occurred_at,conflict_type,conflict_id,link
aa3ec552c896aebafd03b9d2c1864272dcb34749,MultiValueConflict,3d8e2dec61a938abcd47c211b2aa4a94,netdata::::build-and-install.yml::::jobs::::build::::strategy::::matrix::::distro::::debian:buster <-> netdata::::build-and-install.yml::::jobs::::build::::strategy::::matrix::::include::::include_6::::distro::::debian:buster
0cb8ff16e430b7a6c476d131a48783612b5dd328,ModifiedOptionConflict,ffd406189f9a3c632ec44ca200ba9ca8,netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_22::::base_image::::centos <-> netdata::::repoconfig-packages.yml::::jobs::::build::::strategy::::matrix::::include::::include_7::::distro::::centos
3302923665723d7cff5237007979bc76bbc6bce5,ModifiedOptionConflict,aa3d6949bc73de8be1c5637f9cc44b7b,netdata::::build-and-install.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_18::::distro::::ubuntu:16.04 <-> netdata::::updater.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_4::::distro::::ubuntu:16.04
6585f91f13337fcd30c1b64f5782623332388e83,ModifiedOptionConflict,ed976794515c2769f211647c035c347d,netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_3::::format::::deb <-> netdata::::repoconfig-packages.yml::::jobs::::build::::strategy::::matrix::::include::::include_6::::format::::deb
e7ee14eb7223f475d75467229724571dd40bba1c,MissingOptionConflict,ea9e729624f0129e7260d63a288adadc,netdata::::.travis.yml::::jobs::::include::::name/Build & Publish DEB package for ubuntu/disco::::<<::::deploy::::provider/packagecloud::::on::::branch::::master <-> netdata::::.travis.yml::::jobs::::include::::name/Build & Publish DEB package for ubuntu/xenial::::<<::::deploy::::provider/packagecloud::::on::::branch::::master
934a3181c2be26248a916f66c2832540be1c7ef5,MultiValueConflict,3b7a70311c1fb079ef40ef4f3792ac30,netdata::::build-and-install.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_7::::distro::::debian:bullseye <-> netdata::::updater.yml::::jobs::::source-build::::strategy::::matrix::::distro::::debian:bullseye
90adda052d63fee60e4544e947bb25f82bcdda7b,MissingOptionConflict,d3e255301563c172e005620879724445,netdata::::build-and-install.yml::::jobs::::aws-kinesis-build::::steps::::steps_0::::uses::::actions/checkout@v2 <-> netdata::::checks.yml::::jobs::::dist-checks::::steps::::steps_0::::uses::::actions/checkout@v2
0eb31a01c62baceb33ce6ff48c8abcedf4d45450,MissingOptionConflict,502643b52af90062692802b4e233ecec,netdata::::release-build.yml::::jobs::::prepare-upload::::steps::::steps_4::::with::::name::::final-artifacts <-> netdata::::release-build.yml::::jobs::::upload-nightly::::steps::::steps_0::::with::::path::::final-artifacts
8d73d4b5501e88a6a16273bd551f1dabea8341b7,MissingOptionConflict,a7897d632606db12b2b85194613bf755,netdata::::.travis.yml::::jobs::::include::::name/Build & Publish DEB package for ubuntu/bionic::::<<::::deploy::::provider/packagecloud::::on::::branch::::master <-> netdata::::installer.yml::::on::::push::::branches::::master
2584ebc2a9515efea3f816f9b45bde0390d30dbb,MissingOptionConflict,15e0d92be3abdaf7997faa91b70d6855,netdata::::docker.yml::::jobs::::docker-build::::steps::::steps_8::::env::::SLACK_WEBHOOK::::${{ secrets.SLACK_WEBHOOK_URL }} <-> netdata::::packaging.yml::::jobs::::build::::steps::::steps_10::::env::::SLACK_WEBHOOK::::${{ secrets.SLACK_WEBHOOK_URL }}
a26a03158f911c511c7e9554c781963b5da02656,ModifiedOptionConflict,64c50bdf7e30002e49f1c7847cc8ce8e,netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_2::::arch::::amd64 <-> netdata::::repoconfig-packages.yml::::jobs::::build::::strategy::::matrix::::include::::include_9::::arch::::amd64
f3d00f79abfa6a2f61b80d2ebff22cfba7b4aa6b,MissingOptionConflict,d167c5ed733ba3328e5abc9038cb2653,netdata::::netdata-swagger.yaml::::paths::::/allmetrics::::get::::parameters::::parameters_10::::schema::::default::::average <-> netdata::::netdata-swagger.yaml::::paths::::/data::::get::::parameters::::parameters_5::::schema::::enum::::average
77b6b1feb8d4b4cc10a1f8e18d08a6de3b6db576,ModifiedOptionConflict,c27bed3db419838d2a5fe3e190a17389,netdata::::build-and-install.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_8::::rmjsonc::::dnf remove -y json-c-devel <-> netdata::::build-and-install.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_9::::rmjsonc::::dnf remove -y json-c-devel
00b3babef2a4cf0715cdc94a88c5bdc3c677a101,MissingOptionConflict,3e6020d3dcb4c299b27e8b152ca0fb4d,netdata::::.travis.yml::::jobs::::include::::name/Build & Publish DEB package for ubuntu/cosmic::::<<::::deploy::::provider/packagecloud::::local_dir::::${PACKAGES_DIRECTORY} <-> netdata::::.travis.yml::::jobs::::include::::name/Build & Publish RPM package for Fedora 31::::<<::::deploy::::provider/packagecloud::::local_dir::::${PACKAGES_DIRECTORY}
079d71d6fbc81fdab17dbdf5c07669fc8ad6cc4d,MissingOptionConflict,3b7f60a21f41e8922e5a63b06270fb8b,"netdata::::.travis.yml::::jobs::::include::::name/Create nightly release artifacts, publish to GCS::::deploy::::provider/gcs::::on::::repo::::netdata/netdata <-> netdata::::.travis.yml::::jobs::::include::::stage/::::<<::::deploy::::provider/packagecloud::::on::::repo::::netdata/netdata"
3dc78a6d4682e45a7a3f733fa69f9d1e330db30c,ModifiedOptionConflict,a6e049c30c441f60c6b0f77b168694fe,netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_34::::base_image::::opensuse/leap <-> netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_37::::base_image::::opensuse/leap
cf6350ba18a27fe2fc997e553b7aaaaa31c3fb38,MissingOptionConflict,550fe9f0c20098d8a9d6c2030cc3c959,netdata::::netdata-swagger.yaml::::definitions::::json_wrap::::properties::::view_update_every::::type::::number <-> netdata::::netdata-swagger.yaml::::paths::::/badge.svg::::get::::parameters::::parameters_13::::type::::number
a26a03158f911c511c7e9554c781963b5da02656,ModifiedOptionConflict,be1b7f3c5b971196dc753ee2582a934e,netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_9::::pkgclouddistro::::ubuntu/hirsute <-> netdata::::repoconfig-packages.yml::::jobs::::build::::strategy::::matrix::::include::::include_5::::pkgclouddistro::::ubuntu/hirsute
8d73d4b5501e88a6a16273bd551f1dabea8341b7,MissingOptionConflict,2e9548fc4c96b1232ee2f17b5c246710,netdata::::.travis.yml::::jobs::::include::::name/Build & Publish DEB package for debian/jessie::::<<::::deploy::::provider/packagecloud::::on::::branch::::master <-> netdata::::build.yml::::on::::push::::branches::::master
36a9d70880b3ced36e0f095f672927893fad23c9,ModifiedOptionConflict,cf85e27daef41968ee8f4aa4ffcbc4b9,netdata::::docker.yml::::jobs::::docker-publish::::steps::::steps_4::::uses::::docker/setup-buildx-action@v1 <-> netdata::::docker.yml::::jobs::::docker-test::::steps::::steps_1::::uses::::docker/setup-buildx-action@v1
839d1488571623413aad7ba2019c0437a4f980c4,MissingOptionConflict,e30e443cab73e22a6fe97939c4f23eab,netdata::::.travis.yml::::jobs::::include::::name/Nightly docker images::::if::::type = cron <-> netdata::::.travis.yml::::jobs::::include::::name/coverity::::if::::type = cron
cf6350ba18a27fe2fc997e553b7aaaaa31c3fb38,MissingOptionConflict,60ea2f4c07cd8127f10ad34731eca6e1,netdata::::netdata-swagger.yaml::::paths::::/allmetrics::::get::::parameters::::parameters_2::::type::::string <-> netdata::::netdata-swagger.yaml::::paths::::/badge.svg::::get::::parameters::::parameters_6::::items::::type::::string
77b6b1feb8d4b4cc10a1f8e18d08a6de3b6db576,ModifiedOptionConflict,3eee34cf4235c521e35a2adc4495771c,netdata::::build-and-install.yml::::jobs::::aws-kinesis-build::::strategy::::matrix::::include::::include_1::::distro::::fedora:32 <-> netdata::::build-and-install.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_9::::distro::::fedora:32
f3881e1cd1d2e67275ea4a66760c742b14ac430a,ModifiedOptionConflict,0c0ab4199428ecc5f919fcbc49f4fa0a,netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_4::::pkgclouddistro::::Ubuntu <-> netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_7::::pkgclouddistro::::Ubuntu
ae4bb0286e615da649cd1f7c2011931cc35acf29,MissingOptionConflict,c70c31417647821b9701d4ea632bef32,"netdata::::.travis.yml::::jobs::::include::::name/Build & Publish RPM package for Enterprise Linux 6::::<<::::script::::echo ""Last commit:"" && git log -1 <-> netdata::::.travis.yml::::jobs::::include::::stage/Publish for release::::_template::::script::::echo ""Last commit:"" && git log -1"
aa3ec552c896aebafd03b9d2c1864272dcb34749,ModifiedOptionConflict,63d0c501ce83df93badd80ab782c738d,netdata::::build-and-install.yml::::jobs::::build::::steps::::steps_3::::name::::netdata-installer on ${{ matrix.distro }} <-> netdata::::build-and-install.yml::::jobs::::build::::steps::::steps_4::::name::::netdata-installer on ${{ matrix.distro }}
c0c4ab9e524f4f4db6a8a0eeeb8c2cc49dff50d4,MultiValueConflict,a225089cf9cc25bbea133f5d2cee423d,netdata::::build-and-install.yml::::jobs::::source-build::::strategy::::matrix::::distro::::alpine:3.12 <-> netdata::::build-and-install.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_1::::distro::::alpine:3.12
2584ebc2a9515efea3f816f9b45bde0390d30dbb,ModifiedOptionConflict,00778b2c3ac820c631c487ec79243a14,netdata::::docker.yml::::jobs::::docker-build::::steps::::steps_8::::name::::Failure Notification <-> netdata::::repoconfig-packages.yml::::jobs::::build::::steps::::steps_3::::name::::Failure Notification
3302923665723d7cff5237007979bc76bbc6bce5,ModifiedOptionConflict,76143b62e96708431ab11737c3fa5e13,netdata::::build-and-install.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_7::::distro::::debian:10 <-> netdata::::updater.yml::::jobs::::source-build::::strategy::::matrix::::include::::include_3::::distro::::debian:10
47faf64d3e8c824f9b0c8475168a9840fcdb1d0a,MissingOptionConflict,ef0ef4f7531c6b6ac6c46619d37c74bf,netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_15::::distro::::opensuse <-> netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_16::::distro::::opensuse
90adda052d63fee60e4544e947bb25f82bcdda7b,MissingOptionConflict,e8ba00a58837f69d48b6bd8e9406eb2d,netdata::::build-and-install.yml::::jobs::::aws-kinesis-build::::runs-on::::ubuntu-latest <-> netdata::::checks.yml::::jobs::::gitignore-check::::runs-on::::ubuntu-latest
0cb8ff16e430b7a6c476d131a48783612b5dd328,ModifiedOptionConflict,0697b8c3d381e798b5196cf7aa47738a,netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_32::::platform::::linux/arm64/v8 <-> netdata::::packaging.yml::::jobs::::build::::strategy::::matrix::::include::::include_3::::platform::::linux/arm64/v8
