occurred_at,conflict_type,conflict_id,link
7ba49f8f714ad4f913d0aa6f0c6986c63ef29d41,MissingArtifactConflict,b00ee0345249184dc2cba9ebc6f30a25,nvm::::lint.yml::::jobs::::dockerfile_lint::::steps::::steps_1::::with::::command::::dockerfile_lint <-> nvm::::package.json::::scripts::::dockerfile_lint::::dockerfile_lint
6cc90a4b8daa44ad3050828c2bf98fa77a16bf90,MissingOptionConflict,dc963b2ca4cf9ce938ebf78178c70c42,nvm::::release.yml::::jobs::::release::::steps::::steps_1::::with::::node-version::::14 <-> nvm::::windows-npm.yml::::jobs::::wsl_matrix::::strategy::::matrix::::npm-node-version::::14
6982dee071e73163645317693f3fa23f23e3d1bd,MissingOptionConflict,76c3d36674601ab31173950b0dd13aee,nvm::::lint.yml::::jobs::::test_naming::::steps::::steps_0::::uses::::actions/checkout@v2 <-> nvm::::rebase.yml::::jobs::::_::::steps::::steps_0::::uses::::actions/checkout@v2
7aba64a2d556be64c71faf828b3457ba7289c08a,MissingOptionConflict,7c44503cf64827819ebae681bae9e299,nvm::::rebase.yml::::jobs::::_::::steps::::steps_1::::uses::::ljharb/rebase@master <-> nvm::::toc.yml::::jobs::::_::::steps::::steps_6::::uses::::ljharb/rebase@master
6cc90a4b8daa44ad3050828c2bf98fa77a16bf90,MissingOptionConflict,e96c5be272e62d48e8400a9b9e60faa4,nvm::::release.yml::::jobs::::release::::steps::::steps_1::::uses::::actions/setup-node@v2 <-> nvm::::toc.yml::::jobs::::_::::steps::::steps_2::::uses::::actions/setup-node@v2
6cc90a4b8daa44ad3050828c2bf98fa77a16bf90,MissingOptionConflict,9a7adc9989940d3d2f4a32aac25e1bb5,nvm::::latest-npm.yml::::jobs::::nodes::::name::::nvm install-latest-npm <-> nvm::::latest-npm.yml::::jobs::::nodes::::steps::::steps_1::::name::::nvm install-latest-npm
6cc90a4b8daa44ad3050828c2bf98fa77a16bf90,MissingOptionConflict,d73821e1147adff4d8ff5189403b0ced,nvm::::latest-npm.yml::::jobs::::node::::steps::::steps_0::::run::::echo tests completed <-> nvm::::windows-npm.yml::::jobs::::nvm_windows::::steps::::steps_0::::run::::echo tests completed
6982dee071e73163645317693f3fa23f23e3d1bd,MissingOptionConflict,1274cdb203387d5c55e5756e810a13e7,nvm::::latest-npm.yml::::jobs::::nodes::::runs-on::::ubuntu-latest <-> nvm::::lint.yml::::jobs::::test_naming::::runs-on::::ubuntu-latest
8e1e5df059d4bb7b186dd8f10f7ac8537acf1d88,MissingOptionConflict,cde0578aaa9a395385ba2370df3e619f,nvm::::rebase.yml::::jobs::::_::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }} <-> nvm::::toc.yml::::jobs::::_::::steps::::steps_5::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }}
7aba64a2d556be64c71faf828b3457ba7289c08a,MissingOptionConflict,518d14acaa5b64e4c92ed7aec7ff25b6,nvm::::rebase.yml::::jobs::::_::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }} <-> nvm::::toc.yml::::jobs::::_::::steps::::steps_6::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }}
07253ecd514b2ec955b1c5c1ef89ba463825aee1,MissingOptionConflict,978be7f26deb7649df415c5ef027d4fa,nvm::::latest-npm.yml::::jobs::::nodes::::strategy::::matrix::::node-version::::11 <-> nvm::::windows-npm.yml::::jobs::::wsl_nodes::::strategy::::matrix::::npm-node-version::::11
da5baa005b9f59f8f9f86002c85a2053f09494ba,MultiValueConflict,add4c743c45feebb7b9b07aa5ff74a88,nvm::::latest-npm.yml::::jobs::::nodes::::strategy::::matrix::::node-version::::14 <-> nvm::::release.yml::::jobs::::release::::steps::::steps_1::::with::::node-version::::14
6cc90a4b8daa44ad3050828c2bf98fa77a16bf90,MissingOptionConflict,717b03362b46b9132b61e85ea9bd1e5f,nvm::::shellcheck.yml::::jobs::::shellcheck::::steps::::steps_0::::run::::echo tests completed <-> nvm::::windows-npm.yml::::jobs::::nvm_windows::::steps::::steps_0::::run::::echo tests completed
da5baa005b9f59f8f9f86002c85a2053f09494ba,MultiValueConflict,aa6d119877e1401dbf17096775d3a53f,nvm::::latest-npm.yml::::jobs::::nodes::::strategy::::matrix::::node-version::::11 <-> nvm::::windows-npm.yml::::jobs::::wsl_matrix::::strategy::::matrix::::npm-node-version::::11
9cb6a2b614c01e83611d704501d9a3ba5af7b8a3,ModifiedOptionConflict,f765b304b9a8c5821716b520000f604a,nvm::::lint.yml::::jobs::::dockerfile_lint::::steps::::steps_1::::name::::npm install && npm run dockerfile_lint <-> nvm::::lint.yml::::jobs::::doctoc::::steps::::steps_1::::name::::npm install && npm run dockerfile_lint
07253ecd514b2ec955b1c5c1ef89ba463825aee1,MissingOptionConflict,97fcd9e097633d6e930ae46855c2d960,nvm::::lint.yml::::jobs::::dockerfile_lint::::steps::::steps_0::::uses::::actions/checkout@v2 <-> nvm::::shellcheck.yml::::jobs::::shellcheck::::steps::::steps_0::::uses::::actions/checkout@v2
8e1e5df059d4bb7b186dd8f10f7ac8537acf1d88,ModifiedOptionConflict,2fab18cecc4a709202bf19cb20cfb83c,nvm::::rebase.yml::::jobs::::_::::steps::::steps_1::::uses::::ljharb/rebase@master <-> nvm::::toc.yml::::jobs::::_::::steps::::steps_5::::uses::::ljharb/rebase@master
