occurred_at,conflict_type,conflict_id,link
f57106b00a664a90edb3fdb5eed09d8213eacc84,MissingOptionConflict,a5f027b93ee1d5983e02a5980db14095,opencv::::package.json::::dependencies::::benchmark::::latest <-> opencv::::package.json::::devDependencies::::eslint::::latest
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,2177d050f05db67e9a2f369b76c4ef05,opencv::::pom.xml::::project::::build::::plugins::::plugin_maven-resources-plugin::::executions::::execution_copy-resources::::phase::::generate-resources <-> opencv::::pom.xml::::project::::build::::plugins::::plugin_org.codehaus.mojo/exec-maven-plugin::::executions::::execution_get-opencv-version::::phase::::generate-resources
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,4ab33d181c322e758f8eeeb70df91e4a,opencv::::pom.xml::::project::::dependencies::::dependency_junit/junit::::scope::::test <-> opencv::::pom.xml::::project::::dependencies::::dependency_org.ops4j.pax.exam/pax-exam-junit4::::scope::::test
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,0818656e8877233945f7e739b82b4647,opencv::::pom.xml::::project::::dependencies::::dependency_${project.groupId}/opencv::::scope::::test <-> opencv::::pom.xml::::project::::dependencies::::dependency_junit/junit::::scope::::test
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,7af2bfb10acd35517881740002a48769,opencv::::pom.xml::::project::::build::::plugins::::plugin_org.codehaus.mojo/exec-maven-plugin::::executions::::execution_check-execstack::::configuration::::workingDirectory::::${project.basedir}/scripts <-> opencv::::pom.xml::::project::::build::::plugins::::plugin_org.codehaus.mojo/exec-maven-plugin::::executions::::execution_setup-environment::::configuration::::workingDirectory::::${project.basedir}/scripts
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,7ff2a69d5155f40779d7e928816ea53d,opencv::::pom.xml::::project::::dependencies::::dependency_junit/junit::::scope::::test <-> opencv::::pom.xml::::project::::dependencies::::dependency_org.apache.geronimo.specs/geronimo-atinject_1.0_spec::::scope::::test
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,e3862eb765bc5d817c7525a5be9d0b55,opencv::::pom.xml::::project::::dependencies::::dependency_junit/junit::::scope::::test <-> opencv::::pom.xml::::project::::dependencies::::dependency_org.ops4j.pax.exam/pax-exam-container-karaf::::scope::::test
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,bf2a994f6f772a31623793c04eb91360,opencv::::pom.xml::::project::::dependencies::::dependency_junit/junit::::scope::::test <-> opencv::::pom.xml::::project::::dependencies::::dependency_org.osgi/org.osgi.core::::scope::::test
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,71db325001183ef6315f4c65ff959f50,opencv::::pom.xml::::project::::parent_org.opencv/opencv-parent::::version::::3.4.10 <-> opencv::::pom.xml::::project::::version::::3.4.10
0bd68671bd90b03089aab25924150160aa79c804,MissingOptionConflict,a143aa43ce54f796520cf2fd9e2cb949,opencv::::pom.xml::::project::::build::::plugins::::plugin_org.codehaus.mojo/exec-maven-plugin::::executions::::execution_check-execstack::::goals::::goal_exec::::exec <-> opencv::::pom.xml::::project::::build::::plugins::::plugin_org.codehaus.mojo/exec-maven-plugin::::executions::::execution_setup-environment::::goals::::goal_exec::::exec
