occurred_at,conflict_type,conflict_id,link
97f542494c93481b15aa44846604e4d40ea14003,MissingOptionConflict,27e73ee8920b35d13fa23d52db8c8d70,tensorflow::::spec.yml::::slice_sets::::ubuntu-devel-ppc64le::::ubuntu-devel-ppc64le_0::::partials::::ubuntu/version <-> tensorflow::::spec.yml::::slice_sets::::ubuntu::::ubuntu_1::::partials::::ubuntu/version
65a639fafbe88b4867ff474b0884ebc2cc7c29d8,MissingOptionConflict,17d3829b5dca040ec6efced18eae5388,tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_1::::lower_tabs::::other::::other_0::::contents::::contents_15::::title::::Overview <-> tensorflow::::_book.yaml::::upper_tabs::::upper_tabs_2::::lower_tabs::::other::::other_0::::contents::::contents_0::::title::::Overview
4c7a94a234f31a3b84b76b1b24a9ded464cf3d89,MissingOptionConflict,9f60f4fad86692fdb3418497baab73f1,tensorflow::::_index.yaml::::landing_page::::rows::::rows_1::::classname::::devsite-landing-row-cards <-> tensorflow::::_index.yaml::::landing_page::::rows::::rows_7::::classname::::devsite-landing-row-cards
ea15749d333d8aa64583c6cbfd4e5abed94e8157,MissingOptionConflict,bf35aef3a6ae15a96722617926fb6e90,tensorflow::::_index.yaml::::landing_page::::rows::::rows_1::::classname::::devsite-landing-row-100 <-> tensorflow::::_index.yaml::::landing_page::::rows::::rows_4::::classname::::devsite-landing-row-100
da7eb65ba523c0ca5a807b7bbb2331b217b01dae,MissingOptionConflict,af1f14dacb73bc63f854f81f12d004c1,tensorflow::::package.json::::devDependencies::::gulp-cli::::^1.1.0 <-> tensorflow::::package.json::::devDependencies::::vinyl-source-stream::::^1.1.0
0048c816d03a87ef764cc978728546a67bf5902a,MultiValueConflict,6fba6b2c3b2ff16ac2090c1fded824a0,tensorflow::::spec.yml::::slice_sets::::devel-onednn::::devel-onednn_1::::args::::PYTHON=python3 <-> tensorflow::::spec.yml::::slice_sets::::onednn::::onednn_2::::args::::PYTHON=python3
9f25a94c75c708189d903930535a2115b86b94b5,MissingOptionConflict,6631d5159dd7e43062c760744eca767c,tensorflow::::_index.yaml::::landing_page::::rows::::rows_3::::items::::items_1::::buttons::::buttons_0::::path::::/lite/models/segmentation/overview <-> tensorflow::::_index.yaml::::landing_page::::rows::::rows_3::::items::::items_1::::path::::/lite/models/segmentation/overview
0048c816d03a87ef764cc978728546a67bf5902a,MultiValueConflict,ee7265fa183332ef217b0913c1e14864,tensorflow::::spec.yml::::slice_sets::::devel-onednn-mpi-horovod::::devel-onednn-mpi-horovod_2::::args::::PYTHON=python3 <-> tensorflow::::spec.yml::::slice_sets::::onednn-mpich-horovod::::onednn-mpich-horovod_3::::args::::PYTHON=python3
92f946352c12d0a088b8c9793208975fbe1212de,MissingOptionConflict,6067809bf57cdfc027862556aeda4a06,tensorflow::::spec.yml::::slice_sets::::devel-onednn-mpi-horovod::::devel-onednn-mpi-horovod_0::::partials::::shell <-> tensorflow::::spec.yml::::slice_sets::::nightly::::nightly_0::::partials::::shell
0048c816d03a87ef764cc978728546a67bf5902a,MultiValueConflict,85507ec29ae23d8c542eca6ab75b939c,tensorflow::::spec.yml::::slice_sets::::devel-onednn::::devel-onednn_1::::args::::PYTHON=python3 <-> tensorflow::::spec.yml::::slice_sets::::onednn-mpi-horovod::::onednn-mpi-horovod_2::::args::::PYTHON=python3
