occurred_at,conflict_type,conflict_id,link
431d51de4c7219aa49e12f5468add009a517949b,MissingOptionConflict,ed81302ff5d98f7d2ff0e11cf92c43e0,terminal::::helix-processtestresults-job.yml::::jobs::::jobs_0::::steps::::steps_2::::env::::HelixAccessToken::::$(HelixApiAccessToken) <-> terminal::::helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_15::::env::::HelixAccessToken::::$(HelixApiAccessToken)
790277c9095e20a30aef4d2c7bdaf1c5d483f2db,ModifiedOptionConflict,465997a3c746c5414c35a90d5e6b5ded,terminal::::build-console-steps.yml::::steps::::steps_6::::task::::PowerShell@2 <-> terminal::::release-sign-and-bundle.yml::::jobs::::jobs_0::::steps::::steps_4::::task::::PowerShell@2
612e3a0a3e7b5c9c9d0630ab0056a59047d64fae,MissingOptionConflict,d59f5a321b89ca7eec774989153ee3dc,terminal::::helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_11::::inputs::::artifactName::::${{ parameters.artifactName }} <-> terminal::::helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_3::::inputs::::artifactName::::${{ parameters.artifactName }}
1e2f203395424a0304efe16d955e5b14fd3a5e56,ModifiedOptionConflict,317f35512656de2459984ec85a4602dd,terminal::::build-console-steps.yml::::steps::::steps_10::::task::::VSTest@2 <-> terminal::::build-console-steps.yml::::steps::::steps_9::::task::::VSTest@2
c801029e3ee9992eb41b1ae67b1e5591f3a17210,MissingOptionConflict,dbdc93d4beda0f15b74995d1507ff32b,terminal::::build-console-steps.yml::::steps::::steps_10::::inputs::::targetType::::inline <-> terminal::::build-console-steps.yml::::steps::::steps_11::::inputs::::targetType::::inline
7dadde5dd6742b56ed192286ce92be61072cce09,MissingOptionConflict,d3c0b0bc25670fca29ef931014d18990,terminal::::build-console-steps.yml::::steps::::steps_15::::inputs::::ArtifactName::::drop <-> terminal::::helix-runtests-job.yml::::parameters::::artifactName::::drop
6b728cd6d027e2f9787e816c47e23ce0b62f7736,MissingOptionConflict,cfac640fe5d78b88f3bafe2b8565a39c,terminal::::build-console-steps.yml::::steps::::steps_7::::inputs::::runSettingsFile::::$(BUILD.SOURCESDIRECTORY)\src\unit.tests.$(BuildPlatform).runsettings <-> terminal::::build-console-steps.yml::::steps::::steps_8::::inputs::::runSettingsFile::::$(BUILD.SOURCESDIRECTORY)\src\unit.tests.$(BuildPlatform).runsettings
bc7eb9611030aed3204aff4e662c318cbf9143a6,MissingOptionConflict,3ae1ae1b5810efe11496d1f7e9ef7503,terminal::::build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::inputs::::configuration::::$(BuildConfiguration) <-> terminal::::build-console-steps.yml::::steps::::steps_8::::inputs::::configuration::::$(BuildConfiguration)
7dadde5dd6742b56ed192286ce92be61072cce09,MissingOptionConflict,b5b3a80a891409ac594c6f964894968b,"terminal::::helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_8::::parameters::::condition::::and(succeeded(),ne('${{ parameters.testSuite }}','NugetTestSuite')) <-> terminal::::helix-runtests-job.yml::::jobs::::jobs_0::::steps::::steps_9::::parameters::::condition::::and(succeeded(),ne('${{ parameters.testSuite }}','NugetTestSuite'))"
7dadde5dd6742b56ed192286ce92be61072cce09,MissingOptionConflict,2b67c6c264461cad4801e4c0e50292a6,terminal::::build-console-audit-job.yml::::jobs::::jobs_0::::steps::::steps_3::::inputs::::platform::::$(BuildPlatform) <-> terminal::::build-console-steps.yml::::steps::::steps_11::::inputs::::buildPlatform::::$(BuildPlatform)
