occurred_at,conflict_type,conflict_id,link
4688a5fb211b338224d6f47b99684fcee138320e,MissingOptionConflict,d7f4ee9ba71e71eb97f5ebecc3305e6f,three::::package.json::::file::::package.json <-> three::::package.json::::jspm::::files::::files/package.json::::package.json
872358189b6af0d3ec52ecf3136dd58f243a4157,MissingArtifactConflict,596b7d8f4d1bdb5a2528d9fb078d209c,three::::ci.yml::::jobs::::e2e::::env::::FORCE_COLOR::::1 <-> three::::package.json::::eslintConfig::::rules::::@typescript-eslint/no-unused-vars::::1
4688a5fb211b338224d6f47b99684fcee138320e,MissingOptionConflict,dac94f4de4886cc7bb9c5e553a80c693,three::::package.json::::files::::files/build/three.min.js::::build/three.min.js <-> three::::package.json::::jspm::::files::::files/build/three.min.js::::build/three.min.js
85117608653fa3fd65544b6842f789727a4925e4,MissingOptionConflict,06204daacabc4026f435db3750a3364f,three::::three-math.package.json::::license::::url::::https://raw.github.com/mrdoob/three.js/master/LICENSE <-> three::::three.package.json::::license::::url::::https://raw.github.com/mrdoob/three.js/master/LICENSE
4688a5fb211b338224d6f47b99684fcee138320e,MissingOptionConflict,382f107c4d629c40147b7b63699cbbfa,three::::package.json::::files::::files/README.md::::README.md <-> three::::package.json::::jspm::::files::::files/README.md::::README.md
b7c13f89bc42fdf62b846dd08f7771cfbe44ca41,ModifiedOptionConflict,bcabe92c058b5c8facf4d6af118e40e0,three::::ci.yml::::jobs::::lint::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::name::::Install packages
3b469c0dd0e970ddfb439e5ee27043d406fdcd09,MissingArtifactConflict,2d7cb159cc5aa73c4eb00550a6f7279f,three::::ci.yml::::jobs::::e2e::::runs-on::::ubuntu-latest <-> three::::deploy-to-gh-pages.yml::::jobs::::build-and-deploy::::runs-on::::ubuntu-latest
4688a5fb211b338224d6f47b99684fcee138320e,MissingOptionConflict,38312b190d6c50bc810d81f53643d51e,three::::package.json::::files::::files/LICENSE::::LICENSE <-> three::::package.json::::jspm::::files::::files/LICENSE::::LICENSE
5e5a3c322b397fc5263b300beeef731e3d32d27c,ModifiedOptionConflict,7d2590c701833481343723433d67396c,three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::name::::Build <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::name::::Build
c324671a94dbb4704b6539a12d2f5f0b3507bbd9,ModifiedOptionConflict,076475d6ca1087dd7fef56be19cd272c,three::::ci.yml::::jobs::::e2e-cov::::steps::::steps_3::::run::::npm ci <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::run::::npm ci
7c8ca6490c19da7d2e1e21f8b21f4961664960e4,ModifiedOptionConflict,268a31b394c1116c3384733b540b622e,three::::.travis.yml::::node_js::::12 <-> three::::ci.yml::::jobs::::unit::::steps::::steps_1::::with::::node-version::::12
5e5a3c322b397fc5263b300beeef731e3d32d27c,ModifiedOptionConflict,a2d7daa29492f5953ba8585b347535ca,three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::run::::npm run build <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::run::::npm run build
85117608653fa3fd65544b6842f789727a4925e4,MissingOptionConflict,4448b6b75701864cd3d059b612eb01ab,three::::three-math.package.json::::license::::type::::The MIT License <-> three::::three.package.json::::license::::type::::The MIT License
4688a5fb211b338224d6f47b99684fcee138320e,MissingOptionConflict,2481464f88d7e0c69f712f5c8f822de4,three::::package.json::::files::::files/build/three.js::::build/three.js <-> three::::package.json::::jspm::::files::::files/build/three.js::::build/three.js
cbb2005d5e6ed911924a42b493ed594d41bc9eaa,ModifiedOptionConflict,102162e8eb4d6e9e9bd78e23029bb32a,three::::ci.yml::::jobs::::lint::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::name::::Install packages
ad9f0dc6e268977f8e3d26f4c1f1f3363b9fc44c,MissingArtifactConflict,38e0ff0a9feee743ce3911dbde2666fe,three::::package.json::::devDependencies::::uglify-js2::::* <-> three::::three-math.package.json::::engines::::node::::*
144990099501095605a7815d47feb89085eea444,MissingOptionConflict,0ca33843ee6a4d3d9bd571c4f58b11c2,three::::package.json::::bugs::::url::::https://github.com/mrdoob/three.js/issues <-> three::::three-math.package.json::::bugs::::url::::https://github.com/mrdoob/three.js/issues
7cdc9c5772608c9ce709f16945c941396d30da17,MissingArtifactConflict,9f7f4d85e3bb68a86f923da260f8f44c,three::::package.json::::devDependencies::::argparse::::* <-> three::::three.package.json::::engines::::node::::*
b6f7fd42487ba75d6e9c11c09c6059daa83a67d7,ModifiedOptionConflict,3f244e6c3dc47cbec3409f4142f2b9b3,three::::package.json::::devDependencies::::qunit::::^2.10.0 <-> three::::package.json::::devDependencies::::rollup::::^2.10.0
cbb2005d5e6ed911924a42b493ed594d41bc9eaa,ModifiedOptionConflict,00713e3d869de13ce50fc635b925c552,three::::ci.yml::::jobs::::e2e-cov::::steps::::steps_3::::run::::npm ci <-> three::::ci.yml::::jobs::::lint::::steps::::steps_3::::run::::npm ci
7b39cf1e44f8d840fd4bb505e48aefd5e51ec9fc,MissingOptionConflict,432b40ee817e7c3a7c18c38f6e3af355,three::::package.json::::author::::mrdoob <-> three::::package.json::::author::::name::::mrdoob
5e5a3c322b397fc5263b300beeef731e3d32d27c,ModifiedOptionConflict,e86f2410441615ba3b6a5a106b0f6e2f,three::::package.json::::devDependencies::::eslint-config-mdcs::::^5.0.0 <-> three::::package.json::::devDependencies::::pngjs::::^5.0.0
9cb0c15c502c320a2dfff9d9c9c344382a1a8a64,MissingOptionConflict,076692b115900c3950abaeaa7b106d6f,three::::package.json::::jsnext:main::::build/three.module.js <-> three::::package.json::::jspm::::files::::files/build/three.module.js::::build/three.module.js
5e5a3c322b397fc5263b300beeef731e3d32d27c,ModifiedOptionConflict,fd4162a65f997e0947f12f1294ebfc34,three::::package.json::::devDependencies::::concurrently::::^5.2.0 <-> three::::package.json::::devDependencies::::pixelmatch::::^5.2.0
b7c13f89bc42fdf62b846dd08f7771cfbe44ca41,ModifiedOptionConflict,18e3f1dfcfa8886058d1e56bfe683cb4,three::::ci.yml::::jobs::::e2e-cov::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::name::::Install packages
edf2c0b44ced0401423b7afe128f735044ab3096,MissingOptionConflict,23276c7492ad14724a63773d47cb6ca4,three::::package.json::::eslintConfig::::rules::::@typescript-eslint/indent::::SwitchCase::::1 <-> three::::package.json::::eslintConfig::::rules::::@typescript-eslint/no-unused-vars::::1
d15f72a45ff209b4d6ab3749192eaa3a9b509d9d,MissingOptionConflict,cf3748af4abe63633961be8ef14676f4,three::::package.json::::devDependencies::::argsparser::::* <-> three::::package.json::::devDependencies::::uglify-js::::*
9833a661c3f6a89ea60ecb08fe003895382c6778,ModifiedOptionConflict,3a35bcc8ab90185f033cfb540675dfbc,three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::run::::npm run build <-> three::::ci.yml::::jobs::::unit::::steps::::steps_3::::run::::npm run build
cbb2005d5e6ed911924a42b493ed594d41bc9eaa,ModifiedOptionConflict,e67361bfc7c3cb3ada3120b5f630b234,three::::ci.yml::::jobs::::e2e-cov::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::name::::Install packages
4bd808433a57eef981589e3e71ec0040679e30ea,MissingOptionConflict,19e08ef9e0b6f05a936b1b84286bab70,three::::package.json::::files::::files/build/three.modules.js::::build/three.modules.js <-> three::::package.json::::module::::build/three.modules.js
c02032bff5663a3eb542f3ae9e571dec7a9caef1,MissingOptionConflict,3fb30582d764bde33e16a5af644900a4,three::::package.json::::devDependencies::::argparse::::* <-> three::::package.json::::devDependencies::::uglify-js::::*
7931f84910621a94309bc9ca4c50cba9f15718c6,MissingOptionConflict,2f533e422f81f1600aa0612e8641ee42,three::::package.json::::files::::files/build/three.module.js::::build/three.module.js <-> three::::package.json::::module::::build/three.module.js
39d5365adbd1763057201cfe879d8a68ce417323,MissingOptionConflict,e28b95faded623e696aa1fcaae82a862,three::::.travis.yml::::allow_fails::::e2e <-> three::::.travis.yml::::jobs::::include::::stage/e2e::::name::::e2e
b511404f934908c902fa491ffaa5d3f0cf729aaf,ModifiedOptionConflict,88495d6782a6788abb080ec994adffdc,three::::.travis.yml::::script::::npm run build <-> three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::run::::npm run build
cbb2005d5e6ed911924a42b493ed594d41bc9eaa,ModifiedOptionConflict,3ec65f15c9d84db5923f1e79ef59049a,three::::ci.yml::::jobs::::e2e::::steps::::steps_3::::name::::Install packages <-> three::::ci.yml::::jobs::::lint::::steps::::steps_3::::name::::Install packages
2874313b05f020338739f3c02ad9878de05b70f1,MissingOptionConflict,f308886462a9f87af18db2051519c6c5,three::::package.json::::devDependencies::::argparse::::* <-> three::::package.json::::devDependencies::::uglify-js::::*
6895d65e0457ca6c2188542b1bb73caa2bd6a3d5,ModifiedOptionConflict,4992615269938190b4d9d4f997439e44,three::::package.json::::devDependencies::::concurrently::::^5.2.0 <-> three::::package.json::::devDependencies::::pixelmatch::::^5.2.0
4688a5fb211b338224d6f47b99684fcee138320e,MissingOptionConflict,d3370f4a38563c4807cfd9dfb0dd9ff1,three::::package.json::::files::::files/build/three.module.js::::build/three.module.js <-> three::::package.json::::jspm::::files::::files/build/three.module.js::::build/three.module.js
1e2f9b4da59629adf34613070406418d9ba6a6ae,ModifiedOptionConflict,68ba81dd5103087abe4f74e6129120fd,three::::package.json::::devDependencies::::qunit::::^2.10.0 <-> three::::package.json::::devDependencies::::rollup::::^2.10.0
d4cf08da108ff81b50f7c6633de5b9bde2479d35,MissingOptionConflict,cb79764da41ed6740cc86e8b58f9189d,three::::package.json::::devDependencies::::argparse::::* <-> three::::package.json::::devDependencies::::uglify-js2::::*
