occurred_at,conflict_type,conflict_id,link
f9d6e9a18967b413ad78b6d1a5aed146ed58704c,MissingOptionConflict,0499584485abf7d2bde1c4463a97716d,webpack::::.travis.yml::::node_js::::0.11 <-> webpack::::appveyor.yml::::environment::::matrix::::matrix_2::::nodejs_version::::0.11
de2b86e69636be45dee41467b5f435576af760d0,MissingOptionConflict,5ecd9783b93a4f5281753bde94818d5c,webpack::::open-bot.yaml::::rules::::rules_32::::actions::::label::::webpack-5 <-> webpack::::open-bot.yaml::::rules::::rules_39::::filters::::any_1::::label_2::::webpack-5
de2b86e69636be45dee41467b5f435576af760d0,ModifiedOptionConflict,4ba2f86be467a340e3608ffea257e5ef,webpack::::open-bot.yaml::::rules::::rules_0::::actions::::comment::::identifier::::ci-result <-> webpack::::open-bot.yaml::::rules::::rules_3::::actions::::comment::::identifier::::ci-result
4e315876e48d9c8e8953ca734160ad7bf1e9a6db,MissingOptionConflict,cb0257ff784b32df9631c26ae184f0dd,webpack::::open-bot.yaml::::rules::::rules_19::::filters::::permission::::read|none <-> webpack::::open-bot.yaml::::rules::::rules_8::::filters::::permission::::read|none
3809bf9e1a8c93b503a0a4264b1e0d52dff2069d,MultiValueConflict,29c2426e70424b8260e56244944443f5,webpack::::open-bot.yaml::::rules::::rules_6::::actions::::label::::add::::PR: reviewed-approved <-> webpack::::open-bot.yaml::::rules::::rules_8::::actions::::label::::remove::::PR: reviewed-approved
1c8d138e63601a33ca985741e7f2b3f165b9139a,MissingOptionConflict,ed264fa224398852631afe8641977d46,webpack::::azure-pipelines.yml::::jobs::::jobs_2::::steps::::steps_7::::displayName::::Run tests with coverage <-> webpack::::azure-pipelines.yml::::jobs::::jobs_3::::steps::::steps_5::::displayName::::Run tests with coverage
893eac2f2e2db22f6b32de0201c56b67a8767a8d,MissingOptionConflict,58a5100b8b3e2246d6368c1783b5bdc9,webpack::::open-bot.yaml::::rules::::rules_3::::actions::::label::::remove::::PR: tests-needed <-> webpack::::open-bot.yaml::::rules::::rules_6::::actions::::label::::remove::::PR: tests-needed
65d795e5a79f66d53146def3e344a35c0f9dd23a,MultiValueConflict,11fa7c887607bfd596a34d2761c26166,webpack::::open-bot.yaml::::rules::::rules_10::::actions::::label::::add::::PR: non-main <-> webpack::::open-bot.yaml::::rules::::rules_6::::actions::::label::::remove::::PR: non-main
fd1a6d159e78094dc673f26aa0d3a080048cd0b9,MissingOptionConflict,918c49de26b36965f2255a73bf1f9cc5,webpack::::open-bot.yaml::::rules::::rules_28::::filters::::not::::comment_1::::author::::webpack-bot <-> webpack::::open-bot.yaml::::rules::::rules_33::::filters::::comment::::author::::webpack-bot
505184f812773cea407c1348e15a767f2401873a,MissingOptionConflict,d1d92c6737f79617ea1e04f12649bf29,webpack::::.travis.yml::::matrix::::include::::os/osx::::stage::::versions <-> webpack::::.travis.yml::::stages::::versions
b620a58b403ee5447c4aaadc57263447c3773e68,MissingOptionConflict,409cae78567a9ca174583849f35d4304,webpack::::open-bot.yaml::::rules::::rules_22::::actions::::label::::inactive <-> webpack::::open-bot.yaml::::rules::::rules_23::::actions::::label::::remove::::inactive
9ffd97c3c137376ebde7ca8421f5f26207376296,MissingOptionConflict,5ea3650489e485728d246bb74f528477,webpack::::open-bot.yaml::::rules::::rules_21::::filters::::label::::inactive <-> webpack::::open-bot.yaml::::rules::::rules_22::::filters::::label::::inactive
ab30c6b1c0100634ad46bcaf47ff12963e22aac9,MissingOptionConflict,783e52cc9b805aaecd0ded92d3656a9a,webpack::::open-bot.yaml::::rules::::rules_1::::filters::::any::::ensure_1::::equals::::failure <-> webpack::::open-bot.yaml::::rules::::rules_6::::filters::::ensure::::equals::::failure
aff1ea87a5c5e7a6c61f69db36d4ec33e3ecb06b,MultiValueConflict,fa535bdfff4ffcfd4dbcb1d874a08806,webpack::::open-bot.yaml::::rules::::rules_5::::actions::::label::::remove::::PR: review-outdated <-> webpack::::open-bot.yaml::::rules::::rules_6::::actions::::label::::remove::::PR: review-outdated
893eac2f2e2db22f6b32de0201c56b67a8767a8d,MultiValueConflict,1edfafafbf4cf23e6583b8c1fdd7763e,webpack::::open-bot.yaml::::rules::::rules_0::::actions::::label::::add::::PR: CI-ok <-> webpack::::open-bot.yaml::::rules::::rules_6::::actions::::label::::remove::::PR: CI-ok
65d795e5a79f66d53146def3e344a35c0f9dd23a,MultiValueConflict,f09f6f8671a4267d9abfb1208c9b9415,webpack::::open-bot.yaml::::rules::::rules_10::::actions::::label::::add::::PR: non-main <-> webpack::::open-bot.yaml::::rules::::rules_7::::actions::::label::::remove::::PR: non-main
286e843a06182afe3837cecbffa76980673b5386,MissingOptionConflict,5794f2661af61cae137e7e0b02f9d2b9,webpack::::azure-pipelines.yml::::jobs::::jobs_0::::steps::::steps_6::::task::::PublishTestResults@2 <-> webpack::::azure-pipelines.yml::::jobs::::jobs_1::::steps::::steps_6::::task::::PublishTestResults@2
d855a7d2be3e7759e4cae021416676246d1bfdb9,MissingOptionConflict,5c17f451cd280565c23604d2ccb59cfc,webpack::::open-bot.yaml::::rules::::rules_5::::actions::::label::::remove::::PR: unreviewed <-> webpack::::open-bot.yaml::::rules::::rules_6::::actions::::label::::remove::::PR: unreviewed
6a13b7f57c2c85b85c509ec94ae709ca7293b079,ModifiedOptionConflict,fc4a3f6a9d55e2a7571a3dc7f8c38ad3,webpack::::appveyor.yml::::environment::::matrix::::matrix_1::::nodejs_version::::0.11 <-> webpack::::appveyor.yml::::matrix::::allow_failures::::allow_failures_0::::nodejs_version::::0.11
893eac2f2e2db22f6b32de0201c56b67a8767a8d,MissingOptionConflict,21f020ba7dc65acdebcf0802d76371d6,webpack::::open-bot.yaml::::rules::::rules_24::::filters::::not::::comment::::matching::::admin-actions <-> webpack::::open-bot.yaml::::rules::::rules_27::::actions::::comment::::identifier::::admin-actions
4e315876e48d9c8e8953ca734160ad7bf1e9a6db,MissingOptionConflict,20a2b10cb40845407769e0a71bd79e43,webpack::::open-bot.yaml::::bot::::webpack-bot <-> webpack::::open-bot.yaml::::rules::::rules_27::::filters::::not::::comment::::author::::webpack-bot
9ffd97c3c137376ebde7ca8421f5f26207376296,ModifiedOptionConflict,cfd450ad54873dda020fae74fe774959,webpack::::open-bot.yaml::::rules::::rules_0::::filters::::ensure_2::::equals::::success <-> webpack::::open-bot.yaml::::rules::::rules_5::::filters::::ensure::::equals::::success
65d795e5a79f66d53146def3e344a35c0f9dd23a,MultiValueConflict,ec06da830aeeadcba79285a89bcd79cc,webpack::::open-bot.yaml::::rules::::rules_10::::actions::::label::::remove::::PR: webpack-4 <-> webpack::::open-bot.yaml::::rules::::rules_7::::actions::::label::::remove::::PR: webpack-4
