occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
197d99de4c1b17833e180d628343ae6a998377d0,fce30037286379ef3d523cb787250b2d4ee78e79,94e0713f8a531d2ec7e743a3590df065,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::src/harness/tsconfig.json::::compilerOptions::::target::::es5 <-> TypeScript::::src/services/tsconfig.json::::compilerOptions::::target::::es5,src/services/tsconfig.json,TypeScript::::src/services/tsconfig.json::::compilerOptions::::target(location: 13),git show 197d99de4c1b17833e180d628343ae6a998377d0 -- src/services/tsconfig.json
197d99de4c1b17833e180d628343ae6a998377d0,fce30037286379ef3d523cb787250b2d4ee78e79,3b7ae93c51e912d1a957d05807e85165,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,TypeScript::::src/harness/tsconfig.json::::files::::files/../compiler/transformers/esnext.ts::::../compiler/transformers/esnext.ts <-> TypeScript::::src/services/tsconfig.json::::files::::files/../compiler/transformers/esnext.ts::::../compiler/transformers/esnext.ts,src/services/tsconfig.json,TypeScript::::src/services/tsconfig.json::::files::::files/../compiler/transformers/esnext.ts(location: 18),git show 197d99de4c1b17833e180d628343ae6a998377d0 -- src/services/tsconfig.json
197d99de4c1b17833e180d628343ae6a998377d0,fce30037286379ef3d523cb787250b2d4ee78e79,b830cc7c275659c20c0f13b77e0eb8c4,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,TypeScript::::src/harness/tsconfig.json::::files::::files/../compiler/core.ts::::../compiler/core.ts <-> TypeScript::::src/services/tsconfig.json::::files::::files/../compiler/core.ts::::../compiler/core.ts,src/services/tsconfig.json,TypeScript::::src/services/tsconfig.json::::files::::files/../compiler/core.ts(location: 18),git show 197d99de4c1b17833e180d628343ae6a998377d0 -- src/services/tsconfig.json
44b6193474a47074656a11bfdaca7cc8758fded8,6fd9d9e01796554b6e30f0d40b17382287bbea98,1374442f83904fb1db48ef8489df1d70,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::tests/baselines/reference/tsConfig/Initialized TSConfig with files options/tsconfig.json::::compilerOptions::::module::::commonjs <-> TypeScript::::tests/cases/projects/decoratorMetadata/emitDecoratorMetadataCommonJSIsolatedModuleNoResolve/tsconfig.json::::compilerOptions::::module::::commonjs,tests/baselines/reference/tsConfig/Initialized TSConfig with files options/tsconfig.json,TypeScript::::tests/baselines/reference/tsConfig/Initialized TSConfig with files options/tsconfig.json::::compilerOptions::::module(location: 3),git show 44b6193474a47074656a11bfdaca7cc8758fded8 -- tests/baselines/reference/tsConfig/Initialized TSConfig with files options/tsconfig.json
2922b803ad8cbcf137e8c65cd9a0437e99af2019,671d8cfcb7f679bf04dcfe698e527e5cd1f8a7ba,ac75eb2265505236e0ca78fa0bfdcc1e,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,TypeScript::::src/compiler/tsconfig.json::::files::::files/types.ts::::types.ts <-> TypeScript::::src/services/tsconfig.json::::files::::files/types.ts::::types.ts,src/compiler/tsconfig.json,TypeScript::::src/compiler/tsconfig.json::::files::::files/types.ts(location: 8),git show 2922b803ad8cbcf137e8c65cd9a0437e99af2019 -- src/compiler/tsconfig.json
5cc0026802a32fcb2d2a00b452defd5e5289e505,980957a29d0afd35c7bf2b3ea3235b0b06de160a,94d24f4b01de25a5916d6f4050aaf8b1,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,TypeScript::::src/server/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/services/tsconfig.json::::extends::::../tsconfig-base,src/services/tsconfig.json,TypeScript::::src/services/tsconfig.json::::extends(location: 2),git show 5cc0026802a32fcb2d2a00b452defd5e5289e505 -- src/services/tsconfig.json
b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99,7f9cec4d61629bfb8be368f69dde0a7134bcf9e1,223e2b1d403d6a9614d62f880cfbdd48,ModifiedOptionConflict,ConfigType.PATH<->ConfigType.PATH,TypeScript::::src/harness/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/typingsInstaller/tsconfig.json::::extends::::../tsconfig-base,src/typingsInstaller/tsconfig.json,TypeScript::::src/typingsInstaller/tsconfig.json::::extends(location: 2),git show b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99 -- src/typingsInstaller/tsconfig.json
197d99de4c1b17833e180d628343ae6a998377d0,fce30037286379ef3d523cb787250b2d4ee78e79,3a35d31360c67bd762a512969821cd3f,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,TypeScript::::src/harness/tsconfig.json::::files::::files/../compiler/scanner.ts::::../compiler/scanner.ts <-> TypeScript::::src/services/tsconfig.json::::files::::files/../compiler/scanner.ts::::../compiler/scanner.ts,src/services/tsconfig.json,TypeScript::::src/services/tsconfig.json::::files::::files/../compiler/scanner.ts(location: 18),git show 197d99de4c1b17833e180d628343ae6a998377d0 -- src/services/tsconfig.json
93bac1b81f5dfc324d7c8f33febf0a41afc97261,17574a87bf23f3db220d3a79dcb66e8fcf8c6b1f,85ec613215dce3567ffef4382d882b35,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param5::::-- <-> TypeScript::::tests/cases/docker/vue-next/Dockerfile::::cmd::::param3::::--,tests/cases/docker/office-ui-fabric/Dockerfile,TypeScript::::tests/cases/docker/office-ui-fabric/Dockerfile::::cmd::::param5(location: 22),git show 93bac1b81f5dfc324d7c8f33febf0a41afc97261 -- tests/cases/docker/office-ui-fabric/Dockerfile
b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99,7f9cec4d61629bfb8be368f69dde0a7134bcf9e1,730b8a1225610567027ff3eccff4b3b9,ModifiedOptionConflict,ConfigType.PATH<->ConfigType.PATH,TypeScript::::src/cancellationToken/tsconfig.json::::extends::::../tsconfig-base <-> TypeScript::::src/server/tsconfig.json::::extends::::../tsconfig-base,src/cancellationToken/tsconfig.json,TypeScript::::src/cancellationToken/tsconfig.json::::extends(location: 2),git show b0fcafb3f5c99d0f6a9f4f1d83ac50dce8eccd99 -- src/cancellationToken/tsconfig.json
