occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
fb8797671d763dc54a846b0e415e436935ca394d,408ffa2c7db1df714bcfacfafedfd1c7cc362314,3b7396f231f959e5bb9847040832d6bb,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::modules/@angular/tsconfig.json::::compilerOptions::::module::::commonjs <-> angular::::tools/tsconfig.json::::compilerOptions::::module::::commonjs,,,
f28765c30331e36d3abf90d7bb0bb508df061f57,f09321df83abc4d3da9aeaf2b2e393b55386bffe,0796e9b2af8fc83af85898e6e7dc3e2d,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::aio/package.json::::devDependencies::::dgeni::::dgeni:^0.4.2 <-> angular::::package.json::::devDependencies::::dgeni::::dgeni:^0.4.2,aio/package.json,angular::::aio/package.json::::devDependencies::::dgeni(location: 44),git show f28765c30331e36d3abf90d7bb0bb508df061f57 -- aio/package.json
41f43d57e8aa25b178a8027a7ef07c2dea8e7893,457cbaa39b45409ae6ffd6402a9251dc10970588,02d94806fc807c137e0b1835bf60e36e,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::modules/rtts_assert/package.json::::devDependencies::::karma-jasmine::::karma-jasmine:^0.2.2 <-> angular::::package.json::::dependencies::::karma-jasmine::::karma-jasmine:^0.2.2,package.json,angular::::package.json::::dependencies::::karma-jasmine(location: 21),git show 41f43d57e8aa25b178a8027a7ef07c2dea8e7893 -- package.json
d487786f451195c618bed321048955b67a1f5023,b199c63f7b1730399d31f6b975d894b27c10a45d,3eedc85bd67e3b62f680f80651ce55e3,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,angular::::modules/@angular/core/test/tsconfig.json::::compilerOptions::::baseUrl::::. <-> angular::::modules/@angular/platform-browser/tsconfig.json::::compilerOptions::::baseUrl::::.,,,
11e0c0b3ec323c5d07e82cbba33245db06bdd07e,a1a70b3c029e4672161a1472103fffe429b10b15,76ee00f4058b0362c074521d20b57fd7,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::modules/tsconfig.json::::compilerOptions::::target::::es5 <-> angular::::tools/typings-test/tsconfig.json::::compilerOptions::::target::::es5,modules/tsconfig.json,angular::::modules/tsconfig.json::::compilerOptions::::target(location: 24),git show 11e0c0b3ec323c5d07e82cbba33245db06bdd07e -- modules/tsconfig.json
729e38af1944f582203270242646607eeb82a6bc,6e923cbf84114f29d0f2b44c08f4d1a09f884dbd,c1c03e2c3f9a6c35f4af7695b454722e,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::modules/angular2/package.json::::devDependencies::::gulp-sourcemaps::::gulp-sourcemaps:1.3.* <-> angular::::package.json::::devDependencies::::gulp-sourcemaps::::gulp-sourcemaps:1.3.*,modules/angular2/package.json,angular::::modules/angular2/package.json::::devDependencies::::gulp-sourcemaps(location: 24),git show 729e38af1944f582203270242646607eeb82a6bc -- modules/angular2/package.json
a5c4536ae2ccd9d6798c840476090e2d397749b2,4f1ca9c4930374682b9972723ba0b18eb3725fa3,8bd83854ab39e6d2438f1a3e326bd859,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::modules/@angular/router/build/package.json::::devDependencies::::parse5::::parse5:^1.3.2 <-> angular::::modules/@angular/router/package.json::::devDependencies::::parse5::::parse5:^1.3.2,,,
39232ff4e0979bc3c6dccebad3e4ee8cb9fcc761,5641d5907e5731d1faa48ef55ce497c571d2116e,9181fdf730637ac421e8e99436ac3fca,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::modules/@angular/router/package.json::::peerDependencies::::rxjs::::rxjs:5.0.0-beta.12 <-> angular::::package.json::::dependencies::::rxjs::::rxjs:5.0.0-beta.12,modules/@angular/router/package.json,angular::::modules/@angular/router/package.json::::peerDependencies::::rxjs(location: 27),git show 39232ff4e0979bc3c6dccebad3e4ee8cb9fcc761 -- modules/@angular/router/package.json
9383dd8d642e0a47a60aec0de34ef0c3804920ef,b4fd45be8ee87c82bae2e8df157c1b61390e90a0,bc467f97e741d09bbc136ad384a80b02,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::angular.io/e2e/tsconfig.json::::compilerOptions::::module::::commonjs <-> angular::::tools/tsconfig.json::::compilerOptions::::module::::commonjs,,,
2fd6fc902a7446d1afc7f4a96683f5b2be3610db,bb8aa32b97cd4eca68b1a9dfdc7cd2e3415a58f0,898809ce47df1feff87819ec97a84d72,ModifiedOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,angular::::aio/package.json::::scripts::::check-env::::gulp check-env <-> angular::::package.json::::scripts::::check-env::::gulp check-env,aio/package.json,angular::::aio/package.json::::scripts::::check-env(location: 20),git show 2fd6fc902a7446d1afc7f4a96683f5b2be3610db -- aio/package.json
1064d5aa99978bf2282315712d6c915a3a7d8bb2,5e2354666522e224ebeda8f356c044d3ca20c54e,cbb985638140580fefeb596c30a5ed64,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::modules/@angular/platform-webworker-dynamic/tsconfig.json::::compilerOptions::::module::::es2015 <-> angular::::modules/rollup-test/tsconfig.json::::compilerOptions::::target::::es2015,,,
adcae1236991d02e00ce6188ddafc7c0f6bf01d0,ea8faca51258cbb4bf6288d0dda0e062bfeec904,ad7de1f902f26b8655a6149d159984bb,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::modules/@angular/examples/tsconfig.json::::compilerOptions::::target::::es5 <-> angular::::tools/typings-test/tsconfig.json::::compilerOptions::::target::::es5,modules/@angular/examples/tsconfig.json,angular::::modules/@angular/examples/tsconfig.json::::compilerOptions::::target(location: 16),git show adcae1236991d02e00ce6188ddafc7c0f6bf01d0 -- modules/@angular/examples/tsconfig.json
