occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
2f093c68738e666e53a2bc299c4709b93b8dc5c5,d120bf0c63d76e83cd091ee5b86cab477578812a,54ffa54d3885e87604e3366d5b0fe3bb,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,atom::::script/package.json::::dependencies::::request-promise-native::::request-promise-native:^1.0.5 <-> atom::::script/vsts/package.json::::dependencies::::request-promise-native::::request-promise-native:^1.0.5,script/package.json,atom::::script/package.json::::dependencies::::request-promise-native(location: 34),git show 2f093c68738e666e53a2bc299c4709b93b8dc5c5 -- script/package.json
ce8e993cf671320fac8e38d3c6f2d664321ab2f9,2013791265421732b741a612b941f8f7677574ab,f7304b551c045d8d697e9c68aba267d8,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,atom::::build/package.json::::dependencies::::underscore-plus::::underscore-plus:1.x <-> atom::::package.json::::dependencies::::underscore-plus::::underscore-plus:1.x,package.json,atom::::package.json::::dependencies::::underscore-plus(location: 56),git show ce8e993cf671320fac8e38d3c6f2d664321ab2f9 -- package.json
e8b13d38ab5281c1c987d0b44df8c0ad524dca28,b5e46d81f2699dc800e4339ae9c720ce3eae78a3,16badf6c0ad61ce0fb9fbea3399e8634,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::spec/fixtures/packages/theme-with-syntax-variables/package.json::::stylesheets::::stylesheets/editor.less::::editor.less <-> atom::::spec/fixtures/packages/theme-with-ui-variables/package.json::::styleSheets::::styleSheets/editor.less::::editor.less,spec/fixtures/packages/theme-with-syntax-variables/package.json,atom::::spec/fixtures/packages/theme-with-syntax-variables/package.json::::stylesheets::::stylesheets/editor.less(location: 3),git show e8b13d38ab5281c1c987d0b44df8c0ad524dca28 -- spec/fixtures/packages/theme-with-syntax-variables/package.json
f063a447460565a2ed851a807123bee4245d9442,898aa23b04a6b3301d720fd82c940a3c616ca542,447eca5a21bff7d0e4bf57fa03849129,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,atom::::package.json::::dependencies::::sinon::::sinon:9.0.3 <-> atom::::packages/dalek/package.json::::devDependencies::::sinon::::sinon:9.0.3,package.json,atom::::package.json::::dependencies::::sinon(location: 150),git show f063a447460565a2ed851a807123bee4245d9442 -- package.json
36333fcbb226f32114a536174261be74a25622ff,ee1572d200f4ab94dff959643a95a567e674ea00,20727c73669a0a74237373d7fde5f6db,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,atom::::package.json::::dependencies::::babel-core::::babel-core:5.8.38 <-> atom::::script/package.json::::dependencies::::babel-core::::babel-core:5.8.38,script/package.json,atom::::script/package.json::::dependencies::::babel-core(location: 6),git show 36333fcbb226f32114a536174261be74a25622ff -- script/package.json
0773aba38a27820864be2616fe98213568d65609,417c9c90851b7d717d945e75ce2967c0fe566c5a,6bc6a1c75d8ba40364527a2c008ee90c,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,atom::::packages/deprecation-cop/package.json::::dependencies::::fs-plus::::fs-plus:^3.0.0 <-> atom::::packages/git-diff/package.json::::dependencies::::fs-plus::::fs-plus:^3.0.0,packages/git-diff/package.json,atom::::packages/git-diff/package.json::::dependencies::::fs-plus(location: 13),git show 0773aba38a27820864be2616fe98213568d65609 -- packages/git-diff/package.json
a27af2b9f77a508326cba7cccdce95a60144af84,f1b25d5a24df6025cdad81942a0f194dbf5443a9,5ec7ac86e899993b07ff78d104cb4064,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::.travis.yml::::addons::::apt::::packages::::git <-> atom::::spec/fixtures/git/repo-with-submodules/You-Dont-Need-jQuery/package.json::::repository::::type::::git,,,
77b4066e76d404f3626bfb18fd47db9dacfed227,c1ae3ff9c3403a4a63e4dbdc301fe759b5ed789e,d542011f5bc743cf628692e898ce08a4,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::build/package.json::::repository::::type::::git <-> atom::::package.json::::repository::::type::::git,package.json,atom::::package.json::::repository::::type(location: 7),git show 77b4066e76d404f3626bfb18fd47db9dacfed227 -- package.json
288c7efcec5a42e159361d97c9ed4bd355d9c267,1558ac42eb17906f62469820585461e742953322,38ddbfbbe67ab2bccd815dddc4e9dba2,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,atom::::package.json::::dependencies::::fs-admin::::fs-admin:^0.1.5 <-> atom::::script/package.json::::dependencies::::fs-admin::::fs-admin:^0.1.5,package.json,atom::::package.json::::dependencies::::fs-admin(location: 36),git show 288c7efcec5a42e159361d97c9ed4bd355d9c267 -- package.json
3cf288f914af88d8dc0359a1042dc85a920296c8,b93004aa8c9d0a955e29e14d0fadb116ab72e8a6,7c2f8a361b2259807db37597763a1a37,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,atom::::build/package.json::::dependencies::::fs-plus::::fs-plus:2.x <-> atom::::package.json::::dependencies::::fs-plus::::fs-plus:2.x,package.json,atom::::package.json::::dependencies::::fs-plus(location: 24),git show 3cf288f914af88d8dc0359a1042dc85a920296c8 -- package.json
f3d8a66482ca9ba21faa1dafd98812534c1bfcca,468d9a33e9a1e94dfb864f7c6233e20aa6b199a5,e43ec5b2c4174dbf97488acdbb6fc629,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,atom::::package.json::::version::::version:1.0.0 <-> atom::::spec/fixtures/packages/package-with-invalid-grammar/package.json::::version::::version:1.0.0,package.json,atom::::package.json::::version(location: 4),git show f3d8a66482ca9ba21faa1dafd98812534c1bfcca -- package.json
