occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
e96163cfa668263a018615af889055bf2d8d8c54,ad7ec20e4902d9d7f5d543408c97ed515bdd9411,205d0d38119501431c22f760cb00a0fb,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,electron::::npm/package.json::::main::::index.js <-> electron::::spec/fixtures/api/electron-module-app/node_modules/electron/package.json::::main::::index.js,,,
3bf42476ec9a526396f7cce21c31a3fb0eec1d08,0ab12a3b6839dacbb33ebed82f4b9690693da1c9,0cd02d6332d1f6f5e93a92055378a771,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,electron::::package.json::::devDependencies::::runas::::runas:3.x <-> electron::::spec/package.json::::devDependencies::::runas::::runas:3.x,package.json,electron::::package.json::::devDependencies::::runas(location: 8),git show 3bf42476ec9a526396f7cce21c31a3fb0eec1d08 -- package.json
01a4ceb8a12b1b7aac3e881e9e65feab38192c8a,d81d188d68af18cabd068c5bc28177c91dd707a4,46ebc4d555b97e6d43ae04cd37cc2820,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,electron::::spec/fixtures/api/ipc-main-listeners/package.json::::main::::main.js <-> electron::::spec/fixtures/snapshot-items-available/package.json::::main::::main.js,,,
4ab0b2aa9d1c24690e5a1ccfd969bcd78b677fb6,16df5725b54c715b42d6c406cdea5247552410f9,1d6cbfa9635aec1964b4ea51c9393996,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,electron::::spec-main/fixtures/apps/xwindow-icon/package.json::::main::::main.js <-> electron::::spec/fixtures/api/site-instance-overrides/package.json::::main::::main.js,,,
e96163cfa668263a018615af889055bf2d8d8c54,ad7ec20e4902d9d7f5d543408c97ed515bdd9411,b59c675d86df2f5ef56daa94d97cfce3,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,electron::::npm/package.json::::main::::index.js <-> electron::::spec/fixtures/api/electron-module-app/node_modules/foo/package.json::::main::::index.js,,,
6fa4b854d435cf4d96f86cab3da3c163ca7bf2e8,4f0b19def774a6255d7dec658a83b2faf7a23497,4ae7741ff0ca88d637b8225ee8f74427,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,electron::::browser/default_app/package.json::::version::::version:0.1.0 <-> electron::::package.json::::version::::version:0.1.0,package.json,electron::::package.json::::version(location: 3),git show 6fa4b854d435cf4d96f86cab3da3c163ca7bf2e8 -- package.json
051b30263649bb8bda6e3b15b20189cf977c6d41,10a6c8c9d7c17e03a77b09ead63be0402fef537f,881f8d21b6cbfac21df52579d2c4597a,ModifiedOptionConflict,ConfigType.PATH<->ConfigType.PATH,electron::::browser/default_app/package.json::::main::::main.js <-> electron::::spec/package.json::::main::::main.js,spec/package.json,electron::::spec/package.json::::main(location: 3),git show 051b30263649bb8bda6e3b15b20189cf977c6d41 -- spec/package.json
7011bf5c2fc958468edf344e265f8f8db02b7cf5,d51b569735e2de4754e5a228e2d1ce8b248719ae,28bb742a2fbd9399ee89e2c209b05f33,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,electron::::atom/browser/default_app/package.json::::main::::main.js <-> electron::::spec/fixtures/api/quit-app/package.json::::main::::main.js,,,
e96163cfa668263a018615af889055bf2d8d8c54,ad7ec20e4902d9d7f5d543408c97ed515bdd9411,8951400bb78bc0d5eb6d54e23245be3e,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,electron::::spec-main/fixtures/auto-update/update-json/package.json::::name::::initial-app <-> electron::::spec-main/fixtures/auto-update/update/package.json::::name::::initial-app,spec-main/fixtures/auto-update/update/package.json,electron::::spec-main/fixtures/auto-update/update/package.json::::name(location: 2),git show e96163cfa668263a018615af889055bf2d8d8c54 -- spec-main/fixtures/auto-update/update/package.json
2eb1bdd95f15ae503abf4e26cb9529be9221f72a,41987960cb0ad3bec804a64df770bf3a075fc623,1a17678a479d651ae0c47ffa228b11f3,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,electron::::spec-main/fixtures/auto-update/initial/package.json::::name::::initial-app <-> electron::::spec-main/fixtures/auto-update/update-json/package.json::::name::::initial-app,spec-main/fixtures/auto-update/initial/package.json,electron::::spec-main/fixtures/auto-update/initial/package.json::::name(location: 2),git show 2eb1bdd95f15ae503abf4e26cb9529be9221f72a -- spec-main/fixtures/auto-update/initial/package.json
bd1a289dc77af260575dc71f32df75dd80d55e97,110685cf2f3f5a31f3844b6d925019f5519b0537,c66018e82522bfc3e1f51d0b877db6e1,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,electron::::browser/default_app/package.json::::version::::version:0.1.0 <-> electron::::spec/package.json::::version::::version:0.1.0,,,
e96163cfa668263a018615af889055bf2d8d8c54,ad7ec20e4902d9d7f5d543408c97ed515bdd9411,ef8df44df54df0df3afc98991fac1f46,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,electron::::spec-main/fixtures/auto-update/check-with-headers/package.json::::name::::electron-test-initial-app <-> electron::::spec-main/fixtures/auto-update/check/package.json::::name::::electron-test-initial-app,spec-main/fixtures/auto-update/check/package.json,electron::::spec-main/fixtures/auto-update/check/package.json::::name(location: 2),git show e96163cfa668263a018615af889055bf2d8d8c54 -- spec-main/fixtures/auto-update/check/package.json
2eb1bdd95f15ae503abf4e26cb9529be9221f72a,41987960cb0ad3bec804a64df770bf3a075fc623,44f0a866311e9f8b78e7122ab4daadc7,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,electron::::spec-main/fixtures/auto-update/check-with-headers/package.json::::name::::initial-app <-> electron::::spec-main/fixtures/auto-update/update-json/package.json::::name::::initial-app,spec-main/fixtures/auto-update/check-with-headers/package.json,electron::::spec-main/fixtures/auto-update/check-with-headers/package.json::::name(location: 2),git show 2eb1bdd95f15ae503abf4e26cb9529be9221f72a -- spec-main/fixtures/auto-update/check-with-headers/package.json
6fa4b854d435cf4d96f86cab3da3c163ca7bf2e8,4f0b19def774a6255d7dec658a83b2faf7a23497,7a4958ae294f4097f9a09b111122a157,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,electron::::browser/default_app/package.json::::name::::atom <-> electron::::package.json::::name::::atom,package.json,electron::::package.json::::name(location: 2),git show 6fa4b854d435cf4d96f86cab3da3c163ca7bf2e8 -- package.json
787c364e368a701c093b6be91f66d9b6a460fbcc,ea333839b79be6c341d54f890ccdd5d3522f63a8,4bb30478ed5c05a30638261cfa36fdeb,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,electron::::atom/browser/default_app/package.json::::version::::version:0.1.0 <-> electron::::spec/package.json::::version::::version:0.1.0,atom/browser/default_app/package.json,electron::::atom/browser/default_app/package.json::::version(location: 4),git show 787c364e368a701c093b6be91f66d9b6a460fbcc -- atom/browser/default_app/package.json
01a4ceb8a12b1b7aac3e881e9e65feab38192c8a,d81d188d68af18cabd068c5bc28177c91dd707a4,6659980bb2798afd8a53583b9a117e56,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,electron::::spec/fixtures/crash-app/package.json::::main::::main.js <-> electron::::spec/fixtures/snapshot-items-available/package.json::::main::::main.js,,,
2eb1bdd95f15ae503abf4e26cb9529be9221f72a,41987960cb0ad3bec804a64df770bf3a075fc623,8c0aed4d6eee497aabe2bb6f384859a4,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,electron::::spec-main/fixtures/auto-update/check/package.json::::name::::initial-app <-> electron::::spec-main/fixtures/auto-update/update/package.json::::name::::initial-app,spec-main/fixtures/auto-update/check/package.json,electron::::spec-main/fixtures/auto-update/check/package.json::::name(location: 2),git show 2eb1bdd95f15ae503abf4e26cb9529be9221f72a -- spec-main/fixtures/auto-update/check/package.json
e96163cfa668263a018615af889055bf2d8d8c54,ad7ec20e4902d9d7f5d543408c97ed515bdd9411,7c06a204ba596858c9acd455cf093fd9,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.NAME,electron::::spec-main/fixtures/auto-update/check-with-headers/package.json::::name::::electron-test-initial-app <-> electron::::spec-main/fixtures/auto-update/initial/package.json::::name::::electron-test-initial-app,spec-main/fixtures/auto-update/check-with-headers/package.json,electron::::spec-main/fixtures/auto-update/check-with-headers/package.json::::name(location: 2),git show e96163cfa668263a018615af889055bf2d8d8c54 -- spec-main/fixtures/auto-update/check-with-headers/package.json
