occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
6cff4044fc4e9103de090bff30fad9e31e65a94e,afd1ff123e3f303e5d6577ff0c4afbe10c56907e,84ec9266270acd29463bf76b1c748496,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,element::::packages/radio/package.json::::main::::./lib/index.js <-> element::::packages/upload/package.json::::main::::./lib/index.js,,,
7b987e0b5ba32bbd24747e1d63d0d16b330a8666,6a39f01a554479ad379c93849f4e59fb884de332,d1fb55f370fbfa48b10b7d6243c11388,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:1.3.1 <-> element::::packages/theme-default/package.json::::version::::version:1.3.1,packages/theme-default/package.json,element::::packages/theme-default/package.json::::version(location: 3),git show 7b987e0b5ba32bbd24747e1d63d0d16b330a8666 -- packages/theme-default/package.json
6cff4044fc4e9103de090bff30fad9e31e65a94e,afd1ff123e3f303e5d6577ff0c4afbe10c56907e,cad5df15b4e2672fd0128e7ff2658253,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,element::::packages/autocomplete/package.json::::main::::./lib/index.js <-> element::::packages/date-picker/package.json::::main::::./lib/index.js,,,
41553e71b47dc828bb64e2837cf541594804cbb9,e6bac67062ddbe50e7749fedd6263b49bd21ea30,30a21b836d4e87cb80da996f9e4d9d9f,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:1.2.3 <-> element::::packages/theme-default/package.json::::version::::version:1.2.3,packages/theme-default/package.json,element::::packages/theme-default/package.json::::version(location: 3),git show 41553e71b47dc828bb64e2837cf541594804cbb9 -- packages/theme-default/package.json
6cff4044fc4e9103de090bff30fad9e31e65a94e,afd1ff123e3f303e5d6577ff0c4afbe10c56907e,add778b71a1bb04baaa066569ac94385,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::packages/loading/package.json::::version::::version:0.0.0 <-> element::::packages/message/package.json::::version::::version:0.0.0,,,
d36bbcca04249a94e0f2c38363211892d2d7cf9e,6d5a5b70bcad620ca0d00610c987ae624be0ec02,bc4f9274067b8569eb7bb64873817691,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:1.4.1 <-> element::::packages/theme-default/package.json::::version::::version:1.4.1,packages/theme-default/package.json,element::::packages/theme-default/package.json::::version(location: 3),git show d36bbcca04249a94e0f2c38363211892d2d7cf9e -- packages/theme-default/package.json
a390bd7f0957dab15831231a96b58b7be1a8e009,9fefb0f9fd0cb6549e6d0a645f405177a8ee709b,b4ebce9c79c2ce1ecae2f80c215706ed,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::devDependencies::::vue-popup::::vue-popup:^0.2.6 <-> element::::packages/dialog/package.json::::devDependencies::::vue-popup::::vue-popup:^0.2.6,packages/dialog/package.json,element::::packages/dialog/package.json::::devDependencies::::vue-popup(location: 15),git show a390bd7f0957dab15831231a96b58b7be1a8e009 -- packages/dialog/package.json
3a03026263bc54060f521061be85ed54b55d2259,6a4361358f5ab24100df788bc9e4a01e8efed22d,06f810bd1ee85cb3fa967852929d8a70,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:1.1.6 <-> element::::packages/theme-default/package.json::::version::::version:1.1.6,packages/theme-default/package.json,element::::packages/theme-default/package.json::::version(location: 3),git show 3a03026263bc54060f521061be85ed54b55d2259 -- packages/theme-default/package.json
96248fe141adcef29c78d3df0a7bb1fb6fa8d948,44963f3397ed4800a3c81c59f0c1418ba8c91906,3bb9e66446429445d2e4140c073cd7d4,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:2.6.0 <-> element::::packages/theme-chalk/package.json::::version::::version:2.6.0,packages/theme-chalk/package.json,element::::packages/theme-chalk/package.json::::version(location: 3),git show 96248fe141adcef29c78d3df0a7bb1fb6fa8d948 -- packages/theme-chalk/package.json
53fe6678c15f8cc08d378e6d18f8b5399fbb6bc5,2c9088d9fdaf018aba2dd361bc24d58fc8b14d67,b5579c44d3b5ededdbb7ce7e8a88f877,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:2.2.0 <-> element::::packages/theme-chalk/package.json::::version::::version:2.2.0,packages/theme-chalk/package.json,element::::packages/theme-chalk/package.json::::version(location: 3),git show 53fe6678c15f8cc08d378e6d18f8b5399fbb6bc5 -- packages/theme-chalk/package.json
6cff4044fc4e9103de090bff30fad9e31e65a94e,afd1ff123e3f303e5d6577ff0c4afbe10c56907e,45bb409498bea71daa93e2fecb1dc516,MissingArtifactConflict,ConfigType.LICENSE<->ConfigType.LICENSE,element::::package.json::::license::::MIT <-> element::::packages/badge/package.json::::license::::MIT,,,
fbf1025a58e53e126a6de08ef8ecda532c0fed5d,7c5ff66818c5af4feec71121e18ece5d21682307,7949cc31e2c133c261b955a19f98b7e3,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:2.3.4 <-> element::::packages/theme-chalk/package.json::::version::::version:2.3.4,packages/theme-chalk/package.json,element::::packages/theme-chalk/package.json::::version(location: 3),git show fbf1025a58e53e126a6de08ef8ecda532c0fed5d -- packages/theme-chalk/package.json
d5bf32bda4fe161e456575d07eedaee19d6b8bcd,e1b90b74558cd07e282c09f66a85600544b84c9d,9d22780f51be90088f75c6a6c7d631a6,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:2.7.1 <-> element::::packages/theme-chalk/package.json::::version::::version:2.7.1,packages/theme-chalk/package.json,element::::packages/theme-chalk/package.json::::version(location: 3),git show d5bf32bda4fe161e456575d07eedaee19d6b8bcd -- packages/theme-chalk/package.json
9d96ffb6933bb1b03df69feaa1608e88d61c6c3c,eb0fe83ad2c45037265caf6685bb8f45c0bfe349,465a48c6a925fd3c7ae64a41d09c081a,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:2.11.0 <-> element::::packages/theme-chalk/package.json::::version::::version:2.11.0,packages/theme-chalk/package.json,element::::packages/theme-chalk/package.json::::version(location: 3),git show 9d96ffb6933bb1b03df69feaa1608e88d61c6c3c -- packages/theme-chalk/package.json
2929f3de4c782706f2d211278bb9911f7b4e3fbb,28052c743c55e266a5c59b4f0f70e6de2b75d4a9,a96b64627aef019d6b33ad4893409b08,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:2.15.6 <-> element::::packages/theme-chalk/package.json::::version::::version:2.15.6,packages/theme-chalk/package.json,element::::packages/theme-chalk/package.json::::version(location: 3),git show 2929f3de4c782706f2d211278bb9911f7b4e3fbb -- packages/theme-chalk/package.json
b58b93fe7a18e87de93b86037d456eaa004f7068,7ca46a542152e0f9f6f19caf82db0fbdff14e24b,633f84746f22c7f9f38893702966a837,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::package.json::::version::::version:2.6.1 <-> element::::packages/theme-chalk/package.json::::version::::version:2.6.1,packages/theme-chalk/package.json,element::::packages/theme-chalk/package.json::::version(location: 3),git show b58b93fe7a18e87de93b86037d456eaa004f7068 -- packages/theme-chalk/package.json
0668965850eb006b0c2807c8b5584c13840890c1,aeb449844d22daad4478121e83be3cd1f5b9e6d6,078d49d857ba550c93c17e49931bc5ba,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,element::::packages/date-picker/package.json::::version::::version:1.0.0 <-> element::::packages/theme-default/package.json::::version::::version:1.0.0,packages/theme-default/package.json,element::::packages/theme-default/package.json::::version(location: 3),git show 0668965850eb006b0c2807c8b5584c13840890c1 -- packages/theme-default/package.json
