occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
7039947b4a7390e0f3c8152818b25ec95a9fae1a,c9ca667807831f65f5331ebb198efa7ca27db727,e39783a0662e4897dded67e92efec310,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::api-server/package.json::::devDependencies::::jest::::jest:^24.8.0 <-> freeCodeCamp::::tools/scripts/build/package.json::::devDependencies::::jest::::jest:^24.8.0,api-server/package.json,freeCodeCamp::::api-server/package.json::::devDependencies::::jest(location: 12),git show 7039947b4a7390e0f3c8152818b25ec95a9fae1a -- api-server/package.json
626e9e5a340f3baa5bfcdf5ce218d46ad40d23ca,07501e44ae23830499b3e05cf2de8e5dd805c008,325b4ca2616e05d165ec9d02fce72971,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::package.json::::version::::version:0.0.1 <-> freeCodeCamp::::packages/learn/plugins/fcc-source-challenges/package.json::::version::::version:0.0.1,,,
38bbc04cc54f6fa2bc70294f9b56832bb6b44181,aeac9f3e2bf7fdb08c560939ef26796cf7ef3f5e,8340580fdd666e79a51ea99365e8721c,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::bower_components/angular/package.json::::repository::::type::::git <-> freeCodeCamp::::package.json::::repository::::type::::git,,,
38bbc04cc54f6fa2bc70294f9b56832bb6b44181,aeac9f3e2bf7fdb08c560939ef26796cf7ef3f5e,bb5628d0dc1e1e0d657786b4060a3770,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,freeCodeCamp::::bower_components/jsdom/package.json::::repository::::type::::git <-> freeCodeCamp::::public/js/lib/codemirror/package.json::::repository::::type::::git,,,
414e2d5f9497838624815cd12186181efe85f7e8,dfd5b933ef19653562812a4fdb0669ee21285156,a94e180f2768e908a9fc0b7eda2d62e7,MissingArtifactConflict,ConfigType.LICENSE<->ConfigType.LICENSE,freeCodeCamp::::tools/dashboard/lib/package.json::::license::::BSD-3-Clause <-> freeCodeCamp::::tools/scripts/seed/package.json::::license::::BSD-3-Clause,,,
ef5185859f2d3d5f346aac50d3f8b73110ff343c,7322acfdc8d3015c129c1bdfb96f811ef1d647dd,303806a0c0a01085d24681ab71ef4fd2,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::api-server/package.json::::devDependencies::::joi-objectid::::joi-objectid:^2.0.0 <-> freeCodeCamp::::curriculum/package.json::::devDependencies::::joi-objectid::::joi-objectid:^2.0.0,curriculum/package.json,freeCodeCamp::::curriculum/package.json::::devDependencies::::joi-objectid(location: 71),git show ef5185859f2d3d5f346aac50d3f8b73110ff343c -- curriculum/package.json
ef5185859f2d3d5f346aac50d3f8b73110ff343c,7322acfdc8d3015c129c1bdfb96f811ef1d647dd,9385a9d2c9306f814b8ee5943ab609de,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::curriculum/package.json::::devDependencies::::eslint-config-freecodecamp::::eslint-config-freecodecamp:^1.1.1 <-> freeCodeCamp::::package.json::::devDependencies::::eslint-config-freecodecamp::::eslint-config-freecodecamp:^1.1.1,curriculum/package.json,freeCodeCamp::::curriculum/package.json::::devDependencies::::eslint-config-freecodecamp(location: 63),git show ef5185859f2d3d5f346aac50d3f8b73110ff343c -- curriculum/package.json
91173f8fcb31fc667205c608e792e7ba89a0bb9e,d30dba3716392d6864f699486dcdda3e4c67e739,e471eea5c821a473217167bccd3d1835,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::api-server/package.json::::dependencies::::lodash::::lodash:^4.17.20 <-> freeCodeCamp::::curriculum/package.json::::devDependencies::::lodash::::lodash:^4.17.20,api-server/package.json,freeCodeCamp::::api-server/package.json::::dependencies::::lodash(location: 39),git show 91173f8fcb31fc667205c608e792e7ba89a0bb9e -- api-server/package.json
59130a1d182d72ec4d22ec4411518c8db6fd65f5,13654b61b4db5d879aa6d404e311362f78a3b6b1,7328f95dbd371b2bb70ce5c10f1aea90,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::client/package.json::::devDependencies::::@types/node::::@types/node:16.11.7 <-> freeCodeCamp::::tools/ui-components/package.json::::dependencies::::@types/node::::@types/node:16.11.7,client/package.json,freeCodeCamp::::client/package.json::::devDependencies::::@types/node(location: 139),git show 59130a1d182d72ec4d22ec4411518c8db6fd65f5 -- client/package.json
a9f55bf24e0bb85f108166fb70e4e4704f3d10e4,e3aba969ded7b52fce95d9c88b70519a50e2753d,34c81878aa841107e84794c598c805c4,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,freeCodeCamp::::client/plugins/gatsby-remark-fcc-forum-emoji/package.json::::version::::version:0.0.1 <-> freeCodeCamp::::tools/scripts/build/package.json::::version::::version:0.0.1,,,
