occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
52dc66f67f1d07e73b38f2ae39f8d6eb4c96e512,26b16de8d7c49d44d8812f2308d299c02c5bd675,01cbd383beba3f12e7ebf86303106f6b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,ionic-framework::::demos/package.json::::dependencies::::rxjs::::rxjs:5.0.0-beta.12 <-> ionic-framework::::package.json::::dependencies::::rxjs::::rxjs:5.0.0-beta.12,package.json,ionic-framework::::package.json::::dependencies::::rxjs(location: 38),git show 52dc66f67f1d07e73b38f2ae39f8d6eb4c96e512 -- package.json
79a59a72e212941ef70317516fe87abfb1da1ae0,a8da00725c5c1071dd958936cd491d6493a050d6,6c77a692e5b4d121c9e3c6059ae12adb,ModifiedOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,ionic-framework::::packages/core/package.json::::scripts::::build::::npm run clean && npm run copy.vendor && stencil build <-> ionic-framework::::packages/ionic-vanilla/package.json::::scripts::::build::::npm run clean && npm run copy.vendor && stencil build,packages/ionic-vanilla/package.json,ionic-framework::::packages/ionic-vanilla/package.json::::scripts::::build(location: 7),git show 79a59a72e212941ef70317516fe87abfb1da1ae0 -- packages/ionic-vanilla/package.json
612d18a7e8fcd8084283ac3eaf626df46206d375,1f2c5241534070e6945adacc6ea0fefa8827ae70,6abb0d1f74f8817365105c236ec5ec51,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,ionic-framework::::packages/react-router/package.json::::dependencies::::tslint-ionic-rules::::tslint-ionic-rules:0.0.21 <-> ionic-framework::::packages/react/package.json::::devDependencies::::tslint-ionic-rules::::tslint-ionic-rules:0.0.21,packages/react-router/package.json,ionic-framework::::packages/react-router/package.json::::dependencies::::tslint-ionic-rules(location: 41),git show 612d18a7e8fcd8084283ac3eaf626df46206d375 -- packages/react-router/package.json
34b8d3e198462a99ceffe8ea52cdc0ec7527b272,981ef6299c4b7df6c62b1e755fcef16b6c2509ef,f60ad91b64089433cf36f1737d12d62d,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,ionic-framework::::packages/angular/package.json::::devDependencies::::@angular/platform-browser::::@angular/platform-browser:next <-> ionic-framework::::packages/demos/angular/package.json::::dependencies::::@angular/platform-browser::::@angular/platform-browser:next,packages/demos/angular/package.json,ionic-framework::::packages/demos/angular/package.json::::dependencies::::@angular/platform-browser(location: 21),git show 34b8d3e198462a99ceffe8ea52cdc0ec7527b272 -- packages/demos/angular/package.json
a0f8ac548ed8c2cc6ccf1f296fd4c191af1fde87,9db3abbd013e8e82ef50c70c4ea52e5f33c854a9,77a892f13ff0280f4d46029613cfd772,MissingArtifactConflict,ConfigType.LICENSE<->ConfigType.LICENSE,ionic-framework::::packages/ionic-angular/package.json::::license::::MIT <-> ionic-framework::::packages/stencil-fiber-demo/package.json::::license::::MIT,,,
e976148827e20910620a046c0cfb017111d2be79,7238a785fe085a5cec8727fe141bb48318adccfd,725332a70dbb7bc65bdef9d678b37dbc,MissingArtifactConflict,ConfigType.LICENSE<->ConfigType.LICENSE,ionic-framework::::.scripts/v3/package.json::::license::::MIT <-> ionic-framework::::vue/package.json::::license::::MIT,,,
d0e69f637fc58d0d3429f9253a1edfa393a099e1,0161c93ac3caf5441f46d392406e26a9079bcea0,3503ecbe11fae69a371ac7701fe9fb31,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,ionic-framework::::angular/package.json::::devDependencies::::@angular/router::::@angular/router:^6.0.0 <-> ionic-framework::::angular/test/testapp/package.json::::dependencies::::@angular/router::::@angular/router:^6.0.0,angular/package.json,ionic-framework::::angular/package.json::::devDependencies::::@angular/router(location: 53),git show d0e69f637fc58d0d3429f9253a1edfa393a099e1 -- angular/package.json
75add5baf2ce3f3b567f23cb7c56212b7ee48720,4bb26976d6c15e03d705153d03aa31cf0b90ad65,ace0a43a27eebf6782b1bc29075af8a9,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,ionic-framework::::core/tsconfig.json::::include::::include/src/**/*.ts::::src/**/*.ts <-> ionic-framework::::vue/tsconfig.json::::include::::include/src/**/*.ts::::src/**/*.ts,core/tsconfig.json,ionic-framework::::core/tsconfig.json::::include::::include/src/**/*.ts(location: 27),git show 75add5baf2ce3f3b567f23cb7c56212b7ee48720 -- core/tsconfig.json
63e00e409d81138a4aa84fd9de239e89ac7902a4,352888d348143f75c18e51ffeeda4b216cc74474,8ec638118b080b6d03006a28c9e4a872,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,ionic-framework::::demos/package.json::::dependencies::::@angular/core::::@angular/core:^2.0.0 <-> ionic-framework::::package.json::::dependencies::::@angular/core::::@angular/core:^2.0.0,package.json,ionic-framework::::package.json::::dependencies::::@angular/core(location: 31),git show 63e00e409d81138a4aa84fd9de239e89ac7902a4 -- package.json
99c08d23dc765271a4b0c7818fcdf1af3b74ea21,5e39ef4ca4fa68639afa22f34fcdb42b96434b04,6ba52dc2297b4e4bba76f8736c97b99b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,ionic-framework::::packages/react/package.json::::devDependencies::::rollup::::rollup:^2.18.1 <-> ionic-framework::::vue/package.json::::devDependencies::::rollup::::rollup:^2.18.1,packages/react/package.json,ionic-framework::::packages/react/package.json::::devDependencies::::rollup(location: 64),git show 99c08d23dc765271a4b0c7818fcdf1af3b74ea21 -- packages/react/package.json
