occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
1b5737f19a000d7bcbbba772ff1253074ff01277,b71ee5230fd5fec93cc0b576af463e8b81260eef,5a5b8f6585ed2b1b4bcbdac1bb950890,ModifiedOptionConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::build/build-image/Dockerfile::::add::::dest::::/ <-> kubernetes::::cluster/images/etcd/Dockerfile::::workdir::::/,build/build-image/Dockerfile,kubernetes::::build/build-image/Dockerfile::::add::::dest(location: 51),git show 1b5737f19a000d7bcbbba772ff1253074ff01277 -- build/build-image/Dockerfile
a77d0ceb2b9831f82da7c41616fb8059bf5ced59,d7369ded15b98e4dbc39ab9b40e283195c89fa75,807d9eecfc63787bfce2a0c4e93ca081,ModifiedOptionConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::cluster/addons/addon-manager/Dockerfile::::add::::dest::::/usr/local/bin/ <-> kubernetes::::cluster/images/etcd/Dockerfile::::copy::::dest::::/usr/local/bin/,cluster/images/etcd/Dockerfile,kubernetes::::cluster/images/etcd/Dockerfile::::copy::::dest(location: 18),git show a77d0ceb2b9831f82da7c41616fb8059bf5ced59 -- cluster/images/etcd/Dockerfile
0e4e34024c444f1215e97af61e55db126f5d6dff,639b19f3a1d60afb0e7c978b5dcb815db1b82c7e,f69b053fd52dba060adf4572a48bd115,MissingArtifactConflict,ConfigType.LANGUAGE<->ConfigType.LANGUAGE,kubernetes::::Godeps/_workspace/src/github.com/fsouza/go-dockerclient/.travis.yml::::language::::go <-> kubernetes::::Godeps/_workspace/src/github.com/hashicorp/raft/.travis.yml::::language::::go,,,
e36785ffcca3175213ec10c9b6869bc9cba7d5bf,6c3fcf3ecb69eb27bef87ddb55a0374bd1a9e2c9,e7e9e03ff841618a94097aed5ed9a879,MissingArtifactConflict,ConfigType.NAME<->ConfigType.NAME,kubernetes::::build/go-runner/Dockerfile::::from::::name::::builder <-> kubernetes::::cluster/images/etcd/Dockerfile::::copy::::from::::builder,,,
a5f82d923e91d150705143307d40d596bd818121,35951beace2e3fc5616c90b98840aa9af38351b6,5809ca6d5d2fca05c6b43003b5d6ad46,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::build/build-image/Dockerfile::::add::::dest::::/ <-> kubernetes::::cluster/addons/fluentd-elasticsearch/es-image/Dockerfile::::copy::::dest::::/,cluster/addons/fluentd-elasticsearch/es-image/Dockerfile,kubernetes::::cluster/addons/fluentd-elasticsearch/es-image/Dockerfile::::copy::::dest(location: 43),git show a5f82d923e91d150705143307d40d596bd818121 -- cluster/addons/fluentd-elasticsearch/es-image/Dockerfile
5242dd0a4f0284efdaeac698b1faad3febbc913e,acfb73653c270c15ebf00675477aaba0d34a8779,2dd9eebad76c0147cd37cb870362f7c4,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,kubernetes::::Godeps/_workspace/src/github.com/bradfitz/http2/Dockerfile::::from::::ubuntu:trusty <-> kubernetes::::examples/celery-rabbitmq/flower/Dockerfile::::from::::ubuntu:trusty,,,
6609f9e10afbccbf890942f6d2bc0809e9d84d9f,850f699832a7bc91e3319352a40cdb775c0e5a9c,46cd8811a1cc2f8618f0e7cd2a08becf,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile::::copy::::src::::. <-> kubernetes::::release-0.19.0/examples/cluster-dns/images/backend/Dockerfile::::copy::::src::::.,,,
46926e39c66421fbf6b86a600bbdb9af0d782447,7a22d5df99dc9f44a09a0940c290ebfaca9a0c4e,7114a20e1eb766db3c356c742b9c1ba1,MissingOptionConflict,ConfigType.NAME<->ConfigType.NAME,kubernetes::::.travis.yml::::services::::docker <-> kubernetes::::Godeps/_workspace/src/github.com/fsouza/go-dockerclient/.travis.yml::::services::::docker,.travis.yml,kubernetes::::.travis.yml::::services(location: 7),git show 46926e39c66421fbf6b86a600bbdb9af0d782447 -- .travis.yml
6609f9e10afbccbf890942f6d2bc0809e9d84d9f,850f699832a7bc91e3319352a40cdb775c0e5a9c,d05b2cdcf41526add1982583b08a1177,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile::::copy::::src::::. <-> kubernetes::::release-0.19.0/docs/design/clustering/Dockerfile::::add::::src::::.,,,
7bf2e33d6941790fcf097e4c1076846800310463,5a7b9841e1da3f63b5c8030afe579dc14cb4e61b,d7927734465d63c35557ea69de74cc4d,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::api/Dockerfile::::add::::src::::. <-> kubernetes::::build/run-images/proxy/Dockerfile::::add::::src::::.,,,
2b85f37b448cdb1bbbe8c780e0f3b752be0e592b,2118f4ace88b6208715acd7682791277df75c436,6c564dd4fbd5cf22258ae86d165df9f6,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::build/build-image/Dockerfile::::add::::dest::::/ <-> kubernetes::::cmd/kube-aggregator/artifacts/simple-image/Dockerfile::::add::::dest::::/,,,
ffac42cc76ce8eb5abb2116591f2af0c4f4a067d,4d0682f8310372d91adece935c9c223e44567340,60d46e34d9b01d85ded98fd56a53b8dc,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,kubernetes::::.travis.yml::::matrix::::include::::go/1.5.2::::go::::1.5.2 <-> kubernetes::::Godeps/_workspace/src/github.com/fsouza/go-dockerclient/.travis.yml::::go::::1.5.2,.travis.yml,kubernetes::::.travis.yml::::matrix::::include::::go/1.5.2::::go(location: 14),git show ffac42cc76ce8eb5abb2116591f2af0c4f4a067d -- .travis.yml
1a6e7298e03762e5c3736a2bc7c8efcc10dee355,1d5dbf904556165b065a738d428d3c9db40629ea,dc5e6f1cf4b96f5be799d0d2c2a8d98e,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,kubernetes::::.travis.yml::::matrix::::include::::go/1.4::::go::::1.4 <-> kubernetes::::Godeps/_workspace/src/github.com/ghodss/yaml/.travis.yml::::go::::1.4,.travis.yml,kubernetes::::.travis.yml::::matrix::::include::::go/1.4::::go(location: 7),git show 1a6e7298e03762e5c3736a2bc7c8efcc10dee355 -- .travis.yml
7bf2e33d6941790fcf097e4c1076846800310463,5a7b9841e1da3f63b5c8030afe579dc14cb4e61b,74a50e767947d70483fbae2069862dea,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::api/Dockerfile::::add::::src::::. <-> kubernetes::::build/run-images/bootstrap/Dockerfile::::add::::src::::.,,,
a7742e4acaabb9fde515bb483768c98b3f22d4da,0131f9a472ea9e0efca6cc351edf04ccba7571ad,93012145f442c97b7074332192043b2b,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::build/debian-base/Dockerfile::::add::::dest::::/ <-> kubernetes::::cluster/images/etcd-empty-dir-cleanup/Dockerfile::::copy::::dest::::/,,,
07f7f2dba838b32db396886381ecfae7f25a5b74,778bf04f512a52c5b9012a67fc5e2e50d8ecc38c,a1138475a712fbf890a173bba2e0d2c2,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::build/build-image/Dockerfile::::add::::dest::::/ <-> kubernetes::::cmd/kubernetes-discovery/artifacts/simple-image/Dockerfile::::add::::dest::::/,,,
6609f9e10afbccbf890942f6d2bc0809e9d84d9f,850f699832a7bc91e3319352a40cdb775c0e5a9c,637ac8eeb45e419685692490cf76c7e2,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile::::copy::::src::::. <-> kubernetes::::release-0.20.0/examples/cluster-dns/images/frontend/Dockerfile::::copy::::src::::.,,,
a77d0ceb2b9831f82da7c41616fb8059bf5ced59,d7369ded15b98e4dbc39ab9b40e283195c89fa75,1b19a7bc4969c1957d1f1f384d5a1ffe,ModifiedOptionConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::cluster/addons/addon-manager/Dockerfile::::add::::dest::::/usr/local/bin/ <-> kubernetes::::cluster/images/conformance/Dockerfile::::copy::::dest::::/usr/local/bin/,cluster/images/conformance/Dockerfile,kubernetes::::cluster/images/conformance/Dockerfile::::copy::::dest(location: 17),git show a77d0ceb2b9831f82da7c41616fb8059bf5ced59 -- cluster/images/conformance/Dockerfile
6609f9e10afbccbf890942f6d2bc0809e9d84d9f,850f699832a7bc91e3319352a40cdb775c0e5a9c,18f4d392f05ca3f4b26a83e812196606,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::Godeps/_workspace/src/github.com/docker/libcontainer/Dockerfile::::copy::::src::::. <-> kubernetes::::release-0.20.0/examples/cluster-dns/images/backend/Dockerfile::::copy::::src::::.,,,
ae97890a4242c78cebe33d6294e4a2b7aa512809,e554bd24280b599ebc5f35e00eee54f56ef417c0,ff5ec1d649099737d848e1c8d66b15b3,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,kubernetes::::Godeps/_workspace/src/golang.org/x/net/http2/Dockerfile::::from::::ubuntu:trusty <-> kubernetes::::examples/celery-rabbitmq/flower/Dockerfile::::from::::ubuntu:trusty,,,
1f4c0b2fb25052bc82835e577a0644051c4d83ae,55ac605a4448e3b467a2dd0ed1ac09a7f7ce6e7c,bbeef58c07594a3fd8a0664b1a939087,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::build/build-image/Dockerfile::::add::::dest::::/ <-> kubernetes::::cluster/images/hyperkube/Dockerfile::::copy::::dest::::/,cluster/images/hyperkube/Dockerfile,kubernetes::::cluster/images/hyperkube/Dockerfile::::copy::::dest(location: 57),git show 1f4c0b2fb25052bc82835e577a0644051c4d83ae -- cluster/images/hyperkube/Dockerfile
7bf2e33d6941790fcf097e4c1076846800310463,5a7b9841e1da3f63b5c8030afe579dc14cb4e61b,87eb4e92174ed7564ddab7526e723f61,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::api/Dockerfile::::add::::src::::. <-> kubernetes::::build/run-images/kubelet/Dockerfile::::add::::src::::.,,,
21b8f6a68874b7d2c229deb1d7a1e0138cde7685,f89b9f246bb2801884d46db392d8044149cea9a9,86ca55cdd8411e2705144dc6364cd1dc,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,kubernetes::::.travis.yml::::matrix::::include::::go/1.3::::go::::1.3 <-> kubernetes::::Godeps/_workspace/src/github.com/russross/blackfriday/.travis.yml::::go::::1.3,.travis.yml,kubernetes::::.travis.yml::::matrix::::include::::go/1.3::::go(location: 11),git show 21b8f6a68874b7d2c229deb1d7a1e0138cde7685 -- .travis.yml
67903faf8ba3b39ed4d77213d5541ce9ff870925,9257794dccc69b1abc7d3b92acc1bd7642eeb04d,577b150a09f2ba6490a9f548cf737c7c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,kubernetes::::.travis.yml::::matrix::::include::::go/1.5.3::::go::::1.5.3 <-> kubernetes::::Godeps/_workspace/src/github.com/fsouza/go-dockerclient/.travis.yml::::go::::1.5.3,.travis.yml,kubernetes::::.travis.yml::::matrix::::include::::go/1.5.3::::go(location: 14),git show 67903faf8ba3b39ed4d77213d5541ce9ff870925 -- .travis.yml
6ae2336a1a0ad05f04397a59978d7e50ce68fd6c,61d3d9829ed9b0da325c8076ced5ca37dd628f88,0481943fa3684e311db2ff9e55c5a12b,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,kubernetes::::build/debian-base/Dockerfile::::from::::scratch <-> kubernetes::::build/pause/Dockerfile::::from::::scratch,,,
511f06b55fa018244018fbb8bcbd644e39759fc8,71526b00dc5d1974fe4d3d7689b1438918713932,26cb3757fcaa3558666d54fd43cadaed,MissingArtifactConflict,ConfigType.PATH<->ConfigType.PATH,kubernetes::::build/build-image/Dockerfile::::add::::dest::::/ <-> kubernetes::::build/kube-dns/Dockerfile::::add::::dest::::/,,,
