occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
1a310a0d319705f45a3be0c4a4d766f9456431d9,809dee0de09b597790d489eacb8edbb36f273062,8831c0d96e36ada46150da205a8020c0,MissingOptionConflict,ConfigType.NAME<->ConfigType.NAME,mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::artifactId::::spring-boot-starter-security <-> mall::::mall-security/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::artifactId::::spring-boot-starter-security,mall-portal/pom.xml,mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::artifactId(location: 34),git show 1a310a0d319705f45a3be0c4a4d766f9456431d9 -- mall-portal/pom.xml
8cb20508e869e761123861922ba31285faae24e7,7ece9913960884ab3a59a196fcbecac72c6e99d3,e676019af3217925657b686b4daea7a7,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/pom.xml::::project::::description::::Demo project for Spring Boot <-> mall::::mall-search/pom.xml::::project::::description::::Demo project for Spring Boot,mall-search/pom.xml,mall::::mall-search/pom.xml::::project::::description(location: 12),git show 8cb20508e869e761123861922ba31285faae24e7 -- mall-search/pom.xml
7a09989e2bef5fbebd8f455c2bc786b2ac59a7c2,e796282daa4331b448327d9263d22b66167498a0,0167f4ed303ac04f372a9a8da60b0392,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-demo/src/main/resources/application.yml::::logging.level.com.macro.mall::::debug <-> mall::::mall-portal/src/main/resources/application-dev.yml::::logging.level.com.macro.mall.portal.dao::::debug,mall-portal/src/main/resources/application-dev.yml,mall::::mall-portal/src/main/resources/application-dev.yml::::logging.level.com.macro.mall.portal.dao(location: 45),git show 7a09989e2bef5fbebd8f455c2bc786b2ac59a7c2 -- mall-portal/src/main/resources/application-dev.yml
73214817a82d64f6e191704a9390660e4551c43b,1a236d8ed970180c6fee8844a978dd3d52323864,4a7d896d909638ecae004b249f36f095,ModifiedOptionConflict,ConfigType.USERNAME<->ConfigType.USERNAME,mall::::mall-admin/src/main/resources/application-dev.properties::::spring.datasource.username::::root <-> mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.username::::root,mall-admin/src/main/resources/application-prod.properties,mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.username(location: 3),git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-admin/src/main/resources/application-prod.properties
cae5e7618a05f9c007422f748f3b11e4946307e3,e699a32dc537d2b3c04e8c52707af28bb7a25efc,408bc55f7fa88fee12e389ffcd1b478e,MissingOptionConflict,ConfigType.NAME<->ConfigType.NAME,mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-security::::groupId::::org.springframework.boot <-> mall::::mall-search/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::groupId::::org.springframework.boot,mall-search/pom.xml,mall::::mall-search/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::groupId(location: 43),git show cae5e7618a05f9c007422f748f3b11e4946307e3 -- mall-search/pom.xml
cae5e7618a05f9c007422f748f3b11e4946307e3,e699a32dc537d2b3c04e8c52707af28bb7a25efc,19f02587b370abcbefadebb0073c03ab,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/src/main/resources/application.yml::::aliyun.oss.accessKeySecret::::test <-> mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::scope::::test,mall-portal/pom.xml,mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-test::::scope(location: 49),git show cae5e7618a05f9c007422f748f3b11e4946307e3 -- mall-portal/pom.xml
7a09989e2bef5fbebd8f455c2bc786b2ac59a7c2,e796282daa4331b448327d9263d22b66167498a0,6022490957d5aaad19550d9509e69e92,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/src/main/resources/application.yml::::logging.level.com.macro.mall::::debug <-> mall::::mall-demo/src/main/resources/application.yml::::logging.level.com.macro.mall::::debug,mall-admin/src/main/resources/application.yml,mall::::mall-admin/src/main/resources/application.yml::::logging.level.com.macro.mall(location: 70),git show 7a09989e2bef5fbebd8f455c2bc786b2ac59a7c2 -- mall-admin/src/main/resources/application.yml
cae5e7618a05f9c007422f748f3b11e4946307e3,e699a32dc537d2b3c04e8c52707af28bb7a25efc,d58b054fa4b1313ccc35cf08b086fff8,MissingOptionConflict,ConfigType.NAME<->ConfigType.NAME,mall::::mall-admin/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-actuator::::groupId::::org.springframework.boot <-> mall::::mall-portal/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-amqp::::groupId::::org.springframework.boot,mall-admin/pom.xml,mall::::mall-admin/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-actuator::::groupId(location: 42),git show cae5e7618a05f9c007422f748f3b11e4946307e3 -- mall-admin/pom.xml
af24b1b06cdafce7dcb78981b2edef4ba21f4555,c73ae83bc7fff969465a5c88ba5498f630147298,ee11426181f56959d89d0c5136728609,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,mall::::mall-admin/pom.xml::::project::::properties::::project.build.sourceEncoding::::UTF-8 <-> mall::::pom.xml::::project::::properties::::project.reporting.outputEncoding::::UTF-8,mall-admin/pom.xml,mall::::mall-admin/pom.xml::::project::::properties::::project.build.sourceEncoding(location: 14),git show af24b1b06cdafce7dcb78981b2edef4ba21f4555 -- mall-admin/pom.xml
8cb20508e869e761123861922ba31285faae24e7,7ece9913960884ab3a59a196fcbecac72c6e99d3,ebcfc877d631ccc8e1bc234ba481de97,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,mall::::mall-mbg/pom.xml::::project::::parent_mall::::version::::version:1.0-SNAPSHOT <-> mall::::pom.xml::::project::::version::::version:1.0-SNAPSHOT,mall-mbg/pom.xml,mall::::mall-mbg/pom.xml::::project::::parent_mall::::version(location: 8),git show 8cb20508e869e761123861922ba31285faae24e7 -- mall-mbg/pom.xml
