occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
4b29c83f8871f4fadfec85dfa010d213e09a2181,0fa6d82f20a1bb1eb9a5cee33a46f54cce7dc723,e719be93157ee75f3cc8f046d6c304ce,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,material-ui::::package.json::::main::::./src/index.js <-> material-ui::::packages/material-ui-lab/package.json::::main::::./src/index.js,package.json,material-ui::::package.json::::main(location: 7),git show 4b29c83f8871f4fadfec85dfa010d213e09a2181 -- package.json
abb565cb7e5f8b4031c9c838d827e6fb0ce4a8aa,c2034054c56523f21ed1164f60c4b189511b9147,c00b78e4ae13f2a7385146779988a298,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/material-ui-icons/package.json::::peerDependencies::::@material-ui/core::::@material-ui/core:^1.0.0-rc.0 <-> material-ui::::packages/material-ui-lab/package.json::::devDependencies::::@material-ui/core::::@material-ui/core:^1.0.0-rc.0,packages/material-ui-lab/package.json,material-ui::::packages/material-ui-lab/package.json::::devDependencies::::@material-ui/core(location: 37),git show abb565cb7e5f8b4031c9c838d827e6fb0ce4a8aa -- packages/material-ui-lab/package.json
606799ebc6ff6d92893f4182b535abae70b628a7,c95d79b664023e6b78bcc9ed9be8fa1106516bd4,72d8188ba04691abfa17089952c4a285,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::package.json::::version::::version:5.8.6 <-> material-ui::::packages/mui-docs/package.json::::version::::version:5.8.6,package.json,material-ui::::package.json::::version(location: 3),git show 606799ebc6ff6d92893f4182b535abae70b628a7 -- package.json
3789b323a2166f75aa8e1c799a905174f8555317,53fb4f5d42f93d561f9b1131eb4658255f536d99,e7e4bd29a37889b52c559cf3eb540a22,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/mui-base/package.json::::devDependencies::::@mui/types::::@mui/types:^7.1.3 <-> material-ui::::packages/mui-material-next/package.json::::dependencies::::@mui/types::::@mui/types:^7.1.3,packages/mui-base/package.json,material-ui::::packages/mui-base/package.json::::devDependencies::::@mui/types(location: 63),git show 3789b323a2166f75aa8e1c799a905174f8555317 -- packages/mui-base/package.json
02455452400748ba59d44f7cf4965eb387e85029,eaf401398d7b75a065cf3dfb34ac34607536223c,c49f54bd0a06c2d80d8796dc8e51a91b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/mui-material/package.json::::version::::version:5.2.0 <-> material-ui::::packages/mui-styled-engine/package.json::::version::::version:5.2.0,packages/mui-material/package.json,material-ui::::packages/mui-material/package.json::::version(location: 3),git show 02455452400748ba59d44f7cf4965eb387e85029 -- packages/mui-material/package.json
671d4c1686b684e3cfa98b607bb555ed69fffc8c,204f74122f52990211005e27b3577f88e5e51276,5519edfa72c9da3f2892e104697225ff,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/material-ui-lab/package.json::::dependencies::::@material-ui/utils::::@material-ui/utils:^4.9.6 <-> material-ui::::packages/material-ui-system/package.json::::dependencies::::@material-ui/utils::::@material-ui/utils:^4.9.6,packages/material-ui-lab/package.json,material-ui::::packages/material-ui-lab/package.json::::dependencies::::@material-ui/utils(location: 49),git show 671d4c1686b684e3cfa98b607bb555ed69fffc8c -- packages/material-ui-lab/package.json
150e354168d211db5d2ffa738f4078154329a0af,bb85f4849bc3408aeb5d8cc06f7f39f90f7db333,4943b8e651d893a3631bebd78f409ae0,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/mui-material/package.json::::version::::version:5.5.1 <-> material-ui::::packages/mui-styles/package.json::::version::::version:5.5.1,packages/mui-material/package.json,material-ui::::packages/mui-material/package.json::::version(location: 3),git show 150e354168d211db5d2ffa738f4078154329a0af -- packages/mui-material/package.json
b74e6d24546ee3c79b4b7dea9c645c865eea22fe,81ee71787628c1d7de6e82c1e3629c0542b44f87,0034752d56705e40c00d4c081d5bde0c,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::packages/material-ui-styles/package.json::::version::::version:4.9.14 <-> material-ui::::packages/material-ui-system/package.json::::version::::version:4.9.14,packages/material-ui-styles/package.json,material-ui::::packages/material-ui-styles/package.json::::version(location: 3),git show b74e6d24546ee3c79b4b7dea9c645c865eea22fe -- packages/material-ui-styles/package.json
12b3a5d54eef4507b50a07ff7b2e27bb011d7b8f,4ff701d1ec3246c790279185e7195aaa17efaa71,b4fce42cba60e3c6f8d4d910132a99af,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,material-ui::::package.json::::version::::version:4.1.0 <-> material-ui::::packages/material-ui-icons/package.json::::version::::version:4.1.0,packages/material-ui-icons/package.json,material-ui::::packages/material-ui-icons/package.json::::version(location: 3),git show 12b3a5d54eef4507b50a07ff7b2e27bb011d7b8f -- packages/material-ui-icons/package.json
981b76ad5583f5e8329e7e4dabbe8669279269c2,40393bf9a7a08fff2376ca27470caf5680421ef2,58b500d9f3251f1768be3a05fa674746,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,material-ui::::packages/mui-material/package.json::::homepage::::https://mui.com/ <-> material-ui::::packages/mui-private-theming/package.json::::homepage::::https://mui.com/,packages/mui-material/package.json,material-ui::::packages/mui-material/package.json::::homepage(location: 24),git show 981b76ad5583f5e8329e7e4dabbe8669279269c2 -- packages/mui-material/package.json
