occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
9287bf1ecbdb3630c0611ce753a0c46fc85558cc,7cb40c8e538fc470ad9f9b4379a8a8522cb9657c,8122b7ecfdd0d89fa1d21bc170f662e5,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::package.json::::version::::version:6.11.4 <-> nest::::packages/core/package.json::::version::::version:6.11.4,packages/core/package.json,nest::::packages/core/package.json::::version(location: 3),git show 9287bf1ecbdb3630c0611ce753a0c46fc85558cc -- packages/core/package.json
f56d1449c72dbf22e07b5163b3fd2ddd5b6d6d14,92ccc02be1bafe08eb5e35d7f9a225c141773119,5a79925025a96563b2d7b3182b171ccf,MissingArtifactConflict,ConfigType.LICENSE<->ConfigType.LICENSE,nest::::examples/07-sequelize/package.json::::license::::MIT <-> nest::::src/microservices/package.json::::license::::MIT,,,
9282056193495cc905d15f56ad476304cbf3c3a9,0141eeb92911b8790391dea2136c562146a3096a,b0f744eb59d6de155047b1ec171ee730,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::package.json::::version::::version:6.1.1 <-> nest::::packages/core/package.json::::version::::version:6.1.1,packages/core/package.json,nest::::packages/core/package.json::::version(location: 3),git show 9282056193495cc905d15f56ad476304cbf3c3a9 -- packages/core/package.json
ff5b0bb540a0805cacda0b47f99f7d3172128af8,f7c8072c0cc217484f6279241c9a50fbdcd83949,08736e44b754103b86456a90d5697e29,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::package.json::::version::::version:6.10.9 <-> nest::::packages/platform-express/package.json::::version::::version:6.10.9,packages/platform-express/package.json,nest::::packages/platform-express/package.json::::version(location: 3),git show ff5b0bb540a0805cacda0b47f99f7d3172128af8 -- packages/platform-express/package.json
05141588e330334464b5eab2245e029f9a8525dc,a0b3fd74388f46b6851c2665d6cf638f85f1783e,cdf3bc981be5b87b56a1d9b78d694bfb,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,nest::::integration/graphql/tsconfig.json::::compilerOptions::::module::::commonjs <-> nest::::packages/common/tsconfig.json::::compilerOptions::::module::::commonjs,packages/common/tsconfig.json,nest::::packages/common/tsconfig.json::::compilerOptions::::module(location: 3),git show 05141588e330334464b5eab2245e029f9a8525dc -- packages/common/tsconfig.json
e30590e67320c3a6b60bcebb2d7a0966672eb156,1066ab95b9dfe1f6837bdfebcfe04c4d9a8f9ce1,08651707b4f449a4b089fc337a4e6ae3,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::package.json::::version::::version:6.11.7 <-> nest::::packages/testing/package.json::::version::::version:6.11.7,packages/testing/package.json,nest::::packages/testing/package.json::::version(location: 3),git show e30590e67320c3a6b60bcebb2d7a0966672eb156 -- packages/testing/package.json
75872d0c20af42674a153625ca57ed673d8b7708,94df983c76cab04ba041eec4cfbed766ab45abbc,254c70f5d7294e1616f4daf288c18751,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::bundle/testing/package.json::::version::::version:5.0.0 <-> nest::::package.json::::version::::version:5.0.0,bundle/testing/package.json,nest::::bundle/testing/package.json::::version(location: 3),git show 75872d0c20af42674a153625ca57ed673d8b7708 -- bundle/testing/package.json
d875526a494e0e4ba0f94186a3ce1968e1ef776a,40aac8ca77918abdb7efaba75d2359909b7934d7,c2588570ea0ddda673b5c3e89ba372a6,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::packages/core/package.json::::devDependencies::::@nestjs/common::::@nestjs/common:^7.0.0 <-> nest::::packages/testing/package.json::::peerDependencies::::@nestjs/common::::@nestjs/common:^7.0.0,packages/core/package.json,nest::::packages/core/package.json::::devDependencies::::@nestjs/common(location: 39),git show d875526a494e0e4ba0f94186a3ce1968e1ef776a -- packages/core/package.json
68fdca06f95de06f29f1fb59f7c618fdba74abf8,f6d842b961dcfce8dd93054ea733286d796f9ce6,4fb354a7cb69e446f66b87d573cd45c3,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::package.json::::version::::version:6.9.0 <-> nest::::packages/websockets/package.json::::version::::version:6.9.0,packages/websockets/package.json,nest::::packages/websockets/package.json::::version(location: 3),git show 68fdca06f95de06f29f1fb59f7c618fdba74abf8 -- packages/websockets/package.json
724692ca90e79118ade95ddde040b4040ec54373,2304a84ec24738ec942733f93ec500062ea4646d,613332f5574903dd5f4f7d303926190c,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::bundle/websockets/package.json::::version::::version:5.3.8 <-> nest::::package.json::::version::::version:5.3.8,package.json,nest::::package.json::::version(location: 3),git show 724692ca90e79118ade95ddde040b4040ec54373 -- package.json
130376f699f806003869474082292c18818c4eaa,c5c2dea725551d4de409d33ec10d85b25d3e7eef,793173b01f81272122d48c307632e6e9,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,nest::::bundle/common/package.json::::version::::version:5.3.1 <-> nest::::bundle/websockets/package.json::::version::::version:5.3.1,bundle/common/package.json,nest::::bundle/common/package.json::::version(location: 3),git show 130376f699f806003869474082292c18818c4eaa -- bundle/common/package.json
