occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
923cd53cd7664c6c12e37f1b2dd6e55e6e8a82e0,3fe2713c98d6f0531b8870ef16ba54e40ff11916,e29e90a272e564618ad84d385f16fcbc,MissingOptionConflict,ConfigType.LICENSE<->ConfigType.LICENSE,next::::examples/with-stomp/package.json::::license::::MIT <-> next::::packages/next/compiled/is-docker/package.json::::license::::MIT,examples/with-stomp/package.json,next::::examples/with-stomp/package.json::::license(location: 14),git show 923cd53cd7664c6c12e37f1b2dd6e55e6e8a82e0 -- examples/with-stomp/package.json
87e90b2cba730316b89ce6da2f26f9532332da07,6deec4efee826d125226aa1997eee92b7e12bc1b,8011275ad16bf57f177dedee762433ea,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,next::::examples/with-eslint/package.json::::devDependencies::::eslint-config-next::::eslint-config-next:latest <-> next::::examples/with-jest-babel/package.json::::devDependencies::::eslint-config-next::::eslint-config-next:latest,examples/with-jest-babel/package.json,next::::examples/with-jest-babel/package.json::::devDependencies::::eslint-config-next(location: 23),git show 87e90b2cba730316b89ce6da2f26f9532332da07 -- examples/with-jest-babel/package.json
05053671d91d94309100bad81d1c0fc8b06dd87a,41585724b8839f57ab7e71cdf7656d63010392a8,6127b138384d4776a6e304560727643b,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,next::::packages/next-polyfill-nomodule/package.json::::devDependencies::::object-assign::::object-assign:4.1.1 <-> next::::packages/next/package.json::::dependencies::::object-assign::::object-assign:4.1.1,packages/next/package.json,next::::packages/next/package.json::::dependencies::::object-assign(location: 120),git show 05053671d91d94309100bad81d1c0fc8b06dd87a -- packages/next/package.json
9cb72aebac38fa8d8afa96231b9b193d8665e650,e0d7a4d8830c5a33ba0d5a6c91bec269ab3594f6,9be393aa1dbab247f3a4e78cea73eda3,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,next::::examples/with-tailwindcss-emotion/package.json::::devDependencies::::autoprefixer::::autoprefixer:10.0.2 <-> next::::examples/with-tailwindcss/package.json::::devDependencies::::autoprefixer::::autoprefixer:10.0.2,examples/with-tailwindcss/package.json,next::::examples/with-tailwindcss/package.json::::devDependencies::::autoprefixer(location: 15),git show 9cb72aebac38fa8d8afa96231b9b193d8665e650 -- examples/with-tailwindcss/package.json
f5b7970fc8a2d919e223b0eaab2b1255fbe50afb,6a79241f4b25147011c4020d88edc4b75317c44c,e04aa36f2a306a9a327d79684296cb04,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,next::::.github/actions/next-stats-action/package.json::::version::::version:1.0.0 <-> next::::examples/layout-component/package.json::::version::::version:1.0.0,examples/layout-component/package.json,next::::examples/layout-component/package.json::::version(location: 3),git show f5b7970fc8a2d919e223b0eaab2b1255fbe50afb -- examples/layout-component/package.json
defbca3930639cac36504580ea7ad244d08238b2,3e9f7203f0cc8dfa5df834bb529b0e91746c0176,38f4303b1d264e6e8b9bb777d36d4c8c,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,next::::examples/with-apollo-and-redux/package.json::::dependencies::::@apollo/react-ssr::::@apollo/react-ssr:3.1.3 <-> next::::examples/with-apollo/package.json::::dependencies::::@apollo/react-ssr::::@apollo/react-ssr:3.1.3,examples/with-apollo/package.json,next::::examples/with-apollo/package.json::::dependencies::::@apollo/react-ssr(location: 11),git show defbca3930639cac36504580ea7ad244d08238b2 -- examples/with-apollo/package.json
f5b7970fc8a2d919e223b0eaab2b1255fbe50afb,6a79241f4b25147011c4020d88edc4b75317c44c,4692c504f4ed36f0406ac3db501be87f,MissingOptionConflict,ConfigType.LICENSE<->ConfigType.LICENSE,next::::examples/blog-with-comment/package.json::::license::::MIT <-> next::::packages/react-refresh-utils/package.json::::license::::MIT,examples/blog-with-comment/package.json,next::::examples/blog-with-comment/package.json::::license(location: 5),git show f5b7970fc8a2d919e223b0eaab2b1255fbe50afb -- examples/blog-with-comment/package.json
f5b7970fc8a2d919e223b0eaab2b1255fbe50afb,6a79241f4b25147011c4020d88edc4b75317c44c,bdb8f54322b97d3dd99b5d7a37deb5f4,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,next::::.github/actions/next-stats-action/package.json::::version::::version:1.0.0 <-> next::::examples/with-react-intl/package.json::::version::::version:1.0.0,examples/with-react-intl/package.json,next::::examples/with-react-intl/package.json::::version(location: 3),git show f5b7970fc8a2d919e223b0eaab2b1255fbe50afb -- examples/with-react-intl/package.json
838584906ec67e205bd4fb9247bb8c1950cc1da6,5e42a25cc0479780fbc4896134300d977c36aaef,6576f31ce8d74afd014aa554a7c3e811,MissingArtifactConflict,ConfigType.LICENSE<->ConfigType.LICENSE,next::::packages/create-next-app/package.json::::license::::MIT <-> next::::packages/next/compiled/uuid/package.json::::license::::MIT,,,
1b08fc9ea23df3d2b3138faf5c3a8a0d5185236f,dde1769c03b77f75c87fa83d21a637e103a4e5ea,27b23cacb2aeb99ad3abe22159b09336,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,next::::examples/active-class-name/package.json::::dependencies::::react::::react:^17.0.2 <-> next::::examples/cms-builder-io/package.json::::dependencies::::react::::react:^17.0.2,examples/active-class-name/package.json,next::::examples/active-class-name/package.json::::dependencies::::react(location: 10),git show 1b08fc9ea23df3d2b3138faf5c3a8a0d5185236f -- examples/active-class-name/package.json
