occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
1a2a368307dd3a56440fbb12018a97c9db5da565,719a04a93d388f53dc2cd6e77583af64fb48e5e6,c58f3cfc8cf5f7a22801af5836f4c2be,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,node::::tools/node_modules/@babel/core/node_modules/debug/package.json::::devDependencies::::istanbul::::istanbul:^0.4.5 <-> node::::tools/node_modules/eslint/node_modules/argparse/package.json::::devDependencies::::istanbul::::istanbul:^0.4.5,tools/node_modules/eslint/node_modules/argparse/package.json,node::::tools/node_modules/eslint/node_modules/argparse/package.json::::devDependencies::::istanbul(location: 30),git show 1a2a368307dd3a56440fbb12018a97c9db5da565 -- tools/node_modules/eslint/node_modules/argparse/package.json
9f0f0e3c22d8d51c96c6ec861a0783403609cbcb,ce030b2d6c35e33f675166f224bfb38e4faf62d9,58e1090c4ef5d942ba19fa5aeda175d5,MissingArtifactConflict,ConfigType.LICENSE<->ConfigType.LICENSE,node::::tools/node_modules/eslint-plugin-markdown/node_modules/is-alphabetical/package.json::::license::::MIT <-> node::::tools/node_modules/eslint/node_modules/is-boolean-object/package.json::::license::::MIT,,,
0a839a5a1f1e6fdac581e39f224d3f6688ac2126,36f84976aba94876b7f1210227499693d40be32c,1a8595f41152e136dcc796cbed649645,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,node::::tools/node_modules/babel-eslint/package.json::::dependencies::::eslint-visitor-keys::::eslint-visitor-keys:^1.0.0 <-> node::::tools/node_modules/eslint/node_modules/eslint-utils/package.json::::dependencies::::eslint-visitor-keys::::eslint-visitor-keys:^1.0.0,tools/node_modules/eslint/node_modules/eslint-utils/package.json,node::::tools/node_modules/eslint/node_modules/eslint-utils/package.json::::dependencies::::eslint-visitor-keys(location: 10),git show 0a839a5a1f1e6fdac581e39f224d3f6688ac2126 -- tools/node_modules/eslint/node_modules/eslint-utils/package.json
f4c01816dec65515b9786b8b7d67c7814abd86b3,6055c41bf9e0036a658c7877ace4383da504108a,c1e030c4d4b9926db1acdd0df20d0c65,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,node::::tools/eslint/node_modules/d/package.json::::_where::::/Users/silverwind/git/node/tools/package/package/node_modules/es6-map <-> node::::tools/eslint/node_modules/es6-set/package.json::::_args::::_args//Users/silverwind/git/node/tools/package/package/node_modules/es6-map::::/Users/silverwind/git/node/tools/package/package/node_modules/es6-map,tools/eslint/node_modules/es6-set/package.json,node::::tools/eslint/node_modules/es6-set/package.json::::_args::::_args//Users/silverwind/git/node/tools/package/package/node_modules/es6-map(location: 2),git show f4c01816dec65515b9786b8b7d67c7814abd86b3 -- tools/eslint/node_modules/es6-set/package.json
1e638c9cfe0c38008397de3ae2464ba838d16b55,9bcc360bd0dd2b37fb0417e77cff6c01aa95da26,b71968189ae955fe5b3fadf91ab94fe0,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,node::::tools/node_modules/eslint/node_modules/@babel/core/package.json::::dependencies::::@babel/types::::@babel/types:^7.17.0 <-> node::::tools/node_modules/eslint/node_modules/@babel/helper-function-name/package.json::::dependencies::::@babel/types::::@babel/types:^7.17.0,tools/node_modules/eslint/node_modules/@babel/core/package.json,node::::tools/node_modules/eslint/node_modules/@babel/core/package.json::::dependencies::::@babel/types(location: 60),git show 1e638c9cfe0c38008397de3ae2464ba838d16b55 -- tools/node_modules/eslint/node_modules/@babel/core/package.json
751bad3706c74e6f6548ec665126df7e0e22da76,6776d55aacf19ab8d6bcbdf4f746431662d6eccf,ac6372f8deca913ef95a470a091315e5,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,node::::tools/node_modules/babel-eslint/node_modules/eslint-scope/package.json::::devDependencies::::typescript::::typescript:~2.0.10 <-> node::::tools/node_modules/eslint/node_modules/eslint-scope/package.json::::devDependencies::::typescript::::typescript:~2.0.10,tools/node_modules/eslint/node_modules/eslint-scope/package.json,node::::tools/node_modules/eslint/node_modules/eslint-scope/package.json::::devDependencies::::typescript(location: 24),git show 751bad3706c74e6f6548ec665126df7e0e22da76 -- tools/node_modules/eslint/node_modules/eslint-scope/package.json
d456140e0400361ca65be84340b4a296eee274ea,3cc820e786a5f5426f5b8a3c1fcb7893ba5714dc,127a56350d6f57d37f7c9094e98de16b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,node::::tools/node_modules/eslint/node_modules/esrecurse/package.json::::version::::version:4.2.0 <-> node::::tools/node_modules/eslint/node_modules/estraverse/package.json::::version::::version:4.2.0,tools/node_modules/eslint/node_modules/esrecurse/package.json,node::::tools/node_modules/eslint/node_modules/esrecurse/package.json::::version(location: 79),git show d456140e0400361ca65be84340b4a296eee274ea -- tools/node_modules/eslint/node_modules/esrecurse/package.json
eb60fe8891d6ccde62f11f7846277d6570e6abab,6c64cc2205a42f88ebee34250c188f45534d9227,878e9bef897877caefd0aca58a28e193,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,node::::tools/node_modules/eslint/node_modules/callsites/package.json::::devDependencies::::xo::::xo:^0.23.0 <-> node::::tools/node_modules/eslint/node_modules/table/node_modules/ansi-regex/package.json::::devDependencies::::xo::::xo:^0.23.0,tools/node_modules/eslint/node_modules/callsites/package.json,node::::tools/node_modules/eslint/node_modules/callsites/package.json::::devDependencies::::xo(location: 16),git show eb60fe8891d6ccde62f11f7846277d6570e6abab -- tools/node_modules/eslint/node_modules/callsites/package.json
df1b2f0a69581de41e6185aba8dc405502a71e15,ac06bb864e85452cf4f19abd7796a0b606d77443,e16d7be02e3fffa3095eacee4210e2bb,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,node::::tools/node_modules/eslint/node_modules/is-hexadecimal/package.json::::devDependencies::::remark-cli::::remark-cli:^6.0.0 <-> node::::tools/node_modules/eslint/node_modules/unist-util-visit/package.json::::devDependencies::::remark-cli::::remark-cli:^6.0.0,tools/node_modules/eslint/node_modules/is-hexadecimal/package.json,node::::tools/node_modules/eslint/node_modules/is-hexadecimal/package.json::::devDependencies::::remark-cli(location: 25),git show df1b2f0a69581de41e6185aba8dc405502a71e15 -- tools/node_modules/eslint/node_modules/is-hexadecimal/package.json
f526213e7169a545f980db272c37995f84626879,cf5243cf9b14cebd50d614101cdec6d7f50941ef,2ca8b8950df9e1d7deaf8e6f42135144,MissingArtifactConflict,ConfigType.LICENSE<->ConfigType.LICENSE,node::::tools/eslint/node_modules/debug/package.json::::license::::MIT <-> node::::tools/eslint/node_modules/escope/node_modules/es6-weak-map/node_modules/d/package.json::::license::::MIT,,,
