occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,0d51f826117133f5e3183c7374e9c24e,MissingOptionConflict,ConfigType.URL<->ConfigType.URL,protobuf::::java/util/pom.xml::::project::::profiles::::profile_release::::distributionManagement::::repository_sonatype-nexus-staging::::url::::https://oss.sonatype.org/service/local/staging/deploy/maven2/ <-> protobuf::::javanano/pom.xml::::project::::profiles::::profile_release::::distributionManagement::::repository_sonatype-nexus-staging::::url::::https://oss.sonatype.org/service/local/staging/deploy/maven2/,java/util/pom.xml,protobuf::::java/util/pom.xml::::project::::profiles::::profile_release::::distributionManagement::::repository_sonatype-nexus-staging::::url(location: 150),git show 819722ad5022435ecffa377835403659b0de37d6 -- java/util/pom.xml
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,557be8513c7372ded2bc1664695ddef6,MissingOptionConflict,ConfigType.NAME<->ConfigType.NAME,protobuf::::java/util/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_maven-javadoc-plugin::::groupId::::org.apache.maven.plugins <-> protobuf::::protoc-artifacts/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_maven-gpg-plugin::::groupId::::org.apache.maven.plugins,java/util/pom.xml,protobuf::::java/util/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_maven-javadoc-plugin::::groupId(location: 169),git show 819722ad5022435ecffa377835403659b0de37d6 -- java/util/pom.xml
24f4f1d718a6cfccab791f901eefb612ab694ad2,e40a839033e6fffbf3b366dbc01d844ece879d00,f964f19e9ee4c112f6bf94fbd437a92a,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,protobuf::::java/util/pom.xml::::project::::parent_protobuf-parent::::version::::version:3.0.0-beta-2 <-> protobuf::::protoc-artifacts/pom.xml::::project::::version::::version:3.0.0-beta-2,java/util/pom.xml,protobuf::::java/util/pom.xml::::project::::parent_protobuf-parent::::version(location: 9),git show 24f4f1d718a6cfccab791f901eefb612ab694ad2 -- java/util/pom.xml
8c0cd27d0a5c0462af40781ea18fa4ecf085f9c9,d8940772f50e630fe4944e7135f54369f84c4756,1e4956009a68449c0fbdfce5618fcd1d,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,protobuf::::protoc-artifacts/pom.xml::::project::::parent_google::::version::::version:1 <-> protobuf::::ruby/pom.xml::::project::::parent_google::::version::::version:1,protoc-artifacts/pom.xml,protobuf::::protoc-artifacts/pom.xml::::project::::parent_google::::version(location: 7),git show 8c0cd27d0a5c0462af40781ea18fa4ecf085f9c9 -- protoc-artifacts/pom.xml
d3928a86ed85353bb3e68025d5a870b4a1da0c18,ac338041bf3b98c40e8e58b04df7c9737b75d7a6,061120293cd6efbea3b2948999ce8211,MissingOptionConflict,ConfigType.NAME<->ConfigType.NAME,protobuf::::java/kotlin/pom.xml::::project::::build::::plugins::::plugin_dokka-maven-plugin::::groupId::::org.jetbrains.dokka <-> protobuf::::java/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_dokka-maven-plugin::::groupId::::org.jetbrains.dokka,java/kotlin/pom.xml,protobuf::::java/kotlin/pom.xml::::project::::build::::plugins::::plugin_dokka-maven-plugin::::groupId(location: 223),git show d3928a86ed85353bb3e68025d5a870b4a1da0c18 -- java/kotlin/pom.xml
af86aab66e40df8940d0a06054b9798beb53a0e3,8f311e11c0cb1d0ed9372cf996bf6521cda929c7,98f719d99a92d3e83830d2c448d154a1,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,protobuf::::js/package.json::::version::::version:3.11.4 <-> protobuf::::protoc-artifacts/pom.xml::::project::::version::::version:3.11.4,protoc-artifacts/pom.xml,protobuf::::protoc-artifacts/pom.xml::::project::::version(location: 11),git show af86aab66e40df8940d0a06054b9798beb53a0e3 -- protoc-artifacts/pom.xml
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,27393ca8acfbc35ff287f8fdb0abf300,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,protobuf::::java/pom.xml::::project::::inceptionYear::::2008 <-> protobuf::::java/util/pom.xml::::project::::inceptionYear::::2008,java/util/pom.xml,protobuf::::java/util/pom.xml::::project::::inceptionYear(location: 20),git show 819722ad5022435ecffa377835403659b0de37d6 -- java/util/pom.xml
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,ab152f4bef768c4aecb193758daf1988,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,protobuf::::java/util/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_nexus-staging-maven-plugin::::version::::nexus-staging-maven-plugin:1.6.3 <-> protobuf::::protoc-artifacts/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_nexus-staging-maven-plugin::::version::::nexus-staging-maven-plugin:1.6.3,java/util/pom.xml,protobuf::::java/util/pom.xml::::project::::profiles::::profile_release::::build::::plugins::::plugin_nexus-staging-maven-plugin::::version(location: 198),git show 819722ad5022435ecffa377835403659b0de37d6 -- java/util/pom.xml
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,e04d45265128000328651b95ad27cbbd,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,protobuf::::java/util/pom.xml::::project::::build::::plugins::::plugin_maven-surefire-plugin::::configuration::::includes::::include_**/*Test.java::::**/*Test.java <-> protobuf::::javanano/pom.xml::::project::::build::::plugins::::plugin_maven-surefire-plugin::::configuration::::includes::::include_**/*Test.java::::**/*Test.java,java/util/pom.xml,protobuf::::java/util/pom.xml::::project::::build::::plugins::::plugin_maven-surefire-plugin::::configuration::::includes::::include_**/*Test.java(location: 86),git show 819722ad5022435ecffa377835403659b0de37d6 -- java/util/pom.xml
819722ad5022435ecffa377835403659b0de37d6,56e7143e7811ae7aa5747ef837fd5f57abb858f2,0cce1a500da168dd8dd40295886e6120,MissingOptionConflict,ConfigType.NAME<->ConfigType.NAME,protobuf::::java/pom.xml::::project::::dependencies::::dependency_easymockclassextension::::artifactId::::easymockclassextension <-> protobuf::::java/util/pom.xml::::project::::dependencies::::dependency_easymockclassextension::::artifactId::::easymockclassextension,java/pom.xml,protobuf::::java/pom.xml::::project::::dependencies::::dependency_easymockclassextension::::artifactId(location: 50),git show 819722ad5022435ecffa377835403659b0de37d6 -- java/pom.xml
