occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,a1f1b70e6f1a6d48827a2f2f733c6b94,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::mime::::mime:^2.0.3 <-> puppeteer::::package.json::::devDependencies::::mime::::mime:^2.0.3,package.json,puppeteer::::package.json::::devDependencies::::mime(location: 101),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
665af427f97e901056940cd791f8a9fdb1ddfcc3,2bb6366cfa601b2a36cdfffa3e006324ebdf9235,16723b8a3630ef1dd1d270092dd6d48c,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,puppeteer::::package.json::::type::::commonjs <-> puppeteer::::test-ts-types/ts-cjs-import-cjs-output/tsconfig.json::::compilerOptions::::module::::commonjs,,,
8450f8e917bb36adbaaf65a2635e279d90304df5,46322c4c411509b23bdd2a84e55d5461968aaad0,6be9dcd38acfd97c574590d5098cb581,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::devDependencies::::@types/node::::@types/node:^8.10.34 <-> puppeteer::::package.json::::devDependencies::::@types/node::::@types/node:^8.10.34,experimental/puppeteer-firefox/package.json,puppeteer::::experimental/puppeteer-firefox/package.json::::devDependencies::::@types/node(location: 39),git show 8450f8e917bb36adbaaf65a2635e279d90304df5 -- experimental/puppeteer-firefox/package.json
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,1cf9b2bf915124e44b662800d50dced9,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::devDependencies::::@types/sinon::::@types/sinon:^9.0.4 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::@types/sinon::::@types/sinon:^9.0.4,package.json,puppeteer::::package.json::::devDependencies::::@types/sinon(location: 83),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
99e1c9e4a5950ad9e37710c28a599fdf24401063,287d5d63aa81dcfcf2105ff117989cc530484f79,42cd29c1ab053ceeda0997d88208ebfe,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::mime::::mime:^2.0.3 <-> puppeteer::::package.json::::dependencies::::mime::::mime:^2.0.3,package.json,puppeteer::::package.json::::dependencies::::mime(location: 52),git show 99e1c9e4a5950ad9e37710c28a599fdf24401063 -- package.json
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,1d1bd8513a90dc81ec3628cc5d363670,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::devDependencies::::sinon::::sinon:^9.0.2 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::sinon::::sinon:^9.0.2,package.json,puppeteer::::package.json::::devDependencies::::sinon(location: 108),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
2a1e67815e566773c3f947121f1e98525c4b9717,dc18de5a3b4fc80b958a7477d8b840fb4d4b107e,c3173b131a346a8953fa5b34c6b8238b,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::devDependencies::::typescript::::typescript:4.2.4 <-> puppeteer::::test-ts-types/js-esm-import-esm-output/package.json::::devDependencies::::typescript::::typescript:4.2.4,package.json,puppeteer::::package.json::::devDependencies::::typescript(location: 115),git show 2a1e67815e566773c3f947121f1e98525c4b9717 -- package.json
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,f67dd63178a2fd9455917a545bdf5e28,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::experimental/puppeteer-firefox/package.json::::dependencies::::progress::::progress:^2.0.1 <-> puppeteer::::package.json::::dependencies::::progress::::progress:^2.0.1,package.json,puppeteer::::package.json::::dependencies::::progress(location: 65),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b,93ee922f938d7882ff38ca187f0b89ec0eba53fe,98b5983bdb293f5122ef714f17691fdd,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,puppeteer::::package.json::::dependencies::::rimraf::::rimraf:^3.0.2 <-> puppeteer::::vendor/mitt/package.json::::devDependencies::::rimraf::::rimraf:^3.0.2,package.json,puppeteer::::package.json::::dependencies::::rimraf(location: 67),git show 3eb2a81fdfe7133d12817bc2b40c55c2bb2fea0b -- package.json
96e209a8f508cda9256169e3c97bdae9ded6de5f,54af747fb109f70a6d4ad1018aa447a6ef1c1f28,4fab027532d9f4595303df5533876eb0,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,puppeteer::::experimental/puppeteer-firefox/tsconfig.json::::compilerOptions::::target::::es2017 <-> puppeteer::::tsconfig.json::::compilerOptions::::target::::es2017,tsconfig.json,puppeteer::::tsconfig.json::::compilerOptions::::target(location: 6),git show 96e209a8f508cda9256169e3c97bdae9ded6de5f -- tsconfig.json
