occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29,5c50dee4cd392456fdd849f4585f5c4533e0a059,69d7b6b0f440abdaef2f8b0035ba15e8,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,rails::::actioncable/package.json::::devDependencies::::babel-core::::babel-core:^6.25.0 <-> rails::::activestorage/package.json::::devDependencies::::babel-core::::babel-core:^6.25.0,activestorage/package.json,rails::::activestorage/package.json::::devDependencies::::babel-core(location: 24),git show ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29 -- activestorage/package.json
0c80b7d23751669b08ae493f150db02bfac90022,65b3bf0feb5ffe75fcceec610306e627eb30bd70,d3139875cf11bfbff8364f3dc214f432,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,rails::::actionmailbox/test/dummy/package.json::::devDependencies::::webpack-dev-server::::webpack-dev-server:^3.2.1 <-> rails::::actiontext/test/dummy/package.json::::devDependencies::::webpack-dev-server::::webpack-dev-server:^3.2.1,actiontext/test/dummy/package.json,rails::::actiontext/test/dummy/package.json::::devDependencies::::webpack-dev-server(location: 9),git show 0c80b7d23751669b08ae493f150db02bfac90022 -- actiontext/test/dummy/package.json
ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29,5c50dee4cd392456fdd849f4585f5c4533e0a059,fd550ab3d063d8e1acbff52c75a54a53,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,rails::::actioncable/package.json::::devDependencies::::rollup-plugin-node-resolve::::rollup-plugin-node-resolve:^3.3.0 <-> rails::::activestorage/package.json::::devDependencies::::rollup-plugin-node-resolve::::rollup-plugin-node-resolve:^3.3.0,activestorage/package.json,rails::::activestorage/package.json::::devDependencies::::rollup-plugin-node-resolve(location: 32),git show ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29 -- activestorage/package.json
db2fccb45283cc55a5a649bda5d7eacbc4f633e1,3646a1e718dfa5af564945551a649870a5fc0ff3,87ad41ab02482557fe1d938d35c895ee,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,rails::::actioncable/package.json::::files::::files/lib/assets/compiled/*.js::::lib/assets/compiled/*.js <-> rails::::actionview/package.json::::files::::files/lib/assets/compiled/*.js::::lib/assets/compiled/*.js,actioncable/package.json,rails::::actioncable/package.json::::files::::files/lib/assets/compiled/*.js(location: 6),git show db2fccb45283cc55a5a649bda5d7eacbc4f633e1 -- actioncable/package.json
ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29,5c50dee4cd392456fdd849f4585f5c4533e0a059,7ba59dde8fd079ef372ca7d3c418d65a,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,rails::::actioncable/package.json::::devDependencies::::rollup-plugin-babel::::rollup-plugin-babel:^3.0.4 <-> rails::::activestorage/package.json::::devDependencies::::rollup-plugin-babel::::rollup-plugin-babel:^3.0.4,activestorage/package.json,rails::::activestorage/package.json::::devDependencies::::rollup-plugin-babel(location: 30),git show ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29 -- activestorage/package.json
ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29,5c50dee4cd392456fdd849f4585f5c4533e0a059,9a7d2edb44674abd95ae55155bde00ff,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,rails::::actioncable/package.json::::devDependencies::::rollup::::rollup:^0.58.2 <-> rails::::activestorage/package.json::::devDependencies::::rollup::::rollup:^0.58.2,activestorage/package.json,rails::::activestorage/package.json::::devDependencies::::rollup(location: 29),git show ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29 -- activestorage/package.json
93e7e1b85d94fb2b1ffef5a15a8e11961591a7ea,e9d105c2556d75729ad789eabf25fea90f1c8b83,342f7cbbd01a0013e47e2b61715615e6,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,rails::::actiontext/package.json::::type::::module <-> rails::::activestorage/package.json::::type::::module,activestorage/package.json,rails::::activestorage/package.json::::type(location: 6),git show 93e7e1b85d94fb2b1ffef5a15a8e11961591a7ea -- activestorage/package.json
ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29,5c50dee4cd392456fdd849f4585f5c4533e0a059,a7343af2fcf59eb75eac08f3d2e4b651,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,rails::::actioncable/package.json::::devDependencies::::babel-plugin-external-helpers::::babel-plugin-external-helpers:^6.22.0 <-> rails::::activestorage/package.json::::devDependencies::::babel-plugin-external-helpers::::babel-plugin-external-helpers:^6.22.0,activestorage/package.json,rails::::activestorage/package.json::::devDependencies::::babel-plugin-external-helpers(location: 25),git show ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29 -- activestorage/package.json
ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29,5c50dee4cd392456fdd849f4585f5c4533e0a059,aeeb6a9909edc724ae082068a26d89e6,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,rails::::actioncable/package.json::::devDependencies::::babel-preset-env::::babel-preset-env:^1.6.0 <-> rails::::activestorage/package.json::::devDependencies::::babel-preset-env::::babel-preset-env:^1.6.0,activestorage/package.json,rails::::activestorage/package.json::::devDependencies::::babel-preset-env(location: 26),git show ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29 -- activestorage/package.json
ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29,5c50dee4cd392456fdd849f4585f5c4533e0a059,f70b4e4ef68bde06f02234de651d6ec4,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,rails::::actioncable/package.json::::devDependencies::::eslint-plugin-import::::eslint-plugin-import:^2.7.0 <-> rails::::activestorage/package.json::::devDependencies::::eslint-plugin-import::::eslint-plugin-import:^2.7.0,activestorage/package.json,rails::::activestorage/package.json::::devDependencies::::eslint-plugin-import(location: 28),git show ecf738a92cb6583b7c71a9a00fb5f6cb0c2aea29 -- activestorage/package.json
