occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,0f2232d6e7596da8af6ac196159871b9,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,transformers::::docker/transformers-pytorch-cpu/Dockerfile::::copy::::src::::. <-> transformers::::docker/transformers-pytorch-gpu/Dockerfile::::copy::::src::::.,docker/transformers-pytorch-gpu/Dockerfile,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::copy::::src(location: 26),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-pytorch-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,66afe42fa96d83d931475d62880216c5,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::cmd::::param0::::bin/bash <-> transformers::::docker/transformers-tensorflow-cpu/Dockerfile::::cmd::::param0::::bin/bash,docker/transformers-pytorch-gpu/Dockerfile,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::cmd::::param0(location: 30),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-pytorch-gpu/Dockerfile
8bfc2ec7a18d4f0892b60ceb04cff53d7cad5b4f,0e7d54b530fc405c9ef1544b273f2505fa8613d7,baacad99064b7d29fcc1bab9a419198b,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::docker/transformers-gpu/Dockerfile::::from::::nvidia/cuda:10.1-cudnn7-runtime-ubuntu18.04 <-> transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::from::::nvidia/cuda:10.1-cudnn7-runtime-ubuntu18.04,docker/transformers-gpu/Dockerfile,transformers::::docker/transformers-gpu/Dockerfile::::from(location: 1),git show 8bfc2ec7a18d4f0892b60ceb04cff53d7cad5b4f -- docker/transformers-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,619bec7d5fa7f21ab8ce87d72daa40da,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,transformers::::docker/transformers-gpu/Dockerfile::::cmd::::param0::::bin/bash <-> transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::cmd::::param0::::bin/bash,docker/transformers-tensorflow-gpu/Dockerfile,transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::cmd::::param0(location: 25),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-tensorflow-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,3225d70b0a43c0563e3d80728340550a,MissingOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,transformers::::docker/transformers-gpu/Dockerfile::::cmd::::exec_command::::/bin/bash <-> transformers::::docker/transformers-pytorch-gpu/Dockerfile::::cmd::::exec_command::::/bin/bash,docker/transformers-pytorch-gpu/Dockerfile,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::cmd::::exec_command(location: 30),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-pytorch-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,7e1c2c4e3bd4b53bb823920f20a3f011,MissingOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,transformers::::docker/transformers-pytorch-cpu/Dockerfile::::cmd::::exec_command::::/bin/bash <-> transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::cmd::::exec_command::::/bin/bash,docker/transformers-tensorflow-gpu/Dockerfile,transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::cmd::::exec_command(location: 25),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-tensorflow-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,73688f9cb5477be0dcaafa92a9966f0b,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,transformers::::docker/transformers-gpu/Dockerfile::::copy::::dest::::transformers/ <-> transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::copy::::dest::::transformers/,docker/transformers-tensorflow-gpu/Dockerfile,transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::copy::::dest(location: 21),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-tensorflow-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,40b628b87b5bba4b3632315b36d687e7,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::copy::::dest::::transformers/ <-> transformers::::examples/research_projects/quantization-qdqbert/Dockerfile::::copy::::dest::::transformers/,docker/transformers-pytorch-gpu/Dockerfile,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::copy::::dest(location: 26),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-pytorch-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,70a502d321e4782fa922b4fce09fcf58,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,transformers::::docker/transformers-cpu/Dockerfile::::copy::::src::::. <-> transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::copy::::src::::.,docker/transformers-tensorflow-gpu/Dockerfile,transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::copy::::src(location: 21),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-tensorflow-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,1df81faae809073a44d40636f87ac79d,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::workdir::::/workspace <-> transformers::::docker/transformers-tensorflow-cpu/Dockerfile::::workdir::::/workspace,docker/transformers-pytorch-gpu/Dockerfile,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::workdir(location: 25),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-pytorch-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,5a5f4b15adef05b35a53e1070e6de365,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::docker/transformers-gpu/Dockerfile::::from::::nvidia/cuda:10.2-cudnn7-devel-ubuntu18.04 <-> transformers::::docker/transformers-pytorch-gpu/Dockerfile::::from::::nvidia/cuda:10.2-cudnn7-devel-ubuntu18.04,docker/transformers-pytorch-gpu/Dockerfile,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::from(location: 1),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-pytorch-gpu/Dockerfile
7dedd06a857d4df9891b806c616f922548a1abe9,e063a4b7b529c842a6cd0cd1492ba18ca3f64fea,2512e6ca4fa1de7db2a9c4853487bd82,MissingOptionConflict,ConfigType.PATH<->ConfigType.PATH,transformers::::docker/transformers-gpu/Dockerfile::::workdir::::/workspace <-> transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::workdir::::/workspace,docker/transformers-tensorflow-gpu/Dockerfile,transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::workdir(location: 20),git show 7dedd06a857d4df9891b806c616f922548a1abe9 -- docker/transformers-tensorflow-gpu/Dockerfile
8bfc2ec7a18d4f0892b60ceb04cff53d7cad5b4f,0e7d54b530fc405c9ef1544b273f2505fa8613d7,8d3b1f1326d02f86c6c9da67ee126806,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::from::::nvidia/cuda:10.1-cudnn7-runtime-ubuntu18.04 <-> transformers::::docker/transformers-tensorflow-gpu/Dockerfile::::from::::nvidia/cuda:10.1-cudnn7-runtime-ubuntu18.04,docker/transformers-pytorch-gpu/Dockerfile,transformers::::docker/transformers-pytorch-gpu/Dockerfile::::from(location: 1),git show 8bfc2ec7a18d4f0892b60ceb04cff53d7cad5b4f -- docker/transformers-pytorch-gpu/Dockerfile
