occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
9c3beb34da723cf50b2393869bde404d4dde18df,bc9abef2084679fb67751b6dead439b9e613a4a0,8cae095592dde898f974d39ca52f0b16,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vscode::::build/package.json::::devDependencies::::@types/node::::@types/node:^10.14.8 <-> vscode::::extensions/json-language-features/server/package.json::::devDependencies::::@types/node::::@types/node:^10.14.8,extensions/json-language-features/server/package.json,vscode::::extensions/json-language-features/server/package.json::::devDependencies::::@types/node(location: 24),git show 9c3beb34da723cf50b2393869bde404d4dde18df -- extensions/json-language-features/server/package.json
1b7b92e94d9d60c60ab2e688da3769b734cf550c,c2b5a1d4cadf840b89bedf5a3fcaa021a7b8bf65,352cb734fb26307a61dda9ceba962425,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,vscode::::extensions/css-language-features/package.json::::contributes::::configuration::::properties::::css.colorDecorators.enable::::type::::boolean <-> vscode::::extensions/html-language-features/package.json::::contributes::::configuration::::properties::::html.format.indentHandlebars::::type::::boolean,extensions/css-language-features/package.json,vscode::::extensions/css-language-features/package.json::::contributes::::configuration::::properties::::css.colorDecorators.enable::::type(location: 521),git show 1b7b92e94d9d60c60ab2e688da3769b734cf550c -- extensions/css-language-features/package.json
150cc50017427c4890cff278ee39f25948b6aa82,381ab1eef9629e152be1f8020e4d33d57ddf7258,9a6530755365417a82a006a5f82f340c,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vscode::::extensions/php/package.json::::engines::::vscode::::vscode:* <-> vscode::::extensions/theme-solarized-light/package.json::::engines::::vscode::::vscode:*,extensions/php/package.json,vscode::::extensions/php/package.json::::engines::::vscode(location: 4),git show 150cc50017427c4890cff278ee39f25948b6aa82 -- extensions/php/package.json
1e9388841c32a00852dfe48b6a3acb3cf6d52529,f45a6e599f20583061c717a584599f6dc028ab25,3acc0f1267e6dce79a0729b6623ae0bb,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vscode::::build/monaco/package.json::::devDependencies::::rimraf::::rimraf:^2.2.8 <-> vscode::::package.json::::devDependencies::::rimraf::::rimraf:^2.2.8,build/monaco/package.json,vscode::::build/monaco/package.json::::devDependencies::::rimraf(location: 47),git show 1e9388841c32a00852dfe48b6a3acb3cf6d52529 -- build/monaco/package.json
12f7b9e5da79a3d7e5286632238f0bcd5edd44ee,5fd1701df1566248dfce6d26fb9ed8a9df3645f7,c6f919ea91ee7e1b69103e07b6718efe,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vscode::::build/package.json::::devDependencies::::typescript::::typescript:2.5.2 <-> vscode::::extensions/package.json::::dependencies::::typescript::::typescript:2.5.2,extensions/package.json,vscode::::extensions/package.json::::dependencies::::typescript(location: 6),git show 12f7b9e5da79a3d7e5286632238f0bcd5edd44ee -- extensions/package.json
f4273d1bef7ace8508d7dd3cfbaef540b81f4501,03fa889985e2f8542366a9d1cd53fb92a6732494,0f8e1e343731399d4fa9ba9451d41322,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,vscode::::extensions/emmet/package.json::::contributes::::configuration::::properties::::emmet.showExpandedAbbreviation::::enum::::enum/never::::never <-> vscode::::extensions/git/package.json::::contributes::::configuration::::properties::::git.showUnpublishedCommitsButton::::enum::::enum/never::::never,extensions/git/package.json,vscode::::extensions/git/package.json::::contributes::::configuration::::properties::::git.showUnpublishedCommitsButton::::enum::::enum/never(location: 2473),git show f4273d1bef7ace8508d7dd3cfbaef540b81f4501 -- extensions/git/package.json
55661b9cc59f7ee4ec35e30f54e8b8133329db48,becb73951ea35c97242536343733ae5209aab698,8994e1bb70e19dafa06996c468d9a272,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,vscode::::extensions/markdown/tsconfig.json::::compilerOptions::::target::::es5 <-> vscode::::extensions/typescript/tsconfig.json::::compilerOptions::::lib::::lib/es5::::es5,extensions/typescript/tsconfig.json,vscode::::extensions/typescript/tsconfig.json::::compilerOptions::::lib::::lib/es5(location: 5),git show 55661b9cc59f7ee4ec35e30f54e8b8133329db48 -- extensions/typescript/tsconfig.json
e806a10867077e68119579e80fe2e123f143b834,60b2075691545c4145ce35b72481e85d8e33bb01,dc0682f75044621899283d9fa324871c,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,vscode::::extensions/css/package.json::::contributes::::configuration::::allOf::::allOf::::properties::::scss.lint.fontFaceProperties::::type::::string <-> vscode::::extensions/emmet/package.json::::contributes::::configuration::::properties::::emmet.preferences::::properties::::stylus.propertyEnd::::type::::string,extensions/css/package.json,vscode::::extensions/css/package.json::::contributes::::configuration::::allOf::::allOf::::properties::::scss.lint.fontFaceProperties::::type(location: 528),git show e806a10867077e68119579e80fe2e123f143b834 -- extensions/css/package.json
0e44b9b981ace8377e473cebfe9b6abd5d19f07b,e32516f72465d9a1277b129d915b2cff57dff829,32d7c738df4a2a12a2f22cb114cd4f79,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vscode::::extensions/java/package.json::::version::::version:0.1.0 <-> vscode::::extensions/markdown/package.json::::version::::version:0.1.0,extensions/markdown/package.json,vscode::::extensions/markdown/package.json::::version(location: 5),git show 0e44b9b981ace8377e473cebfe9b6abd5d19f07b -- extensions/markdown/package.json
c5c2d8cf704ea0275dbcb6a855c4992a7647be74,bbc405cd7111e5bfdcd31a8644ad267ac1e2aa70,559b4317353f5b7f5a82aea5b5bf140a,MissingArtifactConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,vscode::::build/tfs/common/package.json::::version::::version:1.0.0 <-> vscode::::extensions/json/server/package.json::::version::::version:1.0.0,,,
