occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
f28765c30331e36d3abf90d7bb0bb508df061f57;f09321df83abc4d3da9aeaf2b2e393b55386bffe;0796e9b2af8fc83af85898e6e7dc3e2d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::aio/package.json::::devDependencies::::dgeni::::dgeni:^0.4.2 <-> angular::::package.json::::devDependencies::::dgeni::::dgeni:^0.4.2;aio/package.json;angular::::aio/package.json::::devDependencies::::dgeni(location: 44);git show f28765c30331e36d3abf90d7bb0bb508df061f57 -- aio/package.json;yes;library version was only changed in a subpackage;version number
2fd6fc902a7446d1afc7f4a96683f5b2be3610db;bb8aa32b97cd4eca68b1a9dfdc7cd2e3415a58f0;898809ce47df1feff87819ec97a84d72;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;angular::::aio/package.json::::scripts::::check-env::::gulp check-env <-> angular::::package.json::::scripts::::check-env::::gulp check-env;aio/package.json;angular::::aio/package.json::::scripts::::check-env(location: 20);git show 2fd6fc902a7446d1afc7f4a96683f5b2be3610db -- aio/package.json;yes;entry point for script changed only in subpackage;command
6958e9b941a20e91b3591bde7af72912bcdb1fd7;123e939188f794fac5a64d0d60bcb342e5d45ab1;c4311daacb6c5f777d7bb75e09e6f533;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::package.json::::devDependencies::::tsickle::::tsickle:^0.1.2 <-> angular::::tools/@angular/tsc-wrapped/package.json::::dependencies::::tsickle::::tsickle:^0.1.2;package.json;angular::::package.json::::devDependencies::::tsickle(location: 110);git show 6958e9b941a20e91b3591bde7af72912bcdb1fd7 -- package.json;yes;library version was only changed in a subpackage;version number
f28765c30331e36d3abf90d7bb0bb508df061f57;f09321df83abc4d3da9aeaf2b2e393b55386bffe;260cc2b7e33821dc545d11cca69f1d4b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::aio/package.json::::devDependencies::::dgeni-packages::::dgeni-packages:^0.16.5 <-> angular::::package.json::::devDependencies::::dgeni-packages::::dgeni-packages:^0.16.5;aio/package.json;angular::::aio/package.json::::devDependencies::::dgeni-packages(location: 45);git show f28765c30331e36d3abf90d7bb0bb508df061f57 -- aio/package.json;yes;library version was only changed in a subpackage;version number
b97554eeb4cacf491ea77734ac8f559e2f948dcb;0ef0a3cfb3a9b8db45abcc4a3208717c78a73aa5;94604e0f0de990bf8058913229fc2819;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::package.json::::version::::version:4.0.0-beta.2 <-> angular::::tools/@angular/tsc-wrapped/package.json::::version::::version:4.0.0-beta.2;package.json;angular::::package.json::::version(location: 3);git show b97554eeb4cacf491ea77734ac8f559e2f948dcb -- package.json;yes;file version was only changed once;version number
f491f2f9586b4f402982390430a1b1d2a5f7bc12;57874ae0eedb7c461a88349ab648292d4d6f83ed;5d8f2af109c9f23440f31158ae85b88e;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;angular::::modules/@angular/compiler-cli/package.json::::main::::index.js <-> angular::::modules/@angular/forms/package.json::::main::::index.js;modules/@angular/forms/package.json;angular::::modules/@angular/forms/package.json::::main(location: 5);git show f491f2f9586b4f402982390430a1b1d2a5f7bc12 -- modules/@angular/forms/package.json;borderline;entrypoint for main script changed ;path
680e7172f7cf7a3da599d23ad62f7d9d97cf4775;9c05ea5f6d1788d0ce5043e6bc148b787c68bbcf;ebeea5047e8c237d578e52eff6a9e22d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::modules/@angular/benchpress/package.json::::version::::version:0.0.0-PLACEHOLDER <-> angular::::modules/@angular/compiler-cli/package.json::::version::::version:0.0.0-PLACEHOLDER;modules/@angular/benchpress/package.json;angular::::modules/@angular/benchpress/package.json::::version(location: 3);git show 680e7172f7cf7a3da599d23ad62f7d9d97cf4775 -- modules/@angular/benchpress/package.json;no;placholder value;version number
680e7172f7cf7a3da599d23ad62f7d9d97cf4775;9c05ea5f6d1788d0ce5043e6bc148b787c68bbcf;24d90a3741048b2c7a02788510161ee8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::modules/@angular/benchpress/package.json::::dependencies::::@angular/core::::@angular/core:0.0.0-PLACEHOLDER <-> angular::::modules/@angular/common/package.json::::peerDependencies::::@angular/core::::@angular/core:0.0.0-PLACEHOLDER;modules/@angular/benchpress/package.json;angular::::modules/@angular/benchpress/package.json::::dependencies::::@angular/core(location: 8);git show 680e7172f7cf7a3da599d23ad62f7d9d97cf4775 -- modules/@angular/benchpress/package.json;no;placholder value;version number
24ced073bdbde290604fe4ba299aeeeb76acc207;2a6358fd7c0bdcb7331c338f74d8074634d7e8ac;e803c421771a8f5c83375a96e53dc237;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::package.json::::devDependencies::::tsickle::::tsickle:^0.1.7 <-> angular::::tools/@angular/tsc-wrapped/package.json::::dependencies::::tsickle::::tsickle:^0.1.7;tools/@angular/tsc-wrapped/package.json;angular::::tools/@angular/tsc-wrapped/package.json::::dependencies::::tsickle(location: 14);git show 24ced073bdbde290604fe4ba299aeeeb76acc207 -- tools/@angular/tsc-wrapped/package.json;yes;library version was only changed in a subpackage;version number
f6144859ba6881995c2556d3c845cc9240052aac;445657800c03cb45dbf52fd255fae9577e6e3268;72a12c7fa0a9c569af845f86381123f3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::package.json::::devDependencies::::tsickle::::tsickle:0.1.2 <-> angular::::tools/@angular/tsc-wrapped/package.json::::dependencies::::tsickle::::tsickle:0.1.2;tools/@angular/tsc-wrapped/package.json;angular::::tools/@angular/tsc-wrapped/package.json::::dependencies::::tsickle(location: 14);git show f6144859ba6881995c2556d3c845cc9240052aac -- tools/@angular/tsc-wrapped/package.json;yes;library version was only changed in a subpackage;version number
4c8ae016951ebb375790f9977895a0a0f52528f5;f706172766915bb424f9308ee88f54ed92c7013f;8e0f3293d43a285c3f10b1a3f752875a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;angular::::modules/@angular/router/package.json::::devDependencies::::typescript::::typescript:^1.9.0-dev.20160409 <-> angular::::package.json::::devDependencies::::typescript::::typescript:^1.9.0-dev.20160409;modules/@angular/router/package.json;angular::::modules/@angular/router/package.json::::devDependencies::::typescript(location: 66);git show 4c8ae016951ebb375790f9977895a0a0f52528f5 -- modules/@angular/router/package.json;yes;library version was only changed in a subpackage;version number
f491f2f9586b4f402982390430a1b1d2a5f7bc12;57874ae0eedb7c461a88349ab648292d4d6f83ed;99da227db1846eec44a708aafc5e71dc;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;angular::::modules/@angular/platform-browser-dynamic/package.json::::main::::index.js <-> angular::::modules/@angular/platform-browser/package.json::::main::::index.js;modules/@angular/platform-browser/package.json;angular::::modules/@angular/platform-browser/package.json::::main(location: 5);git show f491f2f9586b4f402982390430a1b1d2a5f7bc12 -- modules/@angular/platform-browser/package.json;borderline;entrypoint for main script changed ;path
f491f2f9586b4f402982390430a1b1d2a5f7bc12;57874ae0eedb7c461a88349ab648292d4d6f83ed;0d48f0e8ff344ec7bcfeb67b250bb226;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;angular::::modules/@angular/common/package.json::::main::::index.js <-> angular::::modules/rollup-test/package.json::::main::::index.js;modules/@angular/common/package.json;angular::::modules/@angular/common/package.json::::main(location: 5);git show f491f2f9586b4f402982390430a1b1d2a5f7bc12 -- modules/@angular/common/package.json;borderline;entrypoint for main script changed ;path
