occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes
054e7b1912cfc0962086a6173cba7c64f4593d04;f685f36dcfb1d1662e99444248bcfa16d87cb8de;39d31a39d7618ffeafda7cae5d773e1a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::terser-webpack-plugin::::terser-webpack-plugin:1.4.1 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::terser-webpack-plugin::::terser-webpack-plugin:1.4.1;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::terser-webpack-plugin(location: 76);git show 054e7b1912cfc0962086a6173cba7c64f4593d04 -- packages/react-scripts/package.json;yes;library version changed
02882a70963e61c617ce87a0b668240c2ed6bb6b;77d8a9196b0ef58b02b09042bc415fe3861b544b;8f5c68f8f2b810eb39ab7578d7898bd7;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::babel-eslint::::babel-eslint:6.1.2 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::babel-eslint::::babel-eslint:6.1.2;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::babel-eslint(location: 28);git show 02882a70963e61c617ce87a0b668240c2ed6bb6b -- packages/react-scripts/package.json;yes;library version changed
f2c8714035e56d20af2dd9897346f82b215af809;9003e68b4b5d6541ab2e0c457818886dc6c3dedb;76eb074f1dfb7d967f99cbd46eb70045;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint-plugin-jsx-a11y::::eslint-plugin-jsx-a11y:^5.0.0 <-> create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-jsx-a11y::::eslint-plugin-jsx-a11y:^5.0.0;packages/react-error-overlay/package.json;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-jsx-a11y(location: 48);git show f2c8714035e56d20af2dd9897346f82b215af809 -- packages/react-error-overlay/package.json;yes;library version changed
02882a70963e61c617ce87a0b668240c2ed6bb6b;77d8a9196b0ef58b02b09042bc415fe3861b544b;006c01bb525b31e1ff264eed82f3e881;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::eslint::::eslint:3.5.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint::::eslint:3.5.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint(location: 39);git show 02882a70963e61c617ce87a0b668240c2ed6bb6b -- packages/react-scripts/package.json;yes;library version changed
4e5a43f823a2f3eaebe468b7737809fd1d39ef5c;c5479c2079b8a118039d8dbfc37711262fc8e152;875b70f360e67135345167745850d821;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint::::eslint:4.4.1 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint::::eslint:4.4.1;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint(location: 35);git show 4e5a43f823a2f3eaebe468b7737809fd1d39ef5c -- packages/react-scripts/package.json;yes;library version changed
ff315d98c0b2631ef770e7f3e4d41f7d5f497757;27712638336b8ef0f43b205655ceb7c489a635db;b777f7e945f8b9837fb2ef3b35eb5abc;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint-plugin-react-hooks::::eslint-plugin-react-hooks:1.5.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-react-hooks::::eslint-plugin-react-hooks:1.5.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-react-hooks(location: 49);git show ff315d98c0b2631ef770e7f3e4d41f7d5f497757 -- packages/react-scripts/package.json;yes;library version changed
968b3ba55524c5a45646ea1cdac4a1cd8b35e663;072457eb09126f90746a10098634d14e06b201dc;1805e9e01b501bbe8b0af8131009311a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-dev-utils/package.json::::devDependencies::::jest::::jest:26.4.2 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::jest::::jest:26.4.2;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::jest(location: 61);git show 968b3ba55524c5a45646ea1cdac4a1cd8b35e663 -- packages/react-scripts/package.json;yes;library version changed
7e0f81a0bfff28724434007b4b82186ec7212f51;7608c72db4e1f073f8b58859f3a232824b7041f2;73128cfb6c15db81b772a92c76f53848;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint-plugin-import::::eslint-plugin-import:^2.22.0 <-> create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-import::::eslint-plugin-import:^2.22.0;packages/react-error-overlay/package.json;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-import(location: 50);git show 7e0f81a0bfff28724434007b4b82186ec7212f51 -- packages/react-error-overlay/package.json;yes;library version changed
78777dfeef269997429630c5db65d8810adab942;7b3c93a5e093442546a7a7eaad4b54469b317757;ea5185a37aced93361e2df0ce0770c57;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-flowtype::::eslint-plugin-flowtype:2.33.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-flowtype::::eslint-plugin-flowtype:2.33.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint-plugin-flowtype(location: 38);git show 78777dfeef269997429630c5db65d8810adab942 -- packages/react-scripts/package.json;yes;library version changed
5f92f70239ba76a147e1cc9c103845abce8b094f;7346f505bae8f4cf4d21e0d3c686b7e2fd1c1bac;0703d883f1c49d22da4de61b57e10d88;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/create-react-app/package.json::::dependencies::::chalk::::chalk:3.0.0 <-> create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::chalk::::chalk:3.0.0;packages/react-error-overlay/package.json;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::chalk(location: 44);git show 5f92f70239ba76a147e1cc9c103845abce8b094f -- packages/react-error-overlay/package.json;yes;library version changed
7b2bbe250c8b75f2ad69a8d52e0b1c78eda1f6cb;8f8f3b085d6d7e90b06f431be924b66bbaf9a803;d67f3c4a3aa16c78d996eab68e276449;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/eslint-config-react-app/package.json::::peerDependencies::::eslint-plugin-jest::::eslint-plugin-jest:^24.0.0 <-> create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-jest::::eslint-plugin-jest:^24.0.0;packages/react-error-overlay/package.json;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::eslint-plugin-jest(location: 51);git show 7b2bbe250c8b75f2ad69a8d52e0b1c78eda1f6cb -- packages/react-error-overlay/package.json;yes;library version changed
2346a028fd4cda5c8686cb5c07ad052af3217c99;a5aa2ca31ba75b0d3d0e41e2c153b49f902c3139;2ff5070a497579b45a52761b1a01eef6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::packages/react-error-overlay/package.json::::devDependencies::::terser-webpack-plugin::::terser-webpack-plugin:1.2.1 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::terser-webpack-plugin::::terser-webpack-plugin:1.2.1;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::terser-webpack-plugin(location: 68);git show 2346a028fd4cda5c8686cb5c07ad052af3217c99 -- packages/react-scripts/package.json;yes;library version changed
ebbaa87f4d6c59a7d54e0e859051d2ec97800087;666726b50a12eb10e6a980986a9a1f2ef54fca68;1efa53535257815bc2cd515ac73629e6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;create-react-app::::package.json::::devDependencies::::eslint::::eslint:5.16.0 <-> create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint::::eslint:5.16.0;packages/react-scripts/package.json;create-react-app::::packages/react-scripts/package.json::::dependencies::::eslint(location: 44);git show ebbaa87f4d6c59a7d54e0e859051d2ec97800087 -- packages/react-scripts/package.json;yes;library version changed
