occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating ;notes
4572cdc902467a410e122f404d5a73d3aab48c0f;d6b170804510536f74e0123dc9dd4cbcfb8de767;49ce5cd852db07cb705a7bf18b387d47;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.6.2 <-> element::::packages/theme-chalk/package.json::::version::::version:2.6.2;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show 4572cdc902467a410e122f404d5a73d3aab48c0f -- packages/theme-chalk/package.json;yes;file version changed
84be927cbf3350e8480e9d58d377a0c6e6c20093;bdd8a81c813e0f096241f01f5b756cee2a4181a0;74c10cd0d10e88ae4bf1585d2722f2c9;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.14.1 <-> element::::packages/theme-chalk/package.json::::version::::version:2.14.1;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show 84be927cbf3350e8480e9d58d377a0c6e6c20093 -- packages/theme-chalk/package.json;yes;file version changed
30cfd1f4c191778090ed27d9d03ee4e2c2edea78;9905845f8af3ec620835ac25bf54971c35de3a58;96e2a32a2ca9243d80f095df4fcb909a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:1.2.6 <-> element::::packages/theme-default/package.json::::version::::version:1.2.6;packages/theme-default/package.json;element::::packages/theme-default/package.json::::version(location: 3);git show 30cfd1f4c191778090ed27d9d03ee4e2c2edea78 -- packages/theme-default/package.json;yes;file version changed
65a0febeb981ea089f7a7f6975e7b2acad05666a;1ae77acf4f8f88b1a0cbe409fee4e07f4c366708;827af97d7feb8bcfc5f951a82f8123e1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.14.0 <-> element::::packages/theme-chalk/package.json::::version::::version:2.14.0;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show 65a0febeb981ea089f7a7f6975e7b2acad05666a -- packages/theme-chalk/package.json;yes;file version changed
6e8d4842a384af7934d247abdc87d9c372e72ed8;25162a5a73a0dd6fb7109de0c5cf464a6a75a0bf;df4089ef94fc70f37484526f033f43c9;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.1.0 <-> element::::packages/theme-chalk/package.json::::version::::version:2.1.0;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show 6e8d4842a384af7934d247abdc87d9c372e72ed8 -- packages/theme-chalk/package.json;yes;file version changed
62ddc530e03f05011cb5da231a3975011ecfb549;b483b2882db1ca4fa83a37266b7c061c76e1375c;5312b767b2936821024b59209ec39a47;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.0.2 <-> element::::packages/theme-chalk/package.json::::version::::version:2.0.2;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show 62ddc530e03f05011cb5da231a3975011ecfb549 -- packages/theme-chalk/package.json;yes;file version changed
53fe6678c15f8cc08d378e6d18f8b5399fbb6bc5;2c9088d9fdaf018aba2dd361bc24d58fc8b14d67;b5579c44d3b5ededdbb7ce7e8a88f877;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.2.0 <-> element::::packages/theme-chalk/package.json::::version::::version:2.2.0;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show 53fe6678c15f8cc08d378e6d18f8b5399fbb6bc5 -- packages/theme-chalk/package.json;yes;file version changed
7f0299c68586589fd27735d95051405afab0e989;edc52c1d96a7eabb47b02b2aa0ecf564ff9b43f3;3792a9885183ac213025e8b24b3b2a69;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.15.3 <-> element::::packages/theme-chalk/package.json::::version::::version:2.15.3;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show 7f0299c68586589fd27735d95051405afab0e989 -- packages/theme-chalk/package.json;yes;file version changed
f7ba0b1f39f913d0c174dee367fba0d559535dd3;9a028b16b6ffe0fce31428efe6780b0490f26e2a;57e400769f96db98d6bfe8689fe054b6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::packages/card/package.json::::version::::version:0.0.0 <-> element::::packages/message/package.json::::version::::version:0.0.0;packages/card/package.json;element::::packages/card/package.json::::version(location: 3);git show f7ba0b1f39f913d0c174dee367fba0d559535dd3 -- packages/card/package.json;yes;file version changed
eb55c0bfb965c3a746de855a57003847aab3f313;2f2806540d3f027588f128fdf369b1e801e5d96e;48143a039119828ae01cf8b880d9f6c6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.13.1 <-> element::::packages/theme-chalk/package.json::::version::::version:2.13.1;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show eb55c0bfb965c3a746de855a57003847aab3f313 -- packages/theme-chalk/package.json;yes;file version changed
5baa9eee5df9f9b890101be49992400b37908fd4;26ad3a98331a951abec87c8360fdb8cfe688aa55;3b1599bcd3b1bb9b347af5f4c0199c3d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.6.3 <-> element::::packages/theme-chalk/package.json::::version::::version:2.6.3;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show 5baa9eee5df9f9b890101be49992400b37908fd4 -- packages/theme-chalk/package.json;yes;file version changed
c9e987ca32822f2eb9ba0f71d8c1331032e93ca5;8be5a40b7fb0e8691cc6852c831d1928ae80e2ad;8300dda031c2d23920c1404b86ca0798;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::packages/loading/package.json::::version::::version:2.0.0 <-> element::::packages/table/package.json::::version::::version:2.0.0;packages/table/package.json;element::::packages/table/package.json::::version(location: 3);git show c9e987ca32822f2eb9ba0f71d8c1331032e93ca5 -- packages/table/package.json;yes;file version changed
bd83b38eaf02dee80d55613ede24ecf6b8a16dfb;de9b0336aa2a4437c035942dc0d028ca90067f76;0e8050b6673c0b241513396a18c2be32;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.12.0 <-> element::::packages/theme-chalk/package.json::::version::::version:2.12.0;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show bd83b38eaf02dee80d55613ede24ecf6b8a16dfb -- packages/theme-chalk/package.json;yes;file version changed
ae9c3e99f3cb472517db6030d017624604cb85ec;39a263548f435eb933067e72d63b9598085c1a64;25dd7dad1939d1591e1817ef9365ae7b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:2.10.0 <-> element::::packages/theme-chalk/package.json::::version::::version:2.10.0;packages/theme-chalk/package.json;element::::packages/theme-chalk/package.json::::version(location: 3);git show ae9c3e99f3cb472517db6030d017624604cb85ec -- packages/theme-chalk/package.json;yes;file version changed
96069cf25be38afdc96b1b565289142f7da263f4;3905ac4eddd9ee6303ddbafe4184d99e4015dd8e;7f3a7fb367db208ae0afd52f5b19dc07;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:1.2.1 <-> element::::packages/theme-default/package.json::::version::::version:1.2.1;packages/theme-default/package.json;element::::packages/theme-default/package.json::::version(location: 3);git show 96069cf25be38afdc96b1b565289142f7da263f4 -- packages/theme-default/package.json;yes;file version changed
5b3d2dbd52fc41b92f2a5de15296cecc276475cf;8e8802ba7ca001bc78bbebe0d12df38bc66b9910;c03c5baeed64417ecbadff522eb81edb;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:1.4.5 <-> element::::packages/theme-default/package.json::::version::::version:1.4.5;packages/theme-default/package.json;element::::packages/theme-default/package.json::::version(location: 3);git show 5b3d2dbd52fc41b92f2a5de15296cecc276475cf -- packages/theme-default/package.json;yes;file version changed
85f354ce422cb007290f2567d3e55b4fac87a0dd;d919494d6b2b0d707d5b8dcb2b682ae0a350bfc4;1098d29b45a41329e4defa625c306f0e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;element::::package.json::::version::::version:1.2.0 <-> element::::packages/theme-default/package.json::::version::::version:1.2.0;packages/theme-default/package.json;element::::packages/theme-default/package.json::::version(location: 3);git show 85f354ce422cb007290f2567d3e55b4fac87a0dd -- packages/theme-default/package.json;yes;file version changed
