occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes
46183c5e7d03bbef53120ca88af8860ba1b30855;5c67aeaaa00650e20591efd71d013ba41daea3c6;75dc87a25ff53d585be8877815b883a4;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::api-server/package.json::::devDependencies::::@babel/register::::@babel/register:7.17.7 <-> freeCodeCamp::::curriculum/package.json::::devDependencies::::@babel/register::::@babel/register:7.17.7;curriculum/package.json;freeCodeCamp::::curriculum/package.json::::devDependencies::::@babel/register(location: 36);git show 46183c5e7d03bbef53120ca88af8860ba1b30855 -- curriculum/package.json;yes;library version changed
f19a0d0582d387d91a99dec9dcfb04affc8f99aa;152d9550794d981321b239a0ce0fd13e586eaa57;7f28d7a76d50f4cbaf1d3e97770ecd21;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::curriculum/package.json::::devDependencies::::lodash::::lodash:^4.17.19 <-> freeCodeCamp::::tools/scripts/seed/package.json::::devDependencies::::lodash::::lodash:^4.17.19;curriculum/package.json;freeCodeCamp::::curriculum/package.json::::devDependencies::::lodash(location: 63);git show f19a0d0582d387d91a99dec9dcfb04affc8f99aa -- curriculum/package.json;yes;library version changed
638fc9041142418cb3f86b3107d3b260422b2f9c;bb5c5db53684e6a24169b1a2a018be3b55d11658;934d10de0b2fafd77be16aa7879ef837;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::search-indexing/package.json::::dependencies::::lodash::::lodash:^4.17.15 <-> freeCodeCamp::::tools/challenge-md-parser/package.json::::dependencies::::lodash::::lodash:^4.17.15;search-indexing/package.json;freeCodeCamp::::search-indexing/package.json::::dependencies::::lodash(location: 39);git show 638fc9041142418cb3f86b3107d3b260422b2f9c -- search-indexing/package.json;yes;library version changed
2ece51457884ed0f7c9ea2a4b02660576371a146;ac9f6458182e4510561cf0b88af51c530a981725;ba67aafc9984224f7fa9e18f4f2fee41;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::package.json::::devDependencies::::lodash::::lodash:^4.17.11 <-> freeCodeCamp::::tools/scripts/seed/package.json::::devDependencies::::lodash::::lodash:^4.17.11;package.json;freeCodeCamp::::package.json::::devDependencies::::lodash(location: 66);git show 2ece51457884ed0f7c9ea2a4b02660576371a146 -- package.json;yes;library version changed
f6d7be5b3512cfa7760e9f9d173db24a3ae367bd;a4043847f6f08871f6fb4dba8fa0df862f2c0181;e33b9a4b849a6725cb393f7da3b090e5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::api-server/package.json::::devDependencies::::@babel/register::::@babel/register:^7.11.5 <-> freeCodeCamp::::curriculum/package.json::::devDependencies::::@babel/register::::@babel/register:^7.11.5;api-server/package.json;freeCodeCamp::::api-server/package.json::::devDependencies::::@babel/register(location: 74);git show f6d7be5b3512cfa7760e9f9d173db24a3ae367bd -- api-server/package.json;yes;library version changed
eda08e404840c8b044e77fffa5950f33a33e98c2;a27973c7a8956ab7c5efa833613ceca644d50b95;e9d8bc1393896640f92ab9e8a2d46ed7;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::api-server/package.json::::devDependencies::::jest::::jest:^24.9.0 <-> freeCodeCamp::::package.json::::devDependencies::::jest::::jest:^24.9.0;api-server/package.json;freeCodeCamp::::api-server/package.json::::devDependencies::::jest(location: 12);git show eda08e404840c8b044e77fffa5950f33a33e98c2 -- api-server/package.json;yes;library version changed
3c1ea184a2432cef92696f6431b2962570f573e7;2311a400c724b983434d93b6b3f5d60fcebe5b54;ce0c1de833e42415d12300493a7c9d2f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::curriculum/package.json::::devDependencies::::lodash::::lodash:^4.17.11 <-> freeCodeCamp::::tools/challenge-md-parser/package.json::::dependencies::::lodash::::lodash:^4.17.11;tools/challenge-md-parser/package.json;freeCodeCamp::::tools/challenge-md-parser/package.json::::dependencies::::lodash(location: 22);git show 3c1ea184a2432cef92696f6431b2962570f573e7 -- tools/challenge-md-parser/package.json;yes;library version changed
e808b93b720c701db5e99d98ad4534abf32b90f9;9bd76bc91dd794f261635b137d6326ebac77fda3;5c0f285e5fa03af71c421a13b08e470f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::client/package.json::::dependencies::::rxjs::::rxjs:^6.4.0 <-> freeCodeCamp::::search-indexing/package.json::::dependencies::::rxjs::::rxjs:^6.4.0;client/package.json;freeCodeCamp::::client/package.json::::dependencies::::rxjs(location: 67);git show e808b93b720c701db5e99d98ad4534abf32b90f9 -- client/package.json;yes;library version changed
5658b40f416e24aa82f1a5471787bfe31c1572f4;f158d66bfa77a7f9bc67dd6ae7fa5ac2de0fa38b;02500a1f078fb22fad61c58e11c743df;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;freeCodeCamp::::tools/challenge-md-parser/package.json::::main::::index.js <-> freeCodeCamp::::tools/scripts/seed/package.json::::main::::index.js;tools/scripts/seed/package.json;freeCodeCamp::::tools/scripts/seed/package.json::::main(location: 5);git show 5658b40f416e24aa82f1a5471787bfe31c1572f4 -- tools/scripts/seed/package.json;borderline;entrypoint main script changed
df52e488450a3bae29c3de423de3af3db7f452bb;ed9e6be84b8ac50c13c0fe00a2962030445b2259;9384f394dc44b9ada06798edec40195b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;freeCodeCamp::::search-indexing/package.json::::devDependencies::::jest::::jest:^24.8.0 <-> freeCodeCamp::::tools/scripts/build/package.json::::devDependencies::::jest::::jest:^24.8.0;tools/scripts/build/package.json;freeCodeCamp::::tools/scripts/build/package.json::::devDependencies::::jest(location: 8);git show df52e488450a3bae29c3de423de3af3db7f452bb -- tools/scripts/build/package.json;yes;library version changed
