occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
3ac5ac5b7c38033c38c75464b6fa5ddb1e2f9192;c26cd73211e02bb861f194748b2a06435b66b205;396c6268a3f5b4ce61123b652d995335;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;ionic-framework::::packages/core/package.json::::scripts::::deploy::::np --any-branch <-> ionic-framework::::packages/react/package.json::::scripts::::deploy::::np --any-branch;packages/core/package.json;ionic-framework::::packages/core/package.json::::scripts::::deploy(location: 45);git show 3ac5ac5b7c38033c38c75464b6fa5ddb1e2f9192 -- packages/core/package.json;yes;command for deploy script changed;command
63e00e409d81138a4aa84fd9de239e89ac7902a4;352888d348143f75c18e51ffeeda4b216cc74474;ace2e4294473a395e3e584a6be4de4a9;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::demos/package.json::::dependencies::::rxjs::::rxjs:^5.0.0-beta.12 <-> ionic-framework::::package.json::::dependencies::::rxjs::::rxjs:^5.0.0-beta.12;package.json;ionic-framework::::package.json::::dependencies::::rxjs(location: 39);git show 63e00e409d81138a4aa84fd9de239e89ac7902a4 -- package.json;yes;library version changed;version number
79ccfd571bf01ee2eb12e556b49827910bcd32a4;6e89a36a4712e678d94c73116c83f16e092c198d;3cc2e96edac63d63bb7c679c78366460;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::angular/package.json::::dependencies::::@ionic/core::::@ionic/core:4.0.0-beta.12 <-> ionic-framework::::vue/package.json::::dependencies::::@ionic/core::::@ionic/core:4.0.0-beta.12;angular/package.json;ionic-framework::::angular/package.json::::dependencies::::@ionic/core(location: 47);git show 79ccfd571bf01ee2eb12e556b49827910bcd32a4 -- angular/package.json;yes;library version changed;version number
79ccfd571bf01ee2eb12e556b49827910bcd32a4;6e89a36a4712e678d94c73116c83f16e092c198d;c9cb895ef4ad1025180ec558ac33458b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::core/package.json::::version::::version:4.0.0-beta.12 <-> ionic-framework::::vue/package.json::::version::::version:4.0.0-beta.12;core/package.json;ionic-framework::::core/package.json::::version(location: 3);git show 79ccfd571bf01ee2eb12e556b49827910bcd32a4 -- core/package.json;yes;file version changed;version number
9e9f459c3fff90f5aa6e53351aee91348d9fe3bd;5b5db1b26c122365d9fae13317e167230d36cf7d;904fb8c573ccbab73d7e4df5cfac8cfe;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::packages/angular/package.json::::dependencies::::@stencil/core::::@stencil/core:0.5.2 <-> ionic-framework::::packages/core/package.json::::devDependencies::::@stencil/core::::@stencil/core:0.5.2;packages/core/package.json;ionic-framework::::packages/core/package.json::::devDependencies::::@stencil/core(location: 12);git show 9e9f459c3fff90f5aa6e53351aee91348d9fe3bd -- packages/core/package.json;yes;library version changed;version number
afa77c87e5a5e48e05e8fc3651ea53ba02ee2e16;fe5715230f7c46ac5a940112d25cfe0356dff5e1;0287729865b0b7f3b81da54bccb1b4cb;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::angular/package.json::::devDependencies::::@angular/compiler::::@angular/compiler:^6.0.9 <-> ionic-framework::::angular/test/testapp/package.json::::dependencies::::@angular/compiler::::@angular/compiler:^6.0.9;angular/package.json;ionic-framework::::angular/package.json::::devDependencies::::@angular/compiler(location: 48);git show afa77c87e5a5e48e05e8fc3651ea53ba02ee2e16 -- angular/package.json;yes;library version changed;version number
ad8bd748571e98089ba34a2e948f70d4ff5a9ca9;40e366c005bebbabddc995cf48e83b7e872f06a9;e831439fd72d9d0dacfa40773f194562;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::packages/angular/package.json::::devDependencies::::@ionic/core::::@ionic/core:next <-> ionic-framework::::packages/demos/conference-app/angular/package.json::::dependencies::::@ionic/core::::@ionic/core:next;packages/angular/package.json;ionic-framework::::packages/angular/package.json::::devDependencies::::@ionic/core(location: 45);git show ad8bd748571e98089ba34a2e948f70d4ff5a9ca9 -- packages/angular/package.json;yes;library version changed;version number
cd30bff77e7427f4cbb7feb75e02ae34b3c1f95c;afee04bd72d354ce75c473ee3a65b05ce8ae25fc;ec04f6f6f87181c15e319fc29b2e092e;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;ionic-framework::::packages/angular/package.json::::main::::./dist/src/index.js <-> ionic-framework::::packages/react/package.json::::main::::./dist/src/index.js;packages/react/package.json;ionic-framework::::packages/react/package.json::::main(location: 28);git show cd30bff77e7427f4cbb7feb75e02ae34b3c1f95c -- packages/react/package.json;borderline;entrypoint main script changed;path
29986ef4af8dd8d51d3b0abb386403f9fdda976f;ba444ba4b7adba03939bcf654d0689edf8386ae9;803a02c14f86815133dd78199d73b8e2;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::package.json::::dependencies::::@reactivex/rxjs::::@reactivex/rxjs:0.0.0-prealpha.3 <-> ionic-framework::::scripts/npm/package.json::::dependencies::::@reactivex/rxjs::::@reactivex/rxjs:0.0.0-prealpha.3;package.json;ionic-framework::::package.json::::dependencies::::@reactivex/rxjs(location: 16);git show 29986ef4af8dd8d51d3b0abb386403f9fdda976f -- package.json;yes;library version changed;version number
b720733bb3eb1d81b4039f8ee43fa8668258c764;ce0e1b50c67c4bb558d1a7b977df3e201f2033da;456edb4de3e4a1d5a7ec5da08fd29ce3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;ionic-framework::::angular/tsconfig.json::::compilerOptions::::target::::es2015 <-> ionic-framework::::react/tsconfig.json::::compilerOptions::::target::::es2015;react/tsconfig.json;ionic-framework::::react/tsconfig.json::::compilerOptions::::target(location: 23);git show b720733bb3eb1d81b4039f8ee43fa8668258c764 -- react/tsconfig.json;yes;compiler options target changed;unknwon
43344319702bad284477b9074f2baaa711779819;2f8f5cdaae5c91471db3f644bfa14648d67e0695;b6d0c7c7a94f6dbe1efc29c835d822c2;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::package.json::::dependencies::::angular2::::angular2:2.0.0-beta.0 <-> ionic-framework::::scripts/npm/package.json::::peerDependencies::::angular2::::angular2:2.0.0-beta.0;package.json;ionic-framework::::package.json::::dependencies::::angular2(location: 23);git show 43344319702bad284477b9074f2baaa711779819 -- package.json;yes;library version changed;version number
3b3a7c96cdb68feca10d00e8d9620906dc834ed7;751ca3105b85ed3ad42a71254b3ed1e1e18ec0d5;9ee8bd42678e7a77ad695ef692813645;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;ionic-framework::::packages/angular/package.json::::scripts::::deploy::::np --any-branch <-> ionic-framework::::packages/react/package.json::::scripts::::deploy::::np --any-branch;packages/angular/package.json;ionic-framework::::packages/angular/package.json::::scripts::::deploy(location: 26);git show 3b3a7c96cdb68feca10d00e8d9620906dc834ed7 -- packages/angular/package.json;yes;command for deploy script changed;command
adcc2606ca2a3f2108435ea9427d7aeceda5bfcd;0b219216320b2636a53179535f31ca4967859d69;1889ae146b2dd4569daf57439cf106fc;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::angular/package.json::::dependencies::::@ionic/core::::@ionic/core:4.8.0 <-> ionic-framework::::packages/react/package.json::::dependencies::::@ionic/core::::@ionic/core:4.8.0;angular/package.json;ionic-framework::::angular/package.json::::dependencies::::@ionic/core(location: 52);git show adcc2606ca2a3f2108435ea9427d7aeceda5bfcd -- angular/package.json;yes;library version changed;version number
d0e69f637fc58d0d3429f9253a1edfa393a099e1;0161c93ac3caf5441f46d392406e26a9079bcea0;fdea6486afc79565594a537c176a023a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::angular/package.json::::devDependencies::::@angular/common::::@angular/common:^6.0.0 <-> ionic-framework::::angular/test/testapp/package.json::::dependencies::::@angular/common::::@angular/common:^6.0.0;angular/package.json;ionic-framework::::angular/package.json::::devDependencies::::@angular/common(location: 46);git show d0e69f637fc58d0d3429f9253a1edfa393a099e1 -- angular/package.json;yes;library version changed;version number
c3e6c0de760a326859fd43f54705324ccc36657f;64cb478295911465e2e577bfb43800fd9c8ef45f;ae9137721ad8f56a2c00e91c6b2eb7ff;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::package.json::::dependencies::::rtts_assert::::rtts_assert:2.0.0-alpha.35 <-> ionic-framework::::scripts/npm/package.json::::dependencies::::rtts_assert::::rtts_assert:2.0.0-alpha.35;package.json;ionic-framework::::package.json::::dependencies::::rtts_assert(location: 12);git show c3e6c0de760a326859fd43f54705324ccc36657f -- package.json;yes;library version changed;version number
afa77c87e5a5e48e05e8fc3651ea53ba02ee2e16;fe5715230f7c46ac5a940112d25cfe0356dff5e1;bd6bb31e174af7ed7ecb15789156d045;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::angular/package.json::::devDependencies::::@angular/router::::@angular/router:^6.0.9 <-> ionic-framework::::angular/test/testapp/package.json::::dependencies::::@angular/router::::@angular/router:^6.0.9;angular/package.json;ionic-framework::::angular/package.json::::devDependencies::::@angular/router(location: 54);git show afa77c87e5a5e48e05e8fc3651ea53ba02ee2e16 -- angular/package.json;yes;library version changed;version number
1c885aeb87463023564a276d3cefb6c268c102da;bae87c005ba36758e3f9ec16b6370e6cfdf8b81c;60b74192297fad91693956772be20e65;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;ionic-framework::::packages/core/package.json::::name::::@ionic/core <-> ionic-framework::::packages/ionic-vanilla/package.json::::name::::@ionic/core;packages/ionic-vanilla/package.json;ionic-framework::::packages/ionic-vanilla/package.json::::name(location: 2);git show 1c885aeb87463023564a276d3cefb6c268c102da -- packages/ionic-vanilla/package.json;no;name of package.json changed;name
6c9a1956ca541dee8be11b98db3d159d6c29542f;2903e4ccbd814d02a1426dbe5c4ddbf90f6f9922;10fd67b9c98f5dc4715f7d4849f9a250;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::angular/package.json::::dependencies::::@ionic/core::::@ionic/core:4.0.0-rc.2 <-> ionic-framework::::react/package.json::::dependencies::::@ionic/core::::@ionic/core:4.0.0-rc.2;angular/package.json;ionic-framework::::angular/package.json::::dependencies::::@ionic/core(location: 48);git show 6c9a1956ca541dee8be11b98db3d159d6c29542f -- angular/package.json;yes;library version changed;version number
424e0be294bbf65032b4c676349a5ea503df1a4a;bd38ae2e965ca6d9f56db10d5f105663d18bd50a;d6177ead811077892cb0b767455ef61a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::core/package.json::::devDependencies::::typescript::::typescript:^4.0.5 <-> ionic-framework::::packages/vue-router/package.json::::devDependencies::::typescript::::typescript:^4.0.5;packages/vue-router/package.json;ionic-framework::::packages/vue-router/package.json::::devDependencies::::typescript(location: 57);git show 424e0be294bbf65032b4c676349a5ea503df1a4a -- packages/vue-router/package.json;yes;library version changed;version number
d0e69f637fc58d0d3429f9253a1edfa393a099e1;0161c93ac3caf5441f46d392406e26a9079bcea0;2a94faf61ddd327f977322455d8527b8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;ionic-framework::::angular/package.json::::devDependencies::::@angular/compiler::::@angular/compiler:^6.0.0 <-> ionic-framework::::angular/test/testapp/package.json::::dependencies::::@angular/compiler::::@angular/compiler:^6.0.0;angular/package.json;ionic-framework::::angular/package.json::::devDependencies::::@angular/compiler(location: 47);git show d0e69f637fc58d0d3429f9253a1edfa393a099e1 -- angular/package.json;yes;library version changed;version number
a47d34aa681c0bbd0b2f629cdf087b58a012eb8b;6b83b1006b51631200a6863a35f2bc4a235873b9;b4cf8f2e4358d07592215da62e839297;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;ionic-framework::::packages/demos/angular/package.json::::scripts::::test::::ng test <-> ionic-framework::::packages/demos/conference-app/angular/package.json::::scripts::::test::::ng test;packages/demos/angular/package.json;ionic-framework::::packages/demos/angular/package.json::::scripts::::test(location: 9);git show a47d34aa681c0bbd0b2f629cdf087b58a012eb8b -- packages/demos/angular/package.json;yes;command for test script changed;command
a47d34aa681c0bbd0b2f629cdf087b58a012eb8b;6b83b1006b51631200a6863a35f2bc4a235873b9;c02a92ea686d455a9b37b79ea4013632;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;ionic-framework::::packages/demos/angular/package.json::::scripts::::e2e::::ng e2e <-> ionic-framework::::packages/demos/ng-tab-routing/package.json::::scripts::::e2e::::ng e2e;packages/demos/angular/package.json;ionic-framework::::packages/demos/angular/package.json::::scripts::::e2e(location: 11);git show a47d34aa681c0bbd0b2f629cdf087b58a012eb8b -- packages/demos/angular/package.json;yes;command for test script changed;command
79a59a72e212941ef70317516fe87abfb1da1ae0;a8da00725c5c1071dd958936cd491d6493a050d6;42f9306cf3476d949588a63b09eeb7cd;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;ionic-framework::::packages/core-hn-demo/package.json::::scripts::::clean::::rm -Rf ./dist/* <-> ionic-framework::::packages/ionic-vanilla/package.json::::scripts::::clean::::rm -Rf ./dist/*;packages/ionic-vanilla/package.json;ionic-framework::::packages/ionic-vanilla/package.json::::scripts::::clean(location: 8);git show 79a59a72e212941ef70317516fe87abfb1da1ae0 -- packages/ionic-vanilla/package.json;yes;command for clean script failed;command
