occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
8cb20508e869e761123861922ba31285faae24e7;7ece9913960884ab3a59a196fcbecac72c6e99d3;e676019af3217925657b686b4daea7a7;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-demo/pom.xml::::project::::description::::Demo project for Spring Boot <-> mall::::mall-search/pom.xml::::project::::description::::Demo project for Spring Boot;mall-search/pom.xml;mall::::mall-search/pom.xml::::project::::description(location: 12);git show 8cb20508e869e761123861922ba31285faae24e7 -- mall-search/pom.xml;no;desctiption changed in pom.xml;unknown
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;4a7d896d909638ecae004b249f36f095;ModifiedOptionConflict;ConfigType.USERNAME<->ConfigType.USERNAME;mall::::mall-admin/src/main/resources/application-dev.properties::::spring.datasource.username::::root <-> mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.username::::root;mall-admin/src/main/resources/application-prod.properties;mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.username(location: 3);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-admin/src/main/resources/application-prod.properties;yes;db username changed in prod env file;username
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;c2a3a3182af0d0a697b7fbd027c060be;ModifiedOptionConflict;ConfigType.USERNAME<->ConfigType.USERNAME;mall::::mall-demo/src/main/resources/application.properties::::spring.datasource.username::::root <-> mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.username::::root;mall-search/src/main/resources/application-prod.properties;mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.username(location: 3);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-search/src/main/resources/application-prod.properties;yes;db username changed in prod env file;username
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;b072ceca8c19d843edd1f76d47af0eea;ModifiedOptionConflict;ConfigType.USERNAME<->ConfigType.USERNAME;mall::::mall-portal/src/main/resources/application-prod.properties::::spring.datasource.username::::root <-> mall::::mall-search/src/main/resources/application-dev.properties::::spring.datasource.username::::root;mall-portal/src/main/resources/application-prod.properties;mall::::mall-portal/src/main/resources/application-prod.properties::::spring.datasource.username(location: 7);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-portal/src/main/resources/application-prod.properties;yes;db username changed in prod env file;username
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;7966e718d54d1c65f4e9f080e762ddfa;ModifiedOptionConflict;ConfigType.PASSWORD<->ConfigType.PASSWORD;mall::::mall-demo/src/main/resources/application.properties::::spring.datasource.password::::root <-> mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.password::::root;mall-search/src/main/resources/application-prod.properties;mall::::mall-search/src/main/resources/application-prod.properties::::spring.datasource.password(location: 4);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-search/src/main/resources/application-prod.properties;yes;db password changed in prod env file;password
8cb20508e869e761123861922ba31285faae24e7;7ece9913960884ab3a59a196fcbecac72c6e99d3;396ae83fa85fd195b872cdc54ede6abc;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;mall::::mall-search/pom.xml::::project::::dependencies::::dependency_mall-mbg::::groupId::::com.macro <-> mall::::pom.xml::::project::::groupId::::com.macro;pom.xml;mall::::pom.xml::::project::::groupId(location: 7);git show 8cb20508e869e761123861922ba31285faae24e7 -- pom.xml;yes;goupId in parent pom.xml changed;name
a25d5853dcf99170f7470d5975e9d19612586f7e;bbe8cafd5091bab8f2577b83361a8f550bacb793;86a34db2cbd4d04f43987e7a8009cfe3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-search/src/main/resources/application-dev.yml::::spring.data.elasticsearch.cluster-nodes::::127.0.0.1:9300 <-> mall::::mall-search/src/main/resources/application-prod.yml::::spring.data.elasticsearch.cluster-nodes::::127.0.0.1:9300;mall-search/src/main/resources/application-prod.yml;mall::::mall-search/src/main/resources/application-prod.yml::::spring.data.elasticsearch.cluster-nodes(location: 20);git show a25d5853dcf99170f7470d5975e9d19612586f7e -- mall-search/src/main/resources/application-prod.yml;yes;cluster nodes ip changed in prod env file;unknown
73214817a82d64f6e191704a9390660e4551c43b;1a236d8ed970180c6fee8844a978dd3d52323864;bfa4a9daa520d8f10a25e22a6789a3c6;ModifiedOptionConflict;ConfigType.PASSWORD<->ConfigType.PASSWORD;mall::::mall-admin/src/main/resources/application-dev.properties::::spring.datasource.password::::root <-> mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.password::::root;mall-admin/src/main/resources/application-prod.properties;mall::::mall-admin/src/main/resources/application-prod.properties::::spring.datasource.password(location: 4);git show 73214817a82d64f6e191704a9390660e4551c43b -- mall-admin/src/main/resources/application-prod.properties;yes;db password changed in prod env file;password
8cb20508e869e761123861922ba31285faae24e7;7ece9913960884ab3a59a196fcbecac72c6e99d3;2006d26779ea4175d77dd1900aec87e7;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;mall::::mall-demo/pom.xml::::project::::dependencies::::dependency_mall-mbg::::groupId::::com.macro <-> mall::::mall-search/pom.xml::::project::::groupId::::com.macro;mall-search/pom.xml;mall::::mall-search/pom.xml::::project::::groupId(location: 6);git show 8cb20508e869e761123861922ba31285faae24e7 -- mall-search/pom.xml;yes;goupId in parent pom.xml changed;name
f3166259177f161190d15f36ad99879e6f77a7eb;f803f21908f353d1afc08d6df66f0d2d969c5f63;e5df350e670f2c8b7758f4faa1617217;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;mall::::mall-portal/src/main/resources/application-dev.yml::::spring.redis.timeout::::0ms <-> mall::::mall-portal/src/main/resources/application-prod.yml::::spring.redis.timeout::::0ms;mall-portal/src/main/resources/application-dev.yml;mall::::mall-portal/src/main/resources/application-dev.yml::::spring.redis.timeout(location: 41);git show f3166259177f161190d15f36ad99879e6f77a7eb -- mall-portal/src/main/resources/application-dev.yml;yes;redis timout changed in dev env file;unknown
