occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
e194519b6e06a4c25862560464e18d9b90b84765;e4dad44790a1547baa82cbe65a64bd9f7317da2e;fd45ddd8b7c3133039ccdde70cdcb396;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/material-ui-system/package.json::::version::::version:4.7.1 <-> material-ui::::packages/material-ui-utils/package.json::::version::::version:4.7.1;packages/material-ui-system/package.json;material-ui::::packages/material-ui-system/package.json::::version(location: 3);git show e194519b6e06a4c25862560464e18d9b90b84765 -- packages/material-ui-system/package.json;yes;file version changed;version number
7c46aa01b685b56f58a6ffceaaf183cb33403a25;9f631461f4fe8cdd9ecc27a862a9fe0ea3a41bb2;99e79ab2de3a84c0ff3ad4647a27bce8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/mui-codemod/package.json::::version::::version:5.0.1 <-> material-ui::::packages/mui-styles/package.json::::version::::version:5.0.1;packages/mui-codemod/package.json;material-ui::::packages/mui-codemod/package.json::::version(location: 3);git show 7c46aa01b685b56f58a6ffceaaf183cb33403a25 -- packages/mui-codemod/package.json;yes;file version changed;version number
c6f1cea3e316db0148d95f911b82ff78f5fe8f02;0d755ce155e2845789b219ca520a98408df68ed1;6ee0d5fbba2df13e10b4a9a421a64296;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::version::::version:1.0.0-beta.41 <-> material-ui::::packages/material-ui-icons/package.json::::version::::version:1.0.0-beta.41;packages/material-ui-icons/package.json;material-ui::::packages/material-ui-icons/package.json::::version(location: 5);git show c6f1cea3e316db0148d95f911b82ff78f5fe8f02 -- packages/material-ui-icons/package.json;yes;file version changed;version number
3e558c260ddae9fc4d94ebd5e1110d3c6df75aef;459866732cf5f920e7d41463767d4d7d45ce2d8c;fc15c9a36689d3d63c08829d0e8cef45;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::peerDependencies::::react::::react:^15.3.0 || ^16.0.0-alpha.13 <-> material-ui::::packages/material-ui-icons/package.json::::peerDependencies::::react::::react:^15.3.0 || ^16.0.0-alpha.13;package.json;material-ui::::package.json::::peerDependencies::::react(location: 9);git show 3e558c260ddae9fc4d94ebd5e1110d3c6df75aef -- package.json;yes;library version changed;version number
f3fa46ae4282e3f8e7bfec7c04d442e029371a40;fd9dd004315aef9c4ae0aee598393d05f58e6a4c;8cdc87f455da6a21f1d3abb9e8dc00ed;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::docs/package.json::::dependencies::::@emotion/react::::@emotion/react:^11.5.0 <-> material-ui::::packages/mui-material-next/package.json::::peerDependencies::::@emotion/react::::@emotion/react:^11.5.0;docs/package.json;material-ui::::docs/package.json::::dependencies::::@emotion/react(location: 28);git show f3fa46ae4282e3f8e7bfec7c04d442e029371a40 -- docs/package.json;yes;library version changed;version number
abf210b97dcafb9ad15bfbf5b2b5e5e3f0548f54;f8ed36a9bcdee2e6c9ef7e3d7d68096d965ce293;07534b32749b0cd3c45826c1d74ef31c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::packages/mui-codemod/package.json::::version::::version:5.5.1 <-> material-ui::::packages/mui-icons-material/package.json::::version::::version:5.5.1;packages/mui-codemod/package.json;material-ui::::packages/mui-codemod/package.json::::version(location: 3);git show abf210b97dcafb9ad15bfbf5b2b5e5e3f0548f54 -- packages/mui-codemod/package.json;yes;file version changed;version number
3dd4dafe0c35d33e9e9523e5fd76aa5f1304a8ac;105320b392440c42258ac347800ee62f4bad293c;26160bb1d3ae01ba02b631e83f31e82d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::docs/site/package.json::::devDependencies::::eslint::::eslint:^3.2.2 <-> material-ui::::package.json::::devDependencies::::eslint::::eslint:^3.2.2;package.json;material-ui::::package.json::::devDependencies::::eslint(location: 91);git show 3dd4dafe0c35d33e9e9523e5fd76aa5f1304a8ac -- package.json;yes;library version changed;version number
186b59915e357186568fa0c4036f4bb1786ca360;2e9ac7210e059dca96da65cdd9e69264e78d433c;aec6f0aaa20b3dc6da28e31ee69aa27f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::docs/package.json::::devDependencies::::babel-loader::::babel-loader:^7.1.0 <-> material-ui::::package.json::::devDependencies::::babel-loader::::babel-loader:^7.1.0;package.json;material-ui::::package.json::::devDependencies::::babel-loader(location: 76);git show 186b59915e357186568fa0c4036f4bb1786ca360 -- package.json;yes;library version changed;version number
d0690de94b11a520d6051b8c3298180ca27d91ae;b39cac8a82281698cb1b8cdb4886c2936ce2d7f0;90f0218184a2a864def12852c33d7bac;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::docs/package.json::::devDependencies::::cross-env::::cross-env:^5.0.4 <-> material-ui::::package.json::::devDependencies::::cross-env::::cross-env:^5.0.4;package.json;material-ui::::package.json::::devDependencies::::cross-env(location: 103);git show d0690de94b11a520d6051b8c3298180ca27d91ae -- package.json;yes;library version changed;version number
5497eb7e0ed12904924ccc8c484374aaa4fab2a0;6dff91a2709c369be9f095024fd64c211211d226;39b3d0ab8bb9c826e417db2890c17006;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;material-ui::::package.json::::version::::version:4.10.0 <-> material-ui::::packages/material-ui-styles/package.json::::version::::version:4.10.0;package.json;material-ui::::package.json::::version(location: 2);git show 5497eb7e0ed12904924ccc8c484374aaa4fab2a0 -- package.json;yes;file version changed;version number
