occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating ;note;type
3edcbb07235857d3a5b2d1b4378bf599080f1ed8;8bb1c80b53d441d4b39ccb9eb41da596aeb54141;e58887fb4c7b5276593ebd2af6e2c052;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::lib/core/package.json::::version::::version:4.6.4 <-> nest::::package.json::::version::::version:4.6.4;lib/core/package.json;nest::::lib/core/package.json::::version(location: 3);git show 3edcbb07235857d3a5b2d1b4378bf599080f1ed8 -- lib/core/package.json;yes;file version changed;version number
9282056193495cc905d15f56ad476304cbf3c3a9;0141eeb92911b8790391dea2136c562146a3096a;41c0ac8b779007c9e3cacb5c052c9752;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.1.1 <-> nest::::packages/platform-socket.io/package.json::::version::::version:6.1.1;packages/platform-socket.io/package.json;nest::::packages/platform-socket.io/package.json::::version(location: 3);git show 9282056193495cc905d15f56ad476304cbf3c3a9 -- packages/platform-socket.io/package.json;yes;file version changed;version number
f90bde936c26d1802ef3c168e840bfd1b5f59f64;6240869232385532c70668ab790e495b05102637;6eea68ccc218335d55764fa8db5e0961;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::lib/common/package.json::::version::::version:4.5.8 <-> nest::::package.json::::version::::version:4.5.8;lib/common/package.json;nest::::lib/common/package.json::::version(location: 3);git show f90bde936c26d1802ef3c168e840bfd1b5f59f64 -- lib/common/package.json;yes;file version changed;version number
6274ac92fefce320f928fe47ee0d8afef9666e24;d2bd9cf2fbfe20b88122ff1c0ca296fc3d1aa8fe;b22444a022654960804972c98bbd0664;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::integration/typegraphql/package.json::::dependencies::::@nestjs/core::::@nestjs/core:6.1.1 <-> nest::::package.json::::dependencies::::@nestjs/core::::@nestjs/core:6.1.1;integration/typegraphql/package.json;nest::::integration/typegraphql/package.json::::dependencies::::@nestjs/core(location: 13);git show 6274ac92fefce320f928fe47ee0d8afef9666e24 -- integration/typegraphql/package.json;yes;library version changed;version number
751cb5426fdf648ef11e3ebd0cf0d5a37377e0c7;3116324ce02fca745135384059d0fd560409afd7;17cdd288328170319584bad6a9b15a2b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:8.4.4 <-> nest::::packages/microservices/package.json::::version::::version:8.4.4;packages/microservices/package.json;nest::::packages/microservices/package.json::::version(location: 3);git show 751cb5426fdf648ef11e3ebd0cf0d5a37377e0c7 -- packages/microservices/package.json;yes;file version changed;version number
4cac29edeca2022b5458616971c0ac213b509959;52d30f0ff29c8868efce76d4ade119fef96d5046;09a4ea1a21abc4b8dc4ec2304a7d2906;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::examples/01-cats-app/package.json::::dependencies::::@nestjs/common::::@nestjs/common:^4.0.0 <-> nest::::package.json::::dependencies::::@nestjs/common::::@nestjs/common:^4.0.0;examples/01-cats-app/package.json;nest::::examples/01-cats-app/package.json::::dependencies::::@nestjs/common(location: 17);git show 4cac29edeca2022b5458616971c0ac213b509959 -- examples/01-cats-app/package.json;yes;library version changed;version number
6274ac92fefce320f928fe47ee0d8afef9666e24;d2bd9cf2fbfe20b88122ff1c0ca296fc3d1aa8fe;ded55479544d09c88965cdc637da7f8e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::integration/scopes/package.json::::dependencies::::@nestjs/testing::::@nestjs/testing:6.1.1 <-> nest::::package.json::::dependencies::::@nestjs/testing::::@nestjs/testing:6.1.1;integration/scopes/package.json;nest::::integration/scopes/package.json::::dependencies::::@nestjs/testing(location: 13);git show 6274ac92fefce320f928fe47ee0d8afef9666e24 -- integration/scopes/package.json;yes;library version changed;version number
52a24b13f36fb4a931a4fe3809f0131fb2ae98d3;6868b1f4e6b1858d6d210c0150ff0c6ad894cfcb;5f1da314f95fd100a387575b9619727e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:6.0.3 <-> nest::::packages/websockets/package.json::::version::::version:6.0.3;packages/websockets/package.json;nest::::packages/websockets/package.json::::version(location: 3);git show 52a24b13f36fb4a931a4fe3809f0131fb2ae98d3 -- packages/websockets/package.json;yes;file version changed;version number
e330c557aa9f11203036c80e86267b8c19cbe2ea;77187afeddae37315510209485f2465bb1528322;bb28ca33367092aaf90fa03f17532d8c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::integration/scopes/package.json::::devDependencies::::supertest::::supertest:^3.0.0 <-> nest::::integration/websockets/package.json::::devDependencies::::supertest::::supertest:^3.0.0;integration/websockets/package.json;nest::::integration/websockets/package.json::::devDependencies::::supertest(location: 23);git show e330c557aa9f11203036c80e86267b8c19cbe2ea -- integration/websockets/package.json;yes;library version changed;version number
39a9f206bac9f0d5d0603d7af890964674ab3f25;64f8f0c37195c4cb442e3d508ee2996e6b1fb3fe;05400b348c2e8b84fa331968036c3733;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;nest::::package.json::::version::::version:5.4.1 <-> nest::::packages/microservices/package.json::::version::::version:5.4.1;packages/microservices/package.json;nest::::packages/microservices/package.json::::version(location: 3);git show 39a9f206bac9f0d5d0603d7af890964674ab3f25 -- packages/microservices/package.json;yes;file version changed;version number
