occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
b87d3c7163e81ce606d632d0b7dcab5787612e65;0e0d684e30b383295f715999125eb2b7096c2ffe;7c5d30202c2ef3df98364cec6b532b6b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/custom-server-hapi/package.json::::dependencies::::cross-env::::cross-env:^5.2.0 <-> next::::examples/custom-server-koa/package.json::::dependencies::::cross-env::::cross-env:^5.2.0;examples/custom-server-hapi/package.json;next::::examples/custom-server-hapi/package.json::::dependencies::::cross-env(location: 10);git show b87d3c7163e81ce606d632d0b7dcab5787612e65 -- examples/custom-server-hapi/package.json;yes;library version changed;version number
29e990581cf2c89e626193fa0963d325a1e63637;29cc44451c4524d181366435151a193e5d777716;a8926779ba37fffff9452eb0503a6212;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/gh-pages/package.json::::dependencies::::react::::react:^16.0.0 <-> next::::packages/next/package.json::::peerDependencies::::react::::react:^16.0.0;examples/gh-pages/package.json;next::::examples/gh-pages/package.json::::dependencies::::react(location: 13);git show 29e990581cf2c89e626193fa0963d325a1e63637 -- examples/gh-pages/package.json;yes;library version changed;version number
29e990581cf2c89e626193fa0963d325a1e63637;29cc44451c4524d181366435151a193e5d777716;960c2da19b725291734c429f96e2db86;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-algolia-react-instantsearch/package.json::::dependencies::::react::::react:^16.1.1 <-> next::::examples/with-electron/package.json::::devDependencies::::react::::react:^16.1.1;examples/with-algolia-react-instantsearch/package.json;next::::examples/with-algolia-react-instantsearch/package.json::::dependencies::::react(location: 13);git show 29e990581cf2c89e626193fa0963d325a1e63637 -- examples/with-algolia-react-instantsearch/package.json;yes;library version changed;version number
29e990581cf2c89e626193fa0963d325a1e63637;29cc44451c4524d181366435151a193e5d777716;c5522895513124e49511ef56d49521e2;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-firebase-cloud-messaging/package.json::::dependencies::::react-dom::::react-dom:^16.0.0 <-> next::::packages/next/package.json::::peerDependencies::::react-dom::::react-dom:^16.0.0;examples/with-firebase-cloud-messaging/package.json;next::::examples/with-firebase-cloud-messaging/package.json::::dependencies::::react-dom(location: 15);git show 29e990581cf2c89e626193fa0963d325a1e63637 -- examples/with-firebase-cloud-messaging/package.json;yes;library version changed;version number
4fa22bd0f796ae0fe65594b52543fe8fdd550c2b;e865706c0037a8ad52b78c010d569f56f2b69505;7c13609c895813cbcc9111dc562852f7;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-next-css/package.json::::dependencies::::next::::next:5.0.0 <-> next::::examples/with-react-i18next/package.json::::dependencies::::next::::next:5.0.0;examples/with-react-i18next/package.json;next::::examples/with-react-i18next/package.json::::dependencies::::next(location: 20);git show 4fa22bd0f796ae0fe65594b52543fe8fdd550c2b -- examples/with-react-i18next/package.json;yes;library version changed;version number
29e990581cf2c89e626193fa0963d325a1e63637;29cc44451c4524d181366435151a193e5d777716;17fdabcd577fd54f717bb1d6f76d38c7;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/custom-charset/package.json::::dependencies::::react-dom::::react-dom:^16.0.0 <-> next::::packages/next/package.json::::peerDependencies::::react-dom::::react-dom:^16.0.0;examples/custom-charset/package.json;next::::examples/custom-charset/package.json::::dependencies::::react-dom(location: 12);git show 29e990581cf2c89e626193fa0963d325a1e63637 -- examples/custom-charset/package.json;yes;library version changed;version number
41aa27e111feede0dc8a388233c9715f0b3781c7;8bf373c5f2b843593225a19f7213836f73a49646;ee2a6f7e8bcd90af095a586c343f17dd;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-jest/package.json::::dependencies::::react-dom::::react-dom:16.12.0 <-> next::::package.json::::devDependencies::::react-dom::::react-dom:16.12.0;package.json;next::::package.json::::devDependencies::::react-dom(location: 119);git show 41aa27e111feede0dc8a388233c9715f0b3781c7 -- package.json;yes;library version changed;version number
1b08fc9ea23df3d2b3138faf5c3a8a0d5185236f;dde1769c03b77f75c87fa83d21a637e103a4e5ea;7953d8e2e020ea2d2bb436ff64c49250;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/active-class-name/package.json::::dependencies::::react-dom::::react-dom:^17.0.2 <-> next::::examples/with-google-tag-manager/package.json::::dependencies::::react-dom::::react-dom:^17.0.2;examples/active-class-name/package.json;next::::examples/active-class-name/package.json::::dependencies::::react-dom(location: 11);git show 1b08fc9ea23df3d2b3138faf5c3a8a0d5185236f -- examples/active-class-name/package.json;yes;library version changed;version number
8a278b966f309700ae0061e1a3186f9ecd608d9e;0a61f1edc89119ff556109ef10e0f393eb091328;f1ddfd7f35cea30eac8a37fe9bed53a1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/blog-starter/package.json::::dependencies::::date-fns::::date-fns:2.28.0 <-> next::::examples/cms-kontent/package.json::::dependencies::::date-fns::::date-fns:2.28.0;examples/blog-starter/package.json;next::::examples/blog-starter/package.json::::dependencies::::date-fns(location: 11);git show 8a278b966f309700ae0061e1a3186f9ecd608d9e -- examples/blog-starter/package.json;yes;library version changed;version number
4d77c46b16074f7d4c5335e4ea9284d49ade1fd0;f6c1b214744e2c0f928115c95d4dd9889ad717d7;e38f186281cbcfc11c89342cb5d5e661;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/catch-all-routes/package.json::::dependencies::::react-dom::::react-dom:^16.12.0 <-> next::::examples/with-firebase-authentication/package.json::::dependencies::::react-dom::::react-dom:^16.12.0;examples/with-firebase-authentication/package.json;next::::examples/with-firebase-authentication/package.json::::dependencies::::react-dom(location: 15);git show 4d77c46b16074f7d4c5335e4ea9284d49ade1fd0 -- examples/with-firebase-authentication/package.json;yes;library version changed;version number
29e990581cf2c89e626193fa0963d325a1e63637;29cc44451c4524d181366435151a193e5d777716;6551fd3db401900f8d69e11404532cb8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-babel-macros/package.json::::dependencies::::react-dom::::react-dom:^16.0.0 <-> next::::packages/next-server/package.json::::peerDependencies::::react-dom::::react-dom:^16.0.0;examples/with-babel-macros/package.json;next::::examples/with-babel-macros/package.json::::dependencies::::react-dom(location: 13);git show 29e990581cf2c89e626193fa0963d325a1e63637 -- examples/with-babel-macros/package.json;yes;library version changed;version number
9cb72aebac38fa8d8afa96231b9b193d8665e650;e0d7a4d8830c5a33ba0d5a6c91bec269ab3594f6;83f64392bcc3da76c97c9f9de4152e55;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-mdbreact/package.json::::dependencies::::next::::next:latest <-> next::::examples/with-tailwindcss/package.json::::dependencies::::next::::next:latest;examples/with-tailwindcss/package.json;next::::examples/with-tailwindcss/package.json::::dependencies::::next(location: 12);git show 9cb72aebac38fa8d8afa96231b9b193d8665e650 -- examples/with-tailwindcss/package.json;yes;library version changed;version number
bc450861dad849a9223a3b68f344ab2b4c809561;0ddb8ca0ea026197465c2947043c10c9bc8ed45c;dded958cde545a718855e795599ae137;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/cms-storyblok/package.json::::devDependencies::::postcss::::postcss:8.4.5 <-> next::::examples/cms-wordpress/package.json::::devDependencies::::postcss::::postcss:8.4.5;examples/cms-wordpress/package.json;next::::examples/cms-wordpress/package.json::::devDependencies::::postcss(location: 18);git show bc450861dad849a9223a3b68f344ab2b4c809561 -- examples/cms-wordpress/package.json;yes;library version changed;version number
1035bd97a55910cb09e683cd77a51de812f6673c;660b76fef8e0dbcffdd82379736a0d48a916c38a;4ff53c68973bb7f17f2360e00eed478a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/blog-starter/package.json::::dependencies::::react-dom::::react-dom:^16.13.0 <-> next::::examples/cms-prismic/package.json::::dependencies::::react-dom::::react-dom:^16.13.0;examples/blog-starter/package.json;next::::examples/blog-starter/package.json::::dependencies::::react-dom(location: 15);git show 1035bd97a55910cb09e683cd77a51de812f6673c -- examples/blog-starter/package.json;yes;library version changed;version number
9f98d8bdd2efc93acebbb2a885fda238d580120c;d9fe41ff805381e6a96e47bfb509c99495774f66;691ba3d7ff05123187c0de142db6ebbe;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/custom-server-typescript/package.json::::devDependencies::::@types/react::::@types/react:^16.0.36 <-> next::::examples/with-typescript/package.json::::devDependencies::::@types/react::::@types/react:^16.0.36;examples/with-typescript/package.json;next::::examples/with-typescript/package.json::::devDependencies::::@types/react(location: 18);git show 9f98d8bdd2efc93acebbb2a885fda238d580120c -- examples/with-typescript/package.json;yes;library version changed;version number
1bdcf92b7ea9653c6be45e6fb484cfc6c1097c47;3f9351f577ebe093f437bb946a5c82cf3686b34f;afd13d9d3633bbe4c5a2fb4d4e227788;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/cms-agilitycms/package.json::::devDependencies::::tailwindcss::::tailwindcss:^2.2.4 <-> next::::examples/with-tailwindcss-emotion/package.json::::devDependencies::::tailwindcss::::tailwindcss:^2.2.4;examples/cms-agilitycms/package.json;next::::examples/cms-agilitycms/package.json::::devDependencies::::tailwindcss(location: 22);git show 1bdcf92b7ea9653c6be45e6fb484cfc6c1097c47 -- examples/cms-agilitycms/package.json;yes;library version changed;version number
29cc44451c4524d181366435151a193e5d777716;942052f8cb0168885478f147fe41d0312ea1f399;e7953f124d5b88c366fecd4cef5f3187;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-cerebral/package.json::::dependencies::::react-dom::::react-dom:16.2.0 <-> next::::examples/with-docker/package.json::::dependencies::::react-dom::::react-dom:16.2.0;examples/with-cerebral/package.json;next::::examples/with-cerebral/package.json::::dependencies::::react-dom(location: 18);git show 29cc44451c4524d181366435151a193e5d777716 -- examples/with-cerebral/package.json;yes;library version changed;version number
29e990581cf2c89e626193fa0963d325a1e63637;29cc44451c4524d181366435151a193e5d777716;b944300d74b0188d5e1b4d61ed4be8d0;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-react-helmet/package.json::::dependencies::::react-dom::::react-dom:^16.0.0 <-> next::::packages/next/package.json::::peerDependencies::::react-dom::::react-dom:^16.0.0;examples/with-react-helmet/package.json;next::::examples/with-react-helmet/package.json::::dependencies::::react-dom(location: 13);git show 29e990581cf2c89e626193fa0963d325a1e63637 -- examples/with-react-helmet/package.json;yes;library version changed;version number
eb81ea4ddb62e67c65530871ac026eb4d6ab15b6;f3cf72b225f967a1261f7398c53be2fe874ee491;144af4679adeb35d35c0cf0f3b69ff8c;ModifiedOptionConflict;ConfigType.LICENSE<->ConfigType.LICENSE;next::::examples/nested-components/package.json::::license::::ISC <-> next::::examples/with-stencil/packages/web-app/package.json::::license::::ISC;examples/nested-components/package.json;next::::examples/nested-components/package.json::::license(location: 14);git show eb81ea4ddb62e67c65530871ac026eb4d6ab15b6 -- examples/nested-components/package.json;yes;licence changed;licence
ed5446ff6fcef147f7b116dd06960b285f3deba5;a4148d1c360157c0ab7f3e703306ee96845d3f32;78c35bc4b2dae44916be40e85b31ff4a;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;next::::examples/with-glamorous/package.json::::scripts::::start::::next start <-> next::::examples/with-sentry/package.json::::scripts::::start::::next start;examples/with-sentry/package.json;next::::examples/with-sentry/package.json::::scripts::::start(location: 7);git show ed5446ff6fcef147f7b116dd06960b285f3deba5 -- examples/with-sentry/package.json;yes;command changed for start script;command
9530067d58000c6150a5fa9e5c2db1eecdb522e0;8b49f9b9c078fcdf169c05b32838feefa06ad258;77ff83edb9ab3ec3fcb9d7369bec6810;ModifiedOptionConflict;ConfigType.LICENSE<->ConfigType.LICENSE;next::::examples/with-yarn-workspaces/packages/web-app/package.json::::license::::ISC <-> next::::examples/with-zones/home/package.json::::license::::ISC;examples/with-zones/home/package.json;next::::examples/with-zones/home/package.json::::license(location: 14);git show 9530067d58000c6150a5fa9e5c2db1eecdb522e0 -- examples/with-zones/home/package.json;yes;licence changed;licence
f72fffc67f69905eaf5596ec20628ca1e03f2f3a;b4af6bcad6b2ba692e0de5ac7639e52cfb0d7552;2312436b86125fa7716f50ead1146025;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::packages/next-env/package.json::::version::::version:12.0.9-canary.0 <-> next::::packages/next/compiled/@next/react-refresh-utils/package.json::::version::::version:12.0.9-canary.0;packages/next-env/package.json;next::::packages/next-env/package.json::::version(location: 3);git show f72fffc67f69905eaf5596ec20628ca1e03f2f3a -- packages/next-env/package.json;yes;file version changed;version number
375bf03686ef6d7936e87a69dd9301d8d6857bc5;a2276bb97a109689afb7506c936fbbd6a04ae34b;bb5a51b9a42cca1996500ee821978a5f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-three-js/package.json::::dependencies::::react::::react:17.0.2 <-> next::::package.json::::devDependencies::::react::::react:17.0.2;examples/with-three-js/package.json;next::::examples/with-three-js/package.json::::dependencies::::react(location: 14);git show 375bf03686ef6d7936e87a69dd9301d8d6857bc5 -- examples/with-three-js/package.json;yes;library version changed;version number
4cd5fec2dc454c99de1d74d55f9fa9f6d9f4ba56;d74edd121c8f4d3779c421b736913b60e791d898;920652b07147cf3e302166b938e40336;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/active-class-name/package.json::::dependencies::::react-dom::::react-dom:^16.7.0 <-> next::::examples/with-ant-design/package.json::::dependencies::::react-dom::::react-dom:^16.7.0;examples/with-ant-design/package.json;next::::examples/with-ant-design/package.json::::dependencies::::react-dom(location: 22);git show 4cd5fec2dc454c99de1d74d55f9fa9f6d9f4ba56 -- examples/with-ant-design/package.json;yes;library version changed;version number
25efa708554a2dd445b98a9df55524f5071810db;64ce230e2a8693cbe8f69a53f963ebac0ab3f01d;e83031f0eeb0417a3df66b0ea4f12230;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-ant-design-pro-layout-less/package.json::::devDependencies::::typescript::::typescript:3.8.3 <-> next::::packages/next/package.json::::devDependencies::::typescript::::typescript:3.8.3;examples/with-ant-design-pro-layout-less/package.json;next::::examples/with-ant-design-pro-layout-less/package.json::::devDependencies::::typescript(location: 28);git show 25efa708554a2dd445b98a9df55524f5071810db -- examples/with-ant-design-pro-layout-less/package.json;yes;library version changed;version number
d329f1b81bb1b91e492be823a7aefd773162fdc3;0d29cbf1f02fd6e9a1414e8722de5893cd78efed;a3b945ee889e7a9adec83aeae2442562;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-mobx-react-lite/package.json::::dependencies::::react::::react:^16.8.4 <-> next::::examples/with-zeit-fetch/package.json::::dependencies::::react::::react:^16.8.4;examples/with-mobx-react-lite/package.json;next::::examples/with-mobx-react-lite/package.json::::dependencies::::react(location: 13);git show d329f1b81bb1b91e492be823a7aefd773162fdc3 -- examples/with-mobx-react-lite/package.json;yes;library version changed;version number
aadef41ead2859151ddbfd0b4c73edb9d8b4eed2;f9e07963d8b9b4c16b89d761733e2c6bbcc028b6;86494b3d30c4ae8abe50a788d159976b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-patternfly/package.json::::devDependencies::::url-loader::::url-loader:^1.1.2 <-> next::::examples/with-semantic-ui/package.json::::devDependencies::::url-loader::::url-loader:^1.1.2;examples/with-patternfly/package.json;next::::examples/with-patternfly/package.json::::devDependencies::::url-loader(location: 21);git show aadef41ead2859151ddbfd0b4c73edb9d8b4eed2 -- examples/with-patternfly/package.json;yes;library version changed;version number
c1967532566a47b704afc734f209c32b95ddbc54;f946e672caab32481b324b143145511b872bb2d6;f98ba912991feb8698134ae1d42876ea;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/api-routes-apollo-server-and-client-auth/package.json::::dependencies::::graphql-tag::::graphql-tag:2.10.1 <-> next::::examples/with-apollo-and-redux/package.json::::dependencies::::graphql-tag::::graphql-tag:2.10.1;examples/api-routes-apollo-server-and-client-auth/package.json;next::::examples/api-routes-apollo-server-and-client-auth/package.json::::dependencies::::graphql-tag(location: 21);git show c1967532566a47b704afc734f209c32b95ddbc54 -- examples/api-routes-apollo-server-and-client-auth/package.json;yes;library version changed;version number
093b9780747d44c4879ccf0a35a7899f2824b207;cc84c80d6adcf012be09565c1e563558543135fa;bd57acf5159933c5a0b746da689de221;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/api-routes-graphql/package.json::::dependencies::::react::::react:^17.0.2 <-> next::::packages/react-dev-overlay/package.json::::peerDependencies::::react::::react:^17.0.2;examples/api-routes-graphql/package.json;next::::examples/api-routes-graphql/package.json::::dependencies::::react(location: 12);git show 093b9780747d44c4879ccf0a35a7899f2824b207 -- examples/api-routes-graphql/package.json;yes;library version changed;version number
c79d4fcbd0f0aeae4477e03882cf639f871ef938;2df1c8bd18e813d23c52d300da6196beae6a0be3;01d3c9815b5083e64d326abdffa10733;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/basic-export/package.json::::dependencies::::react::::react:^17.0.2 <-> next::::examples/with-react-toolbox/package.json::::dependencies::::react::::react:^17.0.2;examples/basic-export/package.json;next::::examples/basic-export/package.json::::dependencies::::react(location: 10);git show c79d4fcbd0f0aeae4477e03882cf639f871ef938 -- examples/basic-export/package.json;yes;library version changed;version number
29e990581cf2c89e626193fa0963d325a1e63637;29cc44451c4524d181366435151a193e5d777716;0c57b8ea265c46fb3d02f90fdcfab8f8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-fela/package.json::::dependencies::::react-dom::::react-dom:^16.0.0 <-> next::::packages/next/package.json::::peerDependencies::::react-dom::::react-dom:^16.0.0;examples/with-fela/package.json;next::::examples/with-fela/package.json::::dependencies::::react-dom(location: 15);git show 29e990581cf2c89e626193fa0963d325a1e63637 -- examples/with-fela/package.json;yes;library version changed;version number
61722aeba406be2c6b159d2be98c3e7a1d7e1250;16db8787f4622f1f57cb65492c1e3250dd9e51e6;f3bfd242606eb41a52acc33130ac04e8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-apollo-auth/package.json::::dependencies::::graphql::::graphql:^0.13.2 <-> next::::examples/with-relay-modern/package.json::::dependencies::::graphql::::graphql:^0.13.2;examples/with-apollo-auth/package.json;next::::examples/with-apollo-auth/package.json::::dependencies::::graphql(location: 15);git show 61722aeba406be2c6b159d2be98c3e7a1d7e1250 -- examples/with-apollo-auth/package.json;yes;library version changed;version number
a16eb400e6618b3477c7819f4ab5ce17848600c3;03b8976d0cb92736e1e2ba750f9e00293e960f0c;ae0c966301e61860d76971806c44e81f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/with-electron/package.json::::devDependencies::::react-dom::::react-dom:15.6.1 <-> next::::examples/with-react-i18next/package.json::::dependencies::::react-dom::::react-dom:15.6.1;examples/with-react-i18next/package.json;next::::examples/with-react-i18next/package.json::::dependencies::::react-dom(location: 22);git show a16eb400e6618b3477c7819f4ab5ce17848600c3 -- examples/with-react-i18next/package.json;yes;library version changed;version number
8ae736bbf05636784b1964c63352ae70679e1f4d;0f7675052d248efd4e5f5c7f0929533c1d83a425;587343a01d1d4af9544d78fc40f19235;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;next::::examples/custom-server-express/package.json::::dependencies::::react-dom::::react-dom:^16.7.0 <-> next::::examples/with-aphrodite/package.json::::dependencies::::react-dom::::react-dom:^16.7.0;examples/custom-server-express/package.json;next::::examples/custom-server-express/package.json::::dependencies::::react-dom(location: 14);git show 8ae736bbf05636784b1964c63352ae70679e1f4d -- examples/custom-server-express/package.json;yes;library version changed;version number
