occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;types
369c0cc04a1508f77c2b874fce61e1542f44a0f0;5086f4ad4a292823c8846a3de95c7f50f887e53b;aa2d4085b7ddc57f24c20dab73fd30aa;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;node::::tools/eslint/node_modules/js-yaml/package.json::::_requested::::type::::version <-> node::::tools/eslint/node_modules/mute-stream/package.json::::_requested::::type::::version;tools/eslint/node_modules/js-yaml/package.json;node::::tools/eslint/node_modules/js-yaml/package.json::::_requested::::type(location: 30);git show 369c0cc04a1508f77c2b874fce61e1542f44a0f0 -- tools/eslint/node_modules/js-yaml/package.json;borderline;not sure if other part of the link is the same library;unknown
df1b2f0a69581de41e6185aba8dc405502a71e15;ac06bb864e85452cf4f19abd7796a0b606d77443;ac3be3fe63c02ef1de6b4b12d5b2eed2;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/is-alphanumerical/package.json::::devDependencies::::prettier::::prettier:^1.12.1 <-> node::::tools/node_modules/eslint/node_modules/unified/package.json::::devDependencies::::prettier::::prettier:^1.12.1;tools/node_modules/eslint/node_modules/is-alphanumerical/package.json;node::::tools/node_modules/eslint/node_modules/is-alphanumerical/package.json::::devDependencies::::prettier(location: 27);git show df1b2f0a69581de41e6185aba8dc405502a71e15 -- tools/node_modules/eslint/node_modules/is-alphanumerical/package.json;yes;library version changed;version number
369c0cc04a1508f77c2b874fce61e1542f44a0f0;5086f4ad4a292823c8846a3de95c7f50f887e53b;473becc03531e298b42bd44ac130b371;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;node::::tools/eslint/node_modules/brace-expansion/package.json::::_nodeVersion::::4.2.1 <-> node::::tools/eslint/node_modules/globby/package.json::::_nodeVersion::::4.2.1;tools/eslint/node_modules/brace-expansion/package.json;node::::tools/eslint/node_modules/brace-expansion/package.json::::_nodeVersion(location: 13);git show 369c0cc04a1508f77c2b874fce61e1542f44a0f0 -- tools/eslint/node_modules/brace-expansion/package.json;yes;nodeVersion changed;unknown
f1ae0e0a99fd5ae0350753ef0f4acb1af401da76;3c6b8529b79d0eefb6da27c9180f13f4b5900792;b089a1825c36e790b2727d1df5dbbfd7;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node-lint-md-cli-rollup/package.json::::version::::version:2.0.1 <-> node::::tools/node_modules/eslint/node_modules/fast-deep-equal/package.json::::version::::version:2.0.1;tools/node-lint-md-cli-rollup/package.json;node::::tools/node-lint-md-cli-rollup/package.json::::version(location: 4);git show f1ae0e0a99fd5ae0350753ef0f4acb1af401da76 -- tools/node-lint-md-cli-rollup/package.json;yes;file version changed;version number
df1b2f0a69581de41e6185aba8dc405502a71e15;ac06bb864e85452cf4f19abd7796a0b606d77443;8409609c1ef4662801cc5e81b4a5516a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/chalk/package.json::::devDependencies::::coveralls::::coveralls:^3.0.0 <-> node::::tools/node_modules/eslint/node_modules/fast-json-stable-stringify/package.json::::devDependencies::::coveralls::::coveralls:^3.0.0;tools/node_modules/eslint/node_modules/chalk/package.json;node::::tools/node_modules/eslint/node_modules/chalk/package.json::::devDependencies::::coveralls(location: 14);git show df1b2f0a69581de41e6185aba8dc405502a71e15 -- tools/node_modules/eslint/node_modules/chalk/package.json;yes;library version changed;version number
8acce040c98455d0297522af90144c654243840f;1e3f6d9d2ab9dd47ec80d885e18ebfbc31f877f2;93ba406274f4d16b5d82a898cd30838f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/chalk/node_modules/ansi-styles/package.json::::devDependencies::::babel-polyfill::::babel-polyfill:^6.23.0 <-> node::::tools/node_modules/eslint/package.json::::devDependencies::::babel-polyfill::::babel-polyfill:^6.23.0;tools/node_modules/eslint/package.json;node::::tools/node_modules/eslint/package.json::::devDependencies::::babel-polyfill(location: 82);git show 8acce040c98455d0297522af90144c654243840f -- tools/node_modules/eslint/package.json;yes;library version changed;version number
b301bfad691dcd3763f277a54cd8d53f85c3776e;3d03eead5160c425a8837cd64e25932d7dc74e7b;96c759d3abe60bc3c2f8586e524aa683;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/eslint/node_modules/esrecurse/package.json::::devDependencies::::chai::::chai:^2.1.1 <-> node::::tools/eslint/node_modules/estraverse/package.json::::devDependencies::::chai::::chai:^2.1.1;tools/eslint/node_modules/esrecurse/package.json;node::::tools/eslint/node_modules/esrecurse/package.json::::devDependencies::::chai(location: 49);git show b301bfad691dcd3763f277a54cd8d53f85c3776e -- tools/eslint/node_modules/esrecurse/package.json;yes;library version changed;version number
8acce040c98455d0297522af90144c654243840f;1e3f6d9d2ab9dd47ec80d885e18ebfbc31f877f2;18acc164650c23fb89bf68ad2b886ec8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/character-reference-invalid/package.json::::devDependencies::::browserify::::browserify:^14.0.0 <-> node::::tools/node_modules/eslint/node_modules/vfile/package.json::::devDependencies::::browserify::::browserify:^14.0.0;tools/node_modules/eslint/node_modules/character-reference-invalid/package.json;node::::tools/node_modules/eslint/node_modules/character-reference-invalid/package.json::::devDependencies::::browserify(location: 46);git show 8acce040c98455d0297522af90144c654243840f -- tools/node_modules/eslint/node_modules/character-reference-invalid/package.json;yes;library version changed;version number
135372da5243e6066d7af87d8c21502111602b0f;3615522180d3822fc849576d172516240c4ffe3c;f4b1c49970afed9af7a426a360f99e80;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;node::::tools/node_modules/eslint/node_modules/@babel/helper-module-transforms/package.json::::dependencies::::@babel/helper-environment-visitor::::@babel/helper-environment-visitor:^7.16.7 <-> node::::tools/node_modules/eslint/node_modules/@babel/traverse/package.json::::dependencies::::@babel/helper-environment-visitor::::@babel/helper-environment-visitor:^7.16.7;tools/node_modules/eslint/node_modules/@babel/traverse/package.json;node::::tools/node_modules/eslint/node_modules/@babel/traverse/package.json::::dependencies::::@babel/helper-environment-visitor(location: 21);git show 135372da5243e6066d7af87d8c21502111602b0f -- tools/node_modules/eslint/node_modules/@babel/traverse/package.json;yes;library version changed;version number
b301bfad691dcd3763f277a54cd8d53f85c3776e;3d03eead5160c425a8837cd64e25932d7dc74e7b;042b13a9c9f57242e553ef20a1946f24;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;node::::tools/eslint/node_modules/es6-map/package.json::::_nodeVersion::::4.2.2 <-> node::::tools/eslint/node_modules/escope/package.json::::_nodeVersion::::4.2.2;tools/eslint/node_modules/escope/package.json;node::::tools/eslint/node_modules/escope/package.json::::_nodeVersion(location: 13);git show b301bfad691dcd3763f277a54cd8d53f85c3776e -- tools/eslint/node_modules/escope/package.json;yes;nodeVersion changed;unknown
