occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
4cd2ac143f5750024d2abd099877ca83fbac3741;e0b530db0637fe8a43cba69c2d163cfc986e9290;6f098dd375c6b514296ab348a7f20cc8;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/host-aarch64/aarch64-gnu/Dockerfile::::from::::ubuntu:20.04 <-> rust::::src/ci/docker/host-x86_64/dist-i686-linux/Dockerfile::::from::::ubuntu:20.04;src/ci/docker/host-x86_64/dist-i686-linux/Dockerfile;rust::::src/ci/docker/host-x86_64/dist-i686-linux/Dockerfile::::from(location: 5);git show 4cd2ac143f5750024d2abd099877ca83fbac3741 -- src/ci/docker/host-x86_64/dist-i686-linux/Dockerfile;yes;Dockerfile base image changed;unknown
f9d6956b4be402899efed0599d141cda4049193a;3255b5455266a3791cc6e1f2532d29745158585b;c79982d9ef1ae629db1e7bcb5a07fd88;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/host-x86_64/arm-android/Dockerfile::::from::::ubuntu:16.04 <-> rust::::src/ci/docker/host-x86_64/dist-various-1/Dockerfile::::from::::ubuntu:16.04;src/ci/docker/host-x86_64/dist-various-1/Dockerfile;rust::::src/ci/docker/host-x86_64/dist-various-1/Dockerfile::::from(location: 1);git show f9d6956b4be402899efed0599d141cda4049193a -- src/ci/docker/host-x86_64/dist-various-1/Dockerfile;yes;Dockerfile base image changed;unknown
84c633fe1543ae26e4c7dffd7870d07fff66f5e9;d7d08467b0eea18f8051a14eb9a576d943a8c2a3;c7fce7888fc79725eafb86be05a528ac;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/host-x86_64/arm-android/Dockerfile::::from::::ubuntu:16.04 <-> rust::::src/ci/docker/host-x86_64/dist-armhf-linux/Dockerfile::::from::::ubuntu:16.04;src/ci/docker/host-x86_64/dist-armhf-linux/Dockerfile;rust::::src/ci/docker/host-x86_64/dist-armhf-linux/Dockerfile::::from(location: 1);git show 84c633fe1543ae26e4c7dffd7870d07fff66f5e9 -- src/ci/docker/host-x86_64/dist-armhf-linux/Dockerfile;no;several Froms within Dockerfile;unknown
78cfad3e04f9421094cba147e74aa59992f536d8;901e01b47c15556a2bc363f9c21665c0da0ef609;d781e2accd2db256191e4bed9e2d2aaf;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/host-x86_64/arm-android/Dockerfile::::from::::ubuntu:16.04 <-> rust::::src/ci/docker/host-x86_64/dist-s390x-linux/Dockerfile::::from::::ubuntu:16.04;src/ci/docker/host-x86_64/dist-s390x-linux/Dockerfile;rust::::src/ci/docker/host-x86_64/dist-s390x-linux/Dockerfile::::from(location: 1);git show 78cfad3e04f9421094cba147e74aa59992f536d8 -- src/ci/docker/host-x86_64/dist-s390x-linux/Dockerfile;yes;Dockerfile base image changed;unknown
84c633fe1543ae26e4c7dffd7870d07fff66f5e9;d7d08467b0eea18f8051a14eb9a576d943a8c2a3;7107c318b059b79edd40c0a465f3d905;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/host-x86_64/arm-android/Dockerfile::::from::::ubuntu:16.04 <-> rust::::src/ci/docker/host-x86_64/dist-arm-linux/Dockerfile::::from::::ubuntu:16.04;src/ci/docker/host-x86_64/dist-arm-linux/Dockerfile;rust::::src/ci/docker/host-x86_64/dist-arm-linux/Dockerfile::::from(location: 1);git show 84c633fe1543ae26e4c7dffd7870d07fff66f5e9 -- src/ci/docker/host-x86_64/dist-arm-linux/Dockerfile;no;several Froms within Dockerfile;unknown
41bd56c0b01e701d6e728ed856c918ad1243615b;e783796b8d9d83611ed5b0577c01bdcdd090e03f;679075231cedd34f0db540153c30b517;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/arm-android/Dockerfile::::from::::ubuntu:16.04 <-> rust::::src/ci/docker/dist-x86_64-freebsd/Dockerfile::::from::::ubuntu:16.04;src/ci/docker/dist-x86_64-freebsd/Dockerfile;rust::::src/ci/docker/dist-x86_64-freebsd/Dockerfile::::from(location: 1);git show 41bd56c0b01e701d6e728ed856c918ad1243615b -- src/ci/docker/dist-x86_64-freebsd/Dockerfile;yes;Dockerfile base image changed;unknown
bc1e98d841f8099f73189800f23fba9723b5c68e;95a7ae9b149d2adfa5ec0199c49c9d6f7d8f84f5;f068e23c9b258a9511f8044caead534a;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/arm-android/Dockerfile::::from::::ubuntu:16.04 <-> rust::::src/ci/docker/x86_64-gnu-debug/Dockerfile::::from::::ubuntu:16.04;src/ci/docker/x86_64-gnu-debug/Dockerfile;rust::::src/ci/docker/x86_64-gnu-debug/Dockerfile::::from(location: 1);git show bc1e98d841f8099f73189800f23fba9723b5c68e -- src/ci/docker/x86_64-gnu-debug/Dockerfile;yes;Dockerfile base image changed;unknown
84c633fe1543ae26e4c7dffd7870d07fff66f5e9;d7d08467b0eea18f8051a14eb9a576d943a8c2a3;93c85ee72c3db9f6d2368ac93bae7068;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/host-x86_64/arm-android/Dockerfile::::from::::ubuntu:16.04 <-> rust::::src/ci/docker/host-x86_64/dist-armv7-linux/Dockerfile::::from::::ubuntu:16.04;src/ci/docker/host-x86_64/dist-armv7-linux/Dockerfile;rust::::src/ci/docker/host-x86_64/dist-armv7-linux/Dockerfile::::from(location: 1);git show 84c633fe1543ae26e4c7dffd7870d07fff66f5e9 -- src/ci/docker/host-x86_64/dist-armv7-linux/Dockerfile;no;several Froms within Dockerfile;unknown
4cd2ac143f5750024d2abd099877ca83fbac3741;e0b530db0637fe8a43cba69c2d163cfc986e9290;8aad0a6d8424ebd6e3a26e0ba576ea6b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/host-aarch64/aarch64-gnu/Dockerfile::::from::::ubuntu:20.04 <-> rust::::src/ci/docker/host-x86_64/dist-x86_64-linux/Dockerfile::::from::::ubuntu:20.04;src/ci/docker/host-x86_64/dist-x86_64-linux/Dockerfile;rust::::src/ci/docker/host-x86_64/dist-x86_64-linux/Dockerfile::::from(location: 5);git show 4cd2ac143f5750024d2abd099877ca83fbac3741 -- src/ci/docker/host-x86_64/dist-x86_64-linux/Dockerfile;yes;Dockerfile base image changed;unknown
4cd2ac143f5750024d2abd099877ca83fbac3741;e0b530db0637fe8a43cba69c2d163cfc986e9290;2f82ae5e5901ac2ba72b51d213034ae9;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;rust::::src/ci/docker/host-x86_64/arm-android/Dockerfile::::from::::ubuntu:16.04 <-> rust::::src/ci/docker/host-x86_64/dist-powerpc64-linux/Dockerfile::::from::::ubuntu:16.04;src/ci/docker/host-x86_64/dist-powerpc64-linux/Dockerfile;rust::::src/ci/docker/host-x86_64/dist-powerpc64-linux/Dockerfile::::from(location: 1);git show 4cd2ac143f5750024d2abd099877ca83fbac3741 -- src/ci/docker/host-x86_64/dist-powerpc64-linux/Dockerfile;yes;Dockerfile base image changed;unknown
