occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
15a8037f890903ddd2674341a98504d7d0a0ff77;d41d55a8268fb84cb6e2bea0a29c4a231e2076a7;3d0d94e15c135fc2150300816555fbe1;ModifiedOptionConflict;ConfigType.LICENSE<->ConfigType.LICENSE;socket::::examples/cluster-haproxy/server/package.json::::license::::BSD <-> socket::::examples/cluster-nginx/server/package.json::::license::::BSD;examples/cluster-nginx/server/package.json;socket::::examples/cluster-nginx/server/package.json::::license(location: 8);git show 15a8037f890903ddd2674341a98504d7d0a0ff77 -- examples/cluster-nginx/server/package.json;yes;licence changed;licence
dd3525ce4c6da0f9383149ce13de8220541ff363;1d98bb7c6010a224374f3e0a673e658eef89472b;bdada556cec4ded5d1adf74a8baa1225;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/es-modules/package.json::::dependencies::::socket.io::::socket.io:beta <-> socket::::examples/typescript/package.json::::dependencies::::socket.io::::socket.io:beta;examples/es-modules/package.json;socket::::examples/es-modules/package.json::::dependencies::::socket.io(location: 12);git show dd3525ce4c6da0f9383149ce13de8220541ff363 -- examples/es-modules/package.json;yes;library version changed;version number
d89fa69f05dbb51d4c6c8fda520cf77e7841c4be;1581f4a46e37fca13e53559bc40920d94cdd170f;eb8d8feb0a1552dc366a82db1bb1292c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/angular-todomvc/package.json::::devDependencies::::karma-jasmine-html-reporter::::karma-jasmine-html-reporter:^1.5.0 <-> socket::::examples/basic-crud-application/angular-client/package.json::::devDependencies::::karma-jasmine-html-reporter::::karma-jasmine-html-reporter:^1.5.0;examples/basic-crud-application/angular-client/package.json;socket::::examples/basic-crud-application/angular-client/package.json::::devDependencies::::karma-jasmine-html-reporter(location: 40);git show d89fa69f05dbb51d4c6c8fda520cf77e7841c4be -- examples/basic-crud-application/angular-client/package.json;yes;library version changed;version number
438d2896d43163514c86750d91e2cb241c47bf40;8e6c1a9aa6522354932884bcf3cc1550a61b3e99;c3b5f3ee981fadca8b757ebaf6f501c4;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/webpack-build-server/package.json::::devDependencies::::webpack::::webpack:^1.14.0 <-> socket::::examples/webpack-build/package.json::::devDependencies::::webpack::::webpack:^1.14.0;examples/webpack-build/package.json;socket::::examples/webpack-build/package.json::::devDependencies::::webpack(location: 19);git show 438d2896d43163514c86750d91e2cb241c47bf40 -- examples/webpack-build/package.json;yes;library version changed;version number
dd3525ce4c6da0f9383149ce13de8220541ff363;1d98bb7c6010a224374f3e0a673e658eef89472b;91f2b5337c1c851e902baa2c6c3a67f4;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/webpack-build-server/package.json::::devDependencies::::socket.io::::socket.io:~2.3.0 <-> socket::::examples/whiteboard/package.json::::dependencies::::socket.io::::socket.io:~2.3.0;examples/whiteboard/package.json;socket::::examples/whiteboard/package.json::::dependencies::::socket.io(location: 7);git show dd3525ce4c6da0f9383149ce13de8220541ff363 -- examples/whiteboard/package.json;yes;library version changed;version number
0aa9fa5aa91369b70195bbf55410192fe28cff52;d1568e141842c0390fcfaad81d895f35d770ea96;f8c1b54c0ad12681e5276cec7c62d302;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/chat/package.json::::dependencies::::express::::express:2.5.0 <-> socket::::examples/irc-output/package.json::::dependencies::::express::::express:2.5.0;examples/chat/package.json;socket::::examples/chat/package.json::::dependencies::::express(location: 6);git show 0aa9fa5aa91369b70195bbf55410192fe28cff52 -- examples/chat/package.json;yes;library version changed;version number
5f8a20a90867d7ee925339314bb9ff3477df8398;8fe2bfbf194996ecc62a4696502a6f80673afb07;6f3479180c9434fadff61bd75cd5b21e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/typescript/package.json::::dependencies::::ts-node::::ts-node:^9.0.0 <-> socket::::package.json::::devDependencies::::ts-node::::ts-node:^9.0.0;package.json;socket::::package.json::::devDependencies::::ts-node(location: 69);git show 5f8a20a90867d7ee925339314bb9ff3477df8398 -- package.json;yes;library version changed;version number
3eb61f5e280f11db5a6d9a1af9957cc291a291ad;b3d25498a0ade97cf1409d797cefaabe99a76349;d5cfcefdbfcf9f46cc829e1d4f6cfaa8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/custom-parsers/package.json::::dependencies::::socket.io-client::::socket.io-client:socketio/socket.io-client <-> socket::::package.json::::dependencies::::socket.io-client::::socket.io-client:socketio/socket.io-client;package.json;socket::::package.json::::dependencies::::socket.io-client(location: 31);git show 3eb61f5e280f11db5a6d9a1af9957cc291a291ad -- package.json;yes;library version changed;version number
dd3525ce4c6da0f9383149ce13de8220541ff363;1d98bb7c6010a224374f3e0a673e658eef89472b;99488e67525c1ea70872071b5e561237;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/chat/package.json::::dependencies::::socket.io::::socket.io:~2.3.0 <-> socket::::examples/tweet-stream/package.json::::dependencies::::socket.io::::socket.io:~2.3.0;examples/chat/package.json;socket::::examples/chat/package.json::::dependencies::::socket.io(location: 11);git show dd3525ce4c6da0f9383149ce13de8220541ff363 -- examples/chat/package.json;yes;library version changed;version number
59c3a4ebd8c385c2d251aae7eb5d197016416c4b;4c2e504d54fdbca0bd33cf7980e89bec60b087e5;c85fe2ffbe70642843aa62d83df5a263;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;socket::::examples/webpack-build-server/package.json::::scripts::::build::::webpack --config ./support/webpack.config.js <-> socket::::examples/webpack-build/package.json::::scripts::::build::::webpack --config ./support/webpack.config.js;examples/webpack-build-server/package.json;socket::::examples/webpack-build-server/package.json::::scripts::::build(location: 7);git show 59c3a4ebd8c385c2d251aae7eb5d197016416c4b -- examples/webpack-build-server/package.json;yes;command for build script changed;command
d0f2a469017848ee535edd5bac8f55f5d5dc21be;774fa0bf763ccf6e9064f0b89f90409e856d3d1d;0a582cebaa74c7b75a7e7f3427c0479b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/react-native/package.json::::dependencies::::socket.io-client::::socket.io-client:^3.0.1 <-> socket::::examples/typescript/package.json::::dependencies::::socket.io-client::::socket.io-client:^3.0.1;examples/typescript/package.json;socket::::examples/typescript/package.json::::dependencies::::socket.io-client(location: 15);git show d0f2a469017848ee535edd5bac8f55f5d5dc21be -- examples/typescript/package.json;yes;library version changed;version number
7d968d6058f9a5094d9583f5a61493ba92514ba4;414bea4e81a53a56cbac40ae5d84153bec77cb28;ea748f3c304a13dd6eadbefb9d3b8b33;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/webpack-build-server/package.json::::devDependencies::::webpack::::webpack:^2.6.1 <-> socket::::examples/webpack-build/package.json::::devDependencies::::webpack::::webpack:^2.6.1;examples/webpack-build-server/package.json;socket::::examples/webpack-build-server/package.json::::devDependencies::::webpack(location: 13);git show 7d968d6058f9a5094d9583f5a61493ba92514ba4 -- examples/webpack-build-server/package.json;yes;library version changed;version number
2f3389e51899d4840f3bc266597859f92afb08ac;eaa2b5736cb8a3653bcfb2a4ce3b729b20a50c47;45b5bdce143a624136ff3fec61cb9446;ModifiedOptionConflict;ConfigType.COMMAND<->ConfigType.COMMAND;socket::::examples/typescript/package.json::::scripts::::build::::tsc <-> socket::::package.json::::scripts::::prepack::::tsc;package.json;socket::::package.json::::scripts::::prepack(location: 36);git show 2f3389e51899d4840f3bc266597859f92afb08ac -- package.json;no;different scripts;command
d0f2a469017848ee535edd5bac8f55f5d5dc21be;774fa0bf763ccf6e9064f0b89f90409e856d3d1d;2d23ba878db8b1e7257c41d6caf1eb9f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;socket::::examples/react-native/package.json::::dependencies::::socket.io::::socket.io:^3.0.1 <-> socket::::examples/typescript/package.json::::dependencies::::socket.io::::socket.io:^3.0.1;examples/typescript/package.json;socket::::examples/typescript/package.json::::dependencies::::socket.io(location: 14);git show d0f2a469017848ee535edd5bac8f55f5d5dc21be -- examples/typescript/package.json;yes;library version changed;version number
