occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;category
02fdac4f55dc1dc130ddc82bfb8f9ff318a24606;c574e0ea4f705cfecdf23aedab7d11786377b9ce;c51390d7b2cdfdca674c22d090419254;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;spring-boot::::spring-boot-samples/spring-boot-sample-xml/pom.xml::::project::::dependencies::::dependency_spring-boot-starter::::groupId::::${project.groupId} <-> spring-boot::::spring-boot-tools/spring-boot-loader-tools/pom.xml::::project::::build::::plugins::::plugin_maven-dependency-plugin::::executions::::execution_include-layout-jar::::configuration::::artifactItems::::artifactItem_spring-boot-loader::::groupId::::${project.groupId};spring-boot-samples/spring-boot-sample-xml/pom.xml;spring-boot::::spring-boot-samples/spring-boot-sample-xml/pom.xml::::project::::dependencies::::dependency_spring-boot-starter::::groupId(location: 17);git show 02fdac4f55dc1dc130ddc82bfb8f9ff318a24606 -- spring-boot-samples/spring-boot-sample-xml/pom.xml;borderline;different plugins with ${project.groupId};name
694a1dd408e91e9fed2fbd3cecb89d8f4c49f644;c19c483ab86ae94e1bea533b71b36291e5a15cf1;e0eea13e073df4d6fdb6875e31aff57a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;spring-boot::::spring-bootstrap-samples/spring-bootstrap-actuator-sample/pom.xml::::project::::parent_spring-bootstrap-samples::::version::::version:0.0.1-SNAPSHOT <-> spring-boot::::spring-bootstrap-samples/spring-bootstrap-batch-sample/pom.xml::::project::::parent_spring-bootstrap-samples::::version::::version:0.0.1-SNAPSHOT;spring-bootstrap-samples/spring-bootstrap-actuator-sample/pom.xml;spring-boot::::spring-bootstrap-samples/spring-bootstrap-actuator-sample/pom.xml::::project::::parent_spring-bootstrap-samples::::version(location: 7);git show 694a1dd408e91e9fed2fbd3cecb89d8f4c49f644 -- spring-bootstrap-samples/spring-bootstrap-actuator-sample/pom.xml;yes;version changed;version number
ecb926c441ea7abe0a5c68e92fe1deaac23fddea;5dcc3b0b1f7279ef868a6e8726edc5f1830a55c2;ab3d7a73a40030ca1c1dd9fc5565ba50;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;spring-boot::::pom.xml::::project::::properties::::revision::::2.0.0.BUILD-SNAPSHOT <-> spring-boot::::spring-boot-project/spring-boot-dependencies/pom.xml::::project::::properties::::spring-session.version::::2.0.0.BUILD-SNAPSHOT;spring-boot-project/spring-boot-dependencies/pom.xml;spring-boot::::spring-boot-project/spring-boot-dependencies/pom.xml::::project::::properties::::spring-session.version(location: 157);git show ecb926c441ea7abe0a5c68e92fe1deaac23fddea -- spring-boot-project/spring-boot-dependencies/pom.xml;no;version of different options changed;unknown
a7f2ae042ee691c62c28738d4a9f0d1f734470b7;7bf12162e5ea064f7c596a4f684dd6c96fad2eb3;6a71d636da659b7cb184667ae6d396e5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;spring-boot::::spring-boot-samples/pom.xml::::project::::parent_spring-boot-starter-parent::::version::::version:1.2.3.BUILD-SNAPSHOT <-> spring-boot::::spring-boot-samples/spring-boot-sample-xml/pom.xml::::project::::parent_spring-boot-samples::::version::::version:1.2.3.BUILD-SNAPSHOT;spring-boot-samples/spring-boot-sample-xml/pom.xml;spring-boot::::spring-boot-samples/spring-boot-sample-xml/pom.xml::::project::::parent_spring-boot-samples::::version(location: 8);git show a7f2ae042ee691c62c28738d4a9f0d1f734470b7 -- spring-boot-samples/spring-boot-sample-xml/pom.xml;yes;parent version changed;version number
f1831ca14b5626204c06e1c8c6bc949e45bb53ff;b40b5d4218de72cc012097908f2ed3d1702ea203;08c954aef88136cde66a00168c00d57b;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;spring-boot::::spring-boot-samples/spring-boot-sample-simple/pom.xml::::project::::dependencies::::dependency_spring-boot-starter::::groupId::::${project.groupId} <-> spring-boot::::spring-boot-samples/spring-boot-sample-xml/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId::::${project.groupId};spring-boot-samples/spring-boot-sample-xml/pom.xml;spring-boot::::spring-boot-samples/spring-boot-sample-xml/pom.xml::::project::::build::::plugins::::plugin_spring-boot-maven-plugin::::groupId(location: 25);git show f1831ca14b5626204c06e1c8c6bc949e45bb53ff -- spring-boot-samples/spring-boot-sample-xml/pom.xml;borderline;different plugins with ${project.groupId};name
be0567cb6ac850270c818c2779d57c1396e739e4;60727d3e2634e63ada2a7bc30d6ad8d0811a5b13;823b80c0b52ae80cc315423308e7e2c1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;spring-boot::::spring-boot-dependencies/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-surefire-plugin::::version::::maven-surefire-plugin:2.15 <-> spring-boot::::spring-boot-starters/spring-boot-starter-parent/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-surefire-plugin::::version::::maven-surefire-plugin:2.15;spring-boot-dependencies/pom.xml;spring-boot::::spring-boot-dependencies/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-surefire-plugin::::version(location: 645);git show be0567cb6ac850270c818c2779d57c1396e739e4 -- spring-boot-dependencies/pom.xml;yes;plugin version changed;version number
a7f2ae042ee691c62c28738d4a9f0d1f734470b7;7bf12162e5ea064f7c596a4f684dd6c96fad2eb3;83c85a13db0d0cac8c2f08ac875923a3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;spring-boot::::spring-boot-samples/pom.xml::::project::::parent_spring-boot-starter-parent::::version::::version:1.2.3.BUILD-SNAPSHOT <-> spring-boot::::spring-boot-samples/spring-boot-sample-simple/pom.xml::::project::::parent_spring-boot-samples::::version::::version:1.2.3.BUILD-SNAPSHOT;spring-boot-samples/spring-boot-sample-simple/pom.xml;spring-boot::::spring-boot-samples/spring-boot-sample-simple/pom.xml::::project::::parent_spring-boot-samples::::version(location: 8);git show a7f2ae042ee691c62c28738d4a9f0d1f734470b7 -- spring-boot-samples/spring-boot-sample-simple/pom.xml;yes;parent version changed;version number
02fdac4f55dc1dc130ddc82bfb8f9ff318a24606;c574e0ea4f705cfecdf23aedab7d11786377b9ce;7f5228d530a28f1fb48e70419f12885d;ModifiedOptionConflict;ConfigType.NAME<->ConfigType.NAME;spring-boot::::spring-boot-samples/spring-boot-sample-data-rest/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-jpa::::groupId::::${project.groupId} <-> spring-boot::::spring-boot-starters/spring-boot-starter-redis/pom.xml::::project::::dependencies::::dependency_spring-boot-starter::::groupId::::${project.groupId};spring-boot-samples/spring-boot-sample-data-rest/pom.xml;spring-boot::::spring-boot-samples/spring-boot-sample-data-rest/pom.xml::::project::::dependencies::::dependency_spring-boot-starter-data-jpa::::groupId(location: 17);git show 02fdac4f55dc1dc130ddc82bfb8f9ff318a24606 -- spring-boot-samples/spring-boot-sample-data-rest/pom.xml;borderline;different plugins with ${project.groupId};name
0b5cc9ee9a0eb0f5330b5994fd475fb57e36702e;8297f651c91ab63aa8403a8a4a7bda36275b1b80;1b3abba46cb8dc31b54dc8032b0415c3;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;spring-boot::::spring-boot-samples/spring-boot-sample-amqp/pom.xml::::project::::parent_spring-boot-samples::::version::::version:1.1.1.BUILD-SNAPSHOT <-> spring-boot::::spring-boot-samples/spring-boot-sample-parent-context/pom.xml::::project::::parent_spring-boot-samples::::version::::version:1.1.1.BUILD-SNAPSHOT;spring-boot-samples/spring-boot-sample-amqp/pom.xml;spring-boot::::spring-boot-samples/spring-boot-sample-amqp/pom.xml::::project::::parent_spring-boot-samples::::version(location: 8);git show 0b5cc9ee9a0eb0f5330b5994fd475fb57e36702e -- spring-boot-samples/spring-boot-sample-amqp/pom.xml;yes;parent version changed;version number
399955c35a8c14da5570f9c8de1140ec403d3775;dd51558d82199e8356a01212ba2feed6bd62c6b5;1b6ba4ec0dd4933ffff107f7553f35ba;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;spring-boot::::spring-boot-dependencies/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-failsafe-plugin::::version::::maven-failsafe-plugin:2.18 <-> spring-boot::::spring-boot-parent/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-failsafe-plugin::::version::::maven-failsafe-plugin:2.18;spring-boot-dependencies/pom.xml;spring-boot::::spring-boot-dependencies/pom.xml::::project::::build::::pluginManagement::::plugins::::plugin_maven-failsafe-plugin::::version(location: 2049);git show 399955c35a8c14da5570f9c8de1140ec403d3775 -- spring-boot-dependencies/pom.xml;yes;plugin version changed;version number
