occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
479d58f329c9b0e66f1bfd5f7edabd93935627e4;918b0d734ab6914a89962e355df726bfd1ba0062;347de6b6409358e0d06ea4c0a1e3408f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::app/ember/package.json::::version::::version:5.2.0-alpha.36 <-> storybook::::package.json::::version::::version:5.2.0-alpha.36;app/ember/package.json;storybook::::app/ember/package.json::::version(location: 3);git show 479d58f329c9b0e66f1bfd5f7edabd93935627e4 -- app/ember/package.json;yes;file version changed;version number
3705c5604b411b7004b25622f83b44139c6509c6;944227aaa99d05c9694e617120c3bcf78cdf1329;7eba7851f465af7d4230e9e4b6fdb74e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::lib/channel-websocket/package.json::::version::::version:4.0.0 <-> storybook::::package.json::::version::::version:4.0.0;lib/channel-websocket/package.json;storybook::::lib/channel-websocket/package.json::::version(location: 3);git show 3705c5604b411b7004b25622f83b44139c6509c6 -- lib/channel-websocket/package.json;yes;file version changed;version number
ad1b906772ba58d1ffe941aa3eeb51850821280e;90ef973531471240cdee601f761c1325da60accc;df828538e10da6039316d8262f664a44;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::lib/core-server/package.json::::devDependencies::::@storybook/builder-webpack5::::@storybook/builder-webpack5:6.4.0-alpha.1 <-> storybook::::lib/core/package.json::::peerDependencies::::@storybook/builder-webpack5::::@storybook/builder-webpack5:6.4.0-alpha.1;lib/core/package.json;storybook::::lib/core/package.json::::peerDependencies::::@storybook/builder-webpack5(location: 47);git show ad1b906772ba58d1ffe941aa3eeb51850821280e -- lib/core/package.json;yes;library version changed;version number
84dceb31ca5cfaddb7814976c9d91334217ad2ba;c018d3333880df1a420e530073c4acb4f07ea39e;d8410d1c01b227701fd9da1f36fdceea;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::addons/docs/package.json::::devDependencies::::@storybook/web-components::::@storybook/web-components:6.3.0-alpha.24 <-> storybook::::addons/essentials/package.json::::peerDependencies::::@storybook/web-components::::@storybook/web-components:6.3.0-alpha.24;addons/essentials/package.json;storybook::::addons/essentials/package.json::::peerDependencies::::@storybook/web-components(location: 64);git show 84dceb31ca5cfaddb7814976c9d91334217ad2ba -- addons/essentials/package.json;yes;library version changed;version number
84db6f4e2f85988974489e6974c50c38c8fddb89;aa0ab734c254c99ef0d1c258e697a63e90c9ab54;592f4bb6394b03665128c4006301e77f;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::addons/measure/package.json::::version::::version:6.5.0-alpha.60 <-> storybook::::package.json::::version::::version:6.5.0-alpha.60;package.json;storybook::::package.json::::version(location: 3);git show 84db6f4e2f85988974489e6974c50c38c8fddb89 -- package.json;yes;file version changed;version number
fc78ea35535a7f62cbc894901951b6ab4a23a265;2c3ce60976a97476ef56c2daefecd39ac8b6fb68;83f53a1678081297b622c78ac44528c5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::app/react-native/package.json::::dependencies::::@storybook/addons::::@storybook/addons:^3.4.0-alpha.9 <-> storybook::::lib/cli/test/snapshots/react_native/package.json::::devDependencies::::@storybook/addons::::@storybook/addons:^3.4.0-alpha.9;app/react-native/package.json;storybook::::app/react-native/package.json::::dependencies::::@storybook/addons(location: 30);git show fc78ea35535a7f62cbc894901951b6ab4a23a265 -- app/react-native/package.json;yes;library version changed;version number
93dac75117c05afb8c0bdd2b114a53b93e57b13a;bdfc902065011ea09f0c9b305a133a69817c0426;b6731db59d5c5a7651c964006ce3e76d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::addons/storyshots/storyshots-puppeteer/package.json::::peerDependencies::::@storybook/addon-storyshots::::@storybook/addon-storyshots:6.0.0-beta.20 <-> storybook::::examples/preact-kitchen-sink/package.json::::devDependencies::::@storybook/addon-storyshots::::@storybook/addon-storyshots:6.0.0-beta.20;addons/storyshots/storyshots-puppeteer/package.json;storybook::::addons/storyshots/storyshots-puppeteer/package.json::::peerDependencies::::@storybook/addon-storyshots(location: 45);git show 93dac75117c05afb8c0bdd2b114a53b93e57b13a -- addons/storyshots/storyshots-puppeteer/package.json;yes;library version changed;version number
7f942d3246c61ab166bb0dfce504561e62f00d74;dc19fd9198cc27700cc7cef314df0e0f3fee700e;9037065bf57a880c8a1c52e0c75730a5;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::examples/ember-cli/package.json::::devDependencies::::@storybook/addon-options::::@storybook/addon-options:4.1.0-alpha.11 <-> storybook::::examples/preact-kitchen-sink/package.json::::devDependencies::::@storybook/addon-options::::@storybook/addon-options:4.1.0-alpha.11;examples/ember-cli/package.json;storybook::::examples/ember-cli/package.json::::devDependencies::::@storybook/addon-options(location: 24);git show 7f942d3246c61ab166bb0dfce504561e62f00d74 -- examples/ember-cli/package.json;yes;library version changed;version number
3b8be65eb82fc9657799b8e23133673b98d9b293;4deec607d7f5e5178431414737665946e1f1227f;4e757663b53a453f41bf1c94b8fc718e;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::docs/package.json::::dependencies::::@storybook/addons::::@storybook/addons:5.1.0-alpha.6 <-> storybook::::lib/core/package.json::::dependencies::::@storybook/addons::::@storybook/addons:5.1.0-alpha.6;lib/core/package.json;storybook::::lib/core/package.json::::dependencies::::@storybook/addons(location: 28);git show 3b8be65eb82fc9657799b8e23133673b98d9b293 -- lib/core/package.json;yes;library version changed;version number
2ec0dc3e278d25e61d70fcfba3a7fa16754af661;e41e239a611736ff40c168a9a584212b6d964252;85e06a28ffbe9657fe9b0768c0482071;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::lib/core-server/package.json::::devDependencies::::@storybook/builder-webpack5::::@storybook/builder-webpack5:6.5.0-alpha.32 <-> storybook::::lib/core/package.json::::peerDependencies::::@storybook/builder-webpack5::::@storybook/builder-webpack5:6.5.0-alpha.32;lib/core/package.json;storybook::::lib/core/package.json::::peerDependencies::::@storybook/builder-webpack5(location: 47);git show 2ec0dc3e278d25e61d70fcfba3a7fa16754af661 -- lib/core/package.json;yes;library version changed;version number
eebd39f74ac446155242585c96f1ec8cfaca5851;bfeee81a1046a85e74df9def06a58933c0dce110;e5d12fadf16d819b41b64660890a12f6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::examples/angular-cli/package.json::::version::::version:5.2.0-beta.18 <-> storybook::::package.json::::version::::version:5.2.0-beta.18;examples/angular-cli/package.json;storybook::::examples/angular-cli/package.json::::version(location: 3);git show eebd39f74ac446155242585c96f1ec8cfaca5851 -- examples/angular-cli/package.json;yes;file version changed;version number
20a6a7e1ec767331afedb60fa7e42c5abb19a896;853fe5034ad71ff3b2ade96d2d7aaba3726d8fda;3ab03e6f1da25c8bc55275a246240e68;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::lib/channels/package.json::::version::::version:6.5.0-beta.8 <-> storybook::::package.json::::version::::version:6.5.0-beta.8;package.json;storybook::::package.json::::version(location: 3);git show 20a6a7e1ec767331afedb60fa7e42c5abb19a896 -- package.json;yes;file version changed;version number
3b031f0c37a7a5490e5fc8e655ff5971e57f36dc;028798584ad999f9c8f979fe77f4e4e1b26653ef;04b5fa6555620c0295b70cdc39ca84d6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;storybook::::addons/docs/package.json::::peerDependencies::::@storybook/vue3::::@storybook/vue3:6.4.0-beta.30 <-> storybook::::examples/vue-3-cli/package.json::::devDependencies::::@storybook/vue3::::@storybook/vue3:6.4.0-beta.30;addons/docs/package.json;storybook::::addons/docs/package.json::::peerDependencies::::@storybook/vue3(location: 147);git show 3b031f0c37a7a5490e5fc8e655ff5971e57f36dc -- addons/docs/package.json;yes;library version changed;version number
