occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;type
ac807f74676deea28aae339b8eac1f11d4f77e26;82f436742e8d370a06787e0b7af7b49a19aeaec1;3cc71e083969061cd8d47de83a280540;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;vscode::::extensions/css/package.json::::contributes::::configuration::::properties::::css.lint.unknownVendorSpecificProperties::::scope::::resource <-> vscode::::extensions/typescript/package.json::::contributes::::configuration::::properties::::javascript.format.enable::::scope::::resource;extensions/typescript/package.json;vscode::::extensions/typescript/package.json::::contributes::::configuration::::properties::::javascript.format.enable::::scope(location: 416);git show ac807f74676deea28aae339b8eac1f11d4f77e26 -- extensions/typescript/package.json;no;options are not dependent;unknown
bc83bd24093fe6d4ef1ba7faec05b864918df62e;6422cde30239b1f52b53a3e4f76113ff1f49ec7d;c37ceb539465d8ac426b566103b6c56d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/html/package.json::::dependencies::::vscode-languageclient::::vscode-languageclient:^3.0.2-beta.5 <-> vscode::::extensions/json/package.json::::dependencies::::vscode-languageclient::::vscode-languageclient:^3.0.2-beta.5;extensions/json/package.json;vscode::::extensions/json/package.json::::dependencies::::vscode-languageclient(location: 116);git show bc83bd24093fe6d4ef1ba7faec05b864918df62e -- extensions/json/package.json;yes;library version changed;version number
1279ff63c1f13558521586b4b642fb712e5d7c62;5ef30e92c78caef08d036fbe87830cc65bcaccb1;636f0db9a09df72450c58ec927225869;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/css/server/package.json::::dependencies::::vscode-css-languageservice::::vscode-css-languageservice:^2.1.6 <-> vscode::::extensions/html/server/package.json::::dependencies::::vscode-css-languageservice::::vscode-css-languageservice:^2.1.6;extensions/css/server/package.json;vscode::::extensions/css/server/package.json::::dependencies::::vscode-css-languageservice(location: 11);git show 1279ff63c1f13558521586b4b642fb712e5d7c62 -- extensions/css/server/package.json;yes;library version changed;version number
7ef7b94bf512c4671ba983651885ebaed375f77f;f06512114343b2b048306695573abc673e32d3b8;b9b9bc04ff87d2d92f5eac181c3f69a1;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/css/package.json::::dependencies::::vscode-languageclient::::vscode-languageclient:^2.4.2-next.22 <-> vscode::::extensions/json/package.json::::dependencies::::vscode-languageclient::::vscode-languageclient:^2.4.2-next.22;extensions/json/package.json;vscode::::extensions/json/package.json::::dependencies::::vscode-languageclient(location: 106);git show 7ef7b94bf512c4671ba983651885ebaed375f77f -- extensions/json/package.json;yes;library version changed;version number
9c3beb34da723cf50b2393869bde404d4dde18df;bc9abef2084679fb67751b6dead439b9e613a4a0;50840d511cd707ad0763f5365b71fdc8;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::build/package.json::::devDependencies::::@types/node::::@types/node:^10.14.8 <-> vscode::::extensions/configuration-editing/package.json::::devDependencies::::@types/node::::@types/node:^10.14.8;extensions/configuration-editing/package.json;vscode::::extensions/configuration-editing/package.json::::devDependencies::::@types/node(location: 118);git show 9c3beb34da723cf50b2393869bde404d4dde18df -- extensions/configuration-editing/package.json;yes;library version changed;version number
1bae102717a3629c6c6d1ff7fdbb87ebc3a78282;c3bed0a50e5975a7ea1a6a641dbe223d85db6e35;9ffed3304c02662f7c9f5cdf92088ed3;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;vscode::::extensions/css-language-features/package.json::::contributes::::configuration::::properties::::scss.lint.emptyRules::::scope::::resource <-> vscode::::extensions/typescript-language-features/package.json::::contributes::::configuration::::properties::::typescript.preferences.quoteStyle::::scope::::resource;extensions/typescript-language-features/package.json;vscode::::extensions/typescript-language-features/package.json::::contributes::::configuration::::properties::::typescript.preferences.quoteStyle::::scope(location: 1117);git show 1bae102717a3629c6c6d1ff7fdbb87ebc3a78282 -- extensions/typescript-language-features/package.json;no;options are not dependent;unknown
1bae102717a3629c6c6d1ff7fdbb87ebc3a78282;c3bed0a50e5975a7ea1a6a641dbe223d85db6e35;3c9803965145c60daa38afe611b2d9ac;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;vscode::::extensions/css-language-features/package.json::::contributes::::configuration::::properties::::less.validate::::scope::::resource <-> vscode::::extensions/typescript-language-features/package.json::::contributes::::configuration::::properties::::typescript.suggest.jsdoc.generateReturns::::scope::::resource;extensions/typescript-language-features/package.json;vscode::::extensions/typescript-language-features/package.json::::contributes::::configuration::::properties::::typescript.suggest.jsdoc.generateReturns::::scope(location: 1117);git show 1bae102717a3629c6c6d1ff7fdbb87ebc3a78282 -- extensions/typescript-language-features/package.json;no;options are not dependent;unknown
7f68cc70f74a743eecd9f715d0b2b12284d1d7aa;4ea77769e99e394e27da50dd0e6ff759974a3e05;c913f3c44003160f60f083965a3caab6;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::build/monaco/package.json::::devDependencies::::gulp-tsb::::gulp-tsb:^2.0.3 <-> vscode::::package.json::::devDependencies::::gulp-tsb::::gulp-tsb:^2.0.3;package.json;vscode::::package.json::::devDependencies::::gulp-tsb(location: 86);git show 7f68cc70f74a743eecd9f715d0b2b12284d1d7aa -- package.json;yes;library version changed;version number
20ebe72cb4c31a90a8d83168e0f35684cb87ac81;16da32ae7ca1cca02a2b2dbcd42da59b58ebf747;ac12bd54283e3edb6b3526bc0518698b;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/typescript/package.json::::dependencies::::typescript::::typescript:2.1.5 <-> vscode::::package.json::::devDependencies::::typescript::::typescript:2.1.5;extensions/typescript/package.json;vscode::::extensions/typescript/package.json::::dependencies::::typescript(location: 2);git show 20ebe72cb4c31a90a8d83168e0f35684cb87ac81 -- extensions/typescript/package.json;yes;library version changed;version number
b313c4c2a3a83d791c03a396a67b64a3d13707c4;4e2296ffd7cbe1d662a653cae1b352b7bea322c0;694e787c3a37d947e74e6efdd484a95b;ModifiedOptionConflict;ConfigType.UNKNOWN<->ConfigType.UNKNOWN;vscode::::extensions/emmet/package.json::::contributes::::configuration::::properties::::emmet.showAbbreviationSuggestions::::scope::::language-overridable <-> vscode::::extensions/typescript-language-features/package.json::::contributes::::configuration::::properties::::javascript.preferences.importModuleSpecifier::::scope::::language-overridable;extensions/emmet/package.json;vscode::::extensions/emmet/package.json::::contributes::::configuration::::properties::::emmet.showAbbreviationSuggestions::::scope(location: 140);git show b313c4c2a3a83d791c03a396a67b64a3d13707c4 -- extensions/emmet/package.json;no;options are not dependent;unknown
2ae776cd594b5be417e830354ab4847477173080;556067eb51e07e8fae9ace07d7176cb9d615b3db;95c52e55c4954d0936260eb886cb3283;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/extension-editing/package.json::::dependencies::::vscode-nls::::vscode-nls:^2.0.1 <-> vscode::::extensions/git/package.json::::dependencies::::vscode-nls::::vscode-nls:^2.0.1;extensions/git/package.json;vscode::::extensions/git/package.json::::dependencies::::vscode-nls(location: 637);git show 2ae776cd594b5be417e830354ab4847477173080 -- extensions/git/package.json;yes;library version changed;version number
1279ff63c1f13558521586b4b642fb712e5d7c62;5ef30e92c78caef08d036fbe87830cc65bcaccb1;c0914384f9260ef6d98304ac3534f300;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vscode::::extensions/css/server/package.json::::dependencies::::vscode-languageserver-protocol::::vscode-languageserver-protocol:^3.1.1 <-> vscode::::extensions/json/server/package.json::::dependencies::::vscode-languageserver-protocol::::vscode-languageserver-protocol:^3.1.1;extensions/css/server/package.json;vscode::::extensions/css/server/package.json::::dependencies::::vscode-languageserver-protocol(location: 13);git show 1279ff63c1f13558521586b4b642fb712e5d7c62 -- extensions/css/server/package.json;yes;library version changed;version number
8bf2f6ac8c0358a4287803752792ffab3c32dbe8;3c042bac2586b1b1252a9872c1e76d89dfd5cd8f;091bae1c52993f399b1f8ee2a79fe503;ModifiedOptionConflict;ConfigType.PATH<->ConfigType.PATH;vscode::::extensions/emmet/package.json::::main::::./out/extension <-> vscode::::extensions/merge-conflict/package.json::::main::::./out/extension;extensions/merge-conflict/package.json;vscode::::extensions/merge-conflict/package.json::::main(location: 19);git show 8bf2f6ac8c0358a4287803752792ffab3c32dbe8 -- extensions/merge-conflict/package.json;borderline;entrypoint for main script changed;path
