occurred_at;prev_commit;conflict_id;conflict_type;config_types;link;changed_artifact;changed_option;cmd;rating;notes;types
9aeabe3ad363d96cf59cf1600be3fbd37d2a33a6;422dd7aa22026b2672503494547da634036782ae;7fad1be7ddebc03f5dbe62c9ec048d8c;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.4.3 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.4.3;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 9aeabe3ad363d96cf59cf1600be3fbd37d2a33a6 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
b925094eb1a2b55bfc3b7f4971017f4edb6b8405;a3de4543e95330b9777a1d60022b9c653b96825c;ad01d8ba51a8bd7e72d3ffad2d3cc89d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.6.6 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.6.6;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show b925094eb1a2b55bfc3b7f4971017f4edb6b8405 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
cc4a76c750f207a2bd060cba11bab6352d5eacc9;d6c24ad58c7aff0ab56c9b8f493b1a665ac2ae72;482d6fda45518c12f1d9a59f0d6e01fd;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-beta.3 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.0.0-beta.3;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show cc4a76c750f207a2bd060cba11bab6352d5eacc9 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
b51dea27b80fffe1d5af6e6cca397427fa4641fe;4e533877fde395ebae3fb33e5d92bd785edf9530;6aeef555a054971e0623f6e66bbd3008;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-alpha.2 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.0.0-alpha.2;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show b51dea27b80fffe1d5af6e6cca397427fa4641fe -- packages/vue-server-renderer/package.json;yes;file version changed;version number
8d9506927ec525d8f9b2fea63b64d841556bc9e2;ca07ddf887aec495500591918fb51de58d9e1b43;547055c0176c164a5748489ba737da59;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-rc.3 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.0.0-rc.3;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 8d9506927ec525d8f9b2fea63b64d841556bc9e2 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
290e38f2af962dd7fa465bd32dca26c9dbbe16d7;9bcaa717b3340f1954b09b282532d96cc11771f7;a04037e22d1304cd3166649932ee4402;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::devDependencies::::escodegen::::escodegen:^1.8.1 <-> vue::::packages/weex-template-compiler/package.json::::dependencies::::escodegen::::escodegen:^1.8.1;package.json;vue::::package.json::::devDependencies::::escodegen(location: 105);git show 290e38f2af962dd7fa465bd32dca26c9dbbe16d7 -- package.json;yes;library version changed;version number
1baf588f6373bf533933f01a180736f0ecd11fc2;6250ca8c8989f3b4f8c60d25064c30998ea5881f;be2a1135b841d18af5fb6782bc684515;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.5.17-beta.0 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.5.17-beta.0;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 1baf588f6373bf533933f01a180736f0ecd11fc2 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
8a78ba4d2e23ce3312ca47411945344e113b0af8;d5920d1135e7e7510db0b3bafd92ca5886f9b236;3dc0d4f528560abe212e2480fa9d097a;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-alpha.4 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.0.0-alpha.4;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 8a78ba4d2e23ce3312ca47411945344e113b0af8 -- packages/vue-server-renderer/package.json;yes;file version changed;version number
157b4760434a27447e1e99c5d33767c8679d771f;c533e51fa115297077eb1479c7b6c84052d1af95;caf3ca34155915aa6f2391ee51b4014d;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.6.0-beta.2 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.6.0-beta.2;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show 157b4760434a27447e1e99c5d33767c8679d771f -- packages/vue-server-renderer/package.json;yes;file version changed;version number
c812cd188d496625e1cd5429017897595adfedea;eb49d3d83037093c1f65de384e156ea96c8b4c1f;51a8213da55917665adb2b5ada1dff72;ModifiedOptionConflict;ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER;vue::::package.json::::version::::version:2.0.0-beta.4 <-> vue::::packages/vue-server-renderer/package.json::::version::::version:2.0.0-beta.4;packages/vue-server-renderer/package.json;vue::::packages/vue-server-renderer/package.json::::version(location: 3);git show c812cd188d496625e1cd5429017897595adfedea -- packages/vue-server-renderer/package.json;yes;file version changed;version number
