repo,technologies
30-seconds-of-code,
996.ICU,.toml
advanced-java,.yml
angular,.yaml Dockerfile .yml
angular.js,.yml
animate.css,.travis.yml .yml
ant-design,docker-compose Dockerfile .yml
architect-awesome,
atom,.travis.yml Dockerfile .yml
awesome,.yml
awesome-go,.yaml .yml
awesome-python,.travis.yml .yml
awesome-selfhosted,.travis.yml .yml
awesome-vue,.yml
axios,.travis.yml .yml
bitcoin,.properties Dockerfile .ini .travis.yml .yml
bootstrap,.yml
build-your-own-x,
Chart.js,.yml
clean-code-javascript,
coding-interview-university,.yml
computer-science,
create-react-app,.yaml .toml .yml
CS-Notes,.travis.yml .yml
d3,.yml
deno,.toml Dockerfile .yml
developer-roadmap,.yml
django,.ini .toml .yml .yaml
elasticsearch,docker-compose .toml .properties Dockerfile .yml .ini .yaml
electron,docker-compose .yml
express,.yml
FiraCode,Dockerfile .yml
flask,.ini .yml .yaml
flutter,Dockerfile .properties .yml .yaml
Font-Awesome,.yml
free-programming-books,.yml
free-programming-books-zh_CN,.travis.yml .yml
freeCodeCamp,.yaml docker-compose Dockerfile .yml
Front-End-Checklist,.yml
fucking-algorithm,
gin,.yml
gitignore,.travis.yml .yml
go,Dockerfile .yml
hugo,.yaml .toml Dockerfile .yml
interviews,
java-design-patterns,docker-compose .properties pom.xml .ini .yml
JavaGuide,
javascript,.yml
javascript-algorithms,.yml
jquery,.yml
json-server,.yml
kubernetes,.toml .properties Dockerfile .yaml .ini .travis.yml .yml
laravel,.yml
LeetCodeAnimation,
linux,.ini .yaml
mall,docker-compose .properties Dockerfile pom.xml .yml
markdown-here,.properties
material-ui,.toml .yml
moby,.toml Dockerfile .yml .ini .yaml
models,.yaml Dockerfile .yml
netdata,docker-compose Dockerfile .yml .ini .travis.yml .yaml
next.js,.toml Dockerfile .yml
node,Dockerfile .yaml .ini .travis.yml .yml
nodebestpractices,Dockerfile .yml
nvm,.travis.yml Dockerfile .yml
ohmyzsh,docker-compose Dockerfile .yml
opencv,pom.xml .properties Dockerfile .yml
PowerToys,.yml
project-based-learning,.travis.yml .yml
public-apis,.yml
puppeteer,Dockerfile .yml
Python,.yaml .ini .yml
Python-100-Days,
react,.toml .yml
react-native,.properties Dockerfile .yml
realworld,.yml
redux,.toml .yml .yaml
reveal.js,.yml
rust,.toml .travis.yml Dockerfile .yml
scrcpy,.properties
socket.io,docker-compose Dockerfile .yml
spring-boot,docker-compose .toml .properties Dockerfile .yml pom.xml .yaml
storybook,.toml .yml pom.xml .ini .yaml
swift,.ini .yaml
system-design-primer,.yaml
tech-interview-handbook,.travis.yml .yml
tensorflow,.properties Dockerfile .yml .ini .yaml
terminal,.ini .yml
the-art-of-command-line,.yml
the-book-of-secret-knowledge,.yml
thefuck,.ini .yml Dockerfile .yaml
three.js,.yml
transformers,Dockerfile .toml .yml .yaml
TypeScript,.yaml Dockerfile .yml
vscode,.yaml .ini Dockerfile .yml
vue,.yml
vue-element-admin,.travis.yml .yml
webpack,.yaml .toml .travis.yml .yml
You-Dont-Know-JS,
youtube-dl,.ini .yml
