repo,technologies
advanced-java,.yml .json
angular,.xml .yml .yaml Dockerfile .json
angular.js,.xml .yml .json
animate.css,.travis.yml .yml .json
ant-design,Dockerfile .yml .json docker-compose
atom,.xml .yml Dockerfile .json .travis.yml
awesome-go,.xml .yaml .yml
awesome-python,.travis.yml .yml
awesome-selfhosted,.travis.yml .yml
axios,.travis.yml .yml .json
bitcoin,.ini .properties .xml .yml Dockerfile .json .travis.yml
bootstrap,.xml .yml .json
Chart.js,.yml .json
create-react-app,.toml .yaml .yml .json
CS-Notes,.travis.yml .yml .json
d3,.yml .json
deno,.yml Dockerfile .toml .json
developer-roadmap,.xml .yml .json
django,.ini .xml .toml .yml .yaml .json
elasticsearch,.ini .properties .xml .yml .toml .yaml Dockerfile .json docker-compose
electron,.xml .yml .json docker-compose
express,.yml .json
FiraCode,.yml Dockerfile .json
flask,.ini .yaml .yml .json
flutter,.properties .xml .yml .yaml Dockerfile .json
Font-Awesome,.yml .json
free-programming-books-zh_CN,.travis.yml .yml
freeCodeCamp,.yml .yaml Dockerfile .json docker-compose
gitignore,.travis.yml .yml
go,Dockerfile .yml .json
hugo,.xml .toml .yml .yaml Dockerfile .json
java-design-patterns,.ini .properties .xml .yml .json pom.xml docker-compose
javascript,.yml .json
javascript-algorithms,.yml .json
jquery,.xml .yml .json
json-server,.yml .json
kubernetes,.ini .properties .yml .toml .yaml Dockerfile .json .travis.yml
laravel,.xml .yml .json
linux,.xml .yaml .json .ini
mall,.properties .xml .yml Dockerfile .json pom.xml docker-compose
markdown-here,.properties .json
material-ui,.toml .yml .json
moby,.ini .yml .toml .yaml Dockerfile .json
models,.xml .yml .yaml Dockerfile .json
netdata,.ini .xml .yml .yaml Dockerfile .json .travis.yml docker-compose
next.js,.xml .toml .yml Dockerfile .json
node,.ini .xml .yml .yaml Dockerfile .json .travis.yml
nodebestpractices,Dockerfile .yml .json
nvm,.travis.yml Dockerfile .yml .json
ohmyzsh,Dockerfile .yml docker-compose
opencv,.properties .xml .yml Dockerfile .json pom.xml
PowerToys,.xml .yml .json
project-based-learning,.travis.yml .yml
puppeteer,Dockerfile .yml .json
Python,.ini .yaml .yml .json
Python-100-Days,.xml .json
react,.toml .yml .json
react-native,.properties .xml .yml Dockerfile .json
realworld,.yml .json
redux,.yml .yaml .toml .json
reveal.js,.yml .json
rust,.xml .toml .yml Dockerfile .json .travis.yml
scrcpy,.properties .xml
socket.io,Dockerfile .yml .json docker-compose
spring-boot,.properties .xml .yml .toml .yaml Dockerfile .json pom.xml docker-compose
storybook,.ini .xml .toml .yml .yaml .json pom.xml
swift,.ini .yaml .json
tech-interview-handbook,.travis.yml .yml .json
tensorflow,.ini .properties .xml .yml .yaml Dockerfile .json
terminal,.ini .xml .yml .json
thefuck,.ini .yml .yaml Dockerfile .json
three.js,.yml .json
transformers,.toml .yml .yaml Dockerfile .json
TypeScript,.yml .yaml Dockerfile .json
vscode,.ini .xml .yml .yaml Dockerfile .json
vue,.yml .json
vue-element-admin,.travis.yml .yml .json
webpack,.toml .yml .yaml .json .travis.yml
youtube-dl,.ini .yml .json
