name,url,stars,technology_counter,technologies_seen
freeCodeCamp,https://github.com/freeCodeCamp/freeCodeCamp,347613,4,"['cypress.json', 'package.json', 'tsconfig.json', 'Dockerfile']"
developer-roadmap,https://github.com/kamranahmedse/developer-roadmap,197121,2,"['package.json', 'tsconfig.json']"
vue,https://github.com/vuejs/vue,196915,2,"['package.json', 'tsconfig.json']"
vscode,https://github.com/microsoft/vscode,133014,3,"['package.json', 'tsconfig.json', 'Dockerfile']"
electron,https://github.com/electron/electron,102148,3,"['package.json', 'tsconfig.json', 'docker-compose.yml']"
go,https://github.com/golang/go,100716,2,"['package.json', 'Dockerfile']"
create-react-app,https://github.com/facebook/create-react-app,95548,2,"['package.json', 'tsconfig.json']"
axios,https://github.com/axios/axios,94003,2,"['package.json', 'tsconfig.json']"
kubernetes,https://github.com/kubernetes/kubernetes,89361,2,"['Dockerfile', '.travis.yml']"
node,https://github.com/nodejs/node,88275,4,"['tsconfig.json', 'package.json', '.travis.yml', 'Dockerfile']"
next.js,https://github.com/vercel/next.js,88181,7,"['package.json', 'tsconfig.json', 'Dockerfile', 'cypress.json', 'docker-compose.dev.yml', 'docker-compose.prod.yml', 'docker-compose.yml']"
deno,https://github.com/denoland/deno,82977,3,"['Dockerfile', 'package.json', 'tsconfig.json']"
angular,https://github.com/angular/angular,82032,4,"['package.json', 'tsconfig.json', 'Dockerfile', 'cypress.json']"
TypeScript,https://github.com/microsoft/TypeScript,81523,3,"['Dockerfile', 'package.json', 'tsconfig.json']"
ant-design,https://github.com/ant-design/ant-design,80721,3,"['docker-compose.yml', 'package.json', 'tsconfig.json']"
material-ui,https://github.com/mui/material-ui,79127,2,"['package.json', 'tsconfig.json']"
puppeteer,https://github.com/puppeteer/puppeteer,78506,2,"['package.json', 'tsconfig.json']"
vue-element-admin,https://github.com/PanJiaChen/vue-element-admin,76686,2,"['.travis.yml', 'package.json']"
animate.css,https://github.com/animate-css/animate.css,74827,2,"['.travis.yml', 'package.json']"
storybook,https://github.com/storybookjs/storybook,71702,4,"['cypress.json', 'package.json', 'tsconfig.json', 'pom.xml']"
rust,https://github.com/rust-lang/rust,67678,2,"['Dockerfile', '.travis.yml']"
transformers,https://github.com/huggingface/transformers,65287,2,"['pyproject.toml', 'Dockerfile']"
django,https://github.com/django/django,64633,2,"['package.json', 'pyproject.toml']"
FiraCode,https://github.com/tonsky/FiraCode,64441,2,"['Dockerfile', 'package.json']"
moby,https://github.com/moby/moby,63286,2,"['Dockerfile', '.travis.yml']"
opencv,https://github.com/opencv/opencv,62185,3,"['package.json', 'Dockerfile', 'pom.xml']"
spring-boot,https://github.com/spring-projects/spring-boot,61723,6,"['Dockerfile', 'pom.xml', 'application.properties', 'application.yml', 'application-dev.properties', 'docker-compose.yml']"
webpack,https://github.com/webpack/webpack,61241,2,"['package.json', 'tsconfig.json']"
elasticsearch,https://github.com/elastic/elasticsearch,60032,2,"['docker-compose.yml', 'Dockerfile']"
netdata,https://github.com/netdata/netdata,59666,3,"['.travis.yml', 'Dockerfile', 'docker-compose.yml']"
hugo,https://github.com/gohugoio/hugo,59587,2,"['Dockerfile', 'package.json']"
svelte,https://github.com/sveltejs/svelte,59507,2,"['package.json', 'tsconfig.json']"
mall,https://github.com/macrozheng/mall,59032,5,"['pom.xml', 'Dockerfile', 'application-dev.yml', 'application-prod.yml', 'application.yml']"
nvm,https://github.com/nvm-sh/nvm,58593,3,"['.travis.yml', 'Dockerfile', 'package.json']"
redux,https://github.com/reduxjs/redux,58201,2,"['package.json', 'tsconfig.json']"
atom,https://github.com/atom/atom,58185,3,"['Dockerfile', 'package.json', '.travis.yml']"
Chart.js,https://github.com/chartjs/Chart.js,57265,2,"['package.json', 'tsconfig.json']"
socket.io,https://github.com/socketio/socket.io,55976,4,"['package.json', 'tsconfig.json', 'docker-compose.yml', 'Dockerfile']"
protobuf,https://github.com/protocolbuffers/protobuf,54979,2,"['pom.xml', 'Dockerfile']"
code-server,https://github.com/coder/code-server,54086,3,"['package.json', 'tsconfig.json', 'Dockerfile']"
core,https://github.com/home-assistant/core,53430,2,"['Dockerfile', 'pyproject.toml']"
gatsby,https://github.com/gatsbyjs/gatsby,53088,5,"['package.json', 'tsconfig.json', 'Dockerfile', 'cypress.json', 'docker-compose.yml']"
element,https://github.com/ElemeFE/element,52239,2,"['.travis.yml', 'package.json']"
echarts,https://github.com/apache/echarts,51402,2,"['package.json', 'tsconfig.json']"
rails,https://github.com/rails/rails,50912,2,"['package.json', 'Dockerfile']"
nest,https://github.com/nestjs/nest,47812,3,"['package.json', 'tsconfig.json', 'docker-compose.yml']"
ionic-framework,https://github.com/ionic-team/ionic-framework,47512,3,"['package.json', 'tsconfig.json', 'cypress.json']"
superset,https://github.com/apache/superset,46631,5,"['docker-compose.yml', 'Dockerfile', 'package.json', 'tsconfig.json', 'cypress.json']"
moment,https://github.com/moment/moment,46591,3,"['.travis.yml', 'package.json', 'tsconfig.json']"
fastapi,https://github.com/tiangolo/fastapi,46277,2,"['pyproject.toml', 'Dockerfile']"
