occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
ea5f8fd7d88234eeda6c0c981a67a8fcb44c23ef,8ffbf773d20fc34a34ab08f414c7a23c2b45a16f,18e2394e04723b8c36226be8492e8f99,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::modules/@angular/common/package.json::::typings::::index.d.ts <-> angular::::modules/@angular/platform-browser/package.json::::typings::::index.d.ts,modules/@angular/platform-browser/package.json,angular::::modules/@angular/platform-browser/package.json::::typings(location: 8),git show ea5f8fd7d88234eeda6c0c981a67a8fcb44c23ef -- modules/@angular/platform-browser/package.json
e77ac72bc379b3628ba666d26770292e451b92aa,376bcf2355068319a1b86606392cd26cd1458bdb,3d9fcc7ce2ace0eb08e306cb246e0899,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::.circleci/config.yml::::jobs::::test_aio_local_ivy::::steps::::steps_0::::attach_workspace::::at::::. <-> angular::::packages/bazel/package.json::::bazelWorkspaces::::npm_angular_bazel::::rootPath::::.,.circleci/config.yml,angular::::.circleci/config.yml::::jobs::::test_aio_local_ivy::::steps::::steps_0::::attach_workspace::::at(location: 126),git show e77ac72bc379b3628ba666d26770292e451b92aa -- .circleci/config.yml
f28765c30331e36d3abf90d7bb0bb508df061f57,f09321df83abc4d3da9aeaf2b2e393b55386bffe,0796e9b2af8fc83af85898e6e7dc3e2d,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::aio/package.json::::devDependencies::::dgeni::::dgeni:^0.4.2 <-> angular::::package.json::::devDependencies::::dgeni::::dgeni:^0.4.2,aio/package.json,angular::::aio/package.json::::devDependencies::::dgeni(location: 44),git show f28765c30331e36d3abf90d7bb0bb508df061f57 -- aio/package.json
4e86bd23b252362e283c88a0046c55032a94a33a,3cd00481647b12c7ad1cf045af9c93e920ca27e4,034ddb693f28c919285cced6d3849d3d,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::modules_dart/analysis_server/pubspec.yaml::::environment::::sdk::::>=1.9.0-dev.8.0 <-> angular::::modules_dart/analyzer_plugin/pubspec.yaml::::environment::::sdk::::>=1.9.0-dev.8.0,modules_dart/analyzer_plugin/pubspec.yaml,angular::::modules_dart/analyzer_plugin/pubspec.yaml::::environment::::sdk(location: 5),git show 4e86bd23b252362e283c88a0046c55032a94a33a -- modules_dart/analyzer_plugin/pubspec.yaml
599b03a675c4fc1fc24ed5e2e63c4cc7ecd742ea,8c61b82ffa0b7158de410c7d387dab7f3ac7032c,f91eb57fd1dfbac6a87cbb79dc0e1595,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,angular::::modules/benchmarks_external/pubspec.yaml::::transformers::::transformers_1::::$dart2js::::commandLineOptions::::--show-package-warnings <-> angular::::modules/playground/pubspec.yaml::::transformers::::transformers_2::::$dart2js::::commandLineOptions::::--show-package-warnings,,,
41f43d57e8aa25b178a8027a7ef07c2dea8e7893,457cbaa39b45409ae6ffd6402a9251dc10970588,02d94806fc807c137e0b1835bf60e36e,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::modules/rtts_assert/package.json::::devDependencies::::karma-jasmine::::karma-jasmine:^0.2.2 <-> angular::::package.json::::dependencies::::karma-jasmine::::karma-jasmine:^0.2.2,,,
729e38af1944f582203270242646607eeb82a6bc,6e923cbf84114f29d0f2b44c08f4d1a09f884dbd,c1c03e2c3f9a6c35f4af7695b454722e,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::modules/angular2/package.json::::devDependencies::::gulp-sourcemaps::::gulp-sourcemaps:1.3.* <-> angular::::package.json::::devDependencies::::gulp-sourcemaps::::gulp-sourcemaps:1.3.*,,,
39232ff4e0979bc3c6dccebad3e4ee8cb9fcc761,5641d5907e5731d1faa48ef55ce497c571d2116e,9181fdf730637ac421e8e99436ac3fca,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::modules/@angular/core/package.json::::peerDependencies::::rxjs::::rxjs:5.0.0-beta.12 <-> angular::::modules/@angular/router/package.json::::peerDependencies::::rxjs::::rxjs:5.0.0-beta.12,,,
1b241a09c89f48e9cc29723325bcfe344c7b1fda,c72f36bc97f4394ac9a773304dde4d5fe7c88567,f80a47250f0263a142e0a5a23625eacb,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.PATH,angular::::.circleci/config.yml::::workflows::::default_workflow::::jobs::::jobs_1::::publish_snapshot::::requires::::test <-> angular::::tools/ts-api-guardian/package.json::::directories::::test::::test,,,
34147fbf71c2b5b0f7d2a306b0d470ecf485146b,9e59703ae1732991c5f05ec24a6829fec7d39c65,de7bae848314297376c7cba9a63d2a43,ModifiedOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,angular::::integration/hello_world__closure/package.json::::dependencies::::@angular/platform-browser::::@angular/platform-browser:file:../../dist/packages-dist-es2015/platform-browser <-> angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/platform-browser::::@angular/platform-browser:file:../../dist/packages-dist-es2015/platform-browser,integration/typings_test_ts20/package.json,angular::::integration/typings_test_ts20/package.json::::dependencies::::@angular/platform-browser(location: 12),git show 34147fbf71c2b5b0f7d2a306b0d470ecf485146b -- integration/typings_test_ts20/package.json
