occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
41958d7912a15a597af257f3a1a449bdc245eb05,f7318adf3f9dca26e65df65ed10971b36c30317f,f8876eb89937b98c592f8087ec469b64,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.circleci/config.yml::::workflows::::build_test::::<<::::jobs::::jobs_10::::test_lib_15::::requires::::compile <-> ant-design::::.github/workflows/test.yml::::jobs::::lib::::needs::::compile,,,
23f86972e0fbb659d83b0d3cb08f4e69ffa1b02e,035034d166883c1098695235be3bdef7e140858b,2131c73c34df7c9f756d2fb62a724103,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.github/workflows/gitleaks.yml::::jobs::::gitleaks::::steps::::steps_0::::uses::::actions/checkout@v2 <-> ant-design::::.github/workflows/rebase.yml::::jobs::::rebase::::steps::::steps_0::::uses::::actions/checkout@v2,.github/workflows/rebase.yml,ant-design::::.github/workflows/rebase.yml::::jobs::::rebase::::steps::::steps_0::::uses(location: 11),git show 23f86972e0fbb659d83b0d3cb08f4e69ffa1b02e -- .github/workflows/rebase.yml
ee52d07d6205362935cebe37ebb64e30f87fea7d,5061c57563e6e095930d09fef8d97cf4d2c980bc,6191e2d65472783f5c86d4343de531f4,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.github/workflows/pr-open-check.yml::::on::::pull_request_target::::types::::reopened <-> ant-design::::.github/workflows/verify-files-modify.yml::::on::::pull_request_target::::types::::reopened,,,
8c8d4a48e4a6adf058f3e091aa946768111aec0b,059c80274af1809c866a9e409cfbc7723f4cf6c2,be622533d3fbb4e782ceeb0c1c2f089f,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.circleci/config.yml::::workflows::::nightly::::<<::::jobs::::jobs_6::::test_es::::requires::::compile <-> ant-design::::.github/workflows/publish-to-github-package.yml::::jobs::::publish::::steps::::steps_3::::name::::compile,,,
96806228c58396c5074c534ac44765419738d01b,85db05ad430e8d59c3ba2b425365d23dae32fd46,07f4b192dd74bf7bd2a6d318e0ba2c2a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.github/workflows/issue-open-check.yml::::jobs::::check-issue::::steps::::steps_0::::with::::issue-number::::${{ github.event.issue.number }} <-> ant-design::::.github/workflows/issue-reply.yml::::jobs::::reply-helper::::steps::::steps_1::::with::::issue-number::::${{ github.event.issue.number }},,,
33af2cf97562e8e55fa1395ac1befb27ade11a93,a1d7e4912ac63a36312ac872fc5c0bd28baa144f,ce203d271d89980de1ea131c785e3970,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.codecov.yml::::codecov::::branch::::master <-> ant-design::::.github/workflows/deploy-site.yml::::on::::release::::branches::::master,,,
323b09a98f83475ef8e379753300a1627ded7e20,c636b5c526578567c1070a072c4067771d01c477,8decaa54a68be80ddd4f84df07f3a381,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.github/workflows/issue-open-check.yml::::jobs::::check-issue::::steps::::steps_1::::uses::::actions-cool/issues-helper@v1.2 <-> ant-design::::.github/workflows/issue-remove-inactive.yml::::jobs::::remove-inactive::::steps::::steps_0::::uses::::actions-cool/issues-helper@v1.2,.github/workflows/issue-remove-inactive.yml,ant-design::::.github/workflows/issue-remove-inactive.yml::::jobs::::remove-inactive::::steps::::steps_0::::uses(location: 15),git show 323b09a98f83475ef8e379753300a1627ded7e20 -- .github/workflows/issue-remove-inactive.yml
9672df360852d17738692fb1af67e7ccde82c9b4,a401ef9ad72ef813457fdb2c7d655909379e76cc,008cf25460d15105b185f9ac4eed97f2,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.github/workflows/pr-check-ci.yml::::jobs::::check::::runs-on::::ubuntu-latest <-> ant-design::::.github/workflows/test.yml::::jobs::::react-17-node::::runs-on::::ubuntu-latest,,,
7e42c7585a41f2575ed9105048f6ebb1b7729a12,dfd3a25e03da5936fb0238fff60ce96d88ad6bdb,6e8c5ee8926d0acfe24025ef0bda7387,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.github/workflows/issue-labeled.yml::::jobs::::reply-helper::::steps::::steps_4::::with::::token::::${{ secrets.GITHUB_TOKEN }} <-> ant-design::::.github/workflows/preview-deploy.yml::::jobs::::deploy-site::::steps::::steps_5::::with::::token::::${{ secrets.GITHUB_TOKEN }},,,
8848bc3b6d17088afca788856098514d304d99c9,30d6029cfbaa4525f7538183f555fe28cfcaeefa,13556f95969cf070bf491e65810ee098,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,ant-design::::.github/workflows/label-merge.yml::::jobs::::auto-merge::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }} <-> ant-design::::.github/workflows/rebase.yml::::jobs::::rebase::::steps::::steps_1::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }},.github/workflows/label-merge.yml,ant-design::::.github/workflows/label-merge.yml::::jobs::::auto-merge::::steps::::steps_1::::env::::GITHUB_TOKEN(location: 19),git show 8848bc3b6d17088afca788856098514d304d99c9 -- .github/workflows/label-merge.yml
