occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
d2736e203f1c5b0fb41553faad55e3e2324f4737,7d60a4bb98654fa4d923546050f9761b7a9fedd6,b0794b466f4473b0d04e157aae6f724e,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_5::::condition::::and(succeeded(), ne(variables['Atom.SkipTests'], 'true')) <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_5::::condition::::and(succeeded(), ne(variables['Atom.SkipTests'], 'true'))",script/vsts/platforms/linux.yml,atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_5::::condition(location: 52),git show d2736e203f1c5b0fb41553faad55e3e2324f4737 -- script/vsts/platforms/linux.yml
aa77d3232374414b2d87aa639b5caeb33480b559,cb6ee9de68fef3679c4f7b60c6306efd35c02b2f,c42139085b1a3ea3a9ff0287d1f2f2b4,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_12::::env::::ATOM_RELEASES_S3_SECRET::::$(ATOM_RELEASES_S3_SECRET) <-> atom::::script/vsts/release-branch-build.yml::::jobs::::jobs_4::::steps::::steps_3::::env::::ATOM_RELEASES_S3_SECRET::::$(ATOM_RELEASES_S3_SECRET),,,
e68b876588d04188262ccf76c943e9e7d94a7bb9,06d98ce6355c8e0e7dab32d6f4241c6aa7e206da,1bdf2c8d5052619c533dc1a39e09831e,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::appveyor.yml::::artifacts::::artifacts_0::::name::::AtomSetup.exe <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_11::::inputs::::ArtifactName::::AtomSetup.exe,script/vsts/platforms/windows.yml,atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_11::::inputs::::ArtifactName(location: 122),git show e68b876588d04188262ccf76c943e9e7d94a7bb9 -- script/vsts/platforms/windows.yml
e93fdab192f50785edbfa995aba7a0610c2292a0,fdfbfbbdbc3e662c02f68e556693398ec0bd1a57,698826f96434993067c4f4dcd4596e6b,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_0::::steps::::steps_2::::displayName::::Bootstrap build environment <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_3::::displayName::::Bootstrap build environment,script/vsts/platforms/windows.yml,atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_3::::displayName(location: 40),git show e93fdab192f50785edbfa995aba7a0610c2292a0 -- script/vsts/platforms/windows.yml
e93fdab192f50785edbfa995aba7a0610c2292a0,fdfbfbbdbc3e662c02f68e556693398ec0bd1a57,a8e89e93596ed8491969c42d81635598,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::appveyor.yml::::artifacts::::artifacts_3::::name::::AtomSetup-x64.exe <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_13::::inputs::::ArtifactName::::AtomSetup-x64.exe,script/vsts/platforms/windows.yml,atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_13::::inputs::::ArtifactName(location: 139),git show e93fdab192f50785edbfa995aba7a0610c2292a0 -- script/vsts/platforms/windows.yml
d74e44d7c573b3fe885b125e7a4cbaf08db68e47,ad1d23ca91e22dc220371df39422c4b8ba690959,3c1a25159d77ae16d337b105bcb55746,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_8::::displayName::::Build Atom <-> atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_0::::steps::::steps_6::::displayName::::Build Atom,script/vsts/platforms/macos.yml,atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_0::::steps::::steps_6::::displayName(location: 67),git show d74e44d7c573b3fe885b125e7a4cbaf08db68e47 -- script/vsts/platforms/macos.yml
1eb877666cdc44b20826eef47fba544923585419,150b700a00d4b69ac78a22dee61f5002f6620711,2b86e452990832b5932e1f9c127eb255,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_6::::displayName::::Post-process test results <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_6::::displayName::::Post-process test results,,,
d74e44d7c573b3fe885b125e7a4cbaf08db68e47,ad1d23ca91e22dc220371df39422c4b8ba690959,6676109ee722078f11345249dda1437c,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_1::::steps::::steps_8::::displayName::::Run tests <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_13::::displayName::::Run tests,script/vsts/platforms/macos.yml,atom::::script/vsts/platforms/macos.yml::::jobs::::jobs_1::::steps::::steps_8::::displayName(location: 171),git show d74e44d7c573b3fe885b125e7a4cbaf08db68e47 -- script/vsts/platforms/macos.yml
fb9f913af47ecd3e49af111f24e8e13146a669dc,036265c58b648a38d5af146d54f4de069dee8b9a,01fb1d6784daf61dce0711fcef609720,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::variables::::ReleaseVersion::::$[ dependencies.GetReleaseVersion.outputs['Version.ReleaseVersion'] ] <-> atom::::script/vsts/release-branch-build.yml::::jobs::::jobs_4::::variables::::ReleaseVersion::::$[ dependencies.GetReleaseVersion.outputs['Version.ReleaseVersion'] ],,,
b3df995ab1889c29413bdf815ccb19c3a9c4c5a7,95d6616898b2753dbe112d268396968e7daa3943,83f32ada2e75d3705c4e3d14e007bc6d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,atom::::appveyor.yml::::environment::::global::::NODE_VERSION::::8.9.3 <-> atom::::script/vsts/release-branch-build.yml::::phases::::phases_4::::steps::::steps_0::::inputs::::versionSpec::::8.9.3,,,
aa77d3232374414b2d87aa639b5caeb33480b559,cb6ee9de68fef3679c4f7b60c6306efd35c02b2f,fa454752b08dd5714f32ecf89f5c9448,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"atom::::script/vsts/platforms/linux.yml::::jobs::::jobs_0::::steps::::steps_3::::condition::::and(succeeded(), ne(variables['Atom.SkipTests'], 'true')) <-> atom::::script/vsts/platforms/windows.yml::::jobs::::jobs_0::::steps::::steps_7::::condition::::and(succeeded(), ne(variables['Atom.SkipTests'], 'true'))",,,
