occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
e4db9361aa0f732ea5c119747be3f85a1a1cbdf7,2e634c2394ff48d807764772bf1d0807f7f32770,e89f0380d45f7670485ff40289bba044,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::contrib/gitian-descriptors/boost-win32.yml::::packages::::mingw32 <-> bitcoin::::contrib/gitian-descriptors/gitian-win32.yml::::packages::::mingw32,,,
8a33c374080d532e5621db3baaf8bf7c4062ca6d,3ba98441864df00e025ac5da1e26a4d6563232e5,cfea5f6491a6126a44b5f2e50ea26c7b,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::contrib/gitian-descriptors/deps-win32.yml::::suites::::precise <-> bitcoin::::contrib/gitian-descriptors/gitian.yml::::suites::::precise,,,
456c9a2260a4d3b153f61d73831af06e9d71dd23,ccbe1aad14480810c04028e10b93f8c256bf00f5,19636520362d8d922454615eaaefdd6b,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::.travis.yml::::dist::::trusty <-> bitcoin::::contrib/gitian-descriptors/gitian-linux.yml::::suites::::trusty,contrib/gitian-descriptors/gitian-linux.yml,bitcoin::::contrib/gitian-descriptors/gitian-linux.yml::::suites(location: 4),git show 456c9a2260a4d3b153f61d73831af06e9d71dd23 -- contrib/gitian-descriptors/gitian-linux.yml
b262fc939fd1dffdb6b430fb1d23a4992822cf69,c45907e99f8d644be4b9868db185ea2b7b5cd20a,20435ff2250066382a4da9f63000663b,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::.cirrus.yml::::task::::<<::::<<::::merge_base_script::::git merge FETCH_HEAD <-> bitcoin::::src/secp256k1/.cirrus.yml::::merge_base_script_snippet::::merge_base_script::::git merge FETCH_HEAD,,,
0e7adfdeb731ba7f499af6a164206ae891e892c9,a4f945017baeb3a8cb7e9be8e9afb5f9b41a4f5a,4f2678f31a6e29f74941f417b032e837,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::contrib/gitian-descriptors/boost-linux.yml::::suites::::precise <-> bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::suites::::precise,,,
456c9a2260a4d3b153f61d73831af06e9d71dd23,ccbe1aad14480810c04028e10b93f8c256bf00f5,6dbbc24471bd050641b15f5d92147dbd,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::.travis.yml::::dist::::trusty <-> bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::suites::::trusty,contrib/gitian-descriptors/gitian-win.yml,bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::suites(location: 4),git show 456c9a2260a4d3b153f61d73831af06e9d71dd23 -- contrib/gitian-descriptors/gitian-win.yml
f1279e4e2f5e93ea03eb2cb0aea7ce37dc633ec0,e7299f6d4389420e876d920734db64eb0688a3dc,7b3e978ed46ec66250aeef7ef14a8eda,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::files::::bitcoin-deps-win32-gitian-r12.zip <-> bitcoin::::contrib/gitian-descriptors/qt-win.yml::::files::::bitcoin-deps-win32-gitian-r12.zip,,,
800d345f8940f2fd759b3b9230047eeb39a006de,a79279f9a5fe59a7ffdcbf39405b02ac2caf5bb8,1118d785d3d6f2cbc734cd2d8deb9faa,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::.travis.yml::::matrix::::exclude::::compiler/gcc::::compiler::::gcc <-> bitcoin::::src/secp256k1/.travis.yml::::compiler::::gcc,,,
537e86738a63e18e49cdee94cea8c2645261d43d,8ad33c43b34e447d3b2d3d866529b50b58e1a846,37647a9ff84ff8d597f8edc8676a6154,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::.travis.yml::::jobs::::include::::stage/test::::addons::::apt::::packages::::bsdmainutils <-> bitcoin::::contrib/gitian-descriptors/gitian-osx.yml::::packages::::bsdmainutils,,,
be929e97757ac995e2d7fbefa1c1670abd15b04d,c9bafac400a2ffb1b9a924d497404fdb4504a4bd,027dcbe6f932fde2f8c2b78f3d264afc,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::contrib/gitian-descriptors/gitian-win.yml::::files::::bitcoin-deps-win64-gitian-r11.zip <-> bitcoin::::contrib/gitian-descriptors/qt-win.yml::::files::::bitcoin-deps-win64-gitian-r11.zip,,,
85b36eb75745f1ba75f8826fd95fa8f58dad4cd5,1985b2dc576788721aa4a295aac3cd3aeb774080,193ca4a79ae0696c8270320e9c2e58af,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bitcoin::::contrib/gitian-descriptors/gitian-osx-bitcoin.yml::::files::::osx-native-depends-r2.tar.gz <-> bitcoin::::contrib/gitian-descriptors/gitian-osx-depends.yml::::files::::osx-native-depends-r2.tar.gz,,,
