occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
4860138ba31bd7cbd3aa24247b786d6827a9af97,7016a654b81361436b1c05ad0708c6cf93f868b9,314af0fcbf2a15d71db7d2934efe78bb,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/dependabot.yml::::version::::2 <-> bootstrap::::build/svgo.yml::::js2svg::::indent::::2,,,
0f9d07463e494ff926230a0aa3999b0b0c4859c9,bf14feaeaf543d7a9ad1b25c3dbf097623188982,e9bb8e87d23906e3d8ea2662cf4b16aa,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.scss-lint.yml::::linters::::NestingDepth::::max_depth::::4 <-> bootstrap::::.travis.yml::::matrix::::exclude::::node_js/4::::node_js::::4,.scss-lint.yml,bootstrap::::.scss-lint.yml::::linters::::NestingDepth::::max_depth(location: 117),git show 0f9d07463e494ff926230a0aa3999b0b0c4859c9 -- .scss-lint.yml
6ebb8b297caf5f0173f481080cb897e701c8952d,ad5bd9e4fea4027b754e3c97a77c07b24595c3ec,ded3e5b94c5a245276fdff6da6402b39,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.NAME,bootstrap::::.travis.yml::::env::::global::::SAUCE_USERNAME/bootstrap::::SAUCE_USERNAME::::bootstrap <-> bootstrap::::package.json::::name::::bootstrap,,,
dff58593e7d6c7f2761c8101bbc4de506dfa4caf,32d42d1b697135cfd679bdffa36521943d3850b5,97f171f2f0ba6c2d3adbaf34a2b619f7,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/test.yml::::jobs::::run::::runs-on::::ubuntu-latest <-> bootstrap::::.github/workflows/workflows/codeql.yml::::jobs::::CodeQL-Build::::runs-on::::ubuntu-latest,,,
e08fd25408459f7ae19009801cf7e2f8a27725cb,8279846dd8f1b4d6e42926edd9f9652cdf2a2f7e,213b2cc52e15c83faac334ca9d062202,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.scss-lint.yml::::linters::::Shorthand::::allowed_shorthands::::4 <-> bootstrap::::.travis.yml::::node_js::::4,,,
29d6a6c7a8c0899ce1eb9942c15e647986ecb6c5,8e276e500d71866e905ab7ccc57b5ffc36149c78,1d1ddea67f1a587f18406d1420da3787,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/bundlewatch.yml::::on::::push::::branches::::master <-> bootstrap::::.github/workflows/release-notes.yml::::on::::push::::branches::::master,,,
5382881895315eb56ef4821e363c80e83c690c7c,0ac3293d925d3f585b9f09d52977d7fc926cdf47,003127bf18dc52deff91db1ee59e0b91,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.travis.yml::::cache::::npm <-> bootstrap::::package.json::::jspm::::registry::::npm,,,
f6dba0a3482be9ee7b5c8ae80c795507bb6c9a3d,8696348604f318f045d82775d73ee774eb2fe471,6d9e356f178d8630de50b0e67b93b267,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/release-notes.yml::::jobs::::update_release_draft::::steps::::steps_0::::env::::GITHUB_TOKEN::::${{ secrets.GITHUB_TOKEN }} <-> bootstrap::::.github/workflows/test.yml::::jobs::::run::::steps::::steps_10::::with::::github-token::::${{ secrets.GITHUB_TOKEN }},,,
a5a9d22fdd63b11f86143f7246b0e1e18f7de45f,745e8d45534795b3f8642eb2339b4bb9b983f90b,5165299c4602e1ae9a722ec4f9a9bd80,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/dependabot.yml::::updates::::updates_0::::labels::::dependencies <-> bootstrap::::.github/release-drafter.yml::::categories::::categories_7::::labels::::dependencies,,,
78169a9a1ae23dae71a83a14adbafc9f88c8ce04,e62ac3b56e9ed271f37827c886911f2583c4b56d,b9517317e0be5b9ac6ddc53cc07c3008,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::runs-on::::ubuntu-latest <-> bootstrap::::.github/workflows/codeql.yml::::jobs::::CodeQL-Build::::runs-on::::ubuntu-latest,,,
dbc1bd0cf7249f80d28bdaef63eefd713d22cd9f,dc0b56e0f59c9245ec0e27b300ece9a961889a4f,830a6f912ecdbd40d901f927fcf5fde6,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/dependabot.yml::::updates::::updates_0::::reviewers::::XhmikosR <-> bootstrap::::site/data/core-team.yml::::site/data/core-team.yml_3::::name::::XhmikosR,site/data/core-team.yml,bootstrap::::site/data/core-team.yml::::site/data/core-team.yml_3::::name(location: 10),git show dbc1bd0cf7249f80d28bdaef63eefd713d22cd9f -- site/data/core-team.yml
aab3ed294351eebadbf3ef9ce31c4c4dad219175,fbc5e6680935ed27563b91956bcc294d183bdcb5,7f6048f9aea041719b20b497bc826661,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/dependabot.yml::::updates::::updates_0::::open-pull-requests-limit::::10 <-> bootstrap::::.github/workflows/js.yml::::jobs::::run::::strategy::::matrix::::node::::10,,,
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e,7d34cf96f5c70765d130edd4ad8813e778432179,dc2382f690a3dc36d76d5731921022a0,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/css.yml::::jobs::::css::::steps::::steps_3::::run::::npm ci <-> bootstrap::::.github/workflows/docs.yml::::jobs::::docs::::steps::::steps_4::::run::::npm ci,.github/workflows/docs.yml,bootstrap::::.github/workflows/docs.yml::::jobs::::docs::::steps::::steps_4::::run(location: 33),git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/docs.yml
e6b899d7662700b1a77fc2281f3d14ed576de861,ef91cac62163319312e74c2541bfcd5d9a8b3089,d6a8af1e039d1a4f91c7bcf87258b967,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/bundlewatch.yml::::env::::NODE::::14 <-> bootstrap::::.github/workflows/js.yml::::jobs::::run::::strategy::::matrix::::node::::14,,,
82b84d95ed4563f1b7d2eec72afc07866675bfb5,edb64a6ebcf2b37aceca7e6be96e18caf88979b2,9ba150136cbe5e7ab00a0b973816dd9e,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.PATH,bootstrap::::.hound.yml::::eslint::::config_file::::js/.eslintrc.json <-> bootstrap::::package.json::::files::::files/js/.eslintrc.json::::js/.eslintrc.json,,,
f870478c5c2074ea637f737e80c406389199fc27,859d757d88b8746500ae254dcdf3d4b4092bbb3a,4f9210d8e5535033366fa7859f6b23ee,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::config.yml::::params::::docs_version::::5.0 <-> bootstrap::::package.json::::version_short::::5.0,,,
b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e,7d34cf96f5c70765d130edd4ad8813e778432179,db6d2f41759db8f39765baf0f8470047,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/browserstack.yml::::jobs::::browserstack::::steps::::steps_4::::name::::Run dist <-> bootstrap::::.github/workflows/bundlewatch.yml::::jobs::::bundlewatch::::steps::::steps_4::::name::::Run dist,.github/workflows/bundlewatch.yml,bootstrap::::.github/workflows/bundlewatch.yml::::jobs::::bundlewatch::::steps::::steps_4::::name(location: 31),git show b5b5eb9cd8068dcd147a4b00160b0a34c0db3b5e -- .github/workflows/bundlewatch.yml
e6b899d7662700b1a77fc2281f3d14ed576de861,ef91cac62163319312e74c2541bfcd5d9a8b3089,0918b3b4c3168ad4949b96da11c76176,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/browserstack.yml::::env::::NODE::::14 <-> bootstrap::::.github/workflows/js.yml::::jobs::::run::::strategy::::matrix::::node::::14,,,
29d6a6c7a8c0899ce1eb9942c15e647986ecb6c5,8e276e500d71866e905ab7ccc57b5ffc36149c78,f7282e55bd9ac0800916bbba79d2eb61,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::.github/workflows/lint.yml::::on::::push::::branches::::master <-> bootstrap::::.github/workflows/release-notes.yml::::on::::push::::branches::::master,,,
ffea893fe5bb6357099d2e4010d60e5f2233d62c,b438d7640640209238ec6f69026a000617f71de2,1e0e38d3b2ea17fec31a5f02457a8a27,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,bootstrap::::package.json::::version_short::::4.3 <-> bootstrap::::site/data/docs-versions.yml::::site/data/docs-versions.yml_3::::versions::::versions_3::::v::::4.3,package.json,bootstrap::::package.json::::version_short(location: 5),git show ffea893fe5bb6357099d2e4010d60e5f2233d62c -- package.json
