occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
f82314c4e147003f90464f1b309b5cc58176418d,60bd3a8c7f24aa0861525c686b4bf5424a8c8227,686242cbf49d03e016b74dd0ce56166a,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::7.5 <-> express::::appveyor.yml::::environment::::matrix::::matrix_8::::nodejs_version::::7.5,,,
d39f0767e49723b2a599e3b95c144ae589d32809,d55f2788fc60e2f18da83cf1b1a81dce44f8e582,60cc317e66c4c474741f90df31c4654c,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::4.2 <-> express::::appveyor.yml::::environment::::matrix::::matrix_5::::nodejs_version::::4.2,,,
06e0ed2344c5a97a81f00c6ce792121b3ff8e6ec,9c09970a8df0875ec84b53f57ad3868baa88cbb8,9e74f7c2a9d6c5b6ee63f62d62360128,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::7.9 <-> express::::appveyor.yml::::environment::::matrix::::matrix_8::::nodejs_version::::7.9,,,
06924472cae4630ae6f2630fe8f5d22582f1c3a6,a4d8a479750246c78995b38bf2967f0ebe893025,d6f3059d2840310973cb9b7ca925f707,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::8.9 <-> express::::appveyor.yml::::environment::::matrix::::matrix_9::::nodejs_version::::8.9,,,
00b219132b4e3338bcac8ac35052e8b96615dc5a,d90bd742235f3a692524fc6cd50716174fc6d687,5419756e85e59e07d0d6dc856af848b7,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::8.16 <-> express::::appveyor.yml::::environment::::matrix::::matrix_9::::nodejs_version::::8.16,,,
5323636fd522af5c40d9dde8aec0af4f80b02449,1f430d8ed52ee8f0ecebe32b7e91dfa43a3b9e68,eccec3cec072af891c51ab6500b22107,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::12.2 <-> express::::appveyor.yml::::environment::::matrix::::matrix_13::::nodejs_version::::12.2,,,
4e363882bf06998b16a48f7c5e8b8f86adf45666,b4956dc34338cf9beaecee2ec632bdac0c5366db,23f31184f5f9d97306fdfe1077247a6b,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::1.5 <-> express::::appveyor.yml::::environment::::matrix::::matrix_3::::nodejs_version::::1.5,,,
3f7e9544652efbd042f7bce8e62848078a790e57,cc8eeb3c55dfb6c4b345d60f616dd72ec8e57583,6626c4701b5eaddc5b157b3320ee5993,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::4.6 <-> express::::appveyor.yml::::environment::::matrix::::matrix_5::::nodejs_version::::4.6,,,
70ece73caf759fc5b3780d20d569458c961d02a9,63e6909e20e3e36679bc799f2380bba3af252113,8c80c57fb4658a78edfbbb33e6015ba8,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,express::::.travis.yml::::node_js::::12.7 <-> express::::appveyor.yml::::environment::::matrix::::matrix_13::::nodejs_version::::12.7,,,
96c84e77c40bd3a9c93b6a9b583230b7903746d5,7444bb40e4ab3fb1daca2b147a0f1dda66e3ba16,8da2d022e25c8bfcfe392a3a9d887288,ModifiedOptionConflict,ConfigType.NAME<->ConfigType.UNKNOWN,express::::package.json::::name::::Express <-> express::::seed.yml::::name::::Express,package.json,express::::package.json::::name(location: 2),git show 96c84e77c40bd3a9c93b6a9b583230b7903746d5 -- package.json
