occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,4d515c25c7193f14c266ee7172c7eda7,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python27Windows::::python.version::::2.7 <-> flask::::.travis.yml::::python::::2.7,,,
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,b66a3df7d4c91c8f13f6b4aaffbb3e5d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python36Linux::::python.version::::3.6 <-> flask::::.travis.yml::::python::::3.6,,,
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,9e932f42f70fafe8571f4615e9dca499,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python35Linux::::python.version::::3.5 <-> flask::::.travis.yml::::python::::3.5,,,
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,8198255d14dd5dfe2d343aec5cd06a96,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python27Linux::::python.version::::2.7 <-> flask::::.travis.yml::::python::::2.7,,,
7b8e172bbc8d2a3e903810fdeaef4e97ceea15dd,146282a52a7eff861c07b8461b88f4926485bf06,129bf9b33eb1c0d5f11ddf2fd78ce4b6,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.appveyor.yml::::branches::::only::::/^.*-maintenance$/ <-> flask::::.travis.yml::::branches::::only::::/^.*-maintenance$/,,,
587f13f7decf1f3f96425ebcd32f73d850e86029,05381930777f27d4dee5e7194f301cb836dfb08a,2568ddd9bee8dfb8db47d3a54ad5c2da,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.github/dependabot.yml::::updates::::updates_0::::target-branch::::2.0.x <-> flask::::.pre-commit-config.yaml::::ci::::autoupdate_branch::::2.0.x,,,
587f13f7decf1f3f96425ebcd32f73d850e86029,05381930777f27d4dee5e7194f301cb836dfb08a,f67185db04d38ed7cea18f144ad067f0,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.github/dependabot.yml::::updates::::updates_0::::package-ecosystem::::pip <-> flask::::.readthedocs.yaml::::python::::install::::install_1::::method::::pip,.github/dependabot.yml,flask::::.github/dependabot.yml::::updates::::updates_0::::package-ecosystem(location: 3),git show 587f13f7decf1f3f96425ebcd32f73d850e86029 -- .github/dependabot.yml
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,ad24b04062f14320048592f8cd4c97c2,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python37Windows::::python.version::::3.7 <-> flask::::.travis.yml::::python::::3.7,,,
7356d3c8ac57db2a3da922ec59eeccfe421d9bfd,d1312751ef0c16a199b0e041d8079994ad4dba7f,8e3ee48d2bba3a710461cf67fed450e2,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.github/workflows/lock.yaml::::jobs::::lock::::runs-on::::ubuntu-latest <-> flask::::.github/workflows/tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_9::::os::::ubuntu-latest,,,
cebe0e1f3402023da1a385c7ba0841e25fbd07fe,0ef5b9545c0df9346fa20254ab23cdb8eba164c8,09488fdecdc1b77a1c244b9f04ba117c,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"flask::::.appveyor.yml::::environment::::global::::TOXENV::::py,codecov <-> flask::::.azure-pipelines.yml::::jobs::::jobs_0::::variables::::TOXENV::::py,codecov",,,
587f13f7decf1f3f96425ebcd32f73d850e86029,05381930777f27d4dee5e7194f301cb836dfb08a,5c4e0e06985ffd3b5fc880ba4e1583ed,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.github/dependabot.yml::::updates::::updates_1::::schedule::::interval::::monthly <-> flask::::.pre-commit-config.yaml::::ci::::autoupdate_schedule::::monthly,,,
cebe0e1f3402023da1a385c7ba0841e25fbd07fe,0ef5b9545c0df9346fa20254ab23cdb8eba164c8,205fa4503ff836185a531f40ef49b507,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::jobs::::jobs_0::::strategy::::matrix::::Python37Linux::::python.version::::3.7 <-> flask::::.travis.yml::::python::::3.7,,,
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,0237a2396d7b16484cd8b716d8bdf995,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::variables::::python.version::::3.7 <-> flask::::.travis.yml::::python::::3.7,,,
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,20909d65ed9a01b8d9ac9902b15d5389,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python37Mac::::python.version::::3.7 <-> flask::::.travis.yml::::python::::3.7,,,
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,50458d3ab3bd95c658eeba82b570ea75,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::strategy::::matrix::::Python37Linux::::python.version::::3.7 <-> flask::::.travis.yml::::python::::3.7,,,
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,06738ff6df01e3333f518e67e548c462,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,"flask::::.appveyor.yml::::environment::::global::::TOXENV::::py,codecov <-> flask::::.azure-pipelines.yml::::variables::::TOXENV::::py,codecov",,,
06bec39e772952909223255d4f6daf729047c39c,5036765efc170684c987ca4be94e522158b59393,c07e737fdd49dab38c9aed4b21228232,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.azure-pipelines.yml::::steps::::steps_2::::script::::tox <-> flask::::.travis.yml::::script::::tox,,,
8f33f05fe3970f25cdc6913073a4426bc06d7de3,9a7040639a6976d47a061b8043df10deaeb92b56,0cbebc212e18dd8c6442377ab385c7f9,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flask::::.github/workflows/lock.yaml::::jobs::::lock::::runs-on::::ubuntu-latest <-> flask::::.github/workflows/tests.yaml::::jobs::::tests::::strategy::::matrix::::include::::include_7::::os::::ubuntu-latest,,,
