occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
7b36713f932e366f4bc66904eb9a02a4b0ec7826,d4a0fd70b77187fbc72dc478b88833eb29133a1d,95e455d3e6515dc9629d4f6cfe569191,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::examples/platform_view/android/gradle/wrapper/gradle-wrapper.properties::::distributionurl::::https\://services.gradle.org/distributions/gradle-4.1-all.zip <-> flutter::::packages/flutter_tools/templates/plugin/android.tmpl/gradle/wrapper/gradle-wrapper.properties::::distributionurl::::https\://services.gradle.org/distributions/gradle-4.1-all.zip,examples/platform_view/android/gradle/wrapper/gradle-wrapper.properties,"flutter::::examples/platform_view/android/gradle/wrapper/gradle-wrapper.properties::::distributionurl(location: section: dummy_section, option: distributionurl)",git show 7b36713f932e366f4bc66904eb9a02a4b0ec7826 -- examples/platform_view/android/gradle/wrapper/gradle-wrapper.properties
be799e9f9da9b3f2961d0ac9a6ff7cda5691cfa1,412f34272c4474f5962c9d3126c148a620301ab6,930a786b9b2a10a101ebdbdfbc6b9ad6,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::dev/snippets/pubspec.yaml::::dependencies::::package_config::::1.0.5 <-> flutter::::examples/flutter_gallery/pubspec.yaml::::dev_dependencies::::package_config::::1.0.5,,,
abab781ff3495e075b34b758ad8e8fc1d7e70c18,aefa7a33c00b971bfdb03f793c39ce24c2eb0846,05b891bd9a191316d52f56da7c30874b,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::examples/flutter_gallery/pubspec.yaml::::dependencies::::flutter_gallery_assets::::0.1.6 <-> flutter::::packages/flutter_localizations/pubspec.yaml::::dev_dependencies::::front_end::::0.1.6,packages/flutter_localizations/pubspec.yaml,flutter::::packages/flutter_localizations/pubspec.yaml::::dev_dependencies::::front_end(location: 33),git show abab781ff3495e075b34b758ad8e8fc1d7e70c18 -- packages/flutter_localizations/pubspec.yaml
6db81d83ede80448aac2719f73aecc5bea5ef365,364fcfb688e51a3bdaa6d112258aa01df35f7513,537bd45773d965dc9cb101c60707b10d,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::.github/lock.yml::::daysUntilLock::::14 <-> flutter::::packages/flutter/lib/fix_data.yaml::::transforms::::transforms_7::::oneOf::::oneOf_0::::changes::::changes_0::::index::::14,,,
c9c80855c0f53b655c932652a5972c4f8858d349,45f50dacd6c9883d420d31cf72eeb64f271df0f2,ca34aff84733337a9a1e8b8365322403,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::examples/hello_world/pubspec.yaml::::dev_dependencies::::kernel::::0.3.3 <-> flutter::::examples/layers/pubspec.yaml::::dev_dependencies::::io::::0.3.3,examples/hello_world/pubspec.yaml,flutter::::examples/hello_world/pubspec.yaml::::dev_dependencies::::kernel(location: 33),git show c9c80855c0f53b655c932652a5972c4f8858d349 -- examples/hello_world/pubspec.yaml
6d4b61c5fb85f7922efa66aea7778ab9cfab14b6,495defb5c03e7391da0602171a0a339421b1cfbf,b1a81cf92c715f6704d8e99e948644ac,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::dev/integration_tests/external_ui/pubspec.yaml::::dependencies::::web_socket_channel::::1.0.8 <-> flutter::::packages/flutter_tools/pubspec.yaml::::dependencies::::json_schema::::1.0.8,dev/integration_tests/external_ui/pubspec.yaml,flutter::::dev/integration_tests/external_ui/pubspec.yaml::::dependencies::::web_socket_channel(location: 27),git show 6d4b61c5fb85f7922efa66aea7778ab9cfab14b6 -- dev/integration_tests/external_ui/pubspec.yaml
164e6df7cea6929fc00e26dc4bd997ad44de7cd0,30259128d0ee78ed63084f9dc9dd405fef0ff6c0,071365dcfcf2451f5368d4480e347714,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::dev/automated_tests/pubspec.yaml::::dependencies::::multi_server_socket::::1.0.1 <-> flutter::::packages/flutter_tools/pubspec.yaml::::dependencies::::mustache::::1.0.1,dev/automated_tests/pubspec.yaml,flutter::::dev/automated_tests/pubspec.yaml::::dependencies::::multi_server_socket(location: 31),git show 164e6df7cea6929fc00e26dc4bd997ad44de7cd0 -- dev/automated_tests/pubspec.yaml
7ed79130d408fd123f296c58c8422e7600388828,bc24e3afe713299f8cd3165d61644570c66effac,2c5507ea6ca225f3142f73ce9230106e,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::dev/benchmarks/complex_layout/pubspec.yaml::::dependencies::::webdriver::::3.0.0 <-> flutter::::dev/devicelab/pubspec.yaml::::dev_dependencies::::convert::::3.0.0,dev/devicelab/pubspec.yaml,flutter::::dev/devicelab/pubspec.yaml::::dev_dependencies::::convert(location: 44),git show 7ed79130d408fd123f296c58c8422e7600388828 -- dev/devicelab/pubspec.yaml
abab781ff3495e075b34b758ad8e8fc1d7e70c18,aefa7a33c00b971bfdb03f793c39ce24c2eb0846,b2ae61ace274c2bbe2515e00cb80ea0b,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::dev/benchmarks/complex_layout/pubspec.yaml::::dependencies::::flutter_gallery_assets::::0.1.6 <-> flutter::::dev/tools/vitool/pubspec.yaml::::dev_dependencies::::front_end::::0.1.6,dev/tools/vitool/pubspec.yaml,flutter::::dev/tools/vitool/pubspec.yaml::::dev_dependencies::::front_end(location: 30),git show abab781ff3495e075b34b758ad8e8fc1d7e70c18 -- dev/tools/vitool/pubspec.yaml
e0983859b6be1a5b5567204cd33e3747f2e7958b,0f4e3922f3a4c12e0fb98c99736526657231ecc8,e41c4cb61b6e5ac6b26d8db5ad9d89ad,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,flutter::::examples/platform_channel_swift/pubspec.yaml::::dev_dependencies::::source_map_stack_trace::::1.1.5 <-> flutter::::examples/platform_view/pubspec.yaml::::dependencies::::meta::::1.1.5,examples/platform_view/pubspec.yaml,flutter::::examples/platform_view/pubspec.yaml::::dependencies::::meta(location: 12),git show e0983859b6be1a5b5567204cd33e3747f2e7958b -- examples/platform_view/pubspec.yaml
