occurred_at,prev_commit,conflict_id,conflict_type,config_types,link,changed_artifact,changed_option,cmd
a16db7e6dd7afca8cb6a0c503a90362abe590713,6228527aa0e1c47293f503e93aa7ff6ebd458e82,927fc93b36041063d105b560eb1e10bd,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::.travis.yml::::language::::go <-> frp::::Godeps/_workspace/src/github.com/docopt/docopt-go/.travis.yml::::language::::go,,,
a388fb1dae6204b2cf62792a9fea315e73d2dc36,2d36a91b66e6cdefef9989a0b9ecf8708207ad74,f871b646bb5a1baa29f937dc65cf3a71,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::vendor/github.com/docopt/docopt-go/.travis.yml::::go::::tip <-> frp::::vendor/github.com/pmezard/go-difflib/.travis.yml::::go::::tip,,,
42429d84e9f151589be67cf6de4e531490124347,6e24b5579ff7827edbf37f03929d633dca5533c3,9fd9a03fe0c33acff0d3867fe999685d,MultiValueConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::vendor/github.com/gorilla/websocket/.travis.yml::::matrix::::include::::go/1.7::::go::::1.7 <-> frp::::vendor/github.com/julienschmidt/httprouter/.travis.yml::::go::::1.7,,,
80358b4191bc8064decb0bb611a22aa419fefa6c,5da32127b3c90177e55b72f5a64a25a8f28847e1,b780dff0600fedaa664a93f0a569558a,ModifiedOptionConflict,ConfigType.COMMAND<->ConfigType.COMMAND,frp::::web/frpc/package.json::::scripts::::build::::rimraf dist && webpack -p --progress --hide-modules <-> frp::::web/frps/package.json::::scripts::::build::::rimraf dist && webpack -p --progress --hide-modules,web/frps/package.json,frp::::web/frps/package.json::::scripts::::build(location: 8),git show 80358b4191bc8064decb0bb611a22aa419fefa6c -- web/frps/package.json
8c6da25f9fb85f57af5948d8af0e86cbc6d12555,156f1914ac81529b715dbc5cf6bd6171c1be4875,03d7883e0c54c364d3d69d2627edbfe5,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc_full.ini::::common::::server_addr::::0.0.0.0 <-> frp::::tests/conf/auto_test_frpc.ini::::common::::server_addr::::0.0.0.0,,,
8c397ce6510493ff5407ebb2d715ff5b00d19017,c120b5d842b6cc5f80cfefd49b6fd640fe992764,be74ec941a34dbc5cf72f1f2acea8faf,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frps.ini::::ssh::::bind_addr::::0.0.0.0 <-> frp::::conf/frps_min.ini::::ssh::::bind_addr::::0.0.0.0,,,
7dd591021a4dca74a324f0f6e2edb346516cd015,8f92be2eb62cf411bfaac52b006f38cd2b81455d,d23fdcaa0d9cba8d3912c7dd92932270,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc.ini::::web01::::http_username::::admin <-> frp::::conf/frps.ini::::common::::dashboard_pwd::::admin,,,
8c397ce6510493ff5407ebb2d715ff5b00d19017,c120b5d842b6cc5f80cfefd49b6fd640fe992764,d08b39ed8683debf4a7eb406da1aefe1,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc.ini::::web02::::local_ip::::127.0.0.1 <-> frp::::test/conf/auto_test_frpc.ini::::web::::local_ip::::127.0.0.1,,,
34c7f7138206d19b45c895eb38b68abfd85f2176,b59f7c8a2e6181049143173b091eb077619ec9df,cfe626809095b129186673e313f22994,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::vendor/github.com/armon/go-socks5/.travis.yml::::go::::tip <-> frp::::vendor/gopkg.in/square/go-jose.v2/.travis.yml::::go::::tip,,,
80358b4191bc8064decb0bb611a22aa419fefa6c,5da32127b3c90177e55b72f5a64a25a8f28847e1,50dc8a43fc0e774712f0c872dd665bc6,MissingOptionConflict,ConfigType.VERSION_NUMBER<->ConfigType.VERSION_NUMBER,frp::::web/frpc/package.json::::devDependencies::::babel-plugin-component::::babel-plugin-component:^1.1.1 <-> frp::::web/frps/package.json::::devDependencies::::babel-plugin-component::::babel-plugin-component:^1.1.1,,,
8c6da25f9fb85f57af5948d8af0e86cbc6d12555,156f1914ac81529b715dbc5cf6bd6171c1be4875,cd3adc0e6e8424194e345d411915b118,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc_full.ini::::dns::::type::::udp <-> frp::::tests/conf/auto_test_frpc.ini::::udp::::type::::udp,,,
8c397ce6510493ff5407ebb2d715ff5b00d19017,c120b5d842b6cc5f80cfefd49b6fd640fe992764,8c2b520d172abd9e0d96161f84770004,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc.ini::::privilege_web::::local_ip::::127.0.0.1 <-> frp::::conf/frpc_min.ini::::ssh::::local_ip::::127.0.0.1,,,
42429d84e9f151589be67cf6de4e531490124347,6e24b5579ff7827edbf37f03929d633dca5533c3,7b99f0276f3a641952788213bdd45f2e,MissingArtifactConflict,ConfigType.PORT<->ConfigType.UNKNOWN,frp::::Dockerfile::::expose::::443 <-> frp::::vendor/golang.org/x/net/http2/h2demo/service.yaml::::spec::::ports::::ports_1::::port::::443,,,
34c7f7138206d19b45c895eb38b68abfd85f2176,b59f7c8a2e6181049143173b091eb077619ec9df,334b2620208a8766ebd4ce0a47abf4d5,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::vendor/github.com/gorilla/websocket/.travis.yml::::matrix::::allow_failures::::go/tip::::go::::tip <-> frp::::vendor/gopkg.in/square/go-jose.v2/.travis.yml::::matrix::::allow_failures::::go/tip::::go::::tip,,,
457f67e6ebf51ce02ef645d35648e388f064c65c,4d37fc17e3468f9cfb03afefd5e831bd2598da39,e40b1a6b2d2c302d4f7e081f5a3add75,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::.github/workflows/stale.yml::::jobs::::stale::::steps::::steps_0::::with::::days-before-close::::10 <-> frp::::conf/frpc_full.ini::::ssh::::health_check_interval_s::::10,.github/workflows/stale.yml,frp::::.github/workflows/stale.yml::::jobs::::stale::::steps::::steps_0::::with::::days-before-close(location: 25),git show 457f67e6ebf51ce02ef645d35648e388f064c65c -- .github/workflows/stale.yml
ccd7c4db654f5b45fa7286ca3b9b10e29cecc438,2dacc69c5de3124ad8b230f6462832b692ee35dc,10cf38c3f8370ba199251f648beab70d,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc_min.ini::::ssh::::type::::tcp <-> frp::::tests/conf/auto_test_frpc.ini::::unix_domain::::type::::tcp,,,
652b87ea64d329591e8931b9c871b21b2d1d7e01,94ce995b58f90d85696158ca06db32d82565a2e1,a59dcb658a41a4fab2ad18a4cc81a623,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc.ini::::ssh::::local_ip::::127.0.0.1 <-> frp::::conf/frpc_full.ini::::secret_tcp_vistor::::bind_addr::::127.0.0.1,,,
c89ac77976a269981b7005b371f81d224d54a0f5,22f957352f2ca413a76cb47b1fa7260696c86c08,ae45a4ef5312fa213c2741aaf13144ed,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::tests/ci/auto_test_frpc_visitor.ini::::common::::log_file::::console <-> frp::::tests/ci/auto_test_frps.ini::::common::::log_file::::console,,,
42429d84e9f151589be67cf6de4e531490124347,6e24b5579ff7827edbf37f03929d633dca5533c3,e354d782bd648c72951ec821852e4f59,MissingArtifactConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::vendor/github.com/pkg/errors/.travis.yml::::language::::go <-> frp::::vendor/github.com/pmezard/go-difflib/.travis.yml::::language::::go,,,
652b87ea64d329591e8931b9c871b21b2d1d7e01,94ce995b58f90d85696158ca06db32d82565a2e1,84a03b4a998805b3b0010e0fe3dca46b,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc_full.ini::::p2p_tcp_vistor::::bind_addr::::127.0.0.1 <-> frp::::tests/conf/auto_test_frpc.ini::::udp::::local_ip::::127.0.0.1,,,
343de44a52ea125d807f328fc690d9228b873c93,784a52abc5d770eb54408ea72511a9c420a75d0f,7da1d223e793b7e1afc8b0dbf47ed0fe,ModifiedOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::.github/workflows/build-and-push-image.yml::::jobs::::binary::::steps::::steps_0::::with::::go-version::::1.16 <-> frp::::.github/workflows/goreleaser.yml::::jobs::::goreleaser::::steps::::steps_1::::with::::go-version::::1.16,.github/workflows/build-and-push-image.yml,frp::::.github/workflows/build-and-push-image.yml::::jobs::::binary::::steps::::steps_0::::with::::go-version(location: 21),git show 343de44a52ea125d807f328fc690d9228b873c93 -- .github/workflows/build-and-push-image.yml
8c397ce6510493ff5407ebb2d715ff5b00d19017,c120b5d842b6cc5f80cfefd49b6fd640fe992764,bf53c7927caa9bcc2cfd265895c3d59a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc.ini::::web02::::type::::http <-> frp::::conf/frps.ini::::web01::::type::::http,,,
8c6da25f9fb85f57af5948d8af0e86cbc6d12555,156f1914ac81529b715dbc5cf6bd6171c1be4875,c4a2a6c2b1a48ef22c416f4c377af46a,MissingOptionConflict,ConfigType.UNKNOWN<->ConfigType.UNKNOWN,frp::::conf/frpc_full.ini::::plugin_unix_domain_socket::::plugin::::unix_domain_socket <-> frp::::tests/conf/auto_test_frpc.ini::::unix_domain::::plugin::::unix_domain_socket,,,
